,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,Unnamed: 13
21,MN Samuels (WI),2000-2018,207,196,26,5606,133*,32.97,7463,75.11,10,30,11,
22,WJ Cronje (SA),1992-2000,188,175,31,5565,112,38.64,7277,76.47,2,39,8,
23,S Dhawan (INDIA),2010-2019,133,131,7,5518,143,44.5,5869,94.01,17,27,5,
24,F du Plessis (SA),2011-2019,143,136,20,5507,185,47.47,6215,88.6,12,35,3,
25,MEK Hussey (AUS),2004-2012,185,157,44,5442,109*,48.15,6243,87.16,3,39,3,
26,IR Bell (ENG),2004-2015,161,157,14,5416,141,37.87,7019,77.16,4,35,6,
27,A Jadeja (INDIA),1992-2000,196,179,36,5359,119,37.47,7677,69.8,6,30,10,
28,DR Martyn (AUS),1992-2006,208,182,51,5346,144*,40.8,6877,77.73,5,37,10,
29,G Gambhir (INDIA),2003-2013,147,143,11,5238,150*,39.68,6144,85.25,11,34,11,
30,ADR Campbell (ZIM),1992-2003,188,184,14,5185,131*,30.5,7834,66.18,7,30,11,
31,RS Mahanama (SL),1986-1999,213,198,23,5162,119*,29.49,8521,60.57,4,35,15,
32,CG Greenidge (WI),1975-1991,128,127,13,5134,133*,45.03,7908,64.92,11,31,3,
33,Misbah-ul-Haq (PAK),2002-2015,162,149,31,5122,96*,43.4,6945,73.75,0,42,6,
34,JP Duminy (SA),2004-2019,199,179,40,5117,150*,36.81,6052,84.55,4,27,7,
35,PD Collingwood (ENG),2001-2011,197,181,37,5092,120*,35.36,6614,76.98,5,26,7,
36,A Symonds (AUS),1998-2009,198,161,33,5088,156,39.75,5504,92.44,6,30,15,
37,Abdul Razzaq (Asia/PAK),1996-2011,265,228,57,5080,112,29.7,6252,81.25,3,23,14,
38,DA Warner (AUS),2009-2019,116,114,5,4990,179,45.77,5222,95.55,17,20,2,
39,CL Cairns (ICC/NZ),1991-2006,215,193,25,4950,115,29.46,5874,84.26,4,26,9,
40,Q de Kock (SA),2013-2019,115,115,6,4907,178,45.01,5154,95.2,14,24,3,
41,Aamer Sohail (PAK),1990-2000,156,155,5,4780,134,31.86,7297,65.5,5,31,10,
42,CD McMillan (NZ),1997-2007,197,183,16,4707,117,28.18,6198,75.94,3,28,9,
43,MD Crowe (NZ),1982-1995,143,140,18,4704,107*,38.55,6476,72.63,4,34,3,
44,MV Boucher (Afr/SA),1998-2011,295,221,57,4686,147*,28.57,5528,84.76,1,26,16,
45,AJ Stewart (ENG),1989-2003,170,162,14,4677,116,31.6,6841,68.36,4,28,13,
46,AJ Finch (AUS),2013-2019,119,115,2,4559,153*,40.34,5093,89.51,15,24,11,
47,SB Styris (NZ),1999-2011,188,161,23,4483,141,32.48,5645,79.41,4,28,9,
48,KP Pietersen (ENG/ICC),2004-2013,136,125,16,4440,130,40.73,5128,86.58,9,25,7,
49,NS Sidhu (INDIA),1987-1998,136,127,8,4413,134*,37.08,6329,69.72,6,33,7,
0,CZ Harris (NZ),1990-2004,250,213,62,4379,130,29.0,6583,66.51,1,16,12,
1,GR Marsh (AUS),1986-1992,117,115,6,4357,126*,39.97,7790,55.93,9,22,4,
2,E Chigumbura (Afr/ZIM),2004-2018,213,198,26,4340,117,25.23,5423,80.02,2,19,17,
3,ME Trescothick (ENG),2000-2006,123,122,6,4335,137,37.37,5087,85.21,12,21,13,
4,GA Gooch (ENG),1976-1995,125,122,6,4290,142,36.98,6932,61.88,8,23,4,
5,AJ Strauss (ENG),2003-2011,127,126,8,4205,158,35.63,5195,80.94,6,27,9,
6,K Srikkanth (INDIA),1981-1992,146,145,4,4091,123,29.01,5702,71.74,4,27,11,
7,PR Stirling (IRE),2008-2019,114,111,2,4038,177,37.04,4627,87.27,8,23,10,
8,WTS Porterfield (IRE),2006-2019,136,133,3,4037,139,31.05,5818,69.38,11,17,9,
9,AJ Lamb (ENG),1982-1992,122,118,16,4010,118,39.31,5308,75.54,4,26,8,
10,Mahmudullah (BDESH),2007-2019,185,160,42,3994,128*,33.84,5222,76.48,3,21,8,
11,RP Arnold (SL),1997-2007,180,155,43,3950,103,35.26,5443,72.57,1,28,7,
12,AP Gurusinha (SL),1985-1996,147,143,5,3902,117*,28.27,6409,60.88,2,22,12,
13,JG Wright (NZ),1978-1992,149,148,1,3891,101,26.46,6804,57.18,1,24,9,
14,DJ Cullinan (SA),1993-2000,138,133,16,3860,124,32.99,5492,70.28,3,23,10,
15,GA Hick (ENG),1991-2001,120,118,15,3846,126*,37.33,5191,74.08,5,27,10,
16,JC Buttler (ENG),2012-2019,142,117,23,3843,150,40.88,3207,119.83,9,20,12,
17,SPD Smith (AUS),2010-2019,118,104,12,3810,164,41.41,4414,86.31,8,23,5,
18,HP Tillakaratne (SL),1986-2003,200,168,40,3789,104,29.6,6588,57.51,2,13,10,
19,N Kapil Dev (INDIA),1978-1994,225,198,39,3783,175*,23.79,3979,95.07,1,14,13,
20,Wasim Akram (PAK),1984-2003,356,280,55,3717,86,16.52,4208,88.33,0,6,28,
21,SC Williams (ZIM),2005-2019,131,127,18,3717,129*,34.1,4546,81.76,3,31,7,
22,RS Kaluwitharana (SL),1990-2004,189,181,14,3711,102*,22.22,4776,77.7,2,23,24,
23,Imran Khan (PAK),1974-1992,175,151,40,3709,102*,33.41,5105,72.65,1,19,6,
24,PV Simmons (WI),1987-1999,143,138,11,3675,122,28.93,5407,67.96,5,18,14,
25,NV Knight (ENG),1996-2003,100,100,10,3637,125*,40.41,5085,71.52,5,25,6,
26,LD Chandimal (SL),2010-2019,146,132,21,3599,111,32.42,4855,74.12,4,22,11,
27,L Klusener (SA),1996-2004,171,137,50,3576,103*,41.1,3977,89.91,2,19,13,
28,SM Pollock (Afr/ICC/SA),1996-2008,303,205,72,3519,130,26.45,4059,86.69,1,14,20,
29,MA Taylor (AUS),1989-1997,113,110,1,3514,105,32.23,5909,59.46,1,28,4,
30,DB Vengsarkar (INDIA),1976-1991,129,120,19,3508,105,34.73,5179,67.73,1,23,7,
31,KJ O'Brien (IRE),2006-2019,142,130,17,3490,142,30.88,3922,88.98,2,18,5,
32,Mohammad Ashraful (Asia/BDESH),2001-2013,177,169,13,3468,109,22.23,4947,70.1,3,20,14,
33,SO Tikolo (Afr/KENYA),1996-2014,135,130,12,3428,111,29.05,4524,75.77,3,24,13,
34,HH Dippenaar (Afr/SA),1999-2007,107,95,14,3421,125*,42.23,5047,67.78,4,26,4,
35,A Flintoff (ENG/ICC),1999-2009,141,122,16,3394,123,32.01,3821,88.82,3,18,9,
36,T Taibu (Afr/ZIM),2001-2012,150,137,21,3393,107*,29.25,5020,67.58,2,22,16,
37,JJ Roy (ENG),2015-2019,84,81,2,3381,180,42.79,3148,107.4,9,18,7,
38,KC Wessels (AUS/SA),1983-1994,109,105,7,3367,107,34.35,6088,55.3,1,26,0,
39,Babar Azam (PAK),2015-2019,74,72,10,3359,125*,54.17,3857,87.08,11,15,2,
40,AC Parore (NZ),1992-2002,179,161,32,3314,108,25.68,4867,68.09,1,14,19,
41,Moin Khan (PAK),1990-2004,219,183,41,3266,72*,23.0,4017,81.3,0,12,17,
42,Kamran Akmal (PAK),2002-2017,157,138,14,3236,124,26.09,3855,83.94,5,10,10,
43,AN Cook (ENG),2006-2014,92,92,4,3204,137,36.4,4154,77.13,5,19,7,
44,HDRL Thirimanne (SL),2010-2019,127,106,14,3194,139*,34.71,4419,72.27,4,21,7,
45,Umar Akmal (PAK),2009-2019,121,110,17,3194,102*,34.34,3712,86.04,2,20,8,
46,DI Gower (ENG),1978-1991,114,111,8,3170,158,30.77,4218,75.15,7,12,6,
47,KR Rutherford (NZ),1985-1995,121,115,9,3143,108,29.65,4888,64.3,2,18,6,
48,BJ Haddin (AUS),2001-2015,126,115,16,3122,110,31.53,3706,84.24,2,16,2,
49,RJ Shastri (INDIA),1981-1992,150,128,21,3108,109,29.04,5089,61.07,4,18,5,
0,SM Gavaskar (INDIA),1974-1987,108,102,14,3092,103*,35.13,4966,62.26,1,27,8,
1,DS Lehmann (AUS),1996-2005,117,101,22,3078,119,38.96,3784,81.34,4,17,4,
2,DA Miller (SA),2010-2019,126,110,31,3058,139,38.7,3054,100.13,5,12,8,
3,GJ Bailey (AUS),2012-2016,90,85,10,3044,156,40.58,3645,83.51,3,22,3,
4,SD Hope (WI),2016-2019,72,67,10,3007,170,52.75,4046,74.32,8,15,4,
5,V Sibanda (Afr/ZIM),2003-2016,127,126,4,2994,116,24.54,4716,63.48,2,21,14,
6,DJ Bravo (WI),2004-2014,164,141,24,2968,112*,25.36,3606,82.3,2,10,11,
7,AM Rahane (INDIA),2011-2018,90,87,3,2962,111,35.26,3767,78.63,3,24,6,
8,HH Streak (Afr/ZIM),1993-2005,189,159,55,2943,79*,28.29,4008,73.42,0,13,6,
9,WW Hinds (WI),1999-2010,119,111,10,2880,127*,28.51,4393,65.55,5,14,8,
10,GJ Maxwell (AUS),2012-2019,110,100,11,2877,102,32.32,2332,123.37,1,19,9,
11,JM Bairstow (ENG),2011-2019,74,68,8,2861,141*,47.68,2749,104.07,9,11,5,
12,DM Bravo (WI),2009-2019,110,105,13,2839,124,30.85,4045,70.18,3,18,8,
13,IJL Trott (ENG),2009-2013,68,65,10,2819,137,51.25,3658,77.06,4,22,5,
14,AL Logie (WI),1981-1993,158,133,36,2809,109*,28.95,3801,73.9,1,14,13,
15,AH Jones (NZ),1987-1995,87,87,9,2784,93,35.69,4811,57.86,0,25,4,
16,Mohammad Nabi (AFG),2009-2019,124,112,12,2782,116,27.82,3252,85.54,1,15,6,
17,SE Marsh (AUS),2008-2019,73,72,4,2773,151,40.77,3406,81.41,7,15,3,
18,M Kaif (INDIA),2002-2006,125,110,24,2753,111*,32.01,3822,72.03,2,17,8,
19,SV Carlisle (ZIM),1995-2005,111,107,8,2740,121*,27.67,4325,63.35,3,9,11,
20,MDKJ Perera (SL),2013-2019,98,93,5,2739,135,31.12,2945,93.0,5,14,8,
21,Mohammad Shahzad (AFG),2009-2019,84,84,3,2727,131*,33.66,3082,88.48,6,14,4,
22,Salman Butt (PAK),2004-2010,78,78,4,2725,136,36.82,3572,76.28,8,14,15,
23,RG Twose (NZ),1995-2001,87,81,11,2717,103,38.81,3603,75.4,1,20,5,
24,GJ Whittall (ZIM),1993-2003,147,142,22,2705,83,22.54,4011,67.43,0,11,12,
25,RS Bopara (ENG),2007-2015,120,109,21,2695,101*,30.62,3462,77.84,1,14,4,
26,BA Stokes (ENG),2011-2019,95,81,15,2682,102*,40.63,2855,93.94,3,20,5,
27,Sikandar Raza (ZIM),2013-2019,97,93,15,2656,141,34.05,3249,81.74,3,14,1,
28,Mudassar Nazar (PAK),1977-1989,122,115,10,2653,95,25.26,5130,51.71,0,16,6,
29,EC Joyce (ENG/IRE),2006-2018,78,77,8,2622,160*,38.0,3630,72.23,6,15,5,
30,Ahmed Shehzad (PAK),2009-2017,81,81,1,2605,124,32.56,3614,72.08,6,14,7,
31,NJ O'Brien (IRE),2006-2018,103,101,9,2581,109,28.05,3638,70.94,1,18,3,
32,Zaheer Abbas (PAK),1974-1985,62,60,6,2572,123,47.62,3033,84.8,7,13,2,
33,CR Ervine (ZIM),2010-2019,93,90,11,2571,130*,32.54,3406,75.48,3,15,7,
34,AC Hudson (SA),1991-1997,89,88,1,2559,161,29.41,3960,64.62,2,18,6,
35,TWM Latham (NZ),2012-2019,95,88,9,2550,137,32.27,3096,82.36,4,15,7,
36,VG Kambli (INDIA),1991-2000,104,97,21,2477,106,32.59,3443,71.94,2,14,4,
37,Imrul Kayes (BDESH),2008-2018,78,78,2,2434,144,32.02,3423,71.1,4,16,2,
38,JDP Oram (NZ),2001-2012,160,116,15,2434,101*,24.09,2810,86.61,1,13,8,
39,TM Odoyo (Afr/KENYA),1996-2014,136,119,16,2420,111*,23.49,3438,70.38,1,8,13,
40,AD Hales (ENG),2014-2019,70,67,3,2419,171,37.79,2527,95.72,6,14,5,
41,RA Smith (ENG),1988-1996,71,70,8,2419,167*,39.01,3473,69.65,4,15,4,
42,L Vincent (NZ),2001-2007,102,99,10,2413,172,27.11,3453,69.88,3,11,8,
43,KJ Coetzer (SCOT),2008-2019,59,57,2,2409,156,43.8,2795,86.18,4,17,5,
44,KA Pollard (WI),2007-2019,107,99,7,2398,119,26.06,2547,94.14,3,10,13,
45,CJ Chibhabha (ZIM),2005-2018,103,103,2,2389,99,23.65,3784,63.13,0,16,7,
46,GP Thorpe (ENG),1993-2002,82,77,13,2380,89,37.18,3344,71.17,0,21,3,
47,Rahmat Shah (AFG),2013-2019,73,69,2,2359,114,35.2,3366,70.08,4,16,3,
48,Asghar Afghan (AFG),2009-2019,111,105,9,2356,101,24.54,3531,66.72,1,12,7,
49,VVS Laxman (INDIA),1998-2006,86,83,7,2338,131,30.76,3282,71.23,6,10,3,
0,RR Singh (INDIA),1989-2001,136,113,23,2336,100,25.95,3144,74.3,1,9,5,
1,N Hussain (ENG),1989-2003,88,87,10,2332,115,30.28,3481,66.99,1,16,6,
2,GS Chappell (AUS),1971-1983,74,72,14,2331,138*,40.18,3079,75.7,3,14,7,
3,Sarfaraz Ahmed (PAK),2007-2019,116,90,22,2302,105,33.85,2622,87.79,2,11,1,
4,SL Campbell (WI),1994-2001,90,87,0,2283,105,26.24,3853,59.25,2,14,9,
5,DL Vettori (ICC/NZ),1997-2015,295,187,57,2253,83,17.33,2715,82.98,0,4,23,
6,S Matsikenyeri (ZIM),2002-2015,113,110,9,2224,90,22.01,3072,72.39,0,13,8,
7,GM Wood (AUS),1978-1989,83,77,11,2219,114*,33.62,3725,59.57,3,11,4,
8,NLTC Perera (SL),2009-2019,161,128,16,2210,140,19.73,1979,111.67,1,10,11,
9,MJ Greatbatch (NZ),1988-1996,84,83,5,2206,111,28.28,3099,71.18,2,13,7,
10,JC Adams (WI),1992-2001,127,105,28,2204,82,28.62,3614,60.98,0,14,7,
11,Shahriar Nafees (BDESH),2005-2011,75,75,5,2201,123*,31.44,3167,69.49,4,13,11,
12,D Ramdin (WI),2005-2016,139,110,22,2200,169,25.0,2738,80.35,2,8,4,
13,RA Jadeja (INDIA),2009-2019,159,106,36,2188,87,31.25,2543,86.04,0,11,6,
14,CS MacLeod (SCOT),2008-2019,66,64,6,2175,175,37.5,2623,82.92,8,8,8,
15,Habibul Bashar (BDESH),1995-2007,111,105,5,2168,78,21.68,3586,60.45,0,14,18,
16,IT Botham (ENG),1976-1992,116,106,15,2113,79,23.21,2671,79.1,0,9,6,
17,MW Gatting (ENG),1977-1993,92,88,17,2095,115*,29.5,2968,70.58,1,9,4,
18,NH Fairbrother (ENG),1987-1999,75,71,18,2092,113,39.47,2903,72.06,1,16,2,
19,RL Powell (WI),1999-2005,109,100,16,2085,124,24.82,2157,96.66,1,8,8,
20,CL White (AUS),2005-2018,91,77,16,2072,105,33.96,2586,80.12,2,11,4,
21,GC Wilson (IRE),2007-2019,105,99,12,2072,113,23.81,2880,71.94,1,12,6,
22,CO Obuya (KENYA),2001-2014,104,89,9,2044,98*,25.55,2981,68.56,0,11,6,
23,Yasir Hameed (PAK),2003-2007,56,56,1,2028,127*,36.87,3029,66.95,3,12,2,
24,WPUJC Vaas (Asia/SL),1994-2008,322,220,72,2025,50*,13.68,2796,72.42,0,1,25,
25,KO Otieno (KENYA),1996-2009,90,87,1,2016,144,23.44,3561,56.61,2,12,12,
26,SV Manjrekar (INDIA),1988-1996,74,70,10,1994,105,33.23,3101,64.3,1,15,3,
27,MP Vaughan (ENG),2001-2007,86,83,10,1982,90*,27.15,2898,68.39,0,16,9,
28,CH Lloyd (WI),1973-1985,87,69,19,1977,102,39.54,2434,81.22,1,11,1,
29,GD Elliott (NZ),2008-2016,83,69,11,1976,115,34.06,2416,81.78,2,11,6,
30,BKG Mendis (SL),2016-2019,73,71,3,1973,102,29.01,2367,83.35,1,16,10,
31,KJ Hughes (AUS),1977-1985,97,88,6,1968,98,24.0,2919,67.42,0,17,12,
32,A Bagai (CAN),2003-2013,62,60,8,1964,137*,37.76,2995,65.57,2,16,2,
33,Fakhar Zaman (PAK),2017-2019,46,46,4,1958,210*,46.61,2056,95.23,4,13,5,
34,LMP Simmons (WI),2006-2015,68,65,3,1958,122,31.58,2680,73.05,2,16,9,
35,Aftab Ahmed (BDESH),2004-2010,85,85,6,1954,92,24.73,2353,83.04,0,14,8,
36,PJL Dujon (WI),1981-1991,169,120,36,1945,82*,23.15,2881,67.51,0,6,8,
37,M Amarnath (INDIA),1975-1989,85,75,12,1924,102*,30.53,3334,57.7,2,13,2,
38,KLT Arthurton (WI),1988-1999,105,93,20,1904,84,26.08,2822,67.46,0,9,12,
39,Imran Nazir (PAK),1999-2009,79,79,2,1895,160,24.61,2339,81.01,2,9,10,
40,RD Berrington (SCOT),2008-2019,78,73,6,1882,101*,28.08,2535,74.24,1,13,3,
41,Mohsin Khan (PAK),1977-1986,75,75,5,1877,117*,26.81,3373,55.64,2,8,3,
42,JV Coney (NZ),1979-1987,88,80,19,1874,66*,30.72,2885,64.95,0,8,1,
43,DJG Sammy (WI),2004-2015,126,105,30,1871,89,24.94,1870,100.05,0,9,4,
44,RD Jacobs (WI),1996-2004,147,112,32,1865,80*,23.31,2662,70.06,0,9,11,
45,M Prabhakar (INDIA),1984-1996,130,98,21,1858,106,24.12,3083,60.26,2,11,8,
46,Azhar Ali (PAK),2011-2018,53,53,3,1845,102,36.9,2478,74.45,3,12,3,
47,OA Shah (ENG),2001-2009,71,66,6,1834,107*,30.56,2331,78.67,1,12,6,
48,MW Goodwin (ZIM),1998-2000,71,70,3,1818,112*,27.13,2654,68.5,2,8,1,
49,Khaled Mashud (BDESH),1995-2006,126,110,27,1818,71*,21.9,3315,54.84,0,7,8,
0,BA Edgar (NZ),1978-1986,64,64,5,1814,102*,30.74,3685,49.22,1,10,3,
1,A Balbirnie (IRE),2010-2019,64,61,4,1813,145*,31.8,2413,75.13,5,8,4,
2,Samiullah Shinwari (AFG),2009-2019,84,74,12,1811,96,29.2,2765,65.49,0,11,1,
3,JO Holder (WI),2013-2019,112,89,19,1798,99*,25.68,1907,94.28,0,9,9,
4,DJ Hussey (AUS),2008-2013,69,61,6,1796,111,32.65,1980,90.7,1,14,4,
5,MA Atherton (ENG),1990-1998,54,54,3,1791,127,35.11,3054,58.64,2,12,4,
6,Mashrafe Mortaza (Asia/BDESH),2001-2019,217,156,27,1786,51*,13.84,2037,87.67,0,1,15,
7,MS Wade (AUS),2012-2017,94,80,11,1777,100*,25.75,2164,82.11,1,10,5,
8,MM Ali (ENG),2014-2019,101,82,13,1766,128,25.59,1697,104.06,3,5,5,
9,IA Healy (AUS),1988-1997,168,120,36,1764,56,21.0,2104,83.84,0,4,9,
10,KD Karthik (INDIA),2004-2019,94,79,21,1752,79,30.2,2392,73.24,0,9,6,
11,Sir RJ Hadlee (NZ),1973-1990,115,98,17,1751,79,21.61,2319,75.5,0,4,4,
12,Soumya Sarkar (BDESH),2014-2019,55,54,3,1728,127*,33.88,1753,98.57,2,11,5,
13,Imam-ul-Haq (PAK),2017-2019,37,37,5,1723,151,53.84,2141,80.47,7,6,2,
14,Imran Farhat (PAK),2001-2013,58,58,2,1719,107,30.69,2489,69.06,1,13,3,
15,CB Wishart (ZIM),1996-2005,90,82,8,1719,172*,23.22,2436,70.56,2,5,8,
16,Rashid Latif (PAK),1992-2003,166,117,29,1709,79,19.42,2237,76.39,0,3,8,
17,DA Gunawardene (SL),1998-2006,61,61,1,1708,132,28.46,2389,71.49,1,12,5,
18,AT Rayudu (INDIA),2013-2019,55,50,14,1694,124*,47.05,2143,79.04,3,10,3,
19,ND McKenzie (SA),2000-2009,64,55,10,1688,131*,37.51,2432,69.4,2,10,2,
20,NC Johnson (ZIM),1998-2000,48,48,2,1679,132*,36.5,2389,70.28,4,11,2,
21,BA Young (NZ),1990-1999,74,73,5,1668,74,24.52,2733,61.03,0,9,5,
22,UDU Chandana (SL),1994-2007,147,111,17,1627,89,17.3,2229,72.99,0,5,8,
23,CK Kapugedera (SL),2006-2017,102,84,7,1624,95,21.09,2254,72.04,0,8,7,
24,Haris Sohail (PAK),2013-2019,41,40,5,1614,130,46.11,1895,85.17,2,13,1,
25,GM Turner (NZ),1973-1983,41,40,6,1598,171*,47.0,2348,68.05,3,9,1,
26,LPC Silva (SL),1999-2011,75,62,7,1587,107*,28.85,2254,70.4,1,13,6,
27,Najibullah Zadran (AFG),2012-2019,67,62,9,1586,104*,29.92,1765,89.85,1,11,3,
