College_Name,State,Stream,UG_fee,PG_fee,Rating,Academic,Accommodation,Faculty,Infrastructure,Placement,Social_Life
B.S. Abdur Rahman Crescent Institute of Science ,Tamil nadu,Engineering,"85,000","40,000",8.2,8.4,7.8,8.3,8.7,7.7,8.2
Sri Ramakrishna Engineering College ,Tamil nadu,Engineering,"55,000","60,000",8.1,8.4,7.7,8,8.3,8.3,8
Rajalakshmi Engineering College ,Tamil nadu,Engineering,"50,000","50,000",7.8,8.1,6.3,8.1,8,8.3,7.7
Sri Venkateswara College of Engineering ,Tamil nadu,Engineering,"65,000","60,000",8.2,8.4,7.4,8.4,8.6,8.1,8
IIT Bombay ,Maharashtra,Engineering,"2,28,000","32,000",8.9,9.3,7.9,8.7,8.9,9.1,9.2
Institute of Chemical Technology ,Maharashtra,Engineering,"85,350","70,750",8.7,9.1,8.1,8.9,8.7,8.4,9.1
Visvesvaraya National Institute of Technology ,Maharashtra,Engineering,"1,49,200","93,600",8.1,8.3,7.5,8,8.4,7.7,8.7
College of Engineering ,Maharashtra,Engineering,"40,500","64,500",8.6,8.7,8.2,8.1,8.5,8.7,9.1
Defence Institute of Advanced Technology ,Maharashtra,Engineering,"1,53,600","45,000",8.8,9,8.6,8.8,9,8.6,8.6
National Institute of Industrial Engineering ,Maharashtra,Engineering,"5,98,000","1,04,000",9,9,9,9,9,9.3,8.6
Army Institute of Technology ,Maharashtra,Engineering,"1,80,197","1,20,560",8.3,8,8.5,7.6,7.9,8.7,9
Bharati Vidyapeeth Deemed University ,Maharashtra,Engineering,"1,20,000","50,000",7.8,8.1,6.8,7.9,8.1,7.7,8.2
Veermata Jijabai Technological Institute ,Maharashtra,Engineering,"84,051","83,734",7.9,8.2,7.2,7.8,7.1,8.7,8.4
GH Raisoni College of Engineering ,Maharashtra,Engineering,"5,60,000","1,32,000",8.4,8.5,8,8.4,8.5,8,8.8
Mukesh Patel School of Technology Management and ,Maharashtra,Engineering,"4,52,000","5,01,500",8.2,8.1,8,7.8,8.7,8.1,8.3
Sardar Patel Institute of Technology ,Maharashtra,Engineering,"1,70,000","1,68,000",8.1,8.4,6.9,7.9,8.3,9.1,8.1
Shri Ramdeobaba College of Engineering and Management ,Maharashtra,Engineering,"1,45,000","1,25,000",8.1,8.3,7.6,8,7.9,8.3,8.2
Rashtrasant Tukadoji Maharaj Nagpur University ,Maharashtra,Engineering,"33,600","60,000",7.5,8,7.2,7.7,7.9,6.9,7.4
Yeshwantrao Chavan College of Engineering ,Maharashtra,Engineering,"1,51,801","1,53,328",7.6,7.7,7,7.6,8.2,7.2,7.6
Walchand College of Engineering ,Maharashtra,Engineering,"84,935","96,550",8.3,8.4,7.3,8.3,8.4,8.8,8.4
MIT World Peace University ,Maharashtra,Engineering,"3,10,000","1,90,000",8,8.1,7,8,8.5,7.7,8.4
Vishwakarma Institute of Information Technology ,Maharashtra,Engineering,"1,64,000","78,000",7.8,8.2,6.8,8.1,7.4,8,8.1
Ramrao Adik Institute of Technology ,Maharashtra,Engineering,"3,25,000","1,50,000",8.6,8.2,8,8.1,9,8.7,9.3
Sardar Patel College of Engineering ,Maharashtra,Engineering,"1,70,000","1,68,000",8,8.3,7.2,7.9,8,8.1,8.2
K. J. Somaiya College of Engineering ,Maharashtra,Engineering,"2,86,000","1,96,800",8.2,8.2,8,7.7,8.7,8,8.5
Pimpri Chinchwad College of Engineering ,Maharashtra,Engineering,"1,38,559","1,07,687",8.1,8.7,7.6,8.1,7.9,8.6,7.5
"MKSSS's Cummins College of Engineering for Women, ",Maharashtra,Engineering,"1,80,836","1,55,200",8.3,8.3,8,8.1,7.8,9,8.6
Dwarkadas J Sanghvi College of Engineering ,Maharashtra,Engineering,"1,94,000","1,39,000",8.2,8.2,7.7,8.2,8.4,8.3,8.2
Thakur College of Engineering and Technology ,Maharashtra,Engineering,"1,47,500","1,36,931",8.2,8.1,8,7.9,9.1,7.9,8.4
SVKM's Narsee Monjee Institute of Management Studies ,Maharashtra,Engineering,"3,02,000",--,8.2,8.5,6.8,8.6,8.3,8.3,8.7
"Amity University, Mumbai ",Maharashtra,Engineering,"2,22,000","1,50,000",8.1,7.9,7.6,8.2,8.4,7.8,8.6
"Vishwakarma Institute of Technology, Pune ",Maharashtra,Engineering,"1,79,895","88,765",7.5,8.1,6.5,7.9,6.5,7.8,8.4
Indian Institute of Information Technology ,Maharashtra,Engineering,"2,34,500","1,00,500",7.8,8.2,7.5,8,7.2,8.4,7.5
Tata Institute of Social Sciences ,Maharashtra,Engineering,--,--,8.6,9,8.1,8.9,8.6,8.4,8.6
Indian Institute of Technology ,Uttar pradesh,Engineering,"2,15,600","2,14,050",8.9,9.1,8.4,8.7,9.3,8.9,9.1
Indian Institute of Technology ,Uttar pradesh,Engineering,"84,981","36,815",8.5,8.5,8.2,8.1,7.6,9.1,9.2
"Amity University, Noida ",Uttar pradesh,Engineering,"3,11,000","1,40,000",8.2,8,7.9,8.1,8.9,7.6,8.7
Aligarh Muslim University ,Uttar pradesh,Engineering,"2,69,445","4,30,970",8.3,8.8,7.9,8.5,8.8,7.2,8.6
MNNIT Allahabad ,Uttar pradesh,Engineering,"84,666","1,18,000",8,8.4,7.3,7.8,7.1,8.9,8.2
Jaypee Institute of Information Technology University ,Uttar pradesh,Engineering,"2,36,500","1,20,000",7.8,7.8,7.7,7.3,8.2,7.8,7.7
Indian Institute of Information Technology ,Uttar pradesh,Engineering,"1,04,000","2,80,400",8.3,8.4,7.4,7.6,9,9.2,8.1
"Dayalbagh Educational Institute Faculty of Engineering, Agra ",Uttar pradesh,Engineering,"51,300","26,500",8,8.3,7.1,8.5,8.1,8.2,8
Sharda University ,Uttar pradesh,Engineering,"1,63,770","97,850",7.9,7.7,7.6,7.9,8.6,6.9,8.6
Galgotias University ,Uttar pradesh,Engineering,"1,59,000","45,000",7.6,7.9,6.9,7.9,7.5,7.7,7.8
"Bennett University, Greater Noida ",Uttar pradesh,Engineering,"3,50,000","60,000",8.6,8.5,7.9,8.8,9.2,8.3,8.6
Shiv Nadar University ,Uttar pradesh,Engineering,"2,00,000","1,60,000",9,8.8,8.7,8.8,9.6,8.5,9.4
"Integral University, Lucknow ",Uttar pradesh,Engineering,"1,40,000","80,000",7.4,7.6,7.3,7.4,8,6.5,7.4
J.S. University ,Uttar pradesh,Engineering,"47,500","13,500",8.5,8.5,7.8,8.7,9,8.2,8.6
"GLA University, Mathura ",Uttar pradesh,Engineering,"1,78,000","75,000",8.2,8.2,7.9,8.3,8.3,8.2,8.1
Institute of Engineering and Technology ,Uttar pradesh,Engineering,"89,775","73,200",7.4,7.6,7.7,7,7.3,7,7.8
Sanskriti University ,Uttar pradesh,Engineering,"1,15,000","45,000",7,7.2,6.7,7,7.5,6.9,6.8
"Monad University, Hapur ",Uttar pradesh,Engineering,"1,51,000","35,500",8,7.6,7.4,8.5,8,8.2,8.1
Indian Institute of Information Technology ,Uttar pradesh,Engineering,"2,18,700","2,18,700",7.8,7.6,7.2,7.4,6.8,9.4,8.1
"IFTM University, Moradabad ",Uttar pradesh,Engineering,"1,07,000","75,000",7.8,7.9,7.5,8.1,8,6.8,8.3
"Shobhit University, Meerut ",Uttar pradesh,Engineering,"1,11,200","1,22,400",7.8,8.4,7.3,7.8,8.3,7,7.9
"Glocal University, Saharanpur ",Uttar pradesh,Engineering,"1,44,000","94,000",7.1,7.5,6.9,7,6.7,7.2,7.3
"Rama University, Kanpur ",Uttar pradesh,Engineering,"90,000","75,000",6.7,6.6,6.1,7.3,6.5,6.6,7.1
Noida Institute of Engineering and Technology ,Uttar pradesh,Engineering,"6,14,000","2,13,000",7.6,8.1,7.1,8,7.6,7.8,7.1
"ABES Engineering College, Ghaziabad ",Uttar pradesh,Engineering,"1,43,700","1,30,000",7.9,8.1,7.2,8.1,8.2,7.8,8
Bundelkhand Institute of Engineering & Technology ,Uttar pradesh,Engineering,"61,800","59,300",7.1,7.3,7,6.9,7.4,6.2,8
Harcourt Butler Technological University ,Uttar pradesh,Engineering,"1,35,000","83,300",7.3,7.5,6.9,7.4,6.5,7.8,7.8
Rajiv Gandhi Institute of Petroleum Technology ,Uttar pradesh,Engineering,"2,21,100","42,100",8.6,8.7,8.6,8.2,9.2,8.2,8.6
Indian Institute of Technology ,Delhi ncr,Engineering,"2,20,300","1,32,900",8.7,9,7.8,8.7,8.9,9,9
"Jamia Millia Islamia University-[JMI], New Delhi ",Delhi ncr,Engineering,"16,150","8,970",8,8.4,7.6,8.3,8.4,7.2,8.2
Delhi Technological University ,Delhi ncr,Engineering,"1,90,000","1,66,000",8.2,7.9,7.6,7.5,8.6,8.6,8.8
"Amity University, Noida ",Delhi ncr,Engineering,"3,11,000","1,40,000",8.2,8,7.9,8.1,8.9,7.6,8.7
Indraprastha Institute of Information Technology ,Delhi ncr,Engineering,"3,60,000","1,00,000",8.7,8.8,8.7,8.9,8.9,8.6,8.2
Guru Gobind Singh Indraprastha University ,Delhi ncr,Engineering,"1,17,200","23,000",7.8,8.1,7.5,8,8.1,6.9,8.1
Jaypee Institute of Information Technology University ,Delhi ncr,Engineering,"2,36,500","1,20,000",7.8,7.8,7.7,7.3,8.2,7.8,7.7
National Institute of Food Technology Entrepreneurship and ,Delhi ncr,Engineering,"1,71,550","1,52,950",8.1,8.5,7.1,6.9,9.4,8.5,7.9
"School of Engineering and Technology, NCU ",Delhi ncr,Engineering,"2,60,000","82,000",9,9,--,--,9,--,--
"J.C. Bose University Of Science And Technology, ",Delhi ncr,Engineering,"83,625","83,625",7.3,7.7,6.5,7.4,6.6,7.7,7.6
Indira Gandhi Delhi Technical University For Women ,Delhi ncr,Engineering,"88,000","33,000",7.6,7.7,7,7.6,6.9,8.3,7.9
Manav Rachna International Institute Of Research And ,Delhi ncr,Engineering,"1,81,500","1,16,000",7.2,7.1,6.7,6.5,8.4,6.5,7.8
Sharda University ,Delhi ncr,Engineering,"1,63,770","97,850",7.9,7.7,7.6,7.9,8.6,6.9,8.6
Galgotias University ,Delhi ncr,Engineering,"1,59,000","45,000",7.6,7.9,6.9,7.9,7.5,7.7,7.8
Netaji Subhas University of Technology ,Delhi ncr,Engineering,"1,90,000","1,20,000",7.8,7.9,7.1,7.6,7.6,8.9,7.9
Shiv Nadar University ,Delhi ncr,Engineering,"2,00,000","1,60,000",9,8.8,8.7,8.8,9.6,8.5,9.4
Manav Rachna International Institute of Research and ,Delhi ncr,Engineering,"1,81,500","1,65,000",7.5,7.4,7.3,7.5,8.3,6.6,7.6
National Institute of Technology ,Delhi ncr,Engineering,"96,866","1,98,500",6.8,7.3,6,7.1,6,7.6,6.8
"Gurugram University, Gurgaon ",Delhi ncr,Engineering,"40,000",--,8.2,8.6,7.4,8.4,8.6,8,8.1
Chhotu Ram Rural Institute Of Technology ,Delhi ncr,Engineering,"33,450","33,450",8.4,8.7,8.1,8.4,8.7,8.1,8.2
SunRise University ,Delhi ncr,Engineering,"72,200","32,200",8.1,8.1,7.3,8.7,8.1,7.9,8.4
"Monad University, Hapur ",Delhi ncr,Engineering,"1,51,000","35,500",8,7.6,7.4,8.5,8,8.2,8.1
"Amity University, Gurgaon ",Delhi ncr,Engineering,"2,30,000","1,56,000",7.7,7.8,7.1,7.6,8.6,7.1,8.1
"Shobhit University, Meerut ",Delhi ncr,Engineering,"1,11,200","1,22,400",7.8,8.4,7.3,7.8,8.3,7,7.9
Indraprastha Institute of Technology and Management ,Delhi ncr,Engineering,"1,25,000",--,8.3,8.3,8,8.7,7.8,8.7,8.5
Maharaja Agrasen Institute of Technology ,Delhi ncr,Engineering,"1,43,200",--,7.5,7.8,7.2,7.7,7.5,7.5,7.4
Maharaja Surajmal Institute of Technology ,Delhi ncr,Engineering,"1,35,300",--,7.3,7.9,6.7,7.5,6.8,7.7,7.1
Noida Institute of Engineering and Technology ,Delhi ncr,Engineering,"6,14,000","2,13,000",7.6,8.1,7.1,8,7.6,7.8,7.1
K L University ,Andhra pradesh,Engineering,"2,50,000","1,45,000",8.3,8.5,7.6,8.3,8.8,8.3,8.2
"Andhra University, College of Engineering ",Andhra pradesh,Engineering,"10,000","1,09,000",7.7,8.2,6.9,7.8,8,7.2,7.9
"Sri Venkateswara University College of Engineering, Tirupati ",Andhra pradesh,Engineering,"16,395","31,647",7.8,7.6,8.4,7.4,8.1,6.9,8.1
"Vignan’s Foundation for Science, Technology, and Research, ",Andhra pradesh,Engineering,"2,50,000","1,10,000",8.2,8.2,8.4,8.5,8.2,7.7,8.4
"JNTUK University College of Engineering, Kakinada, East ",Andhra pradesh,Engineering,"10,000","30,000",7.7,8,7.1,7.8,8.2,7,8.3
Sree Vidyanikethan Engineering College ,Andhra pradesh,Engineering,"2,80,000","76,850",8.5,8.4,8.5,8.3,8.8,8.4,8.6
G. Pulla Reddy Engineering College ,Andhra pradesh,Engineering,"80,000","80,000",8.3,8.5,7.7,8.5,8.5,8.2,8.4
Sri Venkateswara College of Engineering and Technology ,Andhra pradesh,Engineering,"89,350","75,000",7.9,8.3,7.9,8,8.2,7.3,7.5
Velagapudi Ramakrishna Siddhartha Engineering College ,Andhra pradesh,Engineering,"71,050","70,000",8.2,8.6,7.6,8.4,8.4,8.2,8.1
Shri Vishnu Engineering College for Women ,Andhra pradesh,Engineering,"95,000","55,000",8.8,8.7,8.6,8.5,9.3,8.8,9
"JNTUA College of Engineering, Ananthapur ",Andhra pradesh,Engineering,"25,000","38,750",7,7.1,7.3,6.7,7.5,6.3,7.3
Sagi Ramakrishnam Raju Engineering College ,Andhra pradesh,Engineering,"30,000","57,000",8.2,8.5,7.5,8.4,8.3,8.2,8.3
Gayatri Vidya Parishad College of Engineering ,Andhra pradesh,Engineering,"2,76,000","1,00,000",7.7,8.3,6.8,8,7.3,8.1,7.4
Jawaharlal Nehru Technological University ,Andhra pradesh,Engineering,"1,00,000",--,7.4,7.7,6.8,7.1,7.7,7.1,7.8
Indian Institute of Technology ,Andhra pradesh,Engineering,"16,950","78,218",8.6,9,8.1,8.8,8.7,8.2,8.9
Prasad V. Potluri Siddhartha Institute of Technology ,Andhra pradesh,Engineering,"2,80,000","1,40,000",7.9,8.1,7.3,8.1,8.1,7.9,7.8
Centurion University of Technology and Management ,Andhra pradesh,Engineering,"1,25,000","60,000",7.8,8,7.2,8.3,7.6,7.4,8.3
Aditya Engineering College ,Andhra pradesh,Engineering,"72,000","29,500",7.8,7.9,7.4,7.8,8.5,7.4,7.9
Bapatla Engineering College ,Andhra pradesh,Engineering,"75,000","90,000",7.5,7.8,7.3,7.7,8.2,6.5,7.7
Gudlavalleru Engineering College ,Andhra pradesh,Engineering,"81,600","74,850",8.2,8.5,7.7,8.4,8.7,7.5,8.1
Sri Venkateswara College of Engineering ,Andhra pradesh,Engineering,"80,000","75,000",8.3,8.3,8,8.1,9,7.8,8.5
Sri Vasavi Engineering College ,Andhra pradesh,Engineering,"1,89,000","60,850",7.9,8.1,7.4,8,8.3,7.6,7.8
Indian Institute of Information Technology Sri City ,Andhra pradesh,Engineering,"1,03,000","2,71,000",7,7.9,6.4,7.1,6.9,7.3,6.4
National Institute of Technology ,Andhra pradesh,Engineering,"1,87,500","1,00,000",7.2,7.9,6.6,7.5,6.9,6.9,7.2
"Rajiv Gandhi University of Knowledge Technologies -[RGUKT], ",Andhra pradesh,Engineering,"39,000","96,000",8.2,8.4,7.6,8.1,8.9,7.7,8.5
Raghu Engineering College ,Andhra pradesh,Engineering,"85,000","57,000",8.1,8.3,7.1,8.1,8.4,8.5,8
Indian Institute of Information Technology Design and ,Andhra pradesh,Engineering,"1,44,600","67,500",7.4,7.9,7.6,8,6.7,7.2,7.2
Rajeev Gandhi Memorial College of Engineering and ,Andhra pradesh,Engineering,"69,100","62,800",7.4,7.8,7.2,7.6,8,6.2,7.4
VIT University ,Andhra pradesh,Engineering,"1,98,000","1,93,000",8.2,8.3,7.9,8.3,8.1,8.4,8.1
National Institute of Technology ,Karnataka,Engineering,"1,52,730","1,00,355",8.4,8.7,7.2,8.2,8.4,8.9,8.9
Manipal Institute of Technology ,Karnataka,Engineering,"3,35,000","2,10,000",8.7,8.5,8.5,8.1,9.4,8.1,9.3
R V College of Engineering ,Karnataka,Engineering,"3,50,000","37,700",8.5,8.7,7.9,8.2,8.6,9,8.4
Ramaiah Institute of Technology ,Karnataka,Engineering,"86,226","96,570",8.4,8.5,7.8,8.3,8.7,8.3,8.6
International Institute of Information Technology ,Karnataka,Engineering,"1,64,000","3,24,000",8.7,9.2,8.5,9.1,8.8,8.9,7.6
BMS College of Engineering ,Karnataka,Engineering,"2,29,110","26,800",8.2,8.4,8,8,8,8.3,8.7
Siddaganga Institute of Technology ,Karnataka,Engineering,"79,475","92,975",7.8,8.1,7.2,7.7,8.1,8,7.6
New Horizon College of Engineering ,Karnataka,Engineering,"2,50,000","75,000",8,8,7.6,8.1,8.3,7.8,8.2
"Faculty of Engineering and Technology, Jain University ",Karnataka,Engineering,"1,97,500","85,000",8.1,8,7.9,8,8.3,7.7,8.5
Sri Jayachamarajendra College of Engineering ,Karnataka,Engineering,"4,75,000","1,40,000",8.3,8.4,7.6,7.8,8.5,8.7,8.6
Dayananda Sagar College of Engineering ,Karnataka,Engineering,"96,106","2,92,720",8,8,7.4,7.7,8.8,7.7,8.3
NMAM Institute of Technology ,Karnataka,Engineering,"1,63,000","83,220",7.9,8,7.5,8.2,8.1,7.5,7.9
Nitte Meenakshi Institute of Technology ,Karnataka,Engineering,"58,806","65,390",7.8,8.1,7.1,7.9,7.8,7.6,8.1
PES University ,Karnataka,Engineering,"3,40,000","2,00,000",8,8.5,7.7,8.1,8.1,8.1,7.6
BMS Institute of Technology and Management ,Karnataka,Engineering,"3,50,000",--,7.9,8.2,7.7,8,7.7,7.9,7.7
"KLE Technological University, Hubli ",Karnataka,Engineering,"15,000","40,000",8.4,8.5,7.6,8.2,9.1,8.4,8.4
Dr. Ambedkar Institute of Technology ,Karnataka,Engineering,"30,200","37,500",7.2,7.7,6.8,7.5,7.5,6.7,7.2
PES College of Engineering ,Karnataka,Engineering,"76,800","74,450",7.7,7.9,6.7,7.7,8.5,7.3,8
CMR Institute of Technology ,Karnataka,Engineering,"2,50,000","1,40,000",7.9,8.2,7.3,7.9,8.3,7.7,8
The National Institute of Engineering ,Karnataka,Engineering,"44,090","55,590",8.1,8.5,7.6,8.3,7.8,8.4,7.9
"Alliance College of Engineering and Design, Bangalore ",Karnataka,Engineering,"2,25,000","1,50,000",7.2,7.3,7.1,6.5,8.7,6.5,7.2
Basaveshwar Engineering College ,Karnataka,Engineering,"65,340","60,000",7.7,8.1,7.9,8.1,8.1,6.6,7.2
"Christ University, Bangalore ",Karnataka,Engineering,"1,70,000","35,000",8.3,8.5,7.4,8.2,8.9,8.1,8.8
Manipal Academy of Higher Education ,Karnataka,Engineering,"3,35,000","2,10,000",8.4,8.5,8.2,8.6,8.8,7.8,8.4
Indian Institute of Science ,Karnataka,Engineering,"29,200","35,200",9,9.6,8.5,9.4,9.5,8.4,8.4
"REVA University, Bangalore ",Karnataka,Engineering,"2,25,000","5,00,000",8.4,8.3,8.1,8.3,9.3,7.8,8.4
"Alliance University, Bangalore ",Karnataka,Engineering,"6,25,000","1,50,000",8,8.2,7.2,8.2,8.8,7.6,8
"Presidency University, Bangalore ",Karnataka,Engineering,"2,10,000","90,000",8.3,8.2,7.6,8.6,8.8,8.2,8.3
Indian Institute of Technology ,Telangana,Engineering,"2,22,995","5,00,895",8.5,8.7,8,8.7,8.5,8.3,8.6
National Institute of Technology ,Telangana,Engineering,"1,30,000","75,000",8.4,8.6,7.9,8.2,8.5,8.6,8.4
International Institute of Information Technology ,Telangana,Engineering,"3,00,000","1,50,000",8.3,9,8.2,8.5,7.8,9.2,6.9
Jawaharlal Nehru Technological University ,Telangana,Engineering,"12,500","18,000",8,8.3,7.7,7.8,8.3,7.6,8.3
"University College of Engineering, Osmania University ",Telangana,Engineering,"27,770","39,770",8.6,9,8.5,8.5,8.6,8.4,8.4
Chaitanya Bharathi Institute of Technology ,Telangana,Engineering,"1,34,000","1,51,600",8.2,8.5,7.1,8.4,8.3,8.6,8.5
Vallurupalli Nageswara Rao Vignana Jyothi Institute of ,Telangana,Engineering,"1,31,000","1,41,700",8.4,8.4,8.1,8.2,8.5,8.4,8.5
"CVR College of Engineering, Ibrahimpatnam, Rangareddi ",Telangana,Engineering,"1,21,650","72,500",8.3,8.6,8.1,8.5,8.2,8.6,7.7
Institute of Aeronautical Engineering ,Telangana,Engineering,"90,000","70,000",8.3,8.4,8.5,8.2,8.5,8,8.2
BV Raju Institute of Technology ,Telangana,Engineering,"1,20,000","70,000",8.5,8.6,8.2,8.3,8.9,8.4,8.7
Vardhaman College of Engineering ,Telangana,Engineering,"1,25,000","57,000",8.1,8.2,8.2,8.2,8.5,8.1,7.6
"Anurag University, Hyderabad ",Telangana,Engineering,"1,35,500","66,500",8.3,8.5,7.5,8.2,8.9,8,8.4
Vasavi College of Engineering ,Telangana,Engineering,"1,30,000","1,00,000",8,8.6,6.7,8.3,8,8.8,7.5
Gokaraju Rangaraju Institute of Engineering and Technology ,Telangana,Engineering,"1,22,000","75,000",8,8.3,7.3,7.9,8.5,8.1,7.6
Kakatiya Institute of Technology & Science ,Telangana,Engineering,"1,25,960","74,550",8.2,8.3,7.9,8.4,8.3,7.9,8.4
K L University ,Telangana,Engineering,"2,65,000","1,20,000",7.9,7.9,7.4,8.1,8.2,7.6,8.1
Birla Institute of Technology and Science ,Telangana,Engineering,"4,23,475","4,69,475",9,9,8.4,8.8,9.4,9.1,9.4
Mahatma Gandhi Institute of Technology ,Telangana,Engineering,"1,08,000",--,7.8,8.1,7.2,8.1,8.1,7.3,7.8
Malla Reddy Engineering College ,Telangana,Engineering,"1,03,000","57,000",7.4,7.7,7.1,7.4,7.8,7.1,7.5
Malla Reddy College of Engineering ,Telangana,Engineering,"72,000",--,7,7.5,7.2,7,6.8,6.5,7.2
Indian Institute of Chemical Technology ,Telangana,Engineering,--,--,7.7,7,7,8.3,8,7.7,7.9
Sreenidhi Institute of Science and Technology ,Telangana,Engineering,"5,20,000","2,10,000",7.6,7.8,6.9,7.5,7.8,7.7,7.6
"Mahindra University, Hyderabad ",Telangana,Engineering,"4,70,000","70,000",8.8,9.1,8.6,9,9.1,7.8,8.9
"St Martin's Engineering College, Secunderabad ",Telangana,Engineering,"80,000",--,7.7,7.9,6.8,7.8,7.9,7.7,8.2
MLR Institute of Technology ,Telangana,Engineering,"96,000","57,000",8.3,8.3,8.4,8.1,8.8,8,8.4
Keshav Memorial Institute of Technology ,Telangana,Engineering,"1,11,500",--,8.2,8.7,6.7,8.6,8.1,9,8.3
Vaagdevi College of Engineering ,Telangana,Engineering,"86,000",--,7.8,8,7.4,8,8,7.5,8
CMR Engineering College ,Telangana,Engineering,"75,000","57,000",8.8,8.9,8.4,8.7,9.2,9,8.4
"Matrusri Engineering College, Hyderabad ",Telangana,Engineering,"90,000",--,7,7.6,5.7,7.2,7.6,7,6.7
Indian Institute of Technology ,Madhya pradesh,Engineering,"2,28,700","50,800",8,8.4,7.6,8.1,7.7,7.8,8.4
Maulana Azad National Institute of Technology ,Madhya pradesh,Engineering,"64,939","1,04,275",7.8,7.8,7.5,7.5,7.6,8.1,8.5
Indian Institute of Information Technology Design and ,Madhya pradesh,Engineering,"1,37,580","71,000",7.9,8.2,7.5,8,8.1,7.5,8.3
Atal Bihari Vajpayee Indian Institute of Information ,Madhya pradesh,Engineering,"75,070","1,42,250",7.6,7.5,7,7.1,8.2,7.7,8
"VIT Bhopal University, Bhopal ",Madhya pradesh,Engineering,"1,98,000","1,93,000",7.9,8.6,7.7,8.4,7.1,8.1,7.4
"RKDF University, Bhopal ",Madhya pradesh,Engineering,"55,000","35,000",7.6,8,7,7.8,8,6.5,8.2
Awadhesh Pratap Singh University ,Madhya pradesh,Engineering,"40,000",--,7.1,7.9,6.5,8.1,7.2,5.3,7.3
"University Institute of Technology, Rajiv Gandhi Proudyogiki ",Madhya pradesh,Engineering,"23,920","62,735",6.9,7.2,6.5,6.6,7.6,6.3,6.9
Institute of Information Technology & Management ,Madhya pradesh,Engineering,"77,000","60,000",8.5,8.7,8,8.4,8.6,8.5,8.5
"Institute of Engineering and Technology, Devi Ahilya ",Madhya pradesh,Engineering,"82,961","71,100",7.7,7.9,6.6,7.3,7.4,8.4,8.4
Acropolis Institute of Technology & Research ,Madhya pradesh,Engineering,"75,100","25,500",7.8,7.9,7,7.8,7.8,8,8.1
