cd Datawconfid,pctid,x,y,z
1,20,0.957,-0.156,-0.117
1,20,1.012,0.066,-0.125
1,20,1.008,-0.020,-0.129
1,20,0.961,-0.133,-0.152
1,20,1.004,0.141,-0.129
1,20,1.000,0.016,-0.125
1,20,0.988,0.121,-0.156
1,20,1.027,0.070,-0.113
1,20,0.973,-0.059,-0.156
1,20,0.984,0.074,-0.117
1,20,0.988,-0.066,-0.137
1,20,0.980,-0.031,-0.148
1,20,0.965,0.121,-0.098
1,20,0.992,-0.063,-0.129
1,20,0.992,-0.004,-0.141
1,20,0.973,-0.090,-0.121
1,20,1.035,0.117,-0.121
1,20,1.008,0.004,-0.133
1,20,1.035,-0.074,-0.129
1,20,0.961,-0.137,-0.148
1,20,1.000,0.043,-0.141
1,20,0.965,-0.031,-0.129
1,20,0.969,-0.129,-0.152
1,20,0.992,0.078,-0.133
1,20,1.039,0.082,-0.125
1,20,1.012,0.043,-0.133
1,20,1.000,0.016,-0.117
1,20,0.953,-0.113,-0.141
1,20,0.965,-0.078,-0.125
1,20,1.004,-0.008,-0.125
1,20,0.977,0.039,-0.117
1,20,0.965,-0.086,-0.117
1,20,1.020,0.059,-0.117
1,20,0.992,-0.020,-0.148
1,20,0.965,-0.082,-0.129
1,20,1.031,0.066,-0.117
1,20,0.984,-0.070,-0.160
1,20,0.980,-0.031,-0.125
1,20,1.027,0.078,-0.125
1,20,0.980,-0.047,-0.145
1,20,0.980,-0.090,-0.125
1,20,1.020,0.051,-0.125
1,20,0.980,-0.016,-0.148
1,20,0.965,-0.102,-0.113
1,20,1.008,0.098,-0.121
1,20,0.980,0.051,-0.145
1,20,1.039,0.102,-0.125
1,20,1.004,0.094,-0.133
1,20,0.992,-0.039,-0.129
1,20,0.969,-0.109,-0.148
1,20,1.000,0.109,-0.125
1,20,1.008,-0.027,-0.125
1,20,0.973,-0.105,-0.141
1,20,0.992,0.098,-0.129
1,20,1.023,-0.004,-0.125
1,20,0.957,-0.141,-0.156
1,20,0.992,0.039,-0.125
1,20,1.012,0.020,-0.129
1,20,1.031,0.133,-0.145
1,20,1.008,0.094,-0.125
1,20,0.992,0.004,-0.145
1,20,1.027,-0.078,-0.133
1,20,0.984,-0.094,-0.145
1,20,0.988,-0.027,-0.145
1,20,1.020,-0.035,-0.109
1,20,1.031,0.094,-0.125
1,20,0.992,-0.004,-0.141
1,20,0.980,-0.094,-0.117
1,20,1.031,0.047,-0.133
1,20,0.988,0.027,-0.141
1,20,1.047,0.102,-0.133
1,20,0.996,0.121,-0.129
1,20,1.004,-0.004,-0.137
1,20,0.973,0.082,-0.125
1,20,0.973,-0.063,-0.121
1,20,1.012,0.004,-0.133
1,20,0.977,-0.082,-0.137
1,20,0.973,-0.070,-0.121
1,20,1.008,0.031,-0.125
1,20,0.988,-0.090,-0.148
1,20,0.969,-0.055,-0.125
1,20,1.016,0.043,-0.125
1,20,0.988,-0.098,-0.156
1,20,0.957,-0.043,-0.125
1,20,1.031,0.059,-0.125
1,20,0.980,-0.066,-0.156
1,20,0.977,-0.094,-0.113
1,20,1.023,0.012,-0.137
1,20,0.984,-0.035,-0.145
1,20,0.938,-0.102,-0.105
1,20,1.023,0.098,-0.113
1,20,0.984,0.039,-0.141
1,20,1.027,0.102,-0.117
1,20,1.004,0.086,-0.137
1,20,0.988,-0.047,-0.121
1,20,0.980,-0.082,-0.121
1,20,1.004,0.090,-0.133
1,20,1.000,-0.039,-0.129
1,20,0.969,-0.125,-0.145
1,20,0.996,0.086,-0.141
1,20,1.004,-0.008,-0.129
1,20,0.957,-0.145,-0.156
1,20,1.008,0.059,-0.125
1,20,1.012,0.008,-0.121
1,20,1.023,0.125,-0.156
1,20,1.008,0.082,-0.121
1,20,0.973,0.008,-0.117
1,20,0.977,-0.082,-0.121
1,20,0.984,-0.090,-0.137
1,20,0.988,-0.027,-0.145
1,20,0.980,-0.035,-0.121
1,20,1.035,0.098,-0.125
1,20,0.992,-0.008,-0.141
1,20,0.984,-0.094,-0.121
1,20,1.027,0.066,-0.125
1,20,0.992,0.023,-0.145
1,20,1.051,-0.078,-0.133
1,20,0.977,-0.113,-0.145
1,20,0.988,0.043,-0.137
1,20,1.031,0.082,-0.125
1,20,1.000,0.137,-0.113
1,20,0.977,0.027,-0.137
1,20,0.969,-0.105,-0.145
1,20,0.969,-0.070,-0.121
1,20,1.012,0.023,-0.129
1,20,0.961,-0.004,-0.129
1,20,0.969,-0.066,-0.125
1,20,1.027,0.039,-0.125
1,20,0.961,-0.105,-0.148
1,20,0.977,-0.031,-0.125
1,20,1.023,0.059,-0.113
1,20,0.980,-0.078,-0.148
1,20,0.980,-0.086,-0.121
1,20,1.012,0.055,-0.125
1,20,0.988,-0.051,-0.160
1,20,0.973,-0.105,-0.121
1,20,0.957,0.051,-0.129
1,20,0.977,-0.016,-0.141
1,20,0.973,-0.098,-0.125
1,20,1.039,0.113,-0.113
1,20,1.008,0.020,-0.117
1,20,1.039,0.098,-0.121
1,20,1.004,0.086,-0.125
1,20,1.008,-0.047,-0.129
1,20,0.969,-0.074,-0.133
1,20,0.996,0.102,-0.133
1,20,1.008,-0.008,-0.129
1,20,0.969,-0.129,-0.145
1,20,0.996,0.094,-0.133
1,20,1.027,0.000,-0.129
1,20,0.988,0.148,-0.152
1,20,1.008,0.063,-0.125
1,20,0.977,-0.059,-0.148
1,20,0.973,0.145,-0.129
1,20,0.984,-0.082,-0.125
1,20,0.988,0.012,-0.133
1,20,1.039,-0.086,-0.125
1,20,0.977,-0.105,-0.141
1,20,0.984,-0.012,-0.141
1,20,0.984,-0.039,-0.125
1,20,1.039,0.098,-0.117
1,20,0.984,0.023,-0.145
1,20,1.027,-0.066,-0.137
1,20,0.980,-0.098,-0.137
1,20,0.992,0.043,-0.137
1,20,1.035,0.105,-0.121
1,20,1.051,0.020,-0.117
1,20,0.992,-0.004,-0.117
1,20,0.965,0.086,-0.121
1,20,0.965,-0.066,-0.129
1,20,1.000,-0.008,-0.137
1,20,0.973,0.063,-0.129
1,20,0.961,-0.074,-0.117
1,20,1.020,0.035,-0.125
1,20,0.973,-0.066,-0.156
1,20,0.969,-0.078,-0.117
1,20,1.023,0.063,-0.125
1,20,0.988,-0.051,-0.145
1,20,0.980,-0.066,-0.121
1,20,0.988,0.063,-0.133
1,20,0.988,-0.059,-0.141
1,20,0.988,-0.023,-0.121
1,20,1.016,0.082,-0.125
1,20,0.988,-0.039,-0.145
1,20,0.977,-0.094,-0.125
1,20,1.016,0.063,-0.121
1,20,0.973,0.086,-0.137
1,20,1.055,0.125,-0.113
1,20,0.996,0.066,-0.133
1,20,0.996,-0.035,-0.125
1,20,0.965,-0.152,-0.121
1,20,0.992,0.109,-0.137
1,20,0.984,-0.012,-0.137
1,20,0.965,-0.129,-0.148
1,20,0.984,0.121,-0.137
1,20,0.996,-0.016,-0.121
1,20,0.996,-0.055,-0.148
1,20,1.008,0.125,-0.133
1,20,1.023,0.008,-0.129
1,20,0.996,0.141,-0.145
1,20,1.027,0.039,-0.125
1,20,0.973,-0.074,-0.156
1,20,0.973,-0.102,-0.121
1,20,0.984,0.055,-0.129
1,20,0.980,-0.043,-0.148
1,20,0.980,-0.090,-0.117
1,20,1.035,0.098,-0.125
1,20,0.988,0.008,-0.145
1,20,1.027,-0.078,-0.117
1,20,0.984,-0.125,-0.152
1,20,0.996,0.000,-0.145
1,20,1.027,0.066,-0.125
1,20,1.000,0.082,-0.133
1,20,1.000,-0.043,-0.133
1,20,0.977,0.066,-0.125
1,20,0.969,-0.008,-0.129
1,20,1.004,-0.035,-0.129
1,20,0.957,0.102,-0.125
1,20,0.984,-0.008,-0.117
1,20,1.012,-0.008,-0.125
1,20,0.957,0.082,-0.125
1,20,0.977,-0.063,-0.117
1,20,1.004,0.008,-0.121
1,20,0.996,-0.117,-0.160
1,20,0.965,-0.090,-0.113
1,20,0.969,0.012,-0.117
1,20,0.988,-0.094,-0.145
1,20,0.965,-0.086,-0.121
1,20,1.023,0.051,-0.129
1,20,1.004,-0.035,-0.133
1,20,0.965,-0.078,-0.125
1,20,1.035,0.074,-0.125
1,20,0.977,0.109,-0.141
1,20,1.035,0.078,-0.129
1,20,0.984,0.020,-0.141
1,20,0.988,-0.082,-0.125
1,20,0.984,-0.055,-0.125
1,20,0.988,0.039,-0.141
1,20,1.043,-0.078,-0.164
1,20,0.965,-0.137,-0.148
1,20,1.000,0.039,-0.137
1,20,0.984,-0.047,-0.125
1,20,0.957,-0.164,-0.148
1,20,0.996,0.066,-0.133
1,20,1.023,-0.031,-0.125
1,20,0.953,-0.148,-0.152
1,20,1.000,0.125,-0.129
1,20,0.965,-0.012,-0.141
1,20,0.965,-0.133,-0.156
1,20,0.992,0.141,-0.125
1,20,1.016,0.008,-0.129
1,20,0.992,0.082,-0.113
1,20,1.012,0.063,-0.125
1,20,0.980,-0.086,-0.148
1,20,0.980,-0.070,-0.117
1,20,1.023,0.063,-0.129
1,20,0.977,-0.047,-0.156
1,20,0.980,-0.105,-0.125
1,20,1.016,0.016,-0.133
1,20,0.988,-0.023,-0.152
1,20,0.977,-0.102,-0.125
1,20,1.039,0.098,-0.125
1,20,0.977,-0.004,-0.145
1,20,0.984,-0.078,-0.117
1,20,1.047,0.109,-0.121
1,20,0.992,0.012,-0.129
1,20,1.027,0.086,-0.117
1,20,0.984,0.109,-0.113
1,20,0.992,-0.027,-0.117
1,20,0.969,-0.051,-0.121
1,20,1.000,0.113,-0.129
1,20,0.996,-0.008,-0.125
1,20,0.973,-0.125,-0.121
1,20,1.008,0.102,-0.129
1,20,1.008,0.000,-0.121
1,20,0.996,-0.137,-0.160
1,20,1.016,-0.031,-0.133
1,20,1.016,0.031,-0.125
1,20,0.984,0.148,-0.156
1,20,1.031,0.094,-0.121
1,20,0.980,-0.012,-0.129
1,20,0.980,0.117,-0.117
1,20,0.977,-0.117,-0.125
1,20,1.000,-0.008,-0.141
1,20,0.984,0.094,-0.125
1,20,0.977,-0.129,-0.145
1,20,1.004,0.027,-0.141
1,20,0.996,-0.027,-0.125
1,20,0.969,-0.133,-0.137
1,20,1.000,0.055,-0.145
1,20,1.039,-0.059,-0.121
1,20,0.980,-0.105,-0.145
1,20,0.988,0.078,-0.133
1,20,1.039,-0.043,-0.129
1,20,0.980,-0.023,-0.133
1,20,0.988,0.094,-0.125
1,20,1.047,-0.039,-0.102
1,20,0.965,-0.133,-0.156
1,20,0.980,0.078,-0.125
1,20,1.000,0.043,-0.105
1,20,1.004,0.156,-0.113
1,20,1.008,0.047,-0.121
1,20,0.977,-0.074,-0.160
1,20,0.965,-0.090,-0.121
1,20,1.047,0.078,-0.121
1,20,0.984,-0.004,-0.145
1,20,0.965,-0.082,-0.117
1,20,1.035,0.102,-0.117
1,20,0.984,-0.023,-0.141
1,20,0.980,-0.059,-0.117
1,20,1.039,0.113,-0.117
1,20,0.984,-0.012,-0.137
1,20,1.023,-0.027,-0.141
1,20,1.027,0.109,-0.121
1,20,0.969,0.020,-0.137
1,20,1.039,0.117,-0.121
1,20,1.008,0.059,-0.133
1,20,1.000,-0.031,-0.129
1,20,0.957,-0.160,-0.125
1,20,1.000,0.066,-0.125
1,20,1.008,-0.008,-0.125
1,20,0.961,-0.145,-0.129
1,20,0.996,0.145,-0.125
1,20,1.012,0.000,-0.121
1,20,0.988,0.133,-0.145
1,20,1.035,0.070,-0.141
1,20,0.984,-0.035,-0.148
1,20,0.980,0.113,-0.125
1,20,0.980,-0.082,-0.117
1,20,0.988,-0.035,-0.145
1,20,0.992,0.031,-0.137
1,20,0.973,-0.098,-0.152
1,20,0.992,-0.012,-0.148
1,20,0.977,-0.090,-0.109
1,20,1.039,0.074,-0.121
1,20,0.988,0.012,-0.141
1,20,1.051,-0.094,-0.125
1,20,0.996,-0.051,-0.133
1,20,0.984,0.035,-0.137
1,20,1.098,-0.063,-0.156
1,20,0.969,-0.148,-0.137
1,20,1.000,0.043,-0.141
1,20,1.023,-0.047,-0.125
1,20,0.957,-0.156,-0.152
1,20,1.004,0.035,-0.125
1,20,1.035,0.066,-0.125
1,20,1.008,0.152,-0.121
1,20,1.027,0.031,-0.121
1,20,0.977,-0.031,-0.152
1,20,0.961,-0.074,-0.113
1,20,1.031,0.051,-0.129
1,20,0.977,-0.070,-0.141
1,20,0.977,-0.066,-0.109
1,20,1.059,0.047,-0.137
1,20,0.988,-0.055,-0.148
1,20,1.000,-0.027,-0.125
1,20,1.016,0.082,-0.125
1,20,0.984,-0.043,-0.156
1,20,0.969,-0.090,-0.125
1,20,1.023,0.070,-0.121
1,20,0.977,-0.027,-0.145
1,20,0.980,-0.098,-0.129
1,20,1.023,0.016,-0.137
1,20,0.965,0.066,-0.145
1,20,1.055,0.117,-0.121
1,20,0.992,0.098,-0.125
1,20,0.992,-0.023,-0.129
1,20,0.961,-0.133,-0.121
1,20,0.996,0.102,-0.125
1,20,0.961,0.008,-0.121
1,20,0.996,0.121,-0.152
1,20,1.016,0.047,-0.125
1,20,0.969,-0.105,-0.156
1,20,0.973,0.078,-0.133
1,20,0.996,-0.043,-0.109
1,20,0.969,-0.082,-0.152
1,20,0.980,0.102,-0.121
1,20,1.000,-0.055,-0.141
1,20,0.980,-0.059,-0.152
1,20,0.977,-0.094,-0.109
1,20,1.016,0.020,-0.129
1,20,0.977,-0.027,-0.148
1,20,0.969,-0.098,-0.105
1,20,1.020,0.082,-0.129
1,20,0.980,-0.008,-0.145
1,20,0.980,-0.090,-0.117
1,20,1.035,0.121,-0.113
1,20,0.996,0.020,-0.129
1,20,1.043,-0.074,-0.125
1,20,0.965,-0.148,-0.152
1,20,0.992,0.027,-0.133
1,20,1.039,0.074,-0.121
1,20,1.004,0.113,-0.125
1,20,1.012,-0.012,-0.125
1,20,0.969,0.004,-0.129
1,20,0.969,-0.043,-0.117
1,20,0.996,0.008,-0.117
1,20,0.969,-0.125,-0.156
1,20,0.973,-0.035,-0.125
1,20,1.012,0.023,-0.129
1,20,0.996,-0.133,-0.160
1,20,0.980,-0.035,-0.129
1,20,1.023,0.031,-0.117
1,20,0.988,-0.121,-0.152
1,20,0.965,-0.086,-0.117
1,20,1.020,0.035,-0.129
1,20,0.973,-0.090,-0.152
1,20,0.969,-0.090,-0.113
1,20,0.980,0.023,-0.133
1,20,0.973,0.102,-0.152
1,20,1.070,0.117,-0.152
1,20,0.988,0.023,-0.141
1,20,0.992,-0.035,-0.121
1,20,0.973,-0.133,-0.121
1,20,1.004,0.059,-0.141
1,20,0.984,-0.035,-0.133
1,20,0.969,-0.129,-0.152
1,20,1.004,0.078,-0.141
1,20,0.996,-0.055,-0.125
1,20,0.988,-0.086,-0.137
1,20,1.000,0.098,-0.129
1,20,1.035,-0.027,-0.129
1,20,0.980,-0.090,-0.141
1,20,1.004,0.113,-0.133
1,20,1.016,-0.023,-0.152
1,20,0.969,-0.121,-0.152
1,20,1.016,0.082,-0.125
1,20,1.004,0.020,-0.125
1,20,1.000,0.156,-0.121
1,20,1.012,0.070,-0.121
1,20,0.984,-0.043,-0.141
1,20,0.973,-0.094,-0.121
1,20,1.047,0.094,-0.121
1,20,0.980,-0.004,-0.133
1,20,0.977,-0.078,-0.109
1,20,1.051,0.113,-0.121
1,20,0.988,0.012,-0.133
1,20,1.031,0.082,-0.121
1,20,1.012,0.078,-0.148
1,20,0.980,-0.035,-0.117
1,20,0.992,0.016,-0.117
1,20,0.977,-0.035,-0.129
1,20,1.008,-0.020,-0.125
1,20,0.969,0.082,-0.125
1,20,0.961,-0.031,-0.117
1,20,1.020,0.008,-0.125
1,20,0.957,-0.141,-0.152
1,20,0.980,-0.023,-0.113
1,20,1.016,0.027,-0.125
1,20,0.980,-0.125,-0.164
1,20,0.977,-0.070,-0.117
1,20,1.012,0.027,-0.121
1,20,0.992,-0.105,-0.160
1,20,0.965,-0.094,-0.125
1,20,1.000,0.008,-0.129
1,20,0.992,-0.055,-0.145
1,20,0.973,-0.105,-0.133
1,20,1.016,0.078,-0.125
1,20,0.977,0.090,-0.145
1,20,1.047,0.113,-0.113
1,20,0.996,0.039,-0.137
1,20,1.027,-0.027,-0.148
1,20,0.969,-0.133,-0.152
1,20,0.992,0.059,-0.137
1,20,1.000,-0.047,-0.121
1,20,0.977,-0.109,-0.148
1,20,1.012,0.090,-0.145
1,20,1.027,-0.063,-0.117
1,20,0.977,-0.023,-0.145
1,20,1.004,0.094,-0.133
1,20,1.027,-0.023,-0.125
1,20,0.969,-0.133,-0.141
1,20,1.000,0.098,-0.133
1,20,1.020,-0.023,-0.125
1,20,0.949,-0.152,-0.156
1,20,1.000,0.070,-0.125
1,20,1.023,0.020,-0.121
1,20,0.988,0.152,-0.121
1,20,1.027,0.063,-0.125
1,20,0.980,-0.047,-0.145
1,20,0.980,-0.094,-0.117
1,20,1.016,0.074,-0.121
1,20,0.984,0.012,-0.129
1,20,1.031,0.098,-0.129
1,20,1.000,0.039,-0.141
1,20,0.984,-0.078,-0.121
1,20,0.969,0.074,-0.121
1,20,0.957,0.016,-0.129
1,20,1.039,0.102,-0.125
1,20,1.023,0.027,-0.113
1,20,1.023,0.008,-0.125
1,20,0.988,0.152,-0.160
1,20,1.031,0.066,-0.133
1,20,0.977,-0.035,-0.137
1,20,0.977,0.137,-0.121
1,20,0.984,-0.098,-0.133
1,20,0.996,-0.043,-0.125
1,20,0.977,-0.082,-0.109
1,20,1.031,0.098,-0.125
1,20,0.996,-0.023,-0.148
1,20,0.984,-0.055,-0.117
1,20,1.043,0.102,-0.125
1,20,0.988,-0.004,-0.141
1,20,0.949,-0.020,-0.125
1,20,1.039,0.098,-0.113
1,20,0.984,0.027,-0.141
1,20,1.039,0.102,-0.121
1,20,0.984,0.047,-0.125
1,20,0.992,-0.023,-0.133
1,20,0.969,0.113,-0.113
1,20,0.973,-0.023,-0.113
1,20,1.004,-0.008,-0.129
1,20,0.957,0.090,-0.113
1,20,0.969,-0.063,-0.125
1,20,1.000,-0.004,-0.125
1,20,0.957,-0.125,-0.121
1,20,0.996,0.152,-0.125
1,20,0.977,0.031,-0.129
1,20,0.977,-0.113,-0.145
1,20,0.965,-0.078,-0.125
1,20,1.023,0.039,-0.129
1,20,0.980,-0.066,-0.152
1,20,0.980,-0.082,-0.125
1,20,1.016,0.063,-0.121
1,20,1.039,0.012,-0.125
1,20,1.023,0.082,-0.121
1,20,0.996,-0.008,-0.141
1,20,0.977,0.113,-0.125
1,20,0.980,-0.078,-0.121
1,20,0.992,0.020,-0.137
1,20,0.988,-0.086,-0.125
1,20,0.992,-0.027,-0.152
1,20,0.984,0.035,-0.141
1,20,0.992,-0.070,-0.121
1,20,0.957,-0.145,-0.156
1,20,0.988,0.043,-0.133
1,20,1.031,-0.055,-0.133
1,20,0.957,-0.141,-0.141
1,20,0.969,0.051,-0.117
1,20,1.020,-0.035,-0.125
1,20,0.961,-0.156,-0.145
1,20,1.008,0.090,-0.129
1,20,1.020,-0.023,-0.121
1,20,0.949,-0.145,-0.160
1,20,1.004,0.133,-0.137
1,20,0.996,-0.004,-0.133
1,20,0.965,-0.129,-0.152
1,20,0.996,0.148,-0.129
1,20,1.016,0.004,-0.125
1,20,0.984,0.113,-0.125
1,20,1.023,0.078,-0.125
1,20,0.973,-0.070,-0.137
1,20,0.996,-0.020,-0.137
1,20,1.023,0.090,-0.141
1,20,0.965,-0.035,-0.152
1,20,0.973,-0.094,-0.125
1,20,1.047,0.074,-0.129
1,20,0.988,-0.031,-0.148
1,20,0.973,-0.094,-0.121
1,20,1.004,0.023,-0.109
1,20,0.953,0.004,-0.148
1,20,1.066,0.109,-0.121
1,20,0.980,0.086,-0.133
1,20,1.016,-0.016,-0.129
1,20,0.988,-0.160,-0.145
1,20,1.027,0.121,-0.121
1,20,1.023,-0.012,-0.137
1,20,0.980,-0.125,-0.125
1,20,0.992,0.129,-0.125
1,20,1.008,0.008,-0.125
1,20,0.992,0.121,-0.156
1,20,1.035,0.055,-0.113
1,20,0.984,-0.090,-0.156
1,20,1.000,0.082,-0.133
1,20,0.984,-0.070,-0.113
1,20,0.984,-0.059,-0.152
1,20,0.980,0.090,-0.125
1,20,0.992,-0.070,-0.129
1,20,0.934,-0.023,-0.125
1,20,0.973,-0.105,-0.117
1,20,1.008,0.047,-0.129
1,20,0.988,-0.016,-0.145
1,20,0.965,-0.102,-0.117
1,20,1.004,0.074,-0.125
1,20,0.992,-0.004,-0.141
1,20,0.961,-0.102,-0.109
1,20,1.051,0.113,-0.117
1,20,0.973,0.012,-0.133
1,20,1.008,-0.070,-0.117
1,20,0.977,-0.164,-0.160
1,20,1.023,0.016,-0.125
1,20,1.035,0.082,-0.109
1,20,1.043,0.125,-0.160
1,20,1.000,-0.020,-0.129
1,20,0.988,0.043,-0.133
