course_id,course_title,url,price,num_subscribers,num_reviews,num_lectures,level,Rating,content_duration,published_timestamp,subject
707962,Javascript Essentials,https://www.udemy.com/javascript-essentials/,0,47062,5590,41,All Levels,0.18,8.5,2016-01-20T19:08:27Z,Subject: Web Development
437398,Build Responsive Real World Websites with HTML5 and CSS3,https://www.udemy.com/design-and-develop-a-killer-website-with-html5-and-css3/,195,43977,7106,77,All Levels,0.34,12,2015-03-24T22:06:26Z,Subject: Web Development
28295,Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours,https://www.udemy.com/build-beautiful-html5-website/,75,43285,525,24,Beginner Level,0.31,4,2013-01-03T00:55:31Z,Subject: Web Development
708578,Bootstrap 4 Quick Start: Code Modern Responsive Websites,https://www.udemy.com/bootstrap-4/,0,41478,2104,13,All Levels,0.52,3,2015-12-30T21:28:31Z,Subject: Web Development
719002,Angular 2 with TypeScript for Beginners: The Pragmatic Guide,https://www.udemy.com/angular-2-tutorial-for-beginners/,150,40070,8341,194,All Levels,0.74,9.5,2016-03-03T20:17:59Z,Subject: Web Development
674608,The Complete Web Developer Masterclass: Beginner To Advanced,https://www.udemy.com/webdevelopercourse/,195,37141,1813,316,Beginner Level,0.07,51,2016-05-18T00:16:26Z,Subject: Web Development
772618,Learn Object Oriented PHP By Building a Complete Website,https://www.udemy.com/learn-object-oriented-php-by-building-a-complete-website/,0,36322,2618,32,All Levels,0.68,4.5,2016-03-01T17:38:10Z,Subject: Web Development
16646,Web Programming with Python,https://www.udemy.com/web-programming-with-python/,50,35267,217,53,Beginner Level,0.78,4,2012-04-25T00:01:43Z,Subject: Web Development
446134,Ultimate Web Designer & Developer Course: Build 23 Projects!,https://www.udemy.com/web-developer-course/,200,33788,4434,246,Beginner Level,0.31,32.5,2015-08-20T20:55:19Z,Subject: Web Development
519442,The Complete Ruby on Rails Developer Course,https://www.udemy.com/the-complete-ruby-on-rails-developer-course/,195,33677,3809,283,All Levels,0.77,31.5,2015-10-23T20:29:25Z,Subject: Web Development
949282,Learn Angular 2 from Beginner to Advanced,https://www.udemy.com/learn-angular-2-from-beginner-to-advanced/,195,32696,526,67,Beginner Level,0.7,10,2016-10-07T00:25:59Z,Subject: Web Development
294794,Create An HTML5 Video Player From Scratch,https://www.udemy.com/html5-video-player/,0,32260,1005,12,All Levels,0.94,1.5,2014-09-05T19:16:53Z,Subject: Web Development
695656,The Complete JavaScript Course For Web Development Beginners,https://www.udemy.com/javascriptcourse/,195,31499,450,46,Beginner Level,0.76,4,2015-12-29T17:20:32Z,Subject: Web Development
19332,The Original Complete Web Developer Course.,https://www.udemy.com/thecompletewebdeveloper/,20,31070,742,195,Beginner Level,0.07,18,2012-10-28T00:13:03Z,Subject: Web Development
511934,AngularJS For Beginners,https://www.udemy.com/angularjs-for-beginners-udemy/,0,30531,1948,53,All Levels,0.78,3,2015-06-30T20:28:22Z,Subject: Web Development
267560,Learn E-Commerce Website in PHP & MySQL From Scratch!,https://www.udemy.com/ecommerce-website-in-php-mysqli/,0,29990,1342,87,Beginner Level,0.95,17.5,2014-08-10T10:27:28Z,Subject: Web Development
866460,Angular 2+ with Typescript - Essential Training,https://www.udemy.com/angular-2-training/,195,29348,780,66,Beginner Level,0.31,3,2016-11-29T04:08:03Z,Subject: Web Development
405282,PHP for Beginners -Become a PHP Master - Project Included,https://www.udemy.com/php-for-complete-beginners-includes-msql-object-oriented/,200,28880,4316,286,Beginner Level,0.4,30.5,2015-02-14T00:54:08Z,Subject: Web Development
1025026,Javascript - From Beginner to Pro-Build real world JS apps,https://www.udemy.com/javascript-from-beginner-to-pro-best-course/,195,28694,688,77,All Levels,0.05,11.5,2016-12-11T21:16:42Z,Subject: Web Development
607048,Essentials of JavaScript Practice Coding Exercises Tips,https://www.udemy.com/essentials-of-javascript-practice-coding-exercises-tips/,80,28125,115,21,Beginner Level,0.38,2,2015-09-25T22:30:00Z,Subject: Web Development
851712,The Complete JavaScript Course: Build a Real-World Project,https://www.udemy.com/the-complete-javascript-course/,195,27801,4340,113,Beginner Level,0.21,17.5,2016-10-14T22:52:23Z,Subject: Web Development
159070,Introduction to Web Development: HTML,https://www.udemy.com/webdevelopment101_html/,20,26800,333,55,All Levels,0.32,3,2014-02-13T20:39:33Z,Subject: Web Development
470288,EMMET Faster HTML & CSS workflow - Best Tool For Developers,https://www.udemy.com/emmet-start-coding-html-and-css-fast-and-easy/,0,26697,1097,20,Beginner Level,0.15,1,2015-04-09T16:36:06Z,Subject: Web Development
11475,Become a Certified Web Developer,https://www.udemy.com/become-a-certified-web-developer/,100,26673,1090,185,All Levels,0.22,12,2011-12-20T15:29:25Z,Subject: Web Development
429364,Master the Basics of HTML5 & CSS3: Beginner Web Development,https://www.udemy.com/master-the-basics-of-html5-css3-beginner-web-development/,0,26541,750,38,All Levels,0.15,3,2015-05-21T22:47:47Z,Subject: Web Development
24334,CSS Development (with CSS3!),https://www.udemy.com/css-development-with-css3/,20,25864,188,32,All Levels,0.78,5,2012-10-31T16:39:49Z,Subject: Web Development
15285,HTML Workshop,https://www.udemy.com/html-workshop/,20,25854,306,17,All Levels,0.28,2,2012-04-08T05:12:43Z,Subject: Web Development
653846,Master the MEAN Stack - Learn By Example,https://www.udemy.com/master-the-mean-stack/,195,25799,382,42,Intermediate Level,0.21,4.5,2016-01-03T23:24:04Z,Subject: Web Development
642410,The Complete Bootstrap Masterclass Course - Build 4 Projects,https://www.udemy.com/bootstrapcourse/,195,24978,540,67,All Levels,0.89,7,2015-10-27T20:27:11Z,Subject: Web Development
629142,The Ultimate Web Developer How To Guide,https://www.udemy.com/learn-web-development-complete-step-by-step-guide-to-success/,200,24861,423,281,Beginner Level,0.85,22.5,2015-11-26T04:31:11Z,Subject: Web Development
369662,Running a Web Development Business: The Complete Guide,https://www.udemy.com/the-complete-guide-to-running-a-web-development-business/,150,24575,525,98,All Levels,0.12,19.5,2015-08-26T19:25:06Z,Subject: Web Development
505208,Programming Foundations: HTML5 + CSS3 for Entrepreneurs 2015,https://www.udemy.com/html-css-more/,20,23764,490,58,Beginner Level,0.14,5.5,2015-10-17T04:52:25Z,Subject: Web Development
60792,Learn to Use jQuery UI Widgets,https://www.udemy.com/learn-to-use-jquery-ui-widgets/,0,23669,521,9,Beginner Level,0.96,1,2013-06-23T02:38:19Z,Subject: Web Development
882488,WordPress Development For Beginners,https://www.udemy.com/wordpress-basic/,95,23572,210,20,All Levels,0.71,2,2016-06-20T18:46:15Z,Subject: Web Development
47963,"Coding for Entrepreneurs: Learn Python, Django, and More.",https://www.udemy.com/coding-for-entrepreneurs/,195,23412,799,251,All Levels,0.07,45,2013-04-08T00:46:14Z,Subject: Web Development
63612,1 Hour JavaScript,https://www.udemy.com/1-hour-javascript/,200,22999,602,18,All Levels,0.24,1,2013-07-04T15:27:02Z,Subject: Web Development
787236,"Build Responsive Website Using HTML5, CSS3, JS And Bootstrap",https://www.udemy.com/build-responsive-website-using-html5-css3-js-and-bootstrap/,95,22623,783,73,All Levels,0.81,8,2016-06-20T18:48:26Z,Subject: Web Development
534376,Get Results - Core Principles of Web Development Tricks Tips,https://www.udemy.com/web-development-foundations-base-for-your-coding-environment/,75,22355,54,26,Beginner Level,0.04,1.5,2015-06-23T20:39:16Z,Subject: Web Development
579338,Learn Object Oriented Programming PHP fundamentals bootcamp,https://www.udemy.com/learn-object-oriented-programming-php-fundamentals-bootcamp/,100,22213,142,16,All Levels,0.78,1,2015-08-11T18:52:58Z,Subject: Web Development
781532,Advanced React and Redux,https://www.udemy.com/react-redux-tutorial/,140,21998,3326,119,All Levels,0.8,12,2016-03-12T22:13:46Z,Subject: Web Development
99826,Become A Web Developer And Seller - Build Websites With HTML,https://www.udemy.com/the-ultimate-building-and-selling-websites-course/,200,21730,61,35,All Levels,0.36,2.5,2013-10-05T12:49:46Z,Subject: Web Development
808622,AngularJS Authentication: Secure Your App with Auth0,https://www.udemy.com/angularjs-authentication-with-auth0/,0,21689,1080,13,Beginner Level,0.86,1,2016-04-01T05:51:48Z,Subject: Web Development
756914,MongooseJS Essentials - Learn MongoDB for Node.js,https://www.udemy.com/mongoosejs-essentials/,0,21682,1106,8,Beginner Level,0.01,0.7333333333,2016-03-12T16:04:28Z,Subject: Web Development
30243,Mastering HTML5 Programming - The Easier Way,https://www.udemy.com/html5-programming-tutorials/,75,21653,138,35,All Levels,0.55,7,2013-01-07T11:44:35Z,Subject: Web Development
701634,ExpressJS Fundamentals,https://www.udemy.com/expressjs-fundamentals/,0,21245,914,9,All Levels,0.19,1,2016-01-11T18:53:48Z,Subject: Web Development
357726,Spring Framework 4 And Dependency Injection For Beginners,https://www.udemy.com/spring-framework-video-tutorial/,0,21147,1220,16,Beginner Level,0.74,1.5,2015-01-16T07:45:28Z,Subject: Web Development
197828,Learn to Setup Websites from Scratch,https://www.udemy.com/learn-to-setup-websites-from-scratch/,0,21087,154,24,Intermediate Level,0.14,3.5,2014-04-14T11:59:11Z,Subject: Web Development
382786,Sass Workflow,https://www.udemy.com/sass-workflow/,0,20890,945,21,Beginner Level,0.22,3,2015-02-06T15:54:23Z,Subject: Web Development
806922,The Complete ASP.NET MVC 5 Course,https://www.udemy.com/the-complete-aspnet-mvc-5-course/,190,20652,6357,138,Beginner Level,0.63,7.5,2016-05-16T17:04:54Z,Subject: Web Development
766592,HTML Complete Course - Beginner to Expert,https://www.udemy.com/the-complete-html-developer-course/,0,20073,615,28,Intermediate Level,0.03,1.5,2016-02-29T00:15:42Z,Subject: Web Development
162274,Joomla 3 - The Basics,https://www.udemy.com/joomla-3-the-basics/,0,19909,411,17,All Levels,0.46,3,2014-02-12T01:54:02Z,Subject: Web Development
714724,Docker Technologies for DevOps and Developers,https://www.udemy.com/docker-tutorial-for-devops-run-docker-containers/,30,19210,3137,44,All Levels,0.57,3,2016-08-29T19:02:30Z,Subject: Web Development
231176,Learn To Build Beautiful HTML5 And CSS3 Websites In 1 Month,https://www.udemy.com/learn-to-build-beautiful-html5-and-css3-websites-in-1-month/,50,18818,407,80,Beginner Level,0.89,11,2014-06-03T08:48:34Z,Subject: Web Development
445534,Learn AngularJS Step By Step,https://www.udemy.com/maruti-angularjs/,20,18777,1112,21,Beginner Level,0.88,1.5,2015-07-07T00:08:10Z,Subject: Web Development
297390,Joomla: Create a Joomla Website This Weekend With NO CODING!,https://www.udemy.com/joomla-create-a-joomla-website-this-weekend-with-no-coding/,0,18496,386,30,All Levels,0.34,2,2014-10-06T20:19:00Z,Subject: Web Development
64605,1 Hour CSS,https://www.udemy.com/1-hour-css/,100,18324,333,16,All Levels,0.66,1,2013-07-09T20:27:14Z,Subject: Web Development
79154,Back to School Web Development and Programming Bundle,https://www.udemy.com/back-to-school-web-development-and-programming-bundle/,200,18170,117,779,All Levels,0.4,44.5,2013-08-19T14:53:00Z,Subject: Web Development
99986,Introduction to Web Development,https://www.udemy.com/introduction-to-web-development/,20,18143,159,15,All Levels,0.67,2,2013-10-04T13:40:59Z,Subject: Web Development
582636,Bootstrap unleash the power faster & easier web development,https://www.udemy.com/bootstrap-3-responsive-design-tutorial-fundamentals/,150,18101,88,68,All Levels,0.74,5.5,2015-08-14T22:44:39Z,Subject: Web Development
652438,The Complete PHP CodeIgniter Course: Beginner To Advanced,https://www.udemy.com/codeignitercourse/,195,17895,212,30,Beginner Level,0.59,4,2015-12-29T20:19:39Z,Subject: Web Development
164554,AngularJS JumpStart with Dan Wahlin,https://www.udemy.com/angularjs-jumpstart/,75,17802,2144,113,Beginner Level,0.02,10,2014-03-24T17:31:15Z,Subject: Web Development
1107524,The Complete NodeJS Course: Build a Full Business Rating App,https://www.udemy.com/learn-nodejs-by-building-an-employee-to-business-rating-app/,195,17784,260,61,Beginner Level,0.48,12.5,2017-02-13T17:18:59Z,Subject: Web Development
963412,Building Websites JavaScript and the DOM,https://www.udemy.com/building-websites-learn-javascript-and-the-dom/,120,17759,64,37,All Levels,0.14,3,2016-09-26T14:48:26Z,Subject: Web Development
391546,Learn Python and Django: Payment Processing,https://www.udemy.com/learn-django-code-accept-payments-with-stripe/,70,17714,198,23,All Levels,0.11,3.5,2015-02-09T15:37:56Z,Subject: Web Development
995016,Vue JS 2 - The Complete Guide (incl. Vue Router & Vuex),https://www.udemy.com/vuejs-2-the-complete-guide/,190,17671,4675,329,Intermediate Level,0.53,18,2016-11-08T18:55:21Z,Subject: Web Development
516062,JavaScript Intro to learning JavaScript web programming,https://www.udemy.com/javascript-intro-to-learning-javascript/,20,17554,94,16,All Levels,0.11,1.5,2015-06-01T20:44:42Z,Subject: Web Development
639654,How to Make a Single Page Website for Freelancers & Agencies,https://www.udemy.com/how-to-make-a-portfolio-website-for-freelancers-agencies/,0,17463,283,30,All Levels,0.18,1.5,2015-10-15T20:13:38Z,Subject: Web Development
383204,The Professional Ruby on Rails Developer,https://www.udemy.com/pro-rubyonrails/,100,17334,676,96,All Levels,0.45,17,2015-02-23T23:18:49Z,Subject: Web Development
833442,Angular (Angular 2 or 4) & NodeJS - The MEAN Stack Guide,https://www.udemy.com/angular-2-and-nodejs-the-practical-guide/,150,17297,3166,111,Expert Level,0.15,8.5,2016-05-02T23:09:15Z,Subject: Web Development
30318,Learning JavaScript Programming Tutorial. A Definitive Guide,https://www.udemy.com/programming-javascript/,50,17113,380,93,Beginner Level,0.24,9.5,2012-11-26T13:51:56Z,Subject: Web Development
173134,Adobe Flash for Beginners - Build Flash Website From Scratch,https://www.udemy.com/adobe-flash-for-beginners-build-flash-website-from-scratch/,200,17071,17,15,Intermediate Level,0.76,1.5,2014-03-01T08:48:55Z,Subject: Web Development
983534,Try AngularJS: Beginner's Guide to Front End Web Development,https://www.udemy.com/try-angularjs/,50,16926,126,33,Beginner Level,0.61,4.5,2016-10-13T20:38:03Z,Subject: Web Development
1078522,React JS and Redux - Mastering Web Apps,https://www.udemy.com/react-js-and-redux-mastering-web-apps/,60,16829,820,77,All Levels,0.76,5,2017-01-19T04:58:10Z,Subject: Web Development
701636,Learn Web Scraping with Node.js,https://www.udemy.com/web-scraping-nodejs/,75,16731,137,10,All Levels,0.66,1,2015-12-29T21:59:27Z,Subject: Web Development
648118,JavaScript Rockstar How to create Incredible Useful code,https://www.udemy.com/javascript-projects-from-scratch-step-by-step-guide-to-learn/,75,16590,51,27,All Levels,0.26,2.5,2015-10-29T18:30:46Z,Subject: Web Development
188692,Build a Responsive Website with a Modern Flat Design,https://www.udemy.com/build-responsive-website-designs-with-html5-and-css/,0,16527,354,17,All Levels,0.68,2,2014-03-26T14:23:06Z,Subject: Web Development
50522,Become Exceptional in HTML and HTML5,https://www.udemy.com/become-exceptional-in-html-html5/,20,16486,86,34,Beginner Level,0.24,6.5,2014-03-21T08:58:42Z,Subject: Web Development
874166,Angular 2 Crash Course with TypeScript,https://www.udemy.com/angular-2-crash-course/,100,16409,589,74,Intermediate Level,0.71,4,2016-06-14T19:26:06Z,Subject: Web Development
993754,Django Core | A Reference Guide to Core Django Concepts,https://www.udemy.com/django-core/,195,16282,303,159,Beginner Level,0.35,18.5,2016-10-29T19:28:45Z,Subject: Web Development
64422,1 Hour HTML,https://www.udemy.com/1-hour-html/,200,16212,514,20,Beginner Level,0.34,1,2013-07-09T03:16:26Z,Subject: Web Development
1171966,The Complete PHP MySQL Professional Course with 5 Projects,https://www.udemy.com/the-complete-php-mysql-professional-course/,200,16158,159,125,All Levels,0.71,19.5,2017-06-07T05:58:36Z,Subject: Web Development
556922,Learn Ruby on Rails: Stripe Payment Processing,https://www.udemy.com/learn-ruby-on-rails-stripe-payment-processing/,40,15724,33,29,Beginner Level,0.44,1.5,2016-11-02T22:09:47Z,Subject: Web Development
364616,Learn how to quickly build websites using Wordpress,https://www.udemy.com/learn-how-to-quickly-build-websites-using-wordpress/,0,15715,406,28,All Levels,0.12,3.5,2014-12-18T12:50:07Z,Subject: Web Development
212374,Introduction to CSS Development,https://www.udemy.com/refactoru-intro-to-css/,0,15493,415,25,All Levels,0.56,2,2014-08-18T23:33:20Z,Subject: Web Development
340844,Learn HTML & CSS: How To Start Your Web Development Career,https://www.udemy.com/how-i-landed-a-web-development-job-earned-5k-freelancing/,0,15462,689,60,Beginner Level,0.88,4.5,2015-09-29T19:46:45Z,Subject: Web Development
1146014,Learn JavaScript for beginners,https://www.udemy.com/learn-javascript-course/,200,15276,167,19,All Levels,0.58,1.5,2017-03-16T20:57:12Z,Subject: Web Development
23742,Servlets and JSPs Tutorial: Learn Web Applications With Java,https://www.udemy.com/javawebtut/,35,15187,970,64,All Levels,0.12,10,2012-09-10T23:52:58Z,Subject: Web Development
128950,Learn to Build Websites using Twitter Bootstrap,https://www.udemy.com/learn-to-build-websites-using-twitter-bootstrap/,0,15134,523,12,Beginner Level,0.8,2.5,2014-04-14T07:51:24Z,Subject: Web Development
654680,JavaScript Tricks how to create code projects from scratch,https://www.udemy.com/learn-javascript-code-create-projects-from-scratch/,75,15106,31,16,Beginner Level,0.47,1.5,2015-10-29T23:39:45Z,Subject: Web Development
309820,ASP.Net MVC Quick Start,https://www.udemy.com/aspnet-mvc-quick-start/,0,15092,1234,65,All Levels,0.73,5.5,2016-08-23T15:59:10Z,Subject: Web Development
283014,HTML 5: How I made websites in HTML5,https://www.udemy.com/html5-certification/,135,15064,237,15,All Levels,0.5,1.5,2014-10-23T19:43:16Z,Subject: Web Development
1027342,Rapid Website Design with Bootstrap,https://www.udemy.com/responsive-website-design/,200,14842,131,17,All Levels,0.88,1,2016-12-02T00:45:36Z,Subject: Web Development
427530,Learn  Bootstrap Development By Building 10 Projects,https://www.udemy.com/learn-bootstrap-development-by-building-10-projects/,60,14813,1358,74,Beginner Level,0.15,13.5,2015-02-23T12:04:53Z,Subject: Web Development
269638,Codeigniter: How to use Codeigniter that drives knowledge,https://www.udemy.com/codeigniter/,150,14606,235,21,Intermediate Level,0.48,3,2014-07-29T21:39:04Z,Subject: Web Development
34882,Creating an MP3 Player with HTML5,https://www.udemy.com/creating-an-mp3-player-with-html5/,20,14551,169,14,Beginner Level,0.15,1.5,2013-01-31T13:44:52Z,Subject: Web Development
574876,Get started Creating Websites Everything you need provided,https://www.udemy.com/get-started-creating-websites-everything-you-need-provided/,100,14260,44,43,Beginner Level,0.25,3,2015-09-25T18:13:40Z,Subject: Web Development
499632,Benefits of Thinking Mobile First Future of Website Design,https://www.udemy.com/thinking-mobile-websites-smart-design-tutorial/,75,14254,27,20,All Levels,0.3,1.5,2015-05-13T22:13:53Z,Subject: Web Development
778112,HTML5 canvas Bootcamp for beginners 25 easy steps,https://www.udemy.com/html5-canvas-course-for-beginners/,120,14118,30,27,All Levels,0.64,2,2016-03-01T23:04:23Z,Subject: Web Development
390866,The Complete Web Developer Bootcamp - Beginner to Expert,https://www.udemy.com/job-ready-web-developer/,190,14103,1548,197,All Levels,0.78,21.5,2015-01-19T00:23:15Z,Subject: Web Development
94428,Learn Complete Web Development From Scratch,https://www.udemy.com/learn-complete-web-development-from-scratch/,40,14074,106,46,All Levels,0.66,12,2013-10-23T09:23:00Z,Subject: Web Development
628222,How to Make an Online Portfolio Website from Scratch,https://www.udemy.com/how-to-make-a-portfolio-website-photographers-designers/,0,14026,232,25,All Levels,0.66,1,2015-10-02T22:59:15Z,Subject: Web Development
269006,Learn Html5 & CSS3 from scratch,https://www.udemy.com/learn-html5-css3-from-scratch/,20,13960,239,19,All Levels,0.4,2.5,2014-07-26T22:24:03Z,Subject: Web Development
958750,Web Design Creating websites from scratch,https://www.udemy.com/web-design-creating-websites-from-scratch/,75,13920,64,28,All Levels,0.41,2,2016-09-19T22:32:38Z,Subject: Web Development
566248,jQuery Fundamentals Powerful Bootcamp for beginners,https://www.udemy.com/jquery-fundamentals-bootcamp-learn-how-to-use-jquery/,150,13882,63,47,Beginner Level,0.74,3,2015-08-04T18:54:44Z,Subject: Web Development
881210,Learn Complete WordPress for Building a Professional Sites,https://www.udemy.com/learn-complete-wordpress-for-building-a-professional-sites/,80,13708,92,62,All Levels,0.78,9,2016-06-23T23:38:02Z,Subject: Web Development
884946,Code a 'Coming Soon' Landing Page in Bootstrap 4,https://www.udemy.com/code-a-coming-soon-landing-page-in-bootstrap-4/,0,13535,473,18,Beginner Level,0.87,1.5,2016-08-17T05:08:23Z,Subject: Web Development
1165096,Vue JS - Mastering Web Apps,https://www.udemy.com/vue-web-apps/,80,13457,215,69,All Levels,0.21,4.5,2017-04-06T16:57:56Z,Subject: Web Development
520116,The Complete WordPress Website Business Course,https://www.udemy.com/the-complete-wordpress-website-business-course/,150,13439,1981,89,Beginner Level,0.11,20.5,2016-11-01T23:50:51Z,Subject: Web Development
563248,JavaScript Step by Step how to apply it to your web pages,https://www.udemy.com/javascript-fundamentals-bootcamp-learn-how-to-use-javascript/,100,13406,78,44,All Levels,0.54,1.5,2015-07-26T17:44:17Z,Subject: Web Development
226534,WordPress Backup And Restore Fundamentals,https://www.udemy.com/wordpress-backup-and-restore-fundamentals/,0,13242,131,24,All Levels,0.74,1,2014-06-24T19:23:44Z,Subject: Web Development
1023062,Serverless Architecture on Amazon Web Services,https://www.udemy.com/serverless-architecture-on-aws/,0,13210,978,8,Beginner Level,0.54,0.55,2016-11-30T00:11:26Z,Subject: Web Development
778084,Ruby on Rails a Beginners Guide,https://www.udemy.com/ruby-on-rails-a-beginners-guide-free/,0,13130,346,88,Beginner Level,0.62,6.5,2016-03-18T14:58:53Z,Subject: Web Development
752706,Write quicker HTML5 and CSS 3; productivity hacks with emmet,https://www.udemy.com/write-quicker-html5-and-css-3-productivity-hacks-with-emmet/,0,13016,286,15,Intermediate Level,0.24,1.5,2016-03-03T17:45:31Z,Subject: Web Development
861624,ES6 Javascript: The Complete Developer's Guide,https://www.udemy.com/javascript-es6-tutorial/,80,13010,2709,68,All Levels,0.41,6.5,2016-07-12T15:29:32Z,Subject: Web Development
382856,Create Startup Landing Page with Viral Marketing Strategies,https://www.udemy.com/create-startup-landing-page-with-viral-marketing-strategies/,0,12974,120,13,Beginner Level,0.15,1,2015-01-03T01:18:44Z,Subject: Web Development
939962,"Learn SVG Animation - With HTML, CSS & Javascript",https://www.udemy.com/learn-svg-animation/,65,12953,680,22,All Levels,0.15,1.5,2016-09-12T18:51:32Z,Subject: Web Development
646056,How to Make a Video Blog Website From Scratch w/ Wordpress,https://www.udemy.com/how-to-make-a-video-blog-website/,0,12952,163,22,All Levels,0.24,1,2015-10-21T23:31:22Z,Subject: Web Development
917724,Learn JavaScript for Web Development,https://www.udemy.com/javascript-learn-javascript-essentials-and-build-project/,75,12893,220,95,Beginner Level,0.1,8.5,2016-10-12T16:41:11Z,Subject: Web Development
682484,Create a Website from Scratch using HTML CSS step by step,https://www.udemy.com/create-a-website-from-scratch-using-html-css-in-1-hour/,75,12882,95,20,All Levels,0.74,1.5,2015-11-27T23:15:24Z,Subject: Web Development
101864,Programming for Entrepreneurs - JavaScript,https://www.udemy.com/javascript-tutorial/,200,12873,106,38,Beginner Level,0.48,2.5,2013-11-11T00:28:17Z,Subject: Web Development
788514,Learn to use JSON,https://www.udemy.com/learn-to-use-json/,150,12838,96,22,Intermediate Level,0.85,1.5,2016-03-11T18:30:18Z,Subject: Web Development
