tweet,date,time,timezone,urls,language
Global Magnitsky #HumanRights Accountability Act 2016 Of U.S. And Implication Of Officials And Ministers Of Modi Govt Under It  https://t.co/wMaMd6yQqG #DigitalIndia #LegalTech #Corruption #Startup #Investors #Startups @IMPraveenDalal @ConflictOfLaw @_CEPHRC @_PTLB @_GroundReality,2022-10-16,11:09:50,0,['https://twitter.com/i/events/1581273854315413506'],en
#Trending Tech News This startup is giving renters solar power - TNW  #entrepreneur #venturecapital #vc #startups  Read More Here:  https://t.co/5S8bSMTreV,2022-10-15,01:56:23,0,['https://thenextweb.com/news/berlin-startup-creates-solar-panels-for-renters-and-new-business-models'],en
Company: HotChatary  Type: Data and Analytics Valuation: 507 million Distance launched: 184 m Score: C,2022-10-08,17:54:04,0,[],en
📢 Join @LGNOVACenter's Mission for the Future ‘22 to build &amp; scale your #digital #tech #startup! 📈 You get:  💰 Up to $100k joint development funding 🤝 Access to LG resources &amp; partners 🌱 Business Development Support  Learn more &amp; apply by 20 Oct 👉  https://t.co/tJndyNSQer  https://t.co/7qUxaVjrwg,2022-10-12,11:01:27,0,['https://magazine.startus.cc/collaborate-scale-your-innovative-solution-with-lg-nova-mission-for-the-future-2022/'],en
Get Funding for Your Gym Startup or Existing Operation.  https://t.co/xHnjPzv7HL #gymconsultant #newgymstartup #gymbroker #gymfinancing #gymmarketing #insurance  https://t.co/1XUFtnqpgB,2022-10-09,11:00:39,0,['https://www.fmconsulting.net/.../the-gym-funding-playbook/'],en
"VCs advising their portfolio startups to cut costs, downsize teams and raise funding without over-negotiating on valuations.  https://t.co/qsuPx6P0Pc",2022-10-16,10:58:21,0,['https://www.moneycontrol.com/news/business/startup/downsize-teams-raise-funding-without-over-negotiating-on-valuations-infoedge-ventures-to-portfolio-cos-9325171.html'],en
VC:- What is your Tech stack ?  Startups:  https://t.co/KwWQjwSsS8,2022-10-16,10:55:21,0,[],en
"Indonesia: Waste4Change gains $5M Series A funding with tech monitoring and recording processes in waste management flow, providing automation in material recovery facilities  https://t.co/h66Ssa1VDI #indonesia #techforgood #socialimpact #ESG #startupindonesia #techstartup",2022-10-16,10:45:10,0,['http://ow.ly/3s2A50Lb2F6'],en
"@sswadesh703 @globaltimesnews Chinese have more Cloud startups than India, more academic papers are coming from China. No independent thought? In every sector china is advanced to India.  It's the reality which indians need to accept learn from them and implement in India. Instead of complaining",2022-10-16,10:42:56,0,[],en
#generationalwealthovernight 🤣🤣🖐 #TUO  https://t.co/V0ISWK9QDl,2022-10-16,10:42:47,0,['https://twitter.com/i/spaces/1lPKqBQeLNlGb'],und
Get Pub Business Plan to Launch Your Startup  Download for FREE ---&gt;  https://t.co/mwm7wd5sqK   #startups #funding #startup #venturecapital #entrepreneurship  https://t.co/05mJV59nLQ,2022-10-11,09:18:37,0,['http://finmodelslab.com/products/pub-business-plan'],en
"Anchorage’s @diogomonica says the startup hasn’t spent a dime of its $350 million in fresh funding in the bear market 💰  We talk bank charters, lending and whether an expansion into the retail market or an IPO could be on the cards 👇   https://t.co/uiFsQB1Aln",2022-10-16,10:40:31,0,['https://www.theblock.co/post/174673/we-end-up-winning-more-anchorage-boss-monica-sees-bank-charter-as-key-to-weathering-crypto-winter?utm_source=twitter&utm_medium=social'],en
"@bukunmiFamiloye Yeah for sure. We don't have many of examples of it though, it's a flippening of the usual, people usual start their career in Startups and then move to VC",2022-10-16,10:40:13,0,[],en
"Mint Primer | How edtech industry is changing Indian education system  Edtech in India has grown phenomenally in the last couple of years, making India the edtech capital of the world. There are around 10,000 edtech startups in India.  https://t.co/6FXV0FGfIr",2022-10-16,10:38:59,0,[],en
"Fintech is also the most popular sector when it comes to Nigerian startup funding, as it is across the rest of the continent. This trend is only becoming more pronounced.   #SustainableTalentPipeline",2022-10-16,10:38:55,0,[],en
"Startups set up as overseas holding companies are now exploring the so-called ‘reverse flipping’ to bring their ownership back to India and list locally following successful initial public offers (IPOs) from tech unicorns Zomato, #Paytm, and #Nykaa.     https://t.co/0UN7Vi5dSO",2022-10-14,05:50:00,0,['https://economictimes.indiatimes.com/tech/startups/indian-startups-exploring-reverse-flipping-to-bring-company-ownership-back-to-india/articleshow/94843386.cms'],en
"@anandmahindra These type of startup ideas are not good for india... Sir, poor people also need business to earn money for living. Already amazon, reliance fresh etc have snatched business and now this type of ATMs also !!",2022-10-16,10:30:18,0,[],en
In a funding winter...   Some #startups are winning several rounds of funding! What makes them tick?   What #sales lessons can we learn from them?  https://t.co/r80T7eTMzL  #StartUpFunding #SalesCoaching #b2bsales #businessdevelopment #salesnewsletter  https://t.co/UdutN9XGuo,2022-10-16,10:30:13,0,['https://bit.ly/mm-spotlit-bj16'],en
"This Month in German, Swiss, and Austrian (GSA) Startups — Summer 2022 Wrap-Up via @startuprad_io  https://t.co/6UbWW5nupO",2022-10-16,10:30:00,0,['https://buff.ly/3TglMP6'],en
GEEE EMMM! It's Day 96 of Totally Uninformed Opinions! 🥘🥞🧇 #TUO #day96  https://t.co/knSw0sCwio,2022-10-14,15:09:46,0,['https://twitter.com/i/spaces/1lDxLnYaDmZGm'],en
"In the whole thread, there's this one part that stands out to me, which is critical for any startup, esp right now:  Securing funding. Get enough funding and you have years to build+iterate+pivot (if needed)  Pedigree, hype, FOMO etc matters in raising.   https://t.co/y4aI7gX7nn",2022-10-16,10:29:21,0,['https://twitter.com/YehongZhu/status/1580022233057005569?s=20&t=UblaEgTWcI2LjdjQ-v_MwA'],en
"Not exactly strictly neural IR, but definitely related -  the Swedish startup @getkive  just raised $7M seed funding (source: N9).   Kive is building an ""AI-powered platform for creatives"" - sounds like there will be some interesting search/neural IR/multimodal search usecases",2022-10-16,10:27:02,0,[],en
"To paraphrase Buffett, it’s time to see who’s swimming naked. VCs now need to get to know those selling ‘goggles’ or ‘dive masks’ to get actual visibility on the startup landscape #newpriorities #startups #funding #VCs",2022-10-16,10:17:06,0,[],en
एग्री स्टार्टअप  Agri Startup “Zoo Fresh Foods Pvt. Ltd.” #AgriStartupConclave #KisanSammelan #EnablingAgriStartups #ICAR #PMKisan @PMOIndia @nstomar @KailashBaytu @ShobhaBJP @PIB_India @DDKisanChannel @AgriGoI  https://t.co/itgBR8K2Qm,2022-10-16,10:16:50,0,[],und
India launches 75 digital banking units across rural areas in financial inclusion push  https://t.co/LON6VL8k77  #startups #entrepreneur #startupnews #business #marketing #tech,2022-10-16,10:14:07,0,['https://ift.tt/gQ3I9Eo'],en
VC backed Startup Satire 😂,2022-10-16,10:14:00,0,[],en
VC funding for #crypto startups sank 37% in the third quarter 2022. #Web3  https://t.co/QrE9lYvdpQ,2022-10-16,10:12:22,0,['https://www.bloomberg.com/tosv2.html?vid=&uuid=d115134c-4d3a-11ed-a19d-587a4f586f71&url=L25ld3MvYXJ0aWNsZXMvMjAyMi0xMC0xMS9jcnlwdG8tc3RhcnR1cC1mdW5kaW5nLXEzLXBsdW5nZXMtYWxvbmdzaWRlLWJpdGNvaW4=&utm_medium=social&utm_source=twitter'],en
"1. India's Most Influential Summit 💫  → TechSparks is India's most influential technology, innovation, and leadership summit.  → It is THE go-to place to discover startups, visionary entrepreneurs and mind-blowing innovations set to transform industries.",2022-10-16,10:11:30,0,[],en
#1DayToGo Join India's largest gathering of agri-stakeholders in New Delhi. 🇮🇳 Inauguration by Hon'ble Prime Minister  👩🏻‍🌾 Kisan Sammelan  ⚙️ Startup Exhibition  🗣️ Panel Discussions   @AgriGoI @narendramodi @nstomar @ShobhaBJP @KailashBaytu @PusaKrishi @icarindia #PMKisan  https://t.co/l8XBCb2VjV,2022-10-16,10:09:10,0,[],en
"India's Pravaig electric #SUV ""Extinction"" to have 500km range.  #evsuv #pravaig #bangalore #startup #startupnews  https://t.co/T2aYFtVYWI",2022-10-16,10:06:22,0,['https://techstory.in/indias-pravaig-electric-suv-extinction-to-have-500km-range/'],en
"🎯 Launch Your Business with 📊 Startup Financial Model Excel Template 🎯  What You Will Get:  ✔️ Financial Model Excel Template ✔️ Reports, Metrics, Valuation, Financials ✔️ 30 mins Video Tutorial Guide,  Get Free DEMO --&gt;  https://t.co/xbha6RrgCf  https://t.co/hrjCaIcdmB",2022-10-08,08:01:29,0,['https://shortlink.store/PfsBjPKM72'],en
Day 52: Create a unicorn startup,2022-10-16,10:01:00,0,[],en
Want to maximize your #startup #funding options? Get feedback at 1Mby1M #mentoring #roundtable.  https://t.co/4W9vwHQNMK  https://t.co/6Z1TBH6y1v,2022-10-16,10:00:23,0,['http://ow.ly/YCUL50LaXf4'],en
"Inviting all the #startups in the field of #sustainability to participate in the #Israel-@TiEChandigarhs B Plan Competition.   Get a chance to be mentored by top Israeli &amp; Indian experts, It's an opportunity like no other!  Register for free, here:  https://t.co/8bjrQIN0cV  https://t.co/j1Z7wwwdmR",2022-10-16,09:59:28,0,['https://docs.google.com/forms/d/e/1FAIpQLSfOjGk-UvVNVb_OmIAZd87B3I9pcJXv1CEwdjj14tQ8hq0MPw/viewform'],en
"According to the deputy chief executive, companies within @Hub71AD have generated over $680 million and created hundreds of direct jobs. 💼  #Hub71 #AbuDhabi #Startups #Funding #Entrepreneurship #Tech #Technology #TechNews #TechnologyNews #MENA #TechMGZN   https://t.co/4LkK2oIP27",2022-10-16,09:57:16,0,['https://techmgzn.com/startup-funding-at-abu-dhabis-hub71-reaches-871m/'],en
A convertible note is a way for seed investors to invest in a startup that isn't ready for valuation.,2022-10-16,09:51:23,0,[],en
"🇮🇳India is the world's 3rd largest startup ecosystem with 107 unicorns and 80,000+ recognized startups. #TheStartupIndiascheme was launched in 2016 for building a strong ecosystem for nurturing innovation and #startups in the country.@startupindia  https://t.co/tO83DtjzqZ",2022-10-11,15:03:25,0,[],en
"Maiar Launchpad Projects and @Ledger, @Morningstar_vc, @IstariVision, are all partners during the X-Day!   @ElrondNetwork you should’ve make a startup village like BIG events always do! There’s no fuel without builders and community...❤️  You should have pushed this more🐝👀...",2022-10-16,09:47:51,0,[],en
"Oh boy, if Upcraft Club becomes the next Coca-Cola... #Startup #Unicorns #VC",2022-10-12,09:46:34,0,[],en
"To boost the #startup ecosystem in agriculture including Millets &amp; Millet based Start-ups in India,Hon'ble Prime Minister @PMOIndia India  is to inaugurate ""Agri Startup Conclave &amp; Exhibition""on 17-Oct-2022,  @nutrihubtbi will be attending the event Check  https://t.co/lTBZlJXMQ2",2022-10-16,09:44:07,0,['https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1868005'],en
Egyptian IoT startup CardoO raises $660k seed funding round  https://t.co/WbIMksVghI,2022-10-11,10:01:00,0,['https://disrupt-africa.com/2022/10/10/egyptian-iot-startup-cardoo-raises-660k-seed-funding-round/'],en
#Google has launched a new #accelerator program geared to support technology startups and NGOs based in North America and Asia Pacific that further a #circulareconomy. #ESG #VC #Startups  https://t.co/hbe5LVTFaR  https://t.co/wUDZ6p7LW1,2022-10-16,09:41:01,0,['https://buff.ly/3VlYlFT'],en
#EUInnovations for a better future!🇪🇺 Amazing to see so many #deeptech startups &amp; impactful innovations being supported by the @EU_Commission with another funding round from the @EUeic Accelerator 🚀 Congrats to all selected #startups!  https://t.co/3KdOGkVOYC,2022-10-16,09:40:14,0,['https://eic.ec.europa.eu/news/european-innovation-council-new-wave-deep-tech-start-ups-set-receive-accelerator-grants-and-equity-2022-10-14_en'],en
"Crypto #startup #Anchorage is weathering the #bearmarket without dipping into its $350 million in fresh #funding, thanks to its #bankcharter.  #bitcoin #crypto #bitcoinnews #cryptonews #newsupdate #breakingnews",2022-10-16,09:38:10,0,[],en
"gemini  projects, team work and collaborations will reap rewards. for those working on a biz/startup, your presentation will get you some funding. have faith in your dreams. team work makes the dream work. recognition at work will be given in form of a raise/promotion.",2022-10-16,09:36:43,0,[],en
"#VC- Town Hall Ventures ( https://t.co/KQOS3MrkDO Seed, Series A, B, C)  Office- New York  Market- Community #HealthCare (#PrimaryCare, #MentalHealth, #Addiction, End-of-Life Care, #KidneyCare, Maternity, Newborn Health, #DigitalHealth)  #venturecapital #startup #startups #funding",2022-10-16,09:33:00,0,['http://townhallventures.com'],en
"#Africa: Venture capital funding of African #startups with more than $100,000 raised reached $850 million in Q3 2022.  https://t.co/hBit9QloQv  https://t.co/lo8qwMGJ1d",2022-10-16,09:30:00,0,['https://bit.ly/3CtbmES'],en
"valuation of more than 1 billion dollars) Startups, 40 in 2021 alone !! But people have a problem with Adani becoming the richest person in India. Tata Group has 7,50,000 employees.  L&amp;T employs 3,38,000 people.  Infosys has 2,60,000 employees Mahindra has 2,60,000 employees.1/7",2022-10-16,09:29:58,0,[],en
only get Hate in India. We are a Nation that Worries about Brain Drain &amp; Abuse the Wealth Creators in the Nation... Wake up…..It’s not US and China anymore. India is becoming the world's fastest-growing startup ecosystem with over 70 Unicorn ( A startup company with a 1/6,2022-10-16,09:29:57,0,[],en
"17) Small Thoughts  Similar to the Founders Fund and Y Combinator, in the venture business nowadays, it is important to approach startups with the value add that a VC could provide in addition to the capital (except for cases like Tiger Global and Coatue)",2022-10-16,09:17:34,0,[],en
"@Depio8 @StellaSwap @MoonbeamNetwork @wormholecrypto @ethereum @Polkadot @circle #Boycott movement to @MoonbeamNetwork  , @StellaSwap  and @MoonwellDeFi  ad long as they not put efforts to work on recovery plan for Nomad victims @nomadxyz_  . Also RUN AWAY, AVOID of all startups funded by @polychaincap  @archetypevc  @robotventures @Cryptocom_Cap @hack_vc",2022-10-16,09:13:46,0,[],en
"Congratulations to ""Bharat Dental Innovations Pvt. Ltd."" MAGIC Incubated Startup for securing State Level Second Prize in Healthcare in Maharashtra Startup Yatra 2022 organised by the  Government of Maharashtra- Skill Development and Entrepreneurship Department’s @MSInSociety  https://t.co/CYvKwAvuBu",2022-10-16,09:07:06,0,[],en
#GITEX #northstar #open_ai @airec.app #ats #ai #automatedinterviews #startup  #funding @ Dubai World Trade Centre  https://t.co/fnDgrGJtiM,2022-10-16,09:04:53,0,['https://www.instagram.com/p/CjxNee2tpmz/?igshid=YTgzYjQ4ZTY='],en
@bccdeafstudies @bccdeafstudies We run a DeafCafe empowering deaf and orphan community in India. Pls support our startup with a FOLLOW BACK on Twitter.,2022-10-16,09:02:13,0,[],en
"Better Beauty will focus on expanding its product catalogue, marketing budgets &amp; increasing its offline presence. Earlier @LotusHerbals acquired 25% stake in @ccofficialindia  https://t.co/NlkBpD1jKv @anitahasnandani #d2c #ecommerce #startups #funding #investors",2022-10-16,08:51:29,0,['https://bit.ly/3D0o6UX'],en
"PQSI, XYMA Analytics, @deliverain, EXACTSpace, Augurai, Katonic India, @range_aero, @solinas_in, @RakeshSeaconvoy, Vikra Ocean Tech, @BigBangBoomSoln, ICOG, GlaxEye.  #technology #transformation #innovation #MSME #cocreate #startup #chennai #upskill #engineering #FORTChennai",2022-10-16,08:50:15,0,[],ro
Here Are 31 Low Startup Cost Business Ideas for Teens via @ATouchOfBiz  https://t.co/nQoW8uWPst,2022-10-16,08:48:00,0,['https://buff.ly/3Nt7CHP'],en
"Just asking if India has a low latency, broadband internet system on the lines of starlink? I think it is a social and security requirement. May be out space startups can look at this?",2022-10-16,08:47:36,0,[],en
Indian Startup Funding for the week (1Oct - 8Oct 2022) #startup #startups #startupindia #funding #fundraising #venturecapital #privateequity   https://t.co/395ZMvzebL Coutersy : @Inc42,2022-10-08,10:02:37,0,['https://inc42.com/buzz/funding-galore-from-euler-motors-to-juno-137-mn-raised-by-indian-startups-this-week/'],en
SEO Expert in #Singapore   https://t.co/Md1vssITIY  #HTML #CSS #PHP #Javascript #Software #SoftwareEngineer #CEO #market #businesses #startup #smallstreamer #smallbusinesses #seotips #company #marketing #wordpress #Website #careers #Oracle #USA #Web3 #India #seollp,2022-10-15,10:42:47,0,['https://www.seollp.com/seo-expert-singapore.html'],es
Get it now. #gnu #marathi    https://t.co/lUXKg2F7Pv  #Kubernetes #opensource #linux #docker #startups #containers #cloudcomputing #linkedin #pune #india,2022-10-16,08:42:16,0,['https://www.linkedin.com/posts/rodrigueznestor_super-container-os-is-a-great-option-for-activity-6980770344584273920-s5-q'],en
OUT NOW! New Routes To Funding: The Handbook Of Modern Funding  https://t.co/YPoXlXxomZ  #startup #seed #investment #advisors #mentors #SME  https://t.co/IZnGf7YsVT,2022-10-08,11:41:10,0,['http://newroutestofunding.com'],en
i hate mac because of its customer service.  it's terrible as fuck in india.  they can improve customer service through this kind of saas.  the applications are enormous.  a zoom plugin that live-transcribes is another multi-million dollar idea.  it's probably already done.,2022-10-16,08:39:01,0,[],en
Live Webinar - Initiating the startup ecosystem orchestration: the ecosystem operator role  https://t.co/yTXc8Ho2G4 #india #entrepreneur #startupindia #startupslist #startups,2022-10-16,08:34:12,0,['https://www.startupcommons.org/blog/live-webinar-initiating-the-startup-ecosystem-orchestration-the-ecosystem-operator-role'],en
Get involved &amp; join our expanding #community 🔥  https://t.co/V1UjfgEjqU #music #artists #djs #bands #events #voting #platform #globalmusicstation #venues #funding #progress #nfts #musicians #streaming #collaboration #TechNews #news #startup #musicproducer #berlinmusicstation  https://t.co/B2WQ2mdAzE,2022-10-07,15:06:07,0,['https://berlinmusicstation.com/join-us/join-us-artist/'],en
"After quitting his job and failing to crack competitive exams, Abhay Bishnoi launched J B Capital with his friends to grow the cordyceps militaris #mushroom variety, which has a host of #healthbenefits for ailments like diabetes &amp; heart diseases. #startup   https://t.co/KQ8gI6pu9a",2022-10-16,08:30:01,0,['https://www.thebetterindia.com/267798/upsc-cordyceps-militaris-mushroom-diabetes-heart-benefits-startup-earns-lakhs/'],en
Surge In 'Foreign Return' Startups In India via @techshotsapp   #startup #india #makeinindia    https://t.co/EeRteVWGiS,2022-10-16,08:29:24,0,['https://techshotsapp.com/startup/surge-in-foreign-return-startups-in-india'],en
"@millsustwo @doug_scott @AngelList @angelist For example*:  🦄 ""a venture-backed seed-stage startup has an estimated 1 in 40 shot—or 2.5% chance—of becoming a unicorn""  🌱""startups with top VCs in their seed round and startups without top VCs in their seed round both have a 50% chance of Series A""  *Based on AngelList data",2022-10-16,08:19:40,0,[],en
"Hindi me Medical education ka startup india h .Rus me rusian ,China me chainis,India me Hindi kyo nahi ?",2022-10-16,08:16:06,0,[],in
"On occasion on the 4th Foundation Day, this female-led #startup continues to make headway. She is the #change maker fighting India’s oral diseases with a super-awesome team of dentists and technocrats!  https://t.co/oIP5vF9v2b",2022-10-16,08:15:38,0,[],en
"#LATAM, one of the highest emerging market of internet activity, has been attracting #startups for a few years.   The hottest markets for VC: FinTech (42%), Ecomm &amp; Marketplaces (27%), PropTech (10%).  Other in the following tweet ⬇️  #productmanagement #VentureCapital  https://t.co/2QO8b6331i",2022-10-16,08:13:44,0,[],en
Kevin Durant is a GENIUS Venture Capitalist #VentureCapitalist #Finance #Funding #Startups [Video]  https://t.co/lMibiNcwnO,2022-10-16,08:09:33,0,['http://dlvr.it/Sb933M'],en
"We were one of 15 #startup shortlisted from 2,000 #startups in 25 cities for Bharat Pitchathon Finale at HSX @Headstarters's flagship event #hsx2022. Here is an impromptu elevator pitch by @vinittulsyan with @patindian @sanjeevpatni during the event. @gauthamsiv @VaderaTushar  https://t.co/hv4uckSHBy",2022-10-16,08:09:09,0,[],en
Hear @loshmeofficial Broken Heart #techhouse #Subotica #berlinmusicstation  https://t.co/5cejczPyPg #Berlin #music #artists #djs #bands #events #voting #indiemusic #singersongwriter #Entrepreneurship #fairstreaming #venues #funding #nft #musicproducer #community #musician #startup  https://t.co/OKZjKEt9vT,2022-10-16,08:06:22,0,['https://berlinmusicstation.com/track/Milosh%20Pannic/Milosh%20Pannic%20-%20Broken%20Heart/16145'],en
This is one of Boston's startup community.,2022-10-16,08:04:03,0,[],en
How This Startup Went From Zero Funding To a Leading Crypto Marketing Agency     https://t.co/IlqtrZGBZV  https://t.co/EvxD3fxL5d,2022-10-10,05:47:58,0,['https://ift.tt/YFIB26Q'],en
"7th edition of TiE Global Summit with the theme Technology Entrepreneurship, will be held in India this year between 12-14 December at HICC-Novotel, Hyderabad, being hosted by TiE Hyderabad.    https://t.co/d3gFz5Ol07  #TiE #StartupMzansi  https://t.co/Hxa0WHhREc",2022-10-16,08:01:45,0,['https://tgs2022.org/tgs-100/'],en
"For years, becoming a unicorn was the main goal of startups. Now, with venture funding drying up and many young firms’ survival in doubt, another creature is the talk of the town: the cockroach  https://t.co/cMq8WuMb1O",2022-10-11,22:57:25,0,['https://trib.al/HNzKISF'],en
Early-stage startups Wishlink and MakerDojo .Io secure seed funding   https://t.co/PB9t1pbSrD  https://t.co/kYA4EYgOFo,2022-10-16,08:00:04,0,['https://www.vccircle.com/earlystage-startups-wishlink-and-makerdojo-io-secure-seed-funding'],en
"Zee Entertainment Enterprises Ltd (ZEEL) has confirmed that their shareholders have approved  the proposal to merge with the rival Culver Max Entertainment Pvt Ltd, formerly  known as Sony Pictures Networks India (SPNI).   #ZEE #SONY #Entertainment #ZEEL #SPNI #Merger #Vote #Poll  https://t.co/CU4ADBVDNh",2022-10-16,08:00:00,0,[],en
"Stunned to see the number of 18 yr olds in 🇮🇳 who are running full-fledged startups with revenues, employees, etc.  Their level of maturity and hustle is next level.  They have no fear of failure.  The future of India's startup ecosystem is looking brighter than ever.. 👇",2022-10-16,07:58:58,0,[],en
The Week in Agrifoodtech:Foodtech funding..Agtech funding.. *#STARTUP #US #INDIA.. https://t.co/AXuj2FmnTQ  https://t.co/VDRHLXkntX,2022-10-16,07:58:11,0,['https://agfundernews.com/the-week-in-agrifoodtech-foodologys-50m-for-ghost-kitchens-quick-commerce-consolidation'],en
"@herbgreenberg @enriqueabeyta Nayax ($NYAX): Killing it in the POS terminal space. Once they start to monetize the anonymous data, they'll know more about consumer behavior than incumbents. All benefits of Israel startup ecosystem w/o the arrogance, hubris and inflated valuation.",2022-10-16,07:57:46,0,[],en
@ZenInvest0r What still strikes me today is the amount of valuation creep that we've tolerated.  &gt;$10mm for pre-revenue startups is very expensive.,2022-10-16,07:55:46,0,[],en
‘Foreign-return’ startups on the rise; India's monthly mobile exports hit record $1B   https://t.co/cffP0ey3B6  via NaMo App  https://t.co/KK07NvSCSW,2022-10-16,00:06:20,0,['https://economictimes.indiatimes.com/tech/newsletters/tech-top-5/foreign-return-startups-on-the-rise-indias-monthly-mobile-exports-hit-record-1b/articleshow/94863244.cms?from=mdr'],en
China’s EV startups brave funding slump with deals worth $6 billion  https://t.co/kWpSY3MX45,2022-10-15,01:51:34,0,['https://hanlire.com/chinas-ev-startups-courageous-funding-stoop-with-offers-value-6-billion/'],en
"while building a venture the only resistance ever faced was from VC funded ‘startups’ &amp; the ‘startup’ ecosystem  everyone else was supportive, the customers, the vendors, even the competitors running traditional businesses  the culture of VC &amp; ‘startups’ is that of dogs that envy",2022-10-16,07:55:14,0,[],en
THESE #STARTUPS have just been selected for.. *from growing real seafood from fish cells to using AI to prevent food waste.  *#INDIA #US #NL..  https://t.co/QQTTTPJULu  https://t.co/c36jCTN9me,2022-10-16,07:47:52,0,['https://www.greenqueen.com.hk/food-startups/'],en
🦄💫💻 On 23rd we will welcome a delegation of @clubinvestitori for a tour aimed at the discover of Israeli technology ecosystem and the next unicorn. 💻💫🦄 💥#Investments in Israeli startups are the way 💥  #health #agrotech #climate #security #mobility  #sustainability  https://t.co/0QWvaqAz5D,2022-10-16,07:46:17,0,[],en
"#USOF invites domestic companies, startups and institutions to submit their proposals for the Telecom Technology Development Fund (TTDF) with the vision to make India a global leader in the telecom sector.  Visit:  https://t.co/HJLrxa6Fyy @DoT_India @pib_comm  https://t.co/PbdbXQbF19",2022-10-16,07:45:18,0,['http://usof.gov.in/ttdf'],en
"Govt sector panel to scale VC &amp; PE investment. @ShereenBhan talks to @GopalSri, Ashley Menezes &amp; Pratibha Jain on what will it take to deepen India's #startup funding ecosystem  @TVSCapitalFunds @IndianVCA @CNBCYoungTurks   https://t.co/bqTBzQuDkz",2022-10-16,06:30:00,0,['https://twitter.com/i/broadcasts/1nAKErXVkPVGL'],en
Big is not better when sparking innovation and entrepreneurship… #vc #startups,2022-10-16,07:36:00,0,[],en
