Economy,Fam,Health,Freedom,H_Score
0.21102,1.13299,0.33861,0.45727,3.931
0.36498,0.97619,0.4354,0.36772,3.904
1.06024,0.90528,0.43372,0.31914,3.896
0.0694,0.77265,0.29707,0.47692,3.845
0.46038,0.62736,0.61114,0.66246,3.819
0.2852,1.00268,0.38215,0.32878,3.781
0.20824,0.66801,0.46721,0.19184,3.681
0.0785,0,0.06699,0.48879,3.678
0.34193,0.76062,0.1501,0.23501,3.667
0.17417,0.46475,0.24009,0.37725,3.656
0.46534,0.77115,0.15185,0.46866,3.655
0.25812,0.85188,0.27125,0.39493,3.587
0.31982,0.30285,0.30335,0.23414,3.575
0.22208,0.7737,0.42864,0.59201,3.465
0.28665,0.35386,0.3191,0.4845,3.34
0.6632,0.47489,0.72193,0.15684,3.006
0.0153,0.41587,0.22396,0.1185,2.905
0.20868,0.13995,0.28443,0.36453,2.839
