Feature1,Feature2,Feature3,Feature4,Target
78,53,942,2,45
32,42,596,2,34
78,43,632,2,76
75,51,872,0,44
50,66,1472,-3,84
20,55,1029,1,69
55,46,710,-2,39
58,43,620,1,32
78,62,1295,-3,75
83,57,1088,0,49
60,67,1507,-3,58
43,57,1088,-2,33
38,46,714,-3,44
60,68,1550,-1,51
30,47,762,-2,92
40,61,1262,0,80
29,68,1559,-1,65
66,62,1292,1,56
13,67,1524,1,86
76,41,575,-1,75
26,67,1515,-1,66
31,49,823,-1,82
25,50,852,-3,70
32,63,1338,-2,61
51,54,984,-1,57
79,58,1142,-3,96
44,66,1461,0,46
67,64,1374,-1,53
67,50,838,-2,44
11,51,894,2,82
80,64,1385,-3,94
32,65,1419,-1,47
64,61,1261,1,86
60,48,774,-2,45
61,47,739,0,32
55,59,1170,-1,52
83,46,715,-1,62
53,53,963,1,99
52,49,810,0,49
49,42,612,1,90
85,65,1408,-3,37
89,45,682,2,54
56,40,549,-2,71
24,59,1169,-2,39
34,63,1328,-2,31
64,49,814,-2,69
28,57,1106,1,79
85,44,659,2,72
61,61,1258,2,76
87,66,1473,2,96
14,43,627,-2,41
52,53,958,0,87
15,56,1065,-3,67
36,46,719,2,53
87,57,1101,-2,90
71,44,668,-2,98
40,69,1611,2,86
87,56,1062,1,84
19,54,984,-3,46
14,54,991,2,60
42,45,689,1,57
47,66,1479,2,99
43,60,1227,2,96
69,57,1095,-2,65
42,65,1422,0,57
14,44,656,0,38
87,40,551,0,89
53,62,1306,-3,98
17,66,1469,1,56
29,53,943,-1,33
59,65,1415,2,41
45,43,633,-1,69
46,67,1508,1,51
28,50,847,2,49
78,49,814,0,71
41,64,1381,-1,63
70,64,1376,1,59
66,66,1453,-3,32
11,48,789,2,64
63,44,659,-2,69
72,57,1082,-3,30
38,65,1428,-3,76
70,48,789,0,92
86,61,1254,2,72
80,55,1026,2,83
10,68,1568,2,81
40,41,588,2,96
18,50,853,-2,69
73,66,1464,2,64
24,60,1208,2,32
78,69,1601,-2,74
45,69,1605,-2,74
76,57,1093,0,59
56,51,870,-2,34
12,68,1557,-2,53
20,43,641,-3,86
86,54,992,0,93
80,66,1460,2,53
68,50,848,-1,71
74,50,852,-1,88
74,46,715,2,58
38,67,1509,-3,57
41,42,613,-1,93
45,40,549,0,65
67,52,921,-1,87
14,49,810,0,36
47,68,1552,0,52
32,63,1334,-1,47
71,52,918,-1,80
77,57,1102,-2,91
83,64,1384,-2,90
84,63,1334,-1,67
64,63,1344,1,89
54,67,1509,2,59
55,69,1594,2,42
43,50,840,-3,40
13,66,1477,-2,81
27,47,746,2,38
86,59,1172,0,68
61,51,883,2,69
75,64,1365,-1,30
28,43,637,-2,76
24,47,763,2,88
39,45,696,2,76
83,41,559,-1,30
54,43,632,2,68
77,44,661,-2,80
82,45,679,1,43
49,48,786,-2,76
42,56,1056,2,47
12,68,1564,-3,76
20,69,1605,0,62
76,65,1411,2,36
41,65,1430,2,80
11,54,1003,-1,98
39,44,664,-3,75
42,57,1107,-1,91
18,57,1105,2,70
73,60,1210,-3,63
12,67,1510,0,46
59,50,841,-1,49
86,50,855,2,96
37,41,570,2,41
38,53,951,1,58
70,41,562,-3,37
51,50,858,2,92
38,56,1069,-2,87
17,53,964,2,89
16,45,700,2,80
42,60,1212,2,52
52,58,1129,0,44
75,40,545,-3,67
48,45,695,2,78
80,60,1215,-1,77
22,57,1109,1,86
70,46,706,-3,34
47,68,1559,-2,74
11,56,1072,0,84
65,62,1283,2,30
25,44,671,-2,88
67,53,948,2,61
34,65,1425,0,63
27,59,1176,2,55
29,45,699,1,83
82,67,1501,-3,50
26,52,927,1,86
42,68,1566,2,89
81,56,1047,1,36
26,49,809,0,37
75,51,879,2,64
65,51,872,-2,43
61,63,1337,-1,66
52,68,1548,-3,43
78,61,1251,-2,64
17,50,850,1,55
69,59,1178,0,81
76,69,1588,0,33
82,57,1099,2,79
58,42,597,-2,52
35,66,1459,0,36
66,50,853,1,83
88,57,1092,-2,63
80,48,786,2,83
67,66,1461,2,52
73,63,1344,-2,93
39,47,753,2,65
25,58,1138,2,59
71,46,706,-2,31
58,53,947,1,54
84,69,1607,2,91
86,64,1383,-3,89
26,50,847,0,50
33,53,945,-2,42
52,62,1294,1,58
47,68,1564,2,85
42,50,850,-3,69
32,59,1178,-1,67
19,40,558,2,80
21,41,567,-2,31
84,66,1460,-2,61
43,64,1369,-3,32
36,61,1267,2,93
21,53,951,-2,54
43,60,1207,0,39
74,63,1342,1,86
69,65,1420,-2,65
65,67,1520,-1,97
46,69,1606,-3,78
27,52,915,-2,53
29,59,1184,1,83
49,62,1295,0,62
11,40,562,-1,91
56,64,1384,2,76
50,56,1068,2,87
52,49,804,0,31
85,40,531,-2,30
66,57,1097,0,69
61,40,553,0,84
39,67,1502,2,32
26,59,1173,-2,49
77,64,1377,-3,69
25,65,1433,-1,86
38,52,912,0,46
39,46,714,0,42
65,63,1331,-1,50
71,57,1091,1,51
82,61,1256,-2,83
62,58,1141,-1,84
84,55,1027,1,90
64,61,1248,-1,50
62,49,804,-3,39
66,46,723,1,78
80,49,822,-3,99
75,68,1555,0,71
21,41,574,-2,50
68,61,1248,-2,51
43,45,683,2,38
73,44,656,-2,62
76,40,554,1,91
72,66,1464,0,64
61,61,1257,0,75
48,65,1415,-3,41
77,68,1559,-1,86
29,57,1094,-3,49
20,61,1255,-2,53
49,61,1252,2,54
15,42,612,-3,82
58,47,741,2,35
20,53,959,1,75
35,44,666,-2,79
70,65,1428,-2,89
88,48,770,2,39
30,50,859,0,89
22,62,1310,2,94
20,65,1419,-3,44
25,60,1209,0,37
29,64,1385,-2,74
71,62,1303,-3,95
67,54,983,-1,61
60,44,653,1,45
70,69,1592,-1,44
34,62,1286,-3,30
47,69,1604,1,68
17,66,1466,-3,52
40,60,1205,-3,35
45,42,601,2,54
76,69,1603,2,75
83,47,740,2,42
24,63,1345,-1,78
29,44,664,-2,71
32,44,659,0,55
72,40,537,-1,41
30,40,557,-2,84
73,65,1418,-3,60
73,43,620,1,38
48,66,1470,0,72
73,58,1136,-1,75
33,45,684,-3,42
64,69,1610,-1,95
54,60,1207,-3,45
46,41,578,0,70
32,58,1133,-3,51
52,43,624,2,43
62,46,709,-3,39
50,68,1561,-3,82
15,65,1427,-2,65
80,68,1552,1,63
70,61,1246,-2,46
28,49,817,1,61
24,58,1138,2,59
20,65,1437,-1,94
28,58,1138,2,58
46,62,1299,-1,73
28,61,1256,0,59
27,46,712,-1,33
10,49,814,2,42
63,60,1223,-3,98
89,55,1011,-2,45
67,40,556,-1,95
59,53,942,2,39
24,67,1524,0,92
63,52,912,-3,60
44,64,1389,2,88
49,68,1567,-1,98
15,40,551,2,58
46,42,598,-1,49
14,65,1436,-3,93
78,64,1377,-1,66
21,59,1171,1,39
56,55,1029,1,84
33,44,652,-1,33
80,47,751,-2,79
74,62,1291,-2,61
22,46,717,-2,46
46,67,1515,0,74
12,66,1482,1,94
20,43,635,-2,65
25,62,1292,0,42
56,51,884,1,72
28,52,918,2,60
13,48,796,2,86
26,63,1337,1,51
23,48,774,-3,31
73,62,1297,2,73
18,51,894,-3,91
76,45,675,-2,33
40,64,1390,2,88
70,48,790,2,93
34,60,1207,2,34
10,58,1141,1,61
83,49,818,-3,89
83,54,972,2,32
58,46,709,-1,34
74,68,1549,1,52
57,45,692,-1,75
12,43,647,-2,99
86,50,849,-3,83
81,52,910,2,56
11,52,925,1,73
64,45,686,2,56
44,67,1507,-3,53
42,44,665,0,77
58,49,813,-2,63
13,49,829,-1,93
43,68,1547,0,33
76,53,953,-3,83
34,53,947,2,43
57,68,1543,-2,30
88,42,589,1,36
81,69,1604,-1,83
52,51,879,1,56
35,55,1017,-1,42
28,42,608,0,71
82,46,718,2,68
62,61,1265,1,98
49,68,1553,0,54
11,64,1382,-2,57
72,57,1091,0,53
12,58,1144,-1,74
73,52,911,-1,60
53,41,575,0,65
15,65,1419,2,35
89,55,1010,1,39
35,42,611,-1,85
77,58,1127,0,47
46,48,788,2,76
76,52,901,-3,33
52,41,567,0,42
71,60,1201,-2,34
29,52,921,-2,72
73,60,1217,0,81
18,51,896,0,94
43,63,1347,2,88
35,67,1517,-2,78
74,52,902,0,33
28,57,1108,-2,87
56,50,839,-2,42
51,46,710,-2,36
79,42,595,-3,56
77,55,1017,2,56
84,41,581,1,95
68,64,1368,-1,35
49,55,1012,-3,34
46,60,1219,-2,77
76,53,944,-3,56
83,40,542,-1,61
23,69,1613,-3,91
78,63,1324,1,34
56,56,1053,1,44
51,69,1608,-2,85
65,48,789,-2,91
58,60,1207,2,41
14,56,1061,-3,56
42,50,844,2,48
83,58,1125,-2,47
69,54,980,0,52
63,55,1013,0,38
73,61,1253,-3,71
66,69,1594,-1,48
53,61,1260,-1,81
89,51,887,0,97
69,67,1513,1,77
25,63,1336,-1,51
58,66,1472,-3,85
33,52,923,2,77
86,61,1255,-3,82
19,55,1018,2,35
88,57,1102,-2,94
77,54,978,1,49
46,44,652,0,38
82,55,1015,1,51
15,66,1460,0,30
79,66,1466,-3,78
52,59,1172,2,54
57,67,1513,0,72
19,40,548,-2,55
12,60,1208,-3,33
10,46,720,1,47
49,48,785,2,70
33,45,689,2,54
42,50,850,-2,69
23,47,750,-3,53
34,43,638,2,76
46,45,693,-1,72
55,50,854,-1,86
80,56,1045,-1,31
71,47,752,-3,79
63,51,890,-1,94
18,58,1151,-2,98
40,47,757,-1,79
48,54,990,0,72
60,55,1031,-1,93
47,52,925,2,87
10,68,1563,0,69
16,56,1069,-1,78
77,55,1028,-2,93
15,65,1431,1,72
12,68,1573,2,97
59,48,787,0,80
86,42,592,-3,48
89,63,1336,1,75
34,60,1207,1,33
42,47,741,-2,32
32,58,1139,-1,66
60,69,1601,-2,69
69,51,872,0,42
74,42,592,0,41
81,64,1376,0,64
83,45,681,0,50
33,61,1249,-3,42
81,60,1211,1,64
16,52,925,2,74
13,60,1213,-2,46
82,48,773,1,46
59,45,695,2,82
49,51,878,-3,56
14,40,556,-2,75
51,41,575,-3,66
68,43,619,1,34
22,55,1037,2,92
18,69,1611,-3,82
89,50,855,2,98
83,54,991,0,90
39,66,1476,-3,91
29,57,1093,0,43
33,53,956,1,72
73,42,609,0,92
85,48,789,1,96
59,59,1178,2,75
79,53,937,1,32
79,45,683,2,54
51,59,1177,-2,72
28,59,1185,0,84
63,66,1472,0,86
11,54,996,0,77
66,46,720,2,67
48,69,1593,1,37
89,65,1412,-3,50
52,43,621,-3,39
71,47,752,-2,77
26,60,1217,0,62
36,56,1071,1,90
76,65,1424,-3,80
31,45,699,1,84
80,62,1298,1,80
19,57,1099,1,56
80,57,1103,0,91
53,53,960,-2,94
25,59,1176,1,55
43,68,1567,-3,98
70,45,696,1,91
31,63,1338,0,56
54,62,1288,0,42
15,69,1595,0,30
23,69,1603,-3,59
55,63,1337,0,64
33,69,1612,1,88
36,48,783,-3,61
42,59,1173,-2,58
26,58,1140,-2,69
53,66,1467,-2,67
60,50,847,-2,66
17,43,644,0,91
59,58,1132,0,55
83,63,1325,0,40
15,59,1177,0,56
33,61,1260,-3,75
56,45,677,-1,30
64,46,721,-1,74
68,46,717,1,61
35,52,917,2,58
41,50,854,-2,79
31,68,1567,0,88
79,51,875,1,55
61,65,1416,-1,47
44,62,1294,2,54
78,59,1167,0,50
53,63,1327,-1,35
49,55,1029,0,81
23,51,893,-3,91
74,62,1282,-1,32
38,48,777,-2,44
43,46,730,-2,94
77,44,645,-3,32
28,43,636,1,70
20,47,754,-3,65
52,44,671,-2,99
57,45,692,2,72
82,66,1460,1,57
68,42,608,-3,90
52,58,1138,-1,73
46,46,714,-1,46
44,66,1471,-1,75
27,66,1481,-2,99
68,54,974,-2,34
42,58,1132,-2,51
28,65,1418,1,39
21,42,613,-3,86
42,56,1064,1,73
33,48,786,-3,70
19,52,922,-2,73
23,42,609,0,71
18,53,950,0,47
40,66,1478,-1,94
22,69,1609,0,74
86,54,981,2,60
10,64,1382,-3,57
53,43,620,2,31
22,50,848,0,52
35,44,658,2,51
73,65,1429,-2,92
78,56,1048,0,39
73,43,633,-3,82
32,62,1295,-1,54
42,60,1216,0,65
52,46,711,-3,40
14,44,671,-3,86
49,43,635,-1,76
75,55,1027,0,86
47,46,726,-2,84
76,60,1212,1,66
35,59,1168,0,36
30,59,1189,2,96
21,61,1262,2,71
49,65,1434,1,97
19,47,749,0,46
56,52,910,-2,50
36,50,842,2,37
38,64,1379,-1,57
89,61,1243,0,44
43,67,1510,1,58
81,66,1456,1,44
64,68,1545,-3,40
13,46,715,-2,36
16,53,956,-3,67
73,55,1015,1,47
85,45,678,1,41
54,69,1604,-2,74
43,69,1601,0,59
58,46,719,-3,67
83,69,1605,1,86
62,63,1337,-1,67
52,62,1293,-1,56
12,68,1564,2,72
39,53,948,-3,54
48,46,732,1,98
23,42,599,2,40
58,42,594,-2,44
80,40,554,1,92
76,40,538,2,43
21,58,1130,0,35
45,45,690,-2,65
69,54,995,1,96
43,56,1059,-3,61
80,54,974,1,37
19,60,1211,2,39
30,52,918,-1,63
51,44,669,-3,94
89,51,884,-2,90
32,54,990,2,64
30,49,826,-3,92
34,63,1339,2,61
37,64,1388,1,83
37,53,960,-2,89
34,45,684,-3,45
25,64,1384,0,65
82,69,1587,2,30
63,51,888,-3,90
16,67,1512,-3,56
44,47,758,1,83
26,49,817,-2,61
51,53,953,-1,70
25,40,546,0,48
54,45,695,0,83
26,53,944,-1,33
54,55,1024,0,68
34,67,1516,1,73
55,59,1182,-3,91
34,40,543,-3,47
43,63,1332,-1,45
74,51,878,1,61
42,59,1177,-3,69
16,49,824,-1,77
46,49,827,0,99
69,63,1329,0,47
59,42,612,-3,98
24,67,1524,1,92
69,44,667,-3,97
81,47,744,-3,57
75,58,1133,-3,67
81,66,1465,1,69
45,56,1067,-3,87
51,65,1427,-1,76
73,47,752,1,75
17,42,617,1,94
52,51,888,-3,86
64,50,857,-1,99
17,58,1131,-3,39
13,67,1515,-2,63
16,42,610,0,73
63,68,1563,-1,91
82,53,936,-2,35
65,47,753,-2,79
36,59,1170,0,43
89,55,1020,-2,72
44,53,944,-2,44
64,43,632,-1,73
27,41,568,-3,36
76,62,1284,-3,41
73,45,683,-1,54
78,64,1367,-2,39
50,59,1171,-2,55
55,61,1244,-3,37
75,69,1596,0,58
86,54,980,1,57
33,64,1377,2,45
65,41,568,-2,50
68,59,1171,2,58
62,41,571,-2,58
85,48,769,-1,38
23,69,1598,2,39
56,47,749,0,59
21,63,1333,2,37
33,64,1383,1,64
51,58,1135,1,61
64,64,1383,1,77
45,57,1091,-1,44
76,53,943,-3,53
60,41,581,0,87
21,42,597,-3,38
11,61,1266,-3,85
20,50,852,2,63
22,68,1570,-3,98
80,49,821,1,94
47,68,1564,-2,89
64,45,693,2,79
21,56,1075,1,97
53,57,1102,-1,78
46,65,1433,-1,94
89,61,1247,-2,58
58,51,889,2,88
59,45,678,0,34
14,51,878,1,38
67,52,918,-3,80
79,56,1064,2,87
17,48,775,-3,32
81,69,1596,1,57
37,54,987,1,60
41,41,567,-2,38
69,66,1454,-2,36
72,59,1182,-1,96
36,45,697,2,78
69,67,1518,-1,94
42,49,821,-2,80
64,69,1593,-1,45
31,54,981,-3,42
21,66,1478,-3,88
83,47,741,-1,49
57,54,989,1,72
48,67,1520,1,90
46,47,762,-3,99
78,58,1123,-1,38
62,46,716,2,56
36,41,579,-2,72
42,41,585,2,89
58,58,1140,-1,80
29,53,955,1,68
77,49,803,-3,43
83,40,533,-3,36
65,45,681,-2,47
48,58,1141,-3,81
29,69,1598,-1,47
54,61,1249,-2,51
29,46,734,2,97
89,53,941,0,49
51,61,1262,-2,88
66,46,730,1,98
12,62,1302,-2,70
50,51,872,1,33
23,67,1523,1,88
51,54,996,1,90
22,52,908,-2,31
19,53,959,-1,78
61,48,776,-3,50
62,42,610,-2,92
86,59,1174,-3,78
63,68,1545,-2,38
28,64,1383,1,64
20,40,542,2,32
33,55,1023,0,57
68,47,739,1,33
40,46,728,-1,85
18,65,1418,2,35
31,59,1177,1,61
18,43,639,-2,77
47,62,1290,-3,49
62,42,593,2,39
22,69,1606,-1,68
52,61,1255,-2,66
48,65,1431,-3,91
19,61,1254,0,50
44,56,1065,2,75
47,45,692,2,67
40,54,980,0,39
54,54,979,1,43
28,41,577,-2,64
79,50,836,-2,41
36,68,1555,1,55
22,66,1471,-2,69
63,60,1223,0,95
75,55,1018,2,56
82,42,606,-1,88
15,59,1174,-2,49
84,46,715,-2,65
20,56,1055,0,37
19,51,891,2,78
14,62,1303,0,72
29,58,1135,1,51
27,55,1019,-2,44
68,48,778,-1,59
55,41,563,-2,32
36,60,1216,0,63
79,56,1049,0,42
56,43,639,0,90
73,52,914,2,65
36,64,1374,1,40
21,42,606,-1,62
36,48,784,2,61
80,42,594,2,48
21,40,546,-3,48
79,65,1427,1,88
69,45,687,-1,65
50,63,1342,-2,79
81,56,1055,0,61
29,44,666,0,75
26,61,1246,-3,31
55,68,1551,1,50
16,50,848,-3,52
65,67,1519,2,91
64,55,1029,-1,90
28,40,556,-3,81
88,48,769,2,37
19,41,585,1,81
54,66,1476,2,92
10,46,729,-1,75
88,50,849,-3,86
43,58,1140,-3,75
42,56,1071,-1,95
33,69,1612,2,87
65,58,1137,-3,76
68,40,556,1,94
22,45,696,-1,73
50,55,1031,-1,88
28,55,1022,1,50
84,64,1377,0,70
50,51,887,1,80
68,65,1432,0,98
47,40,546,1,55
37,49,816,1,60
10,41,584,-3,77
54,44,658,-1,62
33,66,1467,1,56
11,66,1481,-1,93
86,69,1592,1,48
31,60,1210,-2,44
33,40,561,-1,96
13,64,1377,2,39
69,40,554,1,89
62,53,955,-2,82
73,62,1285,2,38
54,54,975,-2,33
76,69,1591,-2,45
61,59,1179,2,78
13,44,664,0,61
41,69,1593,2,32
52,57,1099,-2,71
30,47,744,2,32
79,55,1012,2,40
58,65,1411,-3,35
54,58,1134,-1,60
31,64,1385,2,68
34,49,812,-3,53
15,61,1268,1,88
40,60,1216,0,63
83,68,1561,-1,94
10,60,1224,-1,77
26,45,693,0,63
62,66,1462,-3,58
65,62,1297,-2,76
34,40,545,1,49
43,50,838,0,30
34,45,697,-1,81
61,54,990,-3,81
15,57,1112,-1,94
60,60,1212,-3,64
13,41,585,-3,82
41,59,1179,2,70
31,63,1334,-3,48
88,65,1421,0,74
24,64,1385,0,70
44,61,1259,1,72
66,40,543,-1,55
55,43,631,-2,67
88,55,1027,1,89
76,56,1057,-1,65
62,68,1549,0,47
49,64,1387,2,84
13,62,1292,2,34
83,51,869,-3,41
59,47,759,1,92
53,48,786,2,74
64,63,1342,2,82
81,40,549,0,79
71,55,1029,1,88
14,57,1092,0,34
80,48,775,2,50
68,59,1165,2,40
48,51,883,0,67
20,50,845,0,42
27,67,1506,1,40
37,59,1185,-1,89
86,54,976,0,47
67,55,1015,0,48
30,48,788,1,71
41,42,596,2,38
67,56,1060,2,70
11,55,1028,-1,64
35,42,615,-1,95
39,59,1166,2,30
80,51,868,2,32
79,65,1416,0,54
42,46,716,-2,51
64,68,1563,2,89
53,45,698,0,90
20,50,859,2,82
11,67,1513,2,53
24,50,862,1,94
16,49,808,-2,32
86,48,769,2,34
59,55,1033,-1,99
47,41,572,2,51
49,44,671,2,95
23,56,1064,2,62
59,67,1519,0,93
35,67,1525,2,97
29,58,1136,1,54
34,63,1336,-2,56
25,40,549,0,57
81,59,1174,0,74
52,53,940,-1,32
71,58,1135,-1,70
31,42,613,0,88
63,60,1211,2,57
71,52,926,2,99
37,48,777,0,41
28,68,1551,-3,44
86,40,542,1,60
43,51,890,-2,89
66,42,597,-1,54
87,47,750,2,75
53,42,603,-3,68
83,53,954,-3,89
23,48,781,1,46
30,68,1557,-1,59
65,68,1562,2,85
19,43,627,-1,41
85,44,650,1,47
61,48,774,0,43
33,63,1345,2,78
81,51,873,1,48
65,69,1597,-2,57
45,42,607,-1,77
75,49,820,-1,91
30,41,566,-2,30
26,40,563,1,98
44,68,1557,-2,67
58,41,584,-2,95
86,68,1541,0,34
33,48,783,2,56
47,43,625,-2,47
89,61,1256,-1,84
21,43,646,2,94
20,49,828,1,89
72,54,978,1,46
48,46,710,-3,35
19,45,687,-3,46
28,50,860,-3,94
30,47,756,-3,73
67,63,1338,-1,73
60,62,1298,-3,78
38,63,1333,-3,47
69,54,977,0,44
42,65,1424,-2,67
63,47,742,-3,45
40,44,666,-2,80
67,56,1059,2,67
58,65,1420,-2,60
43,45,696,1,79
23,42,606,1,62
44,44,666,2,78
43,53,949,0,54
53,60,1217,1,70
78,52,919,2,82
59,42,600,0,61
41,59,1173,-3,56
38,43,623,-2,36
13,46,719,-1,48
41,64,1382,-2,67
21,63,1352,2,92
66,53,940,-3,41
74,54,983,-2,66
41,56,1052,-3,40
76,42,594,-1,49
50,66,1471,2,75
35,49,827,-3,98
75,69,1607,-2,91
62,41,576,2,69
12,66,1480,2,88
62,40,556,-3,95
89,40,548,0,81
14,58,1150,1,91
75,50,841,-1,55
86,52,913,-3,73
27,50,860,-3,93
41,66,1457,-1,32
66,60,1222,0,92
86,47,753,2,82
34,56,1059,-2,57
80,42,601,2,68
16,50,853,-2,67
54,60,1219,-3,81
34,46,730,-2,91
75,64,1370,-2,45
84,67,1513,-1,84
27,49,827,-3,94
44,67,1521,-1,93
43,57,1094,2,49
17,44,676,1,97
15,53,956,-2,67
29,60,1224,0,83
56,68,1553,1,57
80,49,803,2,37
32,52,920,2,68
29,61,1266,-2,92
61,59,1168,0,47
83,57,1094,0,66
25,63,1348,0,86
40,59,1182,-1,83
34,57,1089,1,32
82,54,970,-3,31
17,66,1461,2,32
76,57,1101,0,83
84,53,951,2,76
32,67,1524,0,97
33,54,1001,2,98
44,66,1458,0,36
86,63,1343,-1,96
60,59,1174,-3,69
54,66,1477,1,95
73,42,605,2,77
32,47,743,0,34
52,65,1426,-1,75
71,42,594,0,45
58,63,1341,-3,80
74,63,1328,-3,48
87,69,1591,-1,47
28,40,549,2,57
45,56,1062,-2,71
59,67,1504,-1,47
21,54,1002,0,99
54,53,948,-1,58
28,64,1395,0,99
88,58,1123,-2,41
60,43,629,0,61
66,54,991,2,82
19,47,759,0,75
26,49,812,-1,47
35,40,551,2,65
62,44,658,-3,67
75,68,1555,-3,75
55,62,1291,1,51
82,67,1516,-1,92
77,59,1171,-3,66
41,47,747,2,46
23,46,718,0,48
11,52,926,-2,80
74,43,633,1,79
74,55,1023,-1,75
87,54,984,-1,73
58,50,846,2,58
30,67,1505,-3,42
75,69,1595,1,53
56,64,1382,1,72
67,61,1242,-3,35
11,40,564,0,96
74,65,1419,-1,62
46,53,953,-2,71
78,48,778,-3,65
75,41,570,1,59
33,45,695,-1,73
19,67,1525,-2,95
76,63,1332,-3,60
15,61,1269,-3,95
35,40,557,1,85
20,64,1383,-2,64
18,69,1596,-2,36
12,47,762,-3,85
62,58,1143,2,89
87,56,1044,0,30
71,58,1137,-3,78
39,40,541,-2,42
28,62,1293,-2,47
