Negative 	 Enna da ellam avan seyal  Mari iruku
Positive 	 Ellam iruku but ethoo miss aguthu ...that mass avlova illa
Positive 	 Oruthar mela viswasam katradhukaga inoruthara aen asingapaduthringa    Sema Thala.........
Positive 	 Romba nal kaluchi thalaya opening scene illama pakuran
Positive 	 Yuvan da ivana minja Evan da
Positive 	 Ippidi nariya nariya nariya superb dialogue
Positive 	 Oruthar mela neenga viswasam kata.. Inoruthara neenga asinga paduthuringa.... Deep
Positive 	 Padam nalla irukko illaiya but thala eppovum mass ahh irukkanum...
Positive 	 Samaa superrr thala machans oru like podungha
Positive 	 Niraya niraya niraya paer wait pannitirukkom thala.
Positive 	 Thala mass dialogue class vera level
Negative 	 THALA padama ITHU koothi maari iruku trailer....... Padam punda mathiri irukum pola
Positive 	 Ajith = h.Vinod= Siva = h. Raja
Positive 	 Manushan epudi vanthalum tharama irukaru ya... THALAAA... This time CLASSY After a MASS VISWASAM....
Positive 	 Last ah keta kelvi...paaahhh semmaa thala
Positive 	 Thala darisanum, yenna charisma, yenna English, yenna alagzhu, lion voice.. thala blood thala veriyan from Bangalore
Positive 	 Vera level thala marana mass thala I am waiting
Positive 	 Appudila nadakathu.... Nadaka kudathu....             Thala
Positive 	 Kerala Vikram fans like butten Adichu pottikku
Positive 	 Vikram he to best hi hogi..
Mixed_feelings 	 Hollywood range la iruku padam Kandipa blockbuster hit! Semma story....
Mixed_feelings 	 Vechu senjutinga thalaiva ... Padam marana mass. Kandipa innoru vaati pakkanum
Positive 	 Superb movie!!! Vikram looks Mass!!! Well made movie ..no lag...
Mixed_feelings 	 Vikram looks just like he was in iru mugan. Looks cool !
Positive 	 Vayase aagala pa.. ena effort chanceless.. 🤙
Positive 	 Die hard chiyaan fans like here
Positive 	 படம் எப்ப ரிலீஸ்??? When this movie  release???
not-Tamil 	 U kena tunggu lebih lama lagi untuk tau saya.. You have to wait longer to know me
Positive 	 omg, Indian filmmaking is so embarassing xD
Positive 	 Vara vara gibran bgm la kalakkuran
not-Tamil 	 Movie kab release hogi uska date fix batao
not-Tamil 	 Kuch samajh nai aaya , lekin dekh k acha laga.
not-Tamil 	 Hollywood movie ka remek hain point blank ka
Positive 	 chiyan veriyan ivan pandiyan  street aruppukottai
not-Tamil 	 Plzzzzzz sir ji hindi me bhi chahiye..
Positive 	 AR rahuman on board chiyaan vikram 58
Positive 	 213k likes but just 3.9 unlikes only fr chiyaan
Positive 	 nenga vilaiyanadhuu enn kitte Ella yeman kittee..
Negative 	 movie nadikiradhuku theramai thevai illai kaasu irundha podhum (example : aksarahasan )
Mixed_feelings 	 Ivaruku vayasu agala vayasu koranchukitu iruku
Positive 	 Neenga velayadanathu enkitta illa yeman kitta  Only one dialogue is enough  chiyaan uyir
not-Tamil 	 you kena tunggu lama lagi kalau nak tau saya...malay punch dialogue
Positive 	 Vikram sir efforts are best but stunts scenes nenacha dhan bayama iruku
Positive 	 Vikram Telugu fans hit like here
Positive 	 Vikram Hair Style....Pidichavanga Like Podunga Pa..... Naamalum Vaipom Future Le...Andha Hair Style Le.....
not-Tamil 	 you kena tunggu lama lagi untuk tosai !!!
Positive 	 Age is not a matter for vikram
Negative 	 Ethana peru ethu maari padathula ajith nadikanum nu nenaikuriga?
Positive 	 Die HEARTfan of VikramSir ...  FROM Tollywood ....
Positive 	 Kamal sir nenga vikrama vaithu marma yogi movie pannunga sir superrrrrrra irukkum.
not-Tamil 	 Hindi me kyo nhi late trailer
Positive 	 Vikram sir you will never get old
Positive 	 neenga vilayadnathu enkitte ille yaman kitte  chiyan vikram
Positive 	 Trailer lam nalla irukku...!! Aana padatha release panna maatringale pa.....
Positive 	 Can i get 2k like for vikram sir
Positive 	 Iam from odisha   I am big fan of vikram sir
Positive 	 Chiyanisam is  sema thookkal aaha
not-Tamil 	 1:37 You Kene Tunggu Lama Lagi Untuk Tahu Saya  MALAYSIA LANGUAGE
Positive 	 Very happy to see our lena lena chechi i love you umma umma umma
Positive 	 Chiyan vikram sir's   heavy  trailer.....
Negative 	 Ippo Bigboss vetukulla vikrama anupe asega paduthuvan kamal
Positive 	 mass chiyaan vikramyamaan daakk na yaruu???
Positive 	 This man never gets old
Positive 	 Why dont you make movie relies in hindi.........
Positive 	 Ita yavudu release panna udunga ya
Positive 	 I am the chiyaan fan ta
Positive 	 Chiyaan Vikram sir u r awesome sir.u have maintained good physique
Positive 	 1:00 LUV U  Chiyaan Vikram and LUV U DUKE
Positive 	 Hindi me full movie rielij Karu
Positive 	 Indha trailera big bossla podanumnu ninaikkaravunga like pannunga
Positive 	 Vikram looks like splinter cell Sam Fisher
not-Tamil 	 അണ്ണൻ ഉയിർ  Love from  kerala 🥰
Positive 	 Next ulaga nayagan namma chiyan vikram thaan
Positive 	 chiyan vikram I and Aprichit movie fans like 🤘🤘
Positive 	 Wow Vikram spoke Malay word “You kena tunggu lebih lama lagi,until tahu saya”. Wowww
Positive 	 You kena tungu lebih lama lagi untuk tahu saya... Vikram speak malay....
Positive 	 Chiyan vikram sema style  waiting for kadaram kondan
Positive 	 Ghibran ku aaagavey padam hit aaganum
Positive 	 You kena tunggu lebih lama lagi... untuk tahu saya!   Masss Chiyaan
Positive 	 Is he like anit hero in this film.... But semaya iruku.. Chiyaan ipdi paaka
Positive 	 when i am seeing vikram here its like john wick
Positive 	 Vikram speak malay...you kena tunggu lebih lama lagi untuk tahu saya..
Positive 	 Itha paaka transporter Tamil remake maari iruku
Positive 	 You kena tungu lama lagi mahu jumpa saya.....last malay language....
Positive 	 Vikram sir ella costumum ella characterum Unga orutharuku thaan suit akum
not-Tamil 	 U kena tunggu lebih lama lagi...  Untuk tahu saya ...
Positive 	 Meaning of kadaram kondan is king of Malaysia
Positive 	 1:06 gibran Vera level
Positive 	 Trailer pakka super ah iruku but Rajesh neenga edhutha thungavanam padatha patha dha bayama iruku..
Negative 	 Enda nala name ipdi veenaku reemga kadaramkondan enapathu evlo Periya maveeranoda name fuck
not-Tamil 	 Hindi version bhi sath aa jaye to mza aa jaye
Positive 	 Still acting like a youngster...Chiyaan Vikram
Positive 	 Vera level getup last minute super bro
Mixed_feelings 	 Konjam Irumugan Madhiri irukku....All the best.....team
not-Tamil 	 U kena tungu lebih Lama lagi untuk tau saya
Positive 	 Super Hit Trailer Love From pakistan Chiyaan Vikram Sir FanS Hit Like Here
Positive 	 Chiyaan  semma   Love from kerala
Positive 	 Vikramuku Indha padam hit kodukum accept pannuravunga like pannunga
not-Tamil 	 Hindi mein bhi release karo movie
Positive 	 Enth look aado oru raksha ella
not-Tamil 	 Dia kena tunggu lame lg.. utk tau saya... hhahahahaha
not-Tamil 	 You kena tunggu lebih lama lagi untuk tahu saya! Who heard this Malaysians?
Positive 	 Missed shruti hassan's kadam kondam song.....
Positive 	 I like Vikram sir.l want to see him in a joker like character
not-Tamil 	 Solid trailer Hindi mein bhi release kar do dub karke Chiyaan vikram fans like here ..
Positive 	 All d best from all Kannadigas....
Negative 	 Kadaram... Enna karumam da idhu 🤧 FLOP !!
not-Tamil 	 Plz hindi me v dubbed kijiye ....  For We all hindi fan .plzzzzzzzzzz
Positive 	 wow Is Movie 3Million   View 175k Like Best luck Bikram Sir Fan Likr Here
Positive 	 but i want karikalachozhan also
Mixed_feelings 	 Ethirpartha alavukku illa...bgm mattama irukku... Why ghibran🤦‍🤦‍
Positive 	 Super super super super super super super Vikram variyan da
Positive 	 Ama Inga enga Kamal Hassan ah kanom
Positive 	 Yen pa idu trending la elha??
Mixed_feelings 	 Dei Vikram ku trailer mattum nalla pannuvanga da.Ana Padam mokkiya irukum.
Positive 	 Chiyaan Vikram die hard fans like here
Positive 	 diehard fan of chiyaan vikram
Positive 	 Vaasu yaar adhu aiyo namma mind shruthi hassan pakkam podhe
not-Tamil 	 खान तो बहुत थे पर खिलाड़ी बस एक है। the one and only mr. Akshay kumar
Positive 	 sankar sir fans hit like here
Positive 	 Semma semma CG AND SEMMA BACKGROUND
Negative 	 Super but, Not like to see Hollywood level....
Negative 	 INDIA'S BIGGEST MOVIE! INDIA'S BIGGEST STARS! SUPER STAR RAJINI KANTH SUPER STAR AKSHAY KUMAR
Mixed_feelings 	 Ithella ennada hollywood pado enga aalu siva etuthaaru paarraa vivegam pado athu maari oru pado ungalaala etukka mudiyuma aa
Positive 	 CHITTI RELOADED..   EXPECTATION OVERLOADED
Negative 	 Appo  phone ai thatti vitta  sivakumar kandippa akshay kumar oda sleeper cell dhaan..
Negative 	 All best to 2.0 from kannadigas....super star rajani sir
Negative 	 Heat like for Akshay and Rajnikant
Positive 	 Trailer na  ipdi irukanum!!! Maasssssss
Negative 	 Otha Semma happy daa 🤘 Oru payyen kitte nerunga mudiyadhu Otha haters vaai mudidum
Mixed_feelings 	 Tamil cinema 2.0 vera level la irukku marana mass trailer
Positive 	 Mind it Love u rajani sir Love u akshay sir
Positive 	 Real King Of Indian Cinema Akshay Kumar
Mixed_feelings 	 Irukku,,,, padathula neraya transformers and terminator kadha irukku
not-Tamil 	 Jaldi se hindi version mai release karo yar..
Mixed_feelings 	 Graphics sari illa nu solrathukune oru gang suthum parunga
Positive 	 Mairu mari iruku trailer, idhuku teaser thevalam.
Mixed_feelings 	 VFX mokka Daww sollitu oru group suthittu irukkanunga
Mixed_feelings 	 2.0   TOH    ZERO  WHO WILL WIN?
Positive 	 Graphics sari illa nu solrathukune oru gang suthum parunga
Positive 	 Graphics sari illa nu solrathukune oru gang suthum parunga
Positive 	 Graphics sari illa nu solrathukune oru gang suthum parunga
Negative 	 Semma trailer Hollywood movie trailer pakara mari ruku
Positive 	 Graphics sari illa nu solrathukune oru gang suthum parunga
Positive 	 Graphics sari illa nu solrathukune oru gang suthum parunga
Negative 	 Otha Teaser appo vfx mokkanu pesna dubakuru pasangala ippa vandhu pesunga da paapohm...
Negative 	 A big like from Mumbai
Positive 	 Graphics sari illa nu solrathukune oru gang suthum parunga
Mixed_feelings 	 Rajini sir Shankar and akshay Kumar sir hat's off vyara level
Positive 	 Graphics sari illa nu solrathukune oru gang suthum parunga
Negative 	 Bollywood wale yaha hagne na aye
Negative 	 Teaser la irundhadha apdiye trailer la potrukinga...avlo lam nalla ila.. So sad
Negative 	 What a trailer, indian cinema va vera level ku kondupoga poguthu intha film Akshay kumar vera level Superstar
Negative 	 Looks like power rangers spd emergency
Mixed_feelings 	 Biggest Fan Of Akshay Kumar From Australia Hit Like For Superstar Rajinikant & Superstar Akshay Kumar
Positive 	 Thalapathy fans like Sarkar diwali like here
Mixed_feelings 	 Super Star soldra WOOOW Vera Level la iruku superrrrrb
Positive 	 Video game trailer or movie trailer? RRR fans like here!!
Positive 	 Hollywood movie vida vera level la eruku sir.  Shankar sir it's awesome
Negative 	 Dei Antha Paravaya paathale mersal ah irruku da
Negative 	 Last gun sound in headphone ku ku
Positive 	 ONE WORD : MASTERPIECE  THANKYOU SHANKAR SIR FOR VFX TREAT
Positive 	 Power rangers maadhiri eduthu vachirukinga
Mixed_feelings 	 I'm Chitti  Reloaded version 2.0
Negative 	 Wow semma mass varthaiye illa therikkuthu
Mixed_feelings 	 Superstar Akshay Kumar & Superstar Rajinikant Fans Hit Like.. Support All The Version
Negative 	 Omg omg. Mind-blowing. Awesome. Enaku solla varthee varala. Avloo super..
Positive 	 Mokka ah irukkum nu confirn pannittenga
Positive 	 Enna Da Bomma padam maathiri irukuthu
Mixed_feelings 	 Sema  Tamil cinema Into a Next level
Mixed_feelings 	 concrete suvara odachittu pora alavu entha companyda mobile vachirukanga? enaku oru mobile venum...
Negative 	 Irungada !! Nalla rewind panni pathukuren !!!! Ethe pakanumnu terle ..beyond words !!!!!
Negative 	 The long wait is over. Thalaivaaaaaa! !
Positive 	 Vera level... Thalaivar AR rahman
Negative 	 virtual reality la uta naangalum veetlayey 3d la papom la !!!!!!!!
Negative 	 Waiting to see this on screen fdfs but thalaivar padatha enaiku fdfs olunga paakurathuku, but enna aanalum naan paapen
Mixed_feelings 	 Akshay kumar voice kevalama iruku tamil version la
Mixed_feelings 	 Anyone here after zero
Negative 	 Vera level da daiiiiiii... Marana mass....
Negative 	 Wow....... Ak is looking.... Very dangerous.... ...
Negative 	 Ek building aur ek field..pe hi puri film dikha diya..lol
Negative 	 RIP Baahubali 2000 CRORE movie loading ............2⃣.0⃣
Negative 	 Super star fans hit like here
Negative 	 Super star Rajini fans hit like
Negative 	 Sema look VFXvara lavel  iam thalapathi veryan
Negative 	 Indiaka hi nahi world kabhi Record brock hone wala h Like karo jo jo aisa chahta h
Negative 	 Wonderful movie akshay Kumar fans like here
Negative 	 2.01 akshay kumar fans hit like.
Negative 	 Ye kya raita bana diya bhai..  isse achha animation movie bana dete
Negative 	 Rajini ah vida akshay mass ah irukane
Positive 	 Sankar sir, padam trailer mathiri illama irunthaa sari....
Negative 	 Vfx ah paaaru daa  SUPERSTAR
Negative 	 Antha kaalaththu Taiwan video games maathiri irukku.. kodumai
Negative 	 Last Battle feels like Power Rangers SPD.
Negative 	 Crt time la vidama yenya ippadi panringa
Positive 	 Semmaa maasss.  Shankar proud of tamil .
not-Tamil 	 Troll Pananlam nu vantha... Content'e Kidaikalaye paaa....  Awesome By Today Trending Team
Negative 	 Kanna Rajini rage Innum paakalaye....IPpo paarunga
Negative 	 Vera levellllllllllllll all the best shankar sir ur a legend
Positive 	 Silirkavachutinga thalaiva  Vera level thalaiva.... great job Sankar sir ...
Negative 	 Woowww  Teaser'ah pathutu katharana haters'ku elaruku RIP
Mixed_feelings 	 Indian tamil film next level poga podhu
Mixed_feelings 	 Thalapathy vijay fans ...here ..hit like ...nanba nanbigal
Mixed_feelings 	 Teaser pakumbodhu mokkaiya iruku nenachu ******trailer vera level
Mixed_feelings 	 Namma tamil cinema vooda getha kattanum
Negative 	 Comments pakka vandha nanba nanbi gal like pannitu pooga   Trailar supper
Mixed_feelings 	 Pride of Indian Cinema Superstar Rajinikanth🤘
Negative 	 Don’t forget to kill the like button 🤩🤩🤩🤩🤩
not-Tamil 	 wah Bhaii Wahhh Akshay Sir
Negative 	 Super star fans hit like  waiting
Mixed_feelings 	 dai romba comedy aa iruku... pavam lyca 500 Kodi ya...
Positive 	 Shankar g Hollywood level padam edukuringa ana logic yenga
Mixed_feelings 	 Dei..ennada graphics idhu..sakthiman maari pesran akshay kumar
not-Tamil 	 This  is some awesome bgmmmmFeela like world is in real danger
Negative 	 Vfx pathi ippo pesungada Hollywood sambranigala
Negative 	 Tamil cinema is hai fai NOW
Positive 	 Wow vera level thank u sankar sir
Positive 	 Super Star fans hit liks.... Vera Level....
not-Tamil 	 Kya ye movie hindi m aayegi...
Positive 	 Ithanda nijamana verithanam.. Vijay fans lam oram po
Negative 	 Kolla massss . . Namaku thevaiyanadhu namba dhan adichu vaganum  Vera level thalivaa
Positive 	 Vettu kuthu thavirthu vera mathiri story varadha, vetrimaaran., Ketta vartha illadha varaikum happy..,
Positive 	 Ratho dha sauce Mari irukku mathapadi trailer Vera lvl
Positive 	 Danush + vetrimaaran = super hit movie
Mixed_feelings 	 kolaveri thoondugira padam edhukku edukaran? ivan kasu parthuduvan; mathavan vettikittu savanunga. Pannadaigal!
Negative 	 Etho onnu miss aguthu pa... etho onnu
Positive 	 THE BEST COMBO IN KOLLYWOOD.... DHANUSH-VETRIMARAN-GV PRAKASH
Positive 	 Namma ooru screen LA semaya irukku
Negative 	 Bgm viswasam movie odathu mathiri iruke...  Athula fast uh irukaratha ithula gvp slow panni potrukan
Negative 	 0:30 Dunkirk music copy adichirukkan GV Prakash
Positive 	 Movie booking pananu think panavaga like panuga
Mixed_feelings 	 Looks like superstar thalaivar at 0:23
Positive 	 Wrong casting manju warrier.danush sir.....bad casting
Negative 	 Yov teejay, gowtham menon range ku album pannitu indha kamunattinga kita matikitaye da🤣🤣🤣
Positive 	 Asuran movie vetri pera congratulation to thala fans
Negative 	 Paraiyanaaagaa piranthathil perumai kolkirann . Enga ananaa Jai kka Evan daa irukkan
Positive 	 Ootha antha oscar ah yeduthuttu vandhu asuran- kaala vaiyungaadaaaa
Mixed_feelings 	 Idhulayum jaadhi ya kondu vandhuteengala da Thu
Positive 	 Am thalapathy veriyan  Anna asuranuku marana waiting
Positive 	 Mirandutan da dei. Vera level bgm
Positive 	 Veralevel performer Dhanush sir
Negative 	 konjam fast ah play panuna kaththi theme music mathiri irukuthu indha bgm. enaku matum than apdi thonudha ?
Negative 	 Manju looks like Kanmadham character 🤯
Positive 	 Namma kita kaadu iruntha eduthukidu vanunga  Rooba iruntha pudingi kuvanuva  Namma kitta irunthu PADIPPA maatum avangalala eduka mudiyathu chithambaraov
Positive 	 I m waiting for u Thalaiva va sekrama screen la va Thalaiva dhanush
Positive 	 Nadigar dhanush mass... I am waiting
Positive 	 Vetrimaaran+gv+dhanush anna vera level combo nu marubadiyum prove pannitanga
unknown_state 	 SaNa ah Irunthuruntha Vera Level la BGM Irunthurukum!!!
Positive 	 Padippu irutntha evanalyum onnum pudunga mudiyathu mass.
Positive 	 Ennpa G.V Nkp Bgm Manasula Vanthutu pokuthu
Positive 	 Apo Ennai Nokki Payum thotta 🤔🤔🤔
Positive 	 National award varanum naa like pannuka
Positive 	 1.5M views in 60min அம்மோவ்
Positive 	 I am waiting mar an sir
Negative 	 Indha cinemaavukkaaha sollala sinna paya makkaa.. SINDHIYUNGAL Andha oruvandhaanda Seeman...adha payan padithikka solraangha puriyudhaa....thamizha?
Negative 	 Elam ok pa   Sneha enga?
Positive 	 Vetrimaran sir plzz vijay & surya vechi padam pannunga
Positive 	 Ilaiya super star Dhanush mass fli film..... Asuran coming an meratal in Tamil nadu....
Negative 	 Ennangada ithu viswasam bgm kekuthu, 🤔🤔
Negative 	 Sa Na kita koduthurukalam.gv thaan acting la pooitarula   . Dear vm pls give sana dhanush combo .
Negative 	 Super but 5.2K haters mental pu.....
Positive 	 Nejamavae sema trailer..... Dhanush--vetrimaaran....... Kalaiyum kaviyum vivasayathin paguthi  puthumai padappu... Asuran....
Negative 	 Keel jaadhi mel jaadhi fight asusual
Negative 	 Song than nkp la ketta maari irukku
Positive 	 Asurathanamaana acting padathula paatha apram varavanga mattum like pannunga pa Vera level verithanam nanpa 🤩🤩🤩
Positive 	 Trending la vantha mass ah erukum
Positive 	 DHANUSH vera level performance in ASURAN.....
Positive 	 waiting vadachennai 2 ku next project start pannunga romba aaval la irukku
Positive 	 Our Lady Super Star  Manju Warrier
Mixed_feelings 	 Kv anandh sir surya sir fan sangada paduvanganu ninainga... Kappan trailer than soona sir
Positive 	 Dhanush  Vishal Jayamravi   Lov from kerala
Positive 	 Dhanush's Swag Just Awseome .. Nammaku thevaiyanathu naamatha aaduchu vaanganum ..
Positive 	 Pwoli pwolii . Dhanush, vetrimaaran, Manju warrier 🤘
Positive 	 Verithanam... paaahhhh.....polladhavan aadukalam vada Chennai ah vida payangarama iruku.... BGM.. paaahhhh
Positive 	 Vetri anna ungla la matum than enga dhanush anna va vera vera dimetiontionla katta mudiyum realy hat's of anna
Positive 	 Dai enada ithu thaarumara irukku, Vetrimaran Dhanush once again proved.
Mixed_feelings 	 Aasuran based on novel named vekkai by poomani.
Mixed_feelings 	 Intha kaapan fans Inga vanthu comedy pannitu irukanga 🤦
Positive 	 Vetri ne dhanusha pudiche thongitu iru....
Negative 	 0.42 @viswasam theme music Mari feel pannuvanga like pannunga  Bgm ratchasan and viswasam rendu collaborate panna Mari iruku
Negative 	 Idha pathutu road la students kathi vaichi kitu sanda poduvanunga 🤦
Positive 	 Dai yenna daa padam edhuthu vachu erukinkaaa otha vetrimaran ahaa adichuka ale Ella pooo
Negative 	 Who feeled viswasam bgm...in between ...??
Mixed_feelings 	 Plssssss intha diwali ku movie a release pannuga naan dhanush anna oda periya paithiyaran fan...
Positive 	 Padippa Mattum namba kitta irundhu parikka mudiyadhu!!
Positive 	 Compare to kappaan Aduran is winderfull
Positive 	 Dhanush annanuiku national award ready pannuinka
Positive 	 Vera level la irukkey trailer.. Padam therikkapothu
Negative 	 nkp theme mathri iruku sngum apdtha iruku
not-Tamil 	 అన్నయ్య.... తెలుగు లో కూడా చేయండి అన్నయ్య... మూవీస్ ప్లీజ్ అన్నయ్య
Positive 	 Paddipa onnu mattum namba kitta avanuga pudunga mudyathu da chidambaram
Positive 	 Music Verithanam nu Solravanga Oru Like ah podunga
Positive 	 Massss sir semma trailer eppo movie pakka poram
Negative 	 Bgm kekka nerkonda paarvai bgm maariye irukkeeee
Positive 	 Vera level trailer padam masssa irukum confirm
Positive 	 GV prakash phhhhh BGM vera level thalaivaaaaaaaaaaa
Positive 	 congrats vetri maaran & dhanush.....
Mixed_feelings 	 Subscribers kammiya iruku adhanala views konjam kammiya iruku
Positive 	 Sorry bha ... Plz konjam yellam othungu ... Asuran vanthachi  verithaname intha padam than
Positive 	 Inoru Tirunelveli base movie  , vettai nai la ipamachi cinema la kamikurathy nala iruku
Positive 	 Thalaiva....    I  am waiting
Positive 	 Thala I am waiting... ana dhanush...
Positive 	 Namakita kadu iruntha eduthupanga..panam iruntha pudingipanga..padipu matum eduthakve mudiyathu...dialogue sema
unknown_state 	 Ilam dhanush colour black vintage kaatuthu yaaru yaaru note panninga
Mixed_feelings 	 332k likes to go🤙 lifetime record aa 500k like kondu varanum    #Dhanushveriyan
Positive 	 Dhanush Anna Maas solldravanga like podunga
Positive 	 Danush +Vetrimaran+GV  Antha award lam eduthu vaingada vanga varanga...
Positive 	 Love you Thalaiva
Positive 	 Vetri maaran sir veralevel maasss &Danush Anna acting woww
Mixed_feelings 	 I think dislikers is simbu fan
Positive 	 1.18 teejay  Yaar Ellam kavanichinga🤩  fans like here
Positive 	 Mass thalaiva Dhanush Anna vera level
Positive 	 Mass thalaiva Dhanush Anna vera level
Positive 	 Dislike podura alavaku intha trailer yathum illa so 🤩
Positive 	 Ivan la oru aala ivan la oru moonjiyaa nu ketaanga...ana inaikku danush engayo irukaaru...
Positive 	 That Bgm is lit... Marana waiting thalaivaaaaa
