"32","aedifuge",NULL,"Strictly, a substance intended to kill pests. In common usage, any substance used for controlling, preventing, or destroying animal, microbiological or plant pests."
"33","advanced glycation end products inhibitor",NULL,"A substance that diminishes the rate of a chemical reaction."
"34","aggregant","An agent that promotes conjugation or collection of particulars into a whole.
",NULL
"35","aryl-hydrocarbon-hydroxylase inhibitor",NULL,"A compound or agent that combines with an enzyme in such a manner as to prevent the normal substrate-enzyme combination and the catalytic reaction."
"36","serine/threonine kinase inhibitor",NULL,"An EC 2.7.11.* (protein-serine/threonine kinase) inhibitor that interferes with the action of non-specific serine/threonine protein kinase (EC 2.7.11.1), a kinase enzyme involved in phosphorylation of hydroxy group of serine or threonine."
"37","albuminurigenic",NULL,NULL
"38","alcohol dehydrogenase inhibitor",NULL,"An EC 1.1.1.* (oxidoreductase acting on donor CH-OH group, NAD(+) or NADP(+) acceptor) inhibitor that interferes with the action of alcohol dehydrogenase (EC 1.1.1.1)."
"39","aldehyde-oxidase inhibitor",NULL,"A compound or agent that combines with an enzyme in such a manner as to prevent the normal substrate-enzyme combination and the catalytic reaction."
"40","aldose reductase inhibitor",NULL,"An EC 1.1.1.* (oxidoreductase acting on donor CH-OH group, NAD(+) or NADP(+) acceptor) inhibitor that interferes with the action of aldehyde reductase (EC 1.1.1.21)."
"41","allelochemic","Chemicals, released from plants, that cause an interaction between plants and other living organisms.
",NULL
"42","allelopathic","Biochemicals produced by an organism that influence the growth, survival, and reproduction of other organisms.
",NULL
"43","allergenic",NULL,"A chemical compound which causes the onset of an allergic reaction by interacting with any of the molecular pathways involved in an allergy."
"44","alpha-amylase inhibitor",NULL,"An EC 3.2.1.* (glycosidase) inhibitor that interferes with the action of alpha-amylase (EC 3.2.1.1)."
"45","alpha-glucosidase inhibitor",NULL,"An EC 3.2.1.* (glycosidase) inhibitor that interferes with the action of alpha-glucosidase (EC 3.2.1.20)."
"46","alpha-reductase inhibitor",NULL,"A compound or agent that combines with an enzyme in such a manner as to prevent the normal substrate-enzyme combination and the catalytic reaction."
"47","amblyopic","A toxic sunstance causing amblyopia by damaging the optic nerve, such as lead, methanol, antifreeze, or certain drugs.
",NULL
"48","amebicide",NULL,"A substance that kills or slows the growth of microorganisms, including bacteria, viruses, fungi and protozoans."
"49","amnesigenic",NULL,"A role played by the molecular entity or part thereof which causes the development of a pathological process."
"50","amphetaminagenic",NULL,NULL
"51","amphiestrogenic",NULL,NULL
"52","amphiglycemic","An agent that stabilizes blood sugar levels.
",NULL
"53","amphitensive",NULL,NULL
"54","anabolic",NULL,"A compound which stimulates anabolism and inhibits catabolism. Anabolic agents stimulate the development of muscle mass, strength, and power."
"55","analeptic",NULL,"Any drug that enhances the activity of the central nervous system."
"56","analgesic",NULL,"An agent capable of relieving pain without the loss of consciousness or without producing anaesthesia. In addition, analgesic is a role played by a compound which is exhibited by a capability to cause a reduction of pain symptoms."
"57","anaphrodisiac","An agent that quells or blunts the libido.
",NULL
"58","anaphylactic","Allergent causing anaphylaxis, an allergic reaction with symptoms such as itchy rash, throat swelling, low blood pressure.
",NULL
"59","ancylostomicide","An agent destructive to Ancylostoma genus of nematodes.
",NULL
"60","androgenic","An agent, usually a steroid hormone, that stimulates or controls the development and maintenance of male characteristics in vertebrates by binding to androgen receptors. This includes the activity of the accessory male sex organs and development of male secondary sex characteristics.
",NULL
"61","anemiagenic","An agent causing anemia. For example, arsenic can cause hemolytic anemia.
",NULL
"62","anesthetic","A drug that causes anesthesia, a reversible loss of sensation.
",NULL
"63","angiogenic",NULL,"An agent that induces or stimulates the physiologic angiogenesis process."
"64","angiotensin receptor blocker",NULL,"A hormone antagonist that blocks angiotensin receptors."
"65","anhydrotic","An agent that suppresses sweating. Denoting a reduction or absence of sweat glands, characteristic of congenital ectodermal defect and anhidrotic ectodermal dysplasia.
",NULL
"66","ankylostomacide",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"67","anorectic",NULL,"An agent which regulates the physiologic mechanisms that control the appetite and food intake."
"68","anorexic",NULL,"An agent which regulates the physiologic mechanisms that control the appetite and food intake."
"69","autonomic nervous system paralytic",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"70","autonomic nervous system stimulant",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"71","ant repellent",NULL,"Strictly, a substance intended to kill members of the class Insecta.  In common usage, any substance used for preventing, destroying, repelling or controlling insects."
"72","anti helmintic",NULL,"A substance that kills or slows the growth of microorganisms, including bacteria, viruses, fungi and protozoans."
"73","anti 5-hydroxytryptamine",NULL,"Drugs that bind to but do not activate serotonin receptors, thereby blocking the actions of serotonin or serotonergic agonists."
"74","anti LDL",NULL,"A substance that diminishes the rate of a chemical reaction."
"75","anti acetylcholine",NULL,"Any drug used for its actions on cholinergic systems. Included here are agonists and antagonists, drugs that affect the life cycle of acetylcholine, and drugs that affect the survival of cholinergic neurons."
"76","anti acetylcholinesterase",NULL,"An EC 3.1.1.* (carboxylic ester hydrolase) inhibitor that interferes with the action of enzyme acetylcholinesterase (EC 3.1.1.7), which helps breaking down of acetylcholine into choline and acetic acid."
"77","anti acid","A substance that neutralizes acidity, such as stomach acidity that causes heartburn.
",NULL
"78","anti acne",NULL,"A drug used to treat or prevent skin disorders or for the routine care of skin."
"79","anti acrocyanotic",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"80","anti acrodermatitic",NULL,"A drug used to treat or prevent skin disorders or for the routine care of skin."
"81","anti acrodynic",NULL,"A drug used to treat or prevent skin disorders or for the routine care of skin."
"82","anti acromegalic","An agent that suppresses the over production of growth hormone related to acromegaly.
",NULL
"83","anti ADD","A drug used to treat attention deficit disorder, often a stimulant that promotes concentration and attention.
",NULL
"84","anti Addisonian","An agent, often a steroid, used to manage addison's disease characterized by underactivity of the adrenal glands.
",NULL
"85","anti adenoma carcinogenic",NULL,"A substance that inhibits or prevents the proliferation of neoplasms."
"86","anti adenomic",NULL,"A substance that inhibits or prevents the proliferation of neoplasms."
"87","anti adenoviral",NULL,"A substance that destroys or inhibits replication of viruses."
"88","anti adenovirus",NULL,"A substance that destroys or inhibits replication of viruses."
"89","anti adhesive","An agent that prevents adhesion, or the clinging together of dissimilar particles or surfaces.
",NULL
"90","anti adrenalinic",NULL,"Any agent that acts on an adrenergic receptor or affects the life cycle of an adrenergic transmitter."
"91","anti adrenergic",NULL,"Any agent that acts on an adrenergic receptor or affects the life cycle of an adrenergic transmitter."
"92","anti aflatoxin",NULL,"A substance that diminishes the rate of a chemical reaction."
"93","anti advanced glycation end products",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"94","anti aggregant","An agent that prevents the conjugation or collection of particulars into a whole.
",NULL
"95","anti aging",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"96","anti AIDS",NULL,"A substance that destroys or inhibits replication of viruses."
"97","anti akathisic",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"98","anti alcoholic",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"99","anti aldosteronic",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"100","anti alkali","An agent that reduces the pH of a solution.
",NULL
"101","anti alkalotic","An agent that relieves excessively alkiline conditions of body fluids or tissues that may cause weakness or cramps.
",NULL
"102","anti allergenic",NULL,"A drug used to treat allergic reactions."
"103","anti allergic",NULL,"A drug used to treat allergic reactions."
"104","anti alopecic",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"105","anti Alzheimeran",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"106","anti amblyopic",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"107","anti amebic",NULL,"A substance that kills or slows the growth of microorganisms, including bacteria, viruses, fungi and protozoans."
"108","anti amnesic",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"109","anti amyloid-beta","An agent, such as an antibody, that lowers amyloid levels in an an Alzheimer affected brain.
",NULL
"110","anti anacarditic",NULL,NULL
"111","anti anaphylactic",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"112","anti androgenic",NULL,"A compound which inhibits or antagonises the biosynthesis or actions of androgens."
"113","anti anemic",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"114","anti anginal",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"115","anti angiogenic",NULL,"An agent and endogenous substances that antagonize or inhibit the development of new blood vessels."
"116","anti angiotensic",NULL,"A chemical substance which inhibits the function of the endocrine glands, the biosynthesis of their secreted hormones, or the action of hormones upon their specific sites."
"117","anti anorectic",NULL,"An agent which regulates the physiologic mechanisms that control the appetite and food intake."
"118","anti anorexic",NULL,"An agent which regulates the physiologic mechanisms that control the appetite and food intake."
"119","anti anoxic",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"120","anti anxiety",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"121","anti apertif",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"122","anti aphthic",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"123","anti apneic",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"124","anti apoplectic",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"125","anti apoptotic","An agent that inhibits the process of apoptosis, or programmed cell death.
",NULL
"126","anti appetant",NULL,"An agent which regulates the physiologic mechanisms that control the appetite and food intake."
"127","anti arabiflavinotic",NULL,NULL
"128","anti arachidonate",NULL,"A substance that diminishes the rate of a chemical reaction."
"129","anti arrhythmic",NULL,"A drug used for the treatment or prevention of cardiac arrhythmias. Anti-arrhythmia drugs may affect the polarisation-repolarisation phase of the action potential, its excitability or refractoriness, or impulse conduction or membrane responsiveness within cardiac fibres."
"130","anti arteriosclerotic",NULL,"A drug used for the treatment or prevention of cardiac arrhythmias. Anti-arrhythmia drugs may affect the polarisation-repolarisation phase of the action potential, its excitability or refractoriness, or impulse conduction or membrane responsiveness within cardiac fibres."
"131","anti arthritic",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"132","anti asphyctic","An agent that can enhance the blood's ability to carry oxygen.
",NULL
"133","ant iasthenic",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"134","anti asthmatic",NULL,"A drug used to treat asthma."
"135","anti ataxic","A drug used to treat ataxia, a stimulant of movement coordination centres, such as the cerebellum.
",NULL
"136","anti atherogenic",NULL,"A drug used for the treatment or prevention of cardiac arrhythmias. Anti-arrhythmia drugs may affect the polarisation-repolarisation phase of the action potential, its excitability or refractoriness, or impulse conduction or membrane responsiveness within cardiac fibres."
"137","anti atheromic",NULL,"A drug used for the treatment or prevention of cardiac arrhythmias. Anti-arrhythmia drugs may affect the polarisation-repolarisation phase of the action potential, its excitability or refractoriness, or impulse conduction or membrane responsiveness within cardiac fibres."
"138","anti atherosclerotic",NULL,"A drug used for the treatment or prevention of cardiac arrhythmias. Anti-arrhythmia drugs may affect the polarisation-repolarisation phase of the action potential, its excitability or refractoriness, or impulse conduction or membrane responsiveness within cardiac fibres."
"139","anti atherotic",NULL,"A drug used for the treatment or prevention of cardiac arrhythmias. Anti-arrhythmia drugs may affect the polarisation-repolarisation phase of the action potential, its excitability or refractoriness, or impulse conduction or membrane responsiveness within cardiac fibres."
"140","anti autistic",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"141","anti azotemic",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"142","anti bacillary",NULL,"A substance that kills or slows the growth of bacteria."
"143","anti bacillus",NULL,"A substance that kills or slows the growth of bacteria."
"144","anti backache",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"145","anti bacterial",NULL,"A substance that kills or slows the growth of bacteria."
"146","anti beriberi",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"147","antibiotic",NULL,"A substance that kills or slows the growth of microorganisms, including bacteria, viruses, fungi and protozoans."
"148","anti benign prostatic hyperplasia","A drug used to aleviate symptoms of benign prostatic hyperplasia such as urinary problems.
",NULL
"149","anti bradiquinic",NULL,NULL
"150","anti bradyarrhythmic",NULL,"A drug used for the treatment or prevention of cardiac arrhythmias. Anti-arrhythmia drugs may affect the polarisation-repolarisation phase of the action potential, its excitability or refractoriness, or impulse conduction or membrane responsiveness within cardiac fibres."
"151","anti bradycardic",NULL,"A drug used for the treatment or prevention of cardiac arrhythmias. Anti-arrhythmia drugs may affect the polarisation-repolarisation phase of the action potential, its excitability or refractoriness, or impulse conduction or membrane responsiveness within cardiac fibres."
"152","anti bradykinetic","A drug used to stimulate motor function, for patients suffering from slowness of movement such as in the case of Parkinson's.
",NULL
"153","anti bradykinic",NULL,NULL
"154","anti bronchitic",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"155","anti bronchoconstrictor",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"156","anti brucellosic",NULL,"A substance that kills or slows the growth of microorganisms, including bacteria, viruses, fungi and protozoans."
"157","anti burn","An agent that is used in the treatment of burn wounds.
",NULL
"158","anti calculic","An agent that acts againt gall bladder stones.
",NULL
"159","anti cancer",NULL,"A substance that inhibits or prevents the proliferation of neoplasms."
"160","anti capillary-fragility","An agent or drug that strengthens capillay walls to prevent rupture.
",NULL
"161","anti carcinogenic",NULL,"A substance that inhibits or prevents the proliferation of neoplasms."
"162","anti carcinomic",NULL,"A substance that inhibits or prevents the proliferation of neoplasms."
"163","anti cardiospasmic",NULL,"A drug used for the treatment or prevention of cardiac arrhythmias. Anti-arrhythmia drugs may affect the polarisation-repolarisation phase of the action potential, its excitability or refractoriness, or impulse conduction or membrane responsiveness within cardiac fibres."
"164","anti caries",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"165","anti cariogenic",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"166","anti carpal-tunnel","A drug used to alleviate the sympoms of carpal-tunnel syndrome (inflammation, pain, etc), such as a shot of cortisone in the wrist.
",NULL
"167","anti cataleptic",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"168","anti cataract",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"169","anti catarrh",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"170","anti cellulitic",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"171","anti cephalagic",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"172","anti cerebrotic",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"173","anti cervicaldysplasic",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"174","anti CFS","An agent used to alleviate some symptoms of chronic fatigue syndrome, such as a non-steroidal anti-inflammatory agent in treatment of myalgias and arthralgias.
",NULL
"175","anti cheilitic","An agent used to treat cheilitis. Corticosteroids and anti-inflammatory agents ar examples.
",NULL
"176","anti cheilotic","An agent used to treat the cheilosis skin condition. Antifungal drugs containing hydrocortisone are an example.
",NULL
"177","anti chilblain","A drug that stimulates dilation of blood vessels, used in the tretment of chilblains.
",NULL
"178","anti cholecystosic","An agent that relieves symptoms, such as inflammation, for conditions affecting the gallbladder in which there are chronic inflammatory changes with hyperplasia of all the tissue elements.
",NULL
"179","anti choleretic","A drug that inhibits overproduction of bile in the liver.
",NULL
"180","anti cholestatic","A drug that stimulates the output of bile from the liver.
",NULL
"181","anti cholesteremic","An agent that promotes the reduction of cholesterol levels in the blood.
",NULL
"182","anti cholesterogenic","An agent that promotes the reduction of total circulating cholesterol.
",NULL
"183","anti cholinergic",NULL,"Any drug used for its actions on cholinergic systems. Included here are agonists and antagonists, drugs that affect the life cycle of acetylcholine, and drugs that affect the survival of cholinergic neurons."
"184","anti cholinesterase",NULL,"An EC 3.1.1.* (carboxylic ester hydrolase) inhibitor that interferes with the action of cholinesterase (EC 3.1.1.8)."
"185","anti chorea",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"186","anti choreic",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"187","anti cirrhotic",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"188","anti clastogen","A drug acting to inhibit mutagenic agents that disrupt or break chromosomes.
",NULL
"189","anti claudificant",NULL,NULL
"190","anti climacteric","A drug used to relieve effects of the male menopause, such as diminished sexual activity.
",NULL
"191","anti coagulant",NULL,"An agent that prevents blood clotting."
"192","anti coccidioid","A drug used as a preventative measure for coccidiosis in chicken, to minimizes the number of infective oocytes of the Emeria species that buid up in the environment.
",NULL
"193","anti coeliac",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"194","anti cold",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"195","anti colic",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"196","anti colitic",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"197","anti collagenic","An agent, or antibody, that binds collagen and prevents buildup in connective tissues. It may be used to treat heart disease.
",NULL
"198","anti collegenase",NULL,"A compound or agent that combines with an enzyme in such a manner as to prevent the normal substrate-enzyme combination and the catalytic reaction."
"199","anti colonospasmic","An agent that relieves effects of colonospasm, a disorder marked by decreased motility of the intestine.
",NULL
"200","anti complement","A substance that combines with a complement component and neutralizes its action by preventing its union with anantibody.
",NULL
"201","anti complementary","A substance possessing the power to diminish or abolish the action of a complement.
",NULL
"202","anti conjunctivitic",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"203","anti constrictive",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"204","anti convulsant",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"205","anti corneitic","An agent that diminishes inflammation of the cornea.
",NULL
"206","anti corneotic",NULL,NULL
"207","anti coronary",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"208","anti corpus-luteum","An agent, or antibody, used to detect ovarian disfunction based on corpus luteum hormone levels.
",NULL
"209","anti Crohn's",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"210","anti C-reactive-protein","An antobody agains C-reactive protein used as a marker of inflammation. There is a link between high production of C-reactive protein and risk of developing cancer.
",NULL
"211","anti cryptococcic","An antibody that may be used to detect cryptococcic meningitis.
",NULL
"212","anti CTS","An antibody against a cathepsin, proteases involved in intracellular degradation and turnover of proteins. These may be linked to tumor invasion and metastasis.
",NULL
"213","anti CVI","An antibiotic acting against colicin, a protein involved in E. coli immunity.
",NULL
"214","anti CVS",NULL,NULL
"215","anti cystinuric","An agent that diminishes the formation of cysteine stones in the kydneys, ureter, or bladder.
",NULL
"216","anti cystitic","An agent that diminishes inflammation of the urinary bladder.
",NULL
"217","anti cytomegalovirus",NULL,"A substance that destroys or inhibits replication of viruses."
"218","anti cytotoxic",NULL,"Any protective agent counteracting or neutralizing the action of poisons."
"219","anti dandruff","An agent that reduces the production or flaking of dandruff.
",NULL
"220","anti decubitic","An agent, topical drug, or nutritional factor used to treat or prevent bed sores.
",NULL
"221","anti deliriant",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"222","anti dementia",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"223","anti depressant",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"224","anti dermatic",NULL,"A drug used to treat or prevent skin disorders or for the routine care of skin."
"225","anti dermatitic",NULL,"A drug used to treat or prevent skin disorders or for the routine care of skin."
"226","anti dermatophytic","An agent, or essential oil, used to treat fungal infections of skin, hair, or nails.
",NULL
"227","anti dermatotic",NULL,"A drug used to treat or prevent skin disorders or for the routine care of skin."
"228","anti diabetic",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"229","anti diarrheic",NULL,"Any drug found useful in the symptomatic treatment of diarrhoea."
"230","anti dipsomanic","An agent that may reduce the compulsion to drink alcoholic beverages.
",NULL
"231","anti discitic","An agent that may reduce inflammation of an intervertebral disc or disc space, often related to infections.
",NULL
"232","anti discotic","An agent that prevents disc-shaped liquid crystalization.
",NULL
"233","anti diuretic",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"234","anti-DNA","A DNA binding antibody used for diagnostic purposes.
",NULL
"235","anti dopaminergic",NULL,"A drug that binds to but does not activate dopamine receptors, thereby blocking the actions of dopamine or exogenous agonists."
"236","antidote",NULL,"Any protective agent counteracting or neutralizing the action of poisons."
"237","anti drepanocytic","An agent that may prevent or combat the sickling of erythrocytes characteristic of sickle cell anemia.
",NULL
"238","anti dysenteric",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"239","anti dysgeuzic","An agent that may be used to relieve the distortion of taste characteristic of dysgeusia.
",NULL
"240","anti dyskinetic","An agent that relieves or prevents dyskinesia, which is impairment of the power of voluntary movement.
",NULL
"241","anti dysmenorrheic",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"242","anti dyspeptic",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"243","anti dysphagic",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"244","anti ear-wax",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"245","anti Epstein-Barr virus",NULL,"A substance that destroys or inhibits replication of viruses."
"246","anti ecchymotic","An agent that prevents ecchymosis, or the rupture of blood vessels that leads to the passage of blood into subcutaneous tissue.
",NULL
"247","anti eczemic",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"248","anti edemic","An agent that relieves or prevents the abnormal accumulation of fluid in the circulatory system or tissues, a condition known as edema.
",NULL
"249","anti eicosanoid",NULL,"A substance that diminishes the rate of a chemical reaction."
"250","anti elastase",NULL,"A compound or agent that combines with an enzyme in such a manner as to prevent the normal substrate-enzyme combination and the catalytic reaction."
"251","anti elleptic",NULL,NULL
"252","anti embolic","An agent that desintegrates a blood clot, or foreign material in the blood.
",NULL
"253","anti emetic",NULL,"A drug used to prevent nausea or vomiting. An antiemetic may act by a wide range of mechanisms: it might affect the medullary control centres (the vomiting centre and the chemoreceptive trigger zone) or affect the peripheral receptors."
"254","anti emphysemic",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"255","anti encephalitic",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"256","anti encephalopathic",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"257","anti endoccytotic",NULL,NULL
"258","anti endometriotic","An agent or drug that relieves endometriosis, a condition resulting from the appearance of endometrial tissue outside the uterus and causing pelvic pain.
",NULL
"259","anti endotoxic",NULL,"Any protective agent counteracting or neutralizing the action of poisons."
"260","anti enteritic","An anti-inflammtory agent that relieves swelling of the intestine, or enteritis.
",NULL
"261","anti enterococcic","An antibody binding to Enterococcus specific targets. The Enterococcus genus are lactic acid bacteria.
",NULL
"262","anti enterotic",NULL,NULL
"263","anti enuretic","An agent that prevents discharge of urine. Involuntary discharge of urine is a condition known as enuresis.
",NULL
"264","anti enzymatic","An agent or substance that inhibits or counteracts the action of an enzyme.
",NULL
"265","anti epileptic",NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
"266","anti episiotomic","An agent, such as an anti-inflammatory drug, used to treat an episiotomic tear after childbirth.
",NULL
"267","anti epitheleomic",NULL,NULL
"268","anti erythemic",NULL,"A drug used to treat or prevent skin disorders or for the routine care of skin."
"269","anti escherichic","An antibody binding to Escherichia specific targets.
",NULL
"270","anti esherichic",NULL,NULL
"271","anti esophagitic","An anti-inflammatory agent used to treat inflammation of the esophagus.
",NULL
"272","anti estrogenic",NULL,"A substance that diminishes the rate of a chemical reaction."
"273","anti exudative","An agent that relieves the oozing of fluid or other materials from cells and tissues, which may be a result of inflammation or injury.
",NULL
