,price,space,room,bedroom,furniture,latitude,longitude,city_area,floor,max_floor,apartment_type,renovation_type,balcony
35,220800,64.0,3,2,0,41.7206004,44.7232035,Saburtalo District,6,23,new,newly renovated,1
36,145000,80.0,2,1,0,41.765275827093,44.775506089983,Didube District,3,8,old,old renovation,1
37,421800,187.0,5,4,1,41.7874621,44.749969,Saburtalo District,9,10,new,newly renovated,1
38,477800,168.0,5,3,1,41.7013668,44.7687247,Vake District,8,14,new,newly renovated,1
39,593100,180.0,4,3,1,41.7223038,44.78088,Saburtalo District,10,13,new,newly renovated,1
40,191100,57.0,2,1,1,41.7245209,44.7537885,Saburtalo District,6,22,new,newly renovated,1
41,217500,65.0,2,1,0,41.7245209,44.7537885,Saburtalo District,6,21,new,newly renovated,1
42,230700,110.0,8,3,0,41.793656951009,44.821647644502,Gldani District,6,9,old,old renovation,1
43,889700,170.0,5,3,0,41.6922643,44.7968981,Mtatsminda District,1,3,old,old renovation,0
44,411900,133.0,3,2,1,41.720015,44.7407348,Saburtalo District,8,9,new,newly renovated,1
45,724900,200.0,6,4,1,41.7098004,44.7848337,Mtatsminda District,8,8,old,newly renovated,1
46,392100,120.0,3,2,1,41.7103615,44.7284963,Vake District,2,10,new,newly renovated,1
47,362500,94.0,3,2,1,41.7141725,44.7596077,Vake District,8,12,old,newly renovated,1
48,382200,97.0,3,2,0,41.7098352,44.7730487,Vake District,14,23,new,black frame,1
49,247100,70.0,3,2,1,41.737431462434,42.832372853644,Other,5,13,new,newly renovated,1
50,346000,68.0,2,1,1,41.725054,44.7545015,Saburtalo District,15,20,new,newly renovated,1
51,362500,130.0,4,3,1,41.7211627,44.7805689,Saburtalo District,10,14,new,newly renovated,1
52,230700,106.0,4,3,0,41.7080349,44.8590477,Samgori District,12,13,new,newly renovated,1
53,395400,115.0,3,2,1,41.7260891,44.7744363,Saburtalo District,9,14,new,newly renovated,1
54,270200,120.0,4,2,0,41.7245209,44.7537885,Saburtalo District,8,8,old,old renovation,1
55,293300,81.0,3,2,1,41.738955748071,44.780849339305,Didube District,10,10,new,newly renovated,1
56,237200,70.0,3,2,0,41.7245209,44.7537885,Saburtalo District,12,16,new,newly renovated,1
57,492900,209.2,4,3,0,41.6864362,44.82367,Isani District,4,21,new,white frame,0
58,350500,145.7,4,3,0,41.69230965,44.8215410733055,Isani District,5,17,new,white frame,0
59,328400,138.4,3,2,0,41.6866598,44.8379845,Isani District,9,17,new,white frame,0
60,248800,96.0,3,2,0,41.719203022265,44.766260350378,Saburtalo District,4,9,new,white frame,1
61,247100,100.0,4,3,0,41.6866598,44.8379845,Isani District,4,4,old,old renovation,1
62,411900,98.5,4,3,1,41.6828966409451,44.82326824849122,Krtsanisi District,8,10,new,newly renovated,1
63,266200,113.0,3,3,0,41.69230965,44.8215410733055,Isani District,5,17,new,white frame,0
64,131800,62.0,2,1,1,41.7341813,44.728036935007,Vake District,1,9,old,newly renovated,0
65,224100,61.0,2,1,0,41.7260891,44.7744363,Saburtalo District,5,23,new,white frame,1
66,168100,73.0,3,2,0,41.7260323,44.7995087,Nadzaladevi District,6,11,new,green frame,1
67,228900,96.5,3,2,0,41.6866598,44.8379845,Isani District,10,17,new,white frame,0
68,256900,106.8,3,3,0,41.6835977,44.835621,Isani District,4,17,new,white frame,0
69,181200,55.0,3,2,1,41.731137358932,44.76761744615,Saburtalo District,3,5,old,old renovation,1
70,362500,116.0,3,2,1,41.7210455,44.7405122,Saburtalo District,2,8,new,newly renovated,1
71,329500,65.0,3,2,1,41.7128448,44.7605542,Vake District,4,18,new,newly renovated,1
73,257000,80.0,3,2,1,41.7267227,44.786055,Didube District,10,12,new,newly renovated,1
74,138400,60.0,2,1,0,41.7800855,44.7796584,Didube District,2,5,new,newly renovated,0
75,510700,170.0,5,3,1,41.716068,44.7854635,Saburtalo District,12,20,new,newly renovated,1
76,121900,105.0,2,1,1,41.77670058780362,44.80865797130119,Nadzaladevi District,7,8,old,old renovation,1
77,280100,69.0,2,1,0,41.7249652,44.7765248,Saburtalo District,5,22,new,newly renovated,1
78,110700,65.0,2,1,0,41.6921919,44.837163856355,Isani District,6,9,old,old renovation,0
79,299900,91.0,4,3,0,41.707897,44.731694452423,Vake District,3,6,new,black frame,1
80,313000,118.0,4,2,1,41.717140667759736,44.771084095367996,Saburtalo District,2,12,old,newly renovated,1
81,280100,80.0,3,2,1,41.730843724576,44.73794592739,Saburtalo District,9,11,new,newly renovated,1
82,303100,102.0,3,2,0,41.703737831241,44.767565985702,Vake District,6,8,new,green frame,1
83,271800,75.0,2,1,1,41.7103615,44.7284963,Vake District,12,16,new,newly renovated,1
84,263600,61.0,3,2,1,41.71114765,44.794782256515,Chugureti District,3,7,new,newly renovated,0
85,258700,70.0,2,1,1,41.7077917,44.7645692,Vake District,6,8,new,newly renovated,1
86,240500,53.0,2,1,1,41.722811,44.7509454,Saburtalo District,6,12,new,newly renovated,1
87,258700,80.0,2,1,1,41.7103615,44.7284963,Vake District,6,9,new,newly renovated,1
88,181200,65.0,2,1,0,41.7172959,44.7752025,Saburtalo District,6,8,old,newly renovated,0
90,102100,45.0,2,1,1,41.7022129,44.7856469,Mtatsminda District,1,2,old,newly renovated,0
91,214200,74.0,3,2,1,41.7093734,44.7698209,Vake District,2,11,new,newly renovated,0
92,184500,52.0,3,2,1,41.73188365,44.836876299366,Other,11,12,new,newly renovated,1
93,296600,87.0,3,2,0,41.6828831,44.8238154,Krtsanisi District,5,12,new,newly renovated,1
94,280100,72.0,2,1,0,41.7245209,44.7537885,Saburtalo District,4,16,new,green frame,1
95,724900,200.0,6,4,0,41.7081011,44.7696196,Vake District,12,17,new,white frame,1
96,428400,60.0,2,1,1,41.7245209,44.7537885,Saburtalo District,4,23,new,newly renovated,1
97,191100,87.0,3,2,1,41.7206103,44.7106871,Saburtalo District,8,9,new,newly renovated,1
98,131800,88.0,3,2,0,41.8068798,44.8300802,Gldani District,2,3,new,under renovation,1
100,153200,70.0,2,1,0,41.7282988,44.733134,Vake District,10,10,new,newly renovated,0
102,98900,34.0,2,1,0,41.72447122207191,44.7922927584751,Chugureti District,10,12,old,newly renovated,0
103,181200,53.0,2,1,1,41.7245209,44.7537885,Saburtalo District,2,16,new,newly renovated,1
104,214200,76.0,3,2,0,41.73188365,44.836876299366,Other,5,11,new,newly renovated,1
105,158200,51.0,2,1,0,41.7206004,44.7232035,Saburtalo District,6,23,new,newly renovated,0
106,230700,53.0,2,1,0,41.7240689,44.7299815,Saburtalo District,14,17,new,newly renovated,1
107,339400,107.0,4,2,0,41.73188365,44.836876299366,Other,10,17,new,newly renovated,1
108,527200,128.0,4,2,0,41.6905169,44.7980186,Mtatsminda District,2,4,old,newly renovated,1
110,237200,70.0,3,2,1,41.7245209,44.7537885,Saburtalo District,6,16,new,newly renovated,1
111,385500,97.82,3,2,1,41.77159297185159,44.77747472216265,Didube District,9,17,new,newly renovated,1
112,329200,111.0,4,2,0,41.6914756,44.8049127,Krtsanisi District,2,3,old,not renovated,1
113,169700,77.0,2,1,0,41.7264095,44.7228375,Saburtalo District,3,16,old,old renovation,0
115,80700,31.0,2,1,0,41.688172,44.8311761,Isani District,1,2,old,newly renovated,0
116,247100,60.0,3,2,0,41.73188365,44.836876299366,Other,9,12,new,newly renovated,1
117,181200,69.0,2,1,0,41.7679459,44.7677435,Saburtalo District,5,9,new,newly renovated,0
118,270200,87.0,3,2,1,41.725054,44.7545015,Saburtalo District,3,15,new,newly renovated,1
119,80700,45.0,2,1,0,41.7013668,44.7687247,Vake District,1,16,new,newly renovated,0
120,197700,40.0,2,1,1,41.7040297,44.7902278,Mtatsminda District,1,1,old,newly renovated,0
121,181200,55.0,3,2,0,41.7024835,44.8069652,Chugureti District,3,3,old,old renovation,0
122,191100,60.0,2,1,0,41.7704323,44.7748777,Didube District,11,15,new,newly renovated,0
123,46100,35.0,1,1,0,41.688390797589,44.883605557186,Samgori District,4,12,construction,white frame,1
124,214200,85.0,2,1,0,41.7704323,44.7748777,Didube District,7,7,new,newly renovated,0
126,95600,42.0,2,1,0,41.7054409,44.8072665,Chugureti District,1,2,old,old renovation,0
127,115300,60.0,3,2,0,41.6988174,44.8818285,Samgori District,6,9,old,old renovation,0
128,52700,40.0,2,1,0,41.688390797589,44.883605557186,Samgori District,4,12,construction,white frame,1
129,355900,120.0,4,3,0,41.6755919,44.830976,Krtsanisi District,1,16,new,newly renovated,1
130,98900,75.0,3,2,0,41.688390797589,44.883605557186,Samgori District,4,12,construction,white frame,1
131,319600,88.0,3,2,1,41.725054,44.7545015,Saburtalo District,8,12,new,newly renovated,1
132,237200,70.0,3,2,0,41.7260891,44.7744363,Saburtalo District,11,22,new,white frame,0
133,347600,144.5,4,3,0,41.6866598,44.8379845,Isani District,11,17,new,white frame,0
135,118600,90.0,3,2,0,41.688390797589,44.883605557186,Samgori District,4,12,construction,white frame,0
136,189500,64.0,3,2,0,41.6894847,44.7924223,Mtatsminda District,1,1,old,old renovation,0
137,197700,60.0,3,2,0,41.7245209,44.7537885,Saburtalo District,3,5,new,newly renovated,1
140,194400,100.0,3,2,1,41.8040628,44.815517,Gldani District,6,9,new,newly renovated,1
141,988500,290.0,5,3,1,41.7687623,44.724123229951,Saburtalo District,13,14,new,newly renovated,1
142,181200,90.0,4,3,0,41.8040628,44.815517,Gldani District,4,9,new,black frame,1
143,823100,218.0,6,3,0,41.7687623,44.724123229951,Saburtalo District,11,18,new,newly renovated,1
144,158200,98.0,2,0,1,41.766570647355,44.776543649329,Saburtalo District,11,11,new,newly renovated,1
145,168100,72.0,3,2,0,41.7051656,44.8721895,Samgori District,2,9,new,newly renovated,1
147,84000,37.0,2,1,0,41.7938348,44.8219687,Gldani District,6,9,new,newly renovated,1
149,46100,35.0,1,1,0,41.687249664773,44.883951800571,Samgori District,4,12,construction,white frame,1
150,220800,66.0,2,1,1,41.7266037,44.729069,Saburtalo District,5,10,new,newly renovated,1
151,115300,43.0,2,1,1,41.6887569,44.8909178,Samgori District,2,9,new,newly renovated,1
152,263600,80.0,4,4,1,41.797204425678,44.767496711326,Saburtalo District,1,1,new,newly renovated,0
153,138400,75.0,3,2,0,41.7335333,44.798583,Nadzaladevi District,1,8,old,old renovation,1
154,158200,120.0,4,3,0,41.688390797589,44.883605557186,Samgori District,4,12,construction,white frame,1
155,97700,38.89,2,1,1,41.7903068,44.7593516,Saburtalo District,6,10,new,newly renovated,0
156,65900,50.0,2,1,0,41.686865080581,44.883780139205,Samgori District,4,12,construction,white frame,1
157,176000,67.0,3,2,1,41.7903068,44.7593516,Saburtalo District,6,10,new,newly renovated,1
158,176300,88.0,3,2,0,41.7245209,44.7537885,Saburtalo District,3,4,new,white frame,1
159,288300,110.0,3,2,0,41.7260891,44.7744363,Saburtalo District,3,14,new,newly renovated,0
160,85700,65.0,2,1,0,41.688390797589,44.883605557186,Samgori District,4,12,construction,white frame,1
161,240500,70.0,3,2,0,41.7224121,44.7720785,Saburtalo District,9,11,new,newly renovated,0
162,131800,74.0,3,2,0,41.690604434318,44.864366041587,Isani District,3,9,old,old renovation,1
163,214200,54.0,3,2,1,41.73188365,44.836876299366,Other,3,7,new,newly renovated,1
165,378900,110.0,3,2,1,41.727041,44.7502019,Saburtalo District,5,12,new,newly renovated,0
166,362500,98.0,4,3,0,41.7206103,44.7106871,Saburtalo District,9,13,new,newly renovated,1
167,346000,80.0,3,2,1,41.7103615,44.7284963,Vake District,10,13,new,newly renovated,0
168,188500,105.0,3,2,0,41.7954972,44.8190233,Gldani District,9,19,new,green frame,1
171,258700,106.8,3,2,0,41.6866598,44.8379845,Isani District,6,17,new,white frame,0
172,326100,138.4,3,2,0,41.6864362,44.82367,Isani District,5,17,new,white frame,0
173,258700,106.8,3,2,0,41.6864362,44.82367,Isani District,3,17,new,white frame,0
174,389800,164.3,4,3,0,41.6864362,44.82367,Isani District,6,17,new,white frame,0
175,346000,106.8,4,3,1,41.6864362,44.82367,Isani District,8,21,new,newly renovated,0
176,97200,52.0,3,2,0,41.6860511,44.8779507,Samgori District,9,9,old,old renovation,1
177,492900,209.2,5,0,0,41.6866598,44.8379845,Isani District,12,17,new,white frame,0
178,266200,113.0,3,3,0,41.6864362,44.82367,Isani District,4,17,new,white frame,0
179,171300,58.0,2,1,1,41.7641407,44.777614297418,Didube District,3,12,new,newly renovated,0
183,164800,30.0,1,1,0,41.7172959,44.7752025,Saburtalo District,5,8,old,newly renovated,0
184,339400,130.14,4,3,0,41.7314132,44.7782974,Didube District,9,11,new,newly renovated,1
186,125200,63.0,2,1,0,41.7874621,44.749969,Saburtalo District,4,5,new,newly renovated,1
187,77400,25.0,1,1,1,41.6728267,44.8838567,Samgori District,4,4,old,old renovation,1
188,100500,44.0,2,1,0,41.7034618,44.8498781,Isani District,2,15,new,under renovation,1
189,126900,38.0,1,1,0,41.74399300373,44.772326568568,Didube District,2,8,old,newly renovated,0
190,237200,64.0,3,2,1,41.725092,44.7739729,Saburtalo District,12,18,new,newly renovated,1
191,201000,72.0,3,2,0,41.7903068,44.7593516,Saburtalo District,11,15,new,newly renovated,1
193,593100,151.0,3,2,1,41.725054,44.7545015,Saburtalo District,20,21,new,newly renovated,1
194,98900,40.0,2,1,1,41.6988174,44.8818285,Samgori District,3,5,old,newly renovated,1
195,93900,42.0,2,1,0,41.73188365,44.836876299366,Other,2,3,old,newly renovated,1
196,131500,61.4,2,1,0,41.6828831,44.8238154,Krtsanisi District,11,15,new,black frame,1
197,191400,74.0,3,2,0,41.6828831,44.8238154,Krtsanisi District,12,15,new,newly renovated,1
198,97200,47.0,1,1,0,41.7954972,44.8190233,Gldani District,5,16,old,newly renovated,0
199,181200,76.0,3,2,1,41.7918749,44.7553665,Saburtalo District,10,10,new,newly renovated,1
200,94900,56.0,2,1,0,41.7903068,44.7593516,Saburtalo District,15,16,new,black frame,1
201,296600,65.0,2,1,0,41.7081011,44.7696196,Vake District,4,5,old,newly renovated,1
202,250400,92.0,3,2,1,41.7206103,44.7106871,Saburtalo District,5,5,new,newly renovated,1
203,220800,65.0,3,2,0,41.73188365,44.836876299366,Other,12,12,old,newly renovated,1
204,154900,55.0,2,1,1,41.7206103,44.7106871,Saburtalo District,9,13,new,newly renovated,1
205,120300,51.0,2,1,0,41.7058381,44.8528927,Isani District,12,14,new,newly renovated,1
206,296600,104.0,3,2,1,41.7081011,44.7696196,Vake District,6,6,old,old renovation,0
207,181200,57.0,2,1,1,41.6964053,44.7938526,Mtatsminda District,2,3,old,newly renovated,0
208,224100,85.0,3,2,1,41.6890885,44.836671,Isani District,2,5,old,newly renovated,1
209,197700,67.0,3,2,0,41.7224121,44.7720785,Saburtalo District,5,18,new,white frame,1
210,138400,40.0,2,1,0,41.7245209,44.7537885,Saburtalo District,8,14,new,newly renovated,1
211,214200,60.0,3,2,1,41.7224121,44.7720785,Saburtalo District,10,12,new,newly renovated,1
212,148300,75.0,3,2,0,41.72981255,44.73330339417,Vake District,4,16,old,not renovated,0
213,108700,42.0,2,1,1,41.6883397,44.8325599,Isani District,23,23,new,newly renovated,1
214,210900,70.0,3,2,0,41.7224121,44.7720785,Saburtalo District,9,14,new,newly renovated,1
215,296600,100.0,5,3,0,41.7052106,44.7904878,Mtatsminda District,3,3,old,old renovation,0
216,240500,87.0,2,1,0,41.7279282,44.7680255,Saburtalo District,5,5,old,old renovation,1
218,280100,110.0,5,3,0,41.7927141,44.7611428,Saburtalo District,14,14,old,old renovation,1
219,444800,100.0,4,2,1,41.688653,44.8336218,Isani District,10,12,new,newly renovated,1
220,263600,100.0,3,2,1,41.7093734,44.7698209,Vake District,3,4,old,old renovation,1
221,214200,87.0,3,2,0,41.7259992,44.7860003,Didube District,1,5,old,old renovation,0
222,1285100,226.0,5,4,1,41.6894847,44.7924223,Mtatsminda District,4,7,new,newly renovated,1
223,201000,55.0,2,2,0,41.727196,44.7281978,Saburtalo District,5,9,new,newly renovated,1
224,355900,98.0,3,2,1,41.7224121,44.7720785,Saburtalo District,5,14,new,newly renovated,1
225,194400,55.0,3,2,0,41.7224121,44.7720785,Saburtalo District,9,18,new,newly renovated,1
226,329500,118.0,3,2,0,41.722188977234,44.767785598142,Other,9,12,new,newly renovated,1
227,197700,64.0,3,2,1,41.7245209,44.7537885,Saburtalo District,2,14,new,newly renovated,1
228,118600,48.0,2,1,1,41.7903068,44.7593516,Saburtalo District,5,12,new,newly renovated,1
229,194400,60.0,2,1,1,41.7307343,44.7439254,Saburtalo District,4,10,new,newly renovated,1
230,118600,80.0,3,2,0,41.798161966184,44.82049281922,Gldani District,1,9,old,not renovated,0
232,184500,55.0,3,2,0,41.7595839,44.774485474685,Didube District,21,22,new,newly renovated,0
233,98900,45.0,3,2,1,41.73188365,44.836876299366,Other,1,5,old,newly renovated,0
234,428400,113.0,4,3,0,41.725054,44.7545015,Saburtalo District,11,14,new,newly renovated,1
235,240500,90.0,3,2,0,41.7341813,44.728036935007,Vake District,12,15,new,newly renovated,1
236,187800,68.0,3,2,1,41.7954972,44.8190233,Gldani District,7,10,new,newly renovated,1
238,823400,238.0,6,4,1,41.7210455,44.7405122,Saburtalo District,6,6,new,newly renovated,1
240,140000,50.0,2,1,0,41.7206004,44.7232035,Saburtalo District,5,9,new,green frame,1
241,95500,71.0,4,3,0,41.6640361,44.9150779,Samgori District,3,3,old,old renovation,1
242,181200,70.0,4,3,0,41.797398640701,44.82325157524,Gldani District,6,9,old,newly renovated,1
244,362500,110.0,4,3,1,41.718769,44.7069129,Saburtalo District,12,14,new,newly renovated,1
246,553600,76.0,3,2,1,41.6905169,44.7980186,Mtatsminda District,2,2,old,newly renovated,1
247,605000,107.0,3,2,0,41.722811,44.7509454,Saburtalo District,7,10,new,newly renovated,0
248,444800,122.0,4,3,0,41.7098352,44.7730487,Vake District,4,12,new,newly renovated,1
249,214200,117.0,4,3,1,41.7954972,44.8190233,Gldani District,7,9,old,newly renovated,1
250,65900,68.0,2,1,0,41.7554926,44.766335,Saburtalo District,5,10,new,newly renovated,1
251,242200,86.3,3,2,0,41.7331648,44.7411031,Saburtalo District,12,13,new,green frame,1
252,444800,155.0,4,3,0,41.7206103,44.7106871,Saburtalo District,5,15,new,green frame,0
253,184500,62.4,3,2,0,41.7394206,44.756602088677,Saburtalo District,3,5,new,newly renovated,1
254,560200,171.0,4,3,1,41.7117382,44.7928453,Chugureti District,5,7,new,newly renovated,0
256,156500,55.6,3,2,0,41.7335333,44.798583,Nadzaladevi District,12,17,new,newly renovated,1
258,247100,90.0,3,2,1,41.71830105,44.822817520112,Chugureti District,2,2,old,newly renovated,0
259,157500,60.0,2,1,0,41.725203,44.7425619,Saburtalo District,7,8,old,old renovation,0
260,263600,58.0,2,1,1,41.7091395,44.7616907,Vake District,4,6,old,newly renovated,1
261,346000,70.0,3,2,1,41.71618947596,44.71960587311,Saburtalo District,2,18,new,newly renovated,0
262,544000,127.0,3,2,1,,,Other,2,9,old,newly renovated,1
263,133500,42.0,2,1,1,41.720566881146,44.760567849919,Saburtalo District,10,14,old,newly renovated,1
264,214200,55.0,2,1,1,41.7078907,44.7957079,Chugureti District,1,4,old,newly renovated,0
265,346000,81.0,3,2,1,41.6710145,44.8418127,Krtsanisi District,6,15,new,newly renovated,1
267,230700,111.0,4,3,1,41.792110493843,44.760762989139,Saburtalo District,12,14,old,newly renovated,0
268,257000,114.5,4,3,0,41.741606810974,44.773725964423,Didube District,8,9,old,not renovated,1
269,396500,57.3,2,1,0,41.712056756552,44.754062066326,Vake District,12,30,new,white frame,1
270,253700,86.0,3,2,0,41.722688196146,44.730161141516,Saburtalo District,14,15,new,newly renovated,1
271,286700,97.0,3,2,1,41.765863901588,44.790525596733,Nadzaladevi District,17,17,new,newly renovated,1
272,250400,80.0,4,3,1,41.672957647884,44.834812026323,Krtsanisi District,16,17,new,newly renovated,1
273,631700,142.0,4,3,0,41.72301095,44.757250550764,Saburtalo District,11,20,new,newly renovated,1
274,440900,78.0,3,2,1,41.6964053,44.7938526,Mtatsminda District,2,3,old,newly renovated,1
275,312700,73.1,2,1,1,41.7093734,44.7698209,Vake District,8,22,new,newly renovated,1
276,329500,110.0,4,2,0,41.7704323,44.7748777,Didube District,1,4,new,newly renovated,1
277,163400,62.0,2,1,0,41.721422430582,44.738512747656,Saburtalo District,10,31,new,white frame,0
279,155500,59.0,2,1,0,41.721422430582,44.738512747656,Saburtalo District,11,31,new,white frame,1
281,207600,107.5,3,2,0,41.758119177047,44.774553259818,Didube District,15,17,construction,white frame,1
282,272300,87.0,3,2,0,41.7260891,44.7744363,Saburtalo District,12,22,new,white frame,0
283,151600,55.0,2,2,1,41.697754258307,44.963490268706,Other,3,5,old,not renovated,1
284,369100,140.0,3,2,0,41.7022129,44.7856469,Mtatsminda District,10,10,new,black frame,1
285,112000,30.0,2,0,0,41.70843486438247,44.78413127896172,Other,1,2,old,old renovation,0
288,449800,130.0,4,3,0,41.72281560466,44.745243458325,Vake District,4,8,old,newly renovated,1
289,324400,107.0,3,2,1,41.722174106802,44.766847092017,Other,4,12,new,newly renovated,1
290,115300,48.0,2,1,0,41.788064044271,44.750043750935,Saburtalo District,11,11,new,newly renovated,1
291,283400,72.0,2,1,0,41.714623535537,44.799397689455,Chugureti District,2,5,new,newly renovated,1
292,510700,200.0,5,3,1,41.727703618932765,44.79251792127266,Didube District,4,11,new,newly renovated,1
293,262000,100.0,4,3,1,41.743789090562,44.792924467027,Other,3,5,old,newly renovated,1
296,494300,110.0,3,2,1,41.709913421193,44.7879070905,Mtatsminda District,7,18,new,newly renovated,0
297,113700,42.0,2,1,0,41.79346875,44.822745752323,Gldani District,3,17,new,newly renovated,1
298,148300,54.5,2,1,0,41.80050295,44.830899413631,Gldani District,13,17,new,newly renovated,1
299,214200,102.0,3,2,0,41.76787167958,44.772925051872,Didube District,3,4,old,newly renovated,1
300,207600,72.0,3,2,1,41.7364242,44.7822534,Didube District,4,5,old,newly renovated,1
301,329200,108.0,5,4,0,41.721804814083,44.781013631859,Saburtalo District,15,16,new,white frame,1
302,126900,80.0,3,2,1,41.781181051246,44.819223349668,Nadzaladevi District,1,8,old,old renovation,0
303,295700,97.0,3,2,0,41.721468770899,44.781148769708,Saburtalo District,14,15,new,white frame,1
304,202600,58.0,2,1,0,41.721466748044,44.781147934502,Saburtalo District,9,15,new,newly renovated,1
305,157100,52.0,2,1,0,41.721779544961,44.781016678062,Saburtalo District,12,15,new,white frame,1
307,149100,58.0,2,1,0,41.721644339922,44.780870008926,Saburtalo District,2,15,new,white frame,1
308,141700,65.0,3,2,0,41.7271321,44.7880765,Didube District,3,3,old,newly renovated,0
309,82400,57.0,2,1,0,41.7677108,44.7876522,Nadzaladevi District,1,8,old,not renovated,0
310,234000,120.0,5,4,0,41.79553227984,44.757990286562,Saburtalo District,8,9,old,newly renovated,1
311,125200,40.0,2,1,0,41.7554926,44.766335,Saburtalo District,9,12,new,newly renovated,1
312,164800,96.0,4,3,0,41.7856281,44.8219953,Gldani District,4,8,old,newly renovated,1
313,202000,58.0,2,1,1,41.707897,44.731694452423,Vake District,12,16,new,newly renovated,1
314,164800,65.0,2,1,1,41.6880141,44.8118123,Krtsanisi District,1,3,old,old renovation,0
315,210900,67.0,3,2,1,41.677494,44.846858,Isani District,6,12,new,newly renovated,1
316,112000,48.0,2,1,0,41.7903068,44.7593516,Saburtalo District,2,5,new,newly renovated,1
317,280100,195.0,3,2,1,41.688671,44.8106334,Krtsanisi District,2,2,old,old renovation,0
318,659300,234.0,6,3,0,41.7309687,44.7564179,Saburtalo District,8,8,new,white frame,1
319,108700,50.0,1,0,1,41.802569824039,44.82683327087,Gldani District,5,9,old,newly renovated,1
320,214200,82.0,3,2,1,41.7034618,44.8498781,Isani District,5,13,new,newly renovated,1
321,510700,146.0,3,2,1,41.7093734,44.7698209,Vake District,0,6,old,newly renovated,1
322,273500,85.0,4,2,1,41.723070023161,44.719444395258,Saburtalo District,3,5,new,newly renovated,1
325,6287100,53.0,3,2,1,41.7942186,44.7589047,Saburtalo District,10,11,new,newly renovated,1
326,593100,200.0,5,3,1,41.73188365,44.836876299366,Other,15,15,new,newly renovated,0
327,231300,54.0,2,1,1,41.72500677343,44.763974001062,Saburtalo District,6,11,new,newly renovated,1
328,154900,45.0,2,1,1,41.71669582262271,44.764359869895486,Saburtalo District,12,14,new,newly renovated,1
329,220800,100.0,4,3,0,41.7260323,44.7995087,Nadzaladevi District,8,9,old,old renovation,1
