Subject-wise ranking of top 2% scientist from India (all fields),,,,,,,,
Downloded/complied based on an independent study done by Stanford University scientists (for methodology and data visit)- https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.3000918,,,,,,,,
Note world-wide full list of top 2% (all countries) can be found at shorturl.at/qHIJ4,,,,,,,,
authfull,Field,inst_name,subject area),C-score,Top %,papers,publication,publication
"Pal, G. P.",Anatomy & Morphology,Shri M.P. Shah Medical College,102,2.95631998,1.748971193,24,1973,2001
"Nayak, Satheesha B.",Anatomy & Morphology,"Melaka-Manipal Medical College, Manipal University",117,2.91146465,2.00617284,189,1995,2020
"Agarwal, Anil Kumar",Anesthesiology,"Department of Paediatric Orthopaedics, Chacha Nehru Bal Chikitsalaya",498,3.38720278,1.445993031,328,1976,2020
,,,Rank world-,,,,,
,,,wide (by,,,Number of,First year of,Latest year of
authfull,Field,inst_name,subject area),C-score,Top %,papers,publication,publication
"Mittal, Sanjay",Applied Mathematics,Indian Institute of Technology Kanpur,102,3.79608762,0.645365391,135,1991,2020
,,,Rank world-,,,,,
,,,wide (by,,,Number of,First year of,Latest year of
authfull,Field,inst_name,subject area),C-score,Top %,papers,publication,publication
"Lokhande, Chandrakant D.",Applied Physics,"D. Y. Patil University, Kolhapur",186,4.25704401,0.082719607,513,1982,2020
"Kumar, Manoj",Applied Physics,Motilal Nehru National Institute of Technology Allahabad,210,4.22981285,0.093393105,787,1974,2013
"Kumar, Sandeep",Applied Physics,"All India Institute of Medical Sciences, New Delhi",358,4.08475909,0.159213007,262,1985,2014
"Sarma, D. D.",Applied Physics,"Indian Institute of Science, Bengaluru",360,4.08241197,0.160102466,467,1980,2020
"Patil, Pramod S.",Applied Physics,Shivaji University,391,4.06160831,0.173889067,455,1988,2020
"Ogale, Satish",Applied Physics,"Indian Institute of Science Education and Research, Pune",399,4.0587585,0.177446899,534,1978,2020
"Kumar, Vijay",Applied Physics,Dr Vijay Kumar Foundation,630,3.94213176,0.280179315,345,1979,2020
"Ghosh, Aswini",Applied Physics,Indian Association for the Cultivation of Science,770,3.88504308,0.342441385,259,1967,2020
"Sood, A. K.",Applied Physics,"Indian Institute of Science, Bengaluru",775,3.88157807,0.34466503,432,1979,2020
"Srivastava, A. K.",Applied Physics,University of Lucknow,978,3.8155759,0.434945031,496,1969,2010
"Avasthi, D. K.",Applied Physics,"Amity University, Noida",1105,3.78173397,0.491425624,726,1982,2020
"Late, Dattatray",Applied Physics,"Amity University, Maharashtra",1135,3.77403464,0.504767496,165,2004,2020
"Kumar, Sanjeev",Applied Physics,"Indian Institute of Science, Bengaluru",1202,3.75773163,0.534564343,431,1972,2019
"Kumar, Ashok",Applied Physics,Tezpur University,1234,3.74938942,0.548795674,618,1979,2020
"Ramakrishnan, T. V.",Applied Physics,Pondicherry University,1349,3.7235059,0.599939517,133,1962,2019
"Nanda, Karuna Kar",Applied Physics,"Indian Institute of Science, Bengaluru",1372,3.71934068,0.610168285,212,1994,2020
"Singh, Rajiv",Applied Physics,"Institute of Engineering & Technology, Lucknow",1450,3.69948675,0.644857153,424,1987,2020
"Raychaudhuri, A. K.",Applied Physics,S N Bose National Centre for Basic Science,1469,3.69686865,0.653307005,339,1980,2019
"Singh, Rajendra",Applied Physics,Indian Veterinary Research Institute,1531,3.68345289,0.680880208,594,1974,2020
"Ravindran, P.",Applied Physics,Central University of Tamil Nadu,1548,3.67759651,0.688440602,178,1994,2020
"Shenoy, Vijay B.",Applied Physics,"Indian Institute of Science, Bengaluru",1607,3.66611743,0.714679617,84,1994,2020
"Kutty, T. R.N.",Applied Physics,"Indian Institute of Science, Bengaluru",1693,3.65091453,0.752926317,198,1978,2010
"Chopra, K. L.",Applied Physics,IIT Council,1695,3.65035315,0.753815775,240,1957,2017
"Kaul, S. N.",Applied Physics,University of Hyderabad,1710,3.64716041,0.760486711,200,1974,2020
"Kumar, Ashok",Applied Physics,Indian Institute of Technology Kanpur,1713,3.64638259,0.761820899,460,1984,2020
"Waghmare, Umesh V.",Applied Physics,Jawaharlal Nehru Centre for Advanced Scientific Research,1799,3.63178017,0.800067599,349,1992,2020
"Jain, S. C.",Applied Physics,National Physical Laboratory India,1817,3.62697171,0.808072722,293,1952,2010
"Barshilia, Harish C.",Applied Physics,National Aerospace Laboratories India,1858,3.62250164,0.826306614,202,1995,2020
"Bahadur, Dhirendra",Applied Physics,"Indian Institute of Technology, Bombay",1902,3.61600643,0.845874693,375,1975,2020
"Ghatak, Kamakhya Prasad",Applied Physics,Institute of Engineering and Management,1979,3.60113603,0.880118832,343,1980,2018
"Singh, A. K.",Applied Physics,National Aerospace Laboratories India,1991,3.59934388,0.88545558,120,1967,2018
"Rai, Vineet Kumar",Applied Physics,"Indian Institute of Technology (Indian School of Mines), Dhanbad",2203,3.56614147,0.979738144,156,2003,2020
"Roy, Sindhunil Barman",Applied Physics,Raja Ramanna Centre for Advanced Technology,2222,3.56382907,0.988187996,254,1983,2019
"Mansingh, A.",Applied Physics,University of Delhi,2407,3.5384344,1.070462874,200,1964,2008
"Sen, Diptiman",Applied Physics,"Indian Institute of Science, Bengaluru",2427,3.53608728,1.079357455,195,1983,2019
"Gupta, Vinay",Applied Physics,University of Delhi,2443,3.53322035,1.086473121,290,1994,2020
"Krupanidhi, Saluru Baba",Applied Physics,"Indian Institute of Science, Bengaluru",2491,3.52705278,1.107820116,445,1978,2020
"Joy, Pattayil",Applied Physics,National Chemical Laboratory India,2493,3.52675064,1.108709574,202,1991,2020
"Kumar, Anil",Applied Physics,"Indian Institute of Science, Bengaluru",2499,3.52583885,1.111377949,151,1974,2017
"Chandra, B. P.",Applied Physics,Pt. Ravishankar Shukla University,2523,3.52321003,1.122051446,193,1972,2017
"Sharma, Rajiv",Applied Physics,"ICAR - Central Institute of Post-Harvest Engineering and Technology, Ludhiana",2583,3.51321234,1.148735191,386,1974,2015
"Kanjilal, Dinakar",Applied Physics,Inter University Accelerator Centre India,2748,3.4889407,1.222115487,673,1983,2020
"Rai, S. B.",Applied Physics,Banaras Hindu University,2778,3.48455602,1.235457359,275,1995,2020
"Ningthoujam, Raghumani Singh",Applied Physics,Bhabha Atomic Research Centre,2987,3.45735845,1.328405735,147,2002,2020
"Mandal, Prabhat",Applied Physics,Saha Institute of Nuclear Physics,3025,3.45359566,1.34530544,209,1986,2020
"Maiti, Santanu K.",Applied Physics,"Indian Statistical Institute, Kolkata",3139,3.44165696,1.396004554,144,2004,2020
"Choudhary, R. N.P.",Applied Physics,Siksha O Anusandhan (Deemed to be University),3148,3.44035026,1.400007116,712,1978,2020
"Das, Debajyoti",Applied Physics,Indian Association for the Cultivation of Science,3162,3.43872185,1.406233323,141,1985,2020
"Giri, P. K.",Applied Physics,Indian Institute of Technology Guwahati,3294,3.42503705,1.46493756,145,1995,2020
"Dhoble, S. J.",Applied Physics,Rashtrasant Tukadoji Maharaj Nagpur University,3362,3.41688968,1.495179137,559,1991,2020
"Pandey, Dhananjai",Applied Physics,Indian Institute of Technology Banaras Hindu University,3453,3.40582206,1.535649482,199,1975,2020
"Sikka, S. K.",Applied Physics,Office of the Principal Scientific Adviser to the Government of India,3455,3.40577357,1.53653894,160,1964,2018
"Arora, A. K.",Applied Physics,Indira Gandhi Centre for Atomic Research,3589,3.38975451,1.596132636,154,1981,2014
"Veeraiah, N.",Applied Physics,Acharya Nagarjuna University,3688,3.37838201,1.640160814,311,1981,2020
"Philip, John",Applied Physics,Indira Gandhi Centre for Atomic Research,3706,3.37635343,1.648165937,239,1991,2020
"Sharma, G. D.",Applied Physics,Jai Narain Vyas University,3712,3.37567328,1.650834312,142,1983,2011
"Trivedi, Dinesh Chandra",Applied Physics,Central Electrochemical Research Institute India,3754,3.37150151,1.669512933,79,1986,2010
"Ramasamy, P.",Applied Physics,"SSN College of Engineering, Kalavakkam",3813,3.36487208,1.695751948,837,1975,2019
"Chaplot, S. L.",Applied Physics,Bhabha Atomic Research Centre,3834,3.36254634,1.705091258,158,1978,2010
"Ramasesha, S.",Applied Physics,"Indian Institute of Science, Bengaluru",3852,3.3607365,1.713096382,225,1976,2020
"Chandrasekhar, S.",Applied Physics,Centre for Nano and Soft Matter Sciences,3876,3.35898466,1.723769879,80,1966,2004
"Chakravorty, Dipankar",Applied Physics,Indian Association for the Cultivation of Science,3877,3.35885339,1.724214608,374,1971,2020
"Gupta, Ajay",Applied Physics,"Amity University, Noida",4000,3.34812329,1.778916284,428,1971,2020
"Jayasankar, C. K.",Applied Physics,Sri Venkateswara University,4105,3.33779213,1.825612837,236,1982,2020
"Yakhmi, J. V.",Applied Physics,Homi Bhabha National Institute,4123,3.33594946,1.83361796,362,1978,2019
"Chaddah, Praveen",Applied Physics,UGC-DAE Consortium for Scientific Research India,4132,3.33515301,1.837620522,234,1975,2020
"Chandra, Suresh",Applied Physics,Lovely Professional University,4162,3.33273677,1.850962394,271,1963,2012
"Ayyub, Pushan",Applied Physics,"Tata Institute of Fundamental Research, Mumbai",4186,3.33070953,1.861635891,168,1983,2019
"Mookerjee, Abhijit",Applied Physics,S N Bose National Centre for Basic Science,4257,3.32320388,1.893211655,244,1973,2019
"Prakash, R.",Applied Physics,Indian Institute of Technology Banaras Hindu University,4349,3.31485545,1.93412673,205,1998,2020
"Srivastava, Avanish Kumar",Applied Physics,Academy of Scientific and Innovative Research (AcSIR),4400,3.30965384,1.956807913,216,1999,2020
"Maiti, Kalobaran",Applied Physics,"Tata Institute of Fundamental Research, Mumbai",4420,3.30808921,1.965702494,115,1996,2020
"Dhawan, S. K.",Applied Physics,National Physical Laboratory India,4448,3.30603435,1.978154908,188,1989,2019
"Sampathkumaran, E. V.",Applied Physics,"Tata Institute of Fundamental Research, Mumbai",4476,3.30351487,1.990607322,398,1979,2019
"Kulshreshtha, S. K.",Applied Physics,Bhabha Atomic Research Centre,4556,3.29659737,2.026185648,208,1970,2018
"Somani, Prakash R.",Applied Physics,Applied Science Innovations Pvt. Ltd.,4711,3.2825018,2.095118654,46,1998,2017
"Singh, Surinder P.",Applied Physics,National Physical Laboratory India,4740,3.27983237,2.108015797,152,2003,2020
"Palkar, Vaijayanti R.",Applied Physics,"Indian Institute of Technology, Bombay",4763,3.27805959,2.118244565,114,1979,2019
,,,Rank world-,,,,,
,,,wide (by,,,Number of,First year of,Latest year of
authfull,Field,inst_name,subject area),C-score,Top %,papers,publication,publication
"Vaidyanathan, Sundarapandian",Artificial Intelligence & Image Processing,Vel Tech Rangarajan Dr.Sagunthala R&D Institute of Science and Technology,10,4.86212504,0.004648698,506,1999,2020
"Garg, Harish",Artificial Intelligence & Image Processing,Thapar Institute of Engineering & Technology,197,4.14342663,0.091579349,164,2011,2020
"Pal, Sankar Kumar",Artificial Intelligence & Image Processing,"Indian Statistical Institute, Kolkata",230,4.10705055,0.106920052,409,1977,2019
"Pal, Nikhil R.",Artificial Intelligence & Image Processing,"Indian Statistical Institute, Kolkata",243,4.08992058,0.112963359,251,1987,2020
"Bandyopadhyay, Sanghamitra",Artificial Intelligence & Image Processing,"Indian Statistical Institute, Kolkata",407,3.95320868,0.189202005,283,1995,2020
"Kephart, Jeffrey O.",Artificial Intelligence & Image Processing,IBM Research,619,3.83363668,0.2877544,100,1989,2019
"Chakrabarti, Soumen",Artificial Intelligence & Image Processing,"Indian Institute of Technology, Bombay",650,3.81395506,0.302165363,98,1993,2020
"Maulik, Ujjwal",Artificial Intelligence & Image Processing,Jadavpur University,666,3.80383516,0.30960328,274,1998,2020
"Chaudhuri, Bidyut B.",Artificial Intelligence & Image Processing,"Indian Statistical Institute, Kolkata",709,3.78664678,0.329592681,286,1978,2020
"Das, Swagatam",Artificial Intelligence & Image Processing,"Indian Statistical Institute, Kolkata",800,3.74777151,0.371895832,372,2004,2020
"Panda, Sidhartha",Artificial Intelligence & Image Processing,VSS University of Technology,909,3.70082416,0.422566639,145,2006,2020
"Mitra, Sushmita",Artificial Intelligence & Image Processing,"Indian Statistical Institute, Kolkata",935,3.68494374,0.434653254,116,1989,2020
"Krishnapuram, Raghu",Artificial Intelligence & Image Processing,Ramaiah Institute of Technology,1004,3.65633417,0.466729269,115,1989,2019
"Sarawagi, Sunita",Artificial Intelligence & Image Processing,"Indian Institute of Technology, Bombay",1059,3.6395408,0.492297108,74,1994,2020
"Ghoshal, S. P.",Artificial Intelligence & Image Processing,"National Institute of Technology, Durgapur",1063,3.6363573,0.494156587,302,2003,2019
"Konar, Amit",Artificial Intelligence & Image Processing,Jadavpur University,1375,3.54246778,0.639195961,448,1990,2020
"Balasubramaniam, P.",Artificial Intelligence & Image Processing,The Gandhigram Rural Institute,1430,3.52928551,0.6647638,274,1993,2020
"Jain, Sanjay K.",Artificial Intelligence & Image Processing,National Institute of Hydrology India,1476,3.51861518,0.68614781,305,1974,2019
"Vishwanathan, Sundar",Artificial Intelligence & Image Processing,"Indian Institute of Technology, Bombay",1632,3.4811912,0.758667497,130,1988,2019
"Sarkar, Palash",Artificial Intelligence & Image Processing,"Indian Statistical Institute, Kolkata",1857,3.43470222,0.8632632,139,1997,2020
"Chakraverty, Snehashish",Artificial Intelligence & Image Processing,National Institute of Technology Rourkela,1862,3.43364628,0.865587549,201,1991,2020
"Ghosh, Ashish",Artificial Intelligence & Image Processing,"Indian Statistical Institute, Kolkata",1892,3.42721972,0.879533643,223,1990,2020
"Rajan, Rakkiyappan",Artificial Intelligence & Image Processing,Bharathiar University,2055,3.39673892,0.955307418,177,2008,2020
"Maji, Pradipta",Artificial Intelligence & Image Processing,"Indian Statistical Institute, Kolkata",2075,3.39147506,0.964604814,130,2001,2020
"Majumdar, Angshul",Artificial Intelligence & Image Processing,"Indraprastha Institute of Information Technology, Delhi",2088,3.38853075,0.970648121,212,2007,2020
"Syed Ali, M.",Artificial Intelligence & Image Processing,Thiruvalluvar University,2145,3.37762554,0.997145699,124,2005,2020
"Ravi, Vadlamani",Artificial Intelligence & Image Processing,Institute for Development and Research in Banking Technology India,2228,3.36065216,1.035729892,137,1997,2020
"Chatterjee, Amitava",Artificial Intelligence & Image Processing,Jadavpur University,2342,3.33893883,1.088725048,133,2000,2020
"Chaudhuri, Subhasis",Artificial Intelligence & Image Processing,"Indian Institute of Technology, Bombay",2413,3.32715402,1.121730803,249,1987,2019
"Cherukuri, Aswani Kumar",Artificial Intelligence & Image Processing,"Vellore Institute of Technology, Vellore",2476,3.31759603,1.1510176,101,2005,2020
"Panigrahi, B. K.",Artificial Intelligence & Image Processing,Indian Institute of Technology Delhi,2530,3.30791367,1.176120569,500,2001,2020
"Kumar, Amit",Artificial Intelligence & Image Processing,Central Electronics Engineering Research Institute India,2570,3.30123652,1.19471536,410,2000,2020
"Mitra, Suman K.",Artificial Intelligence & Image Processing,Dhirubhai Ambani Institute of Information and Communication Technology,2617,3.29393027,1.21656424,247,1953,2012
"Kumaravel, A.",Artificial Intelligence & Image Processing,Bharath Institute of Higher Education and Research,2622,3.29334099,1.218888589,80,2012,2020
"Maitra, Subhamoy",Artificial Intelligence & Image Processing,"Indian Statistical Institute, Kolkata",2753,3.27485795,1.279786532,174,1999,2020
"Kund, N. K.",Artificial Intelligence & Image Processing,VSS University of Technology,2838,3.26497628,1.319300464,44,2010,2019
"Singh, Alok",Artificial Intelligence & Image Processing,University of Hyderabad,2884,3.25884073,1.340684474,89,2005,2020
"Hanmandlu, Madasu",Artificial Intelligence & Image Processing,MVSR Engineering College,2975,3.24590195,1.382987625,273,1980,2019
"Pal, Umapada",Artificial Intelligence & Image Processing,"Indian Statistical Institute, Kolkata",3057,3.23588738,1.421106948,331,1995,2020
"Gupta, Manish",Artificial Intelligence & Image Processing,Indira Gandhi Medical College,3273,3.20738766,1.521518823,171,1991,2020
"Ranganath, Surendra",Artificial Intelligence & Image Processing,JSS Science and Technology University,3380,3.19470386,1.57125989,87,1980,2014
"Biswas, Ranjit",Artificial Intelligence & Image Processing,Jamia Hamdard,3423,3.18932905,1.591249291,64,1989,2020
"Padmanabhan, Vineet",Artificial Intelligence & Image Processing,University of Hyderabad,3455,3.18503892,1.606125124,92,1993,2019
"Malhotra, Ruchika",Artificial Intelligence & Image Processing,Delhi Technological University,3558,3.1726283,1.654006713,95,2005,2020
"Mukhopadhyay, Jayanta",Artificial Intelligence & Image Processing,Indian Institute of Technology Kharagpur,3648,3.16179498,1.695844994,242,1989,2020
"Jayaram, Balasubramaniam",Artificial Intelligence & Image Processing,Indian Institute of Technology Hyderabad,3653,3.16117598,1.698169343,69,2002,2020
"Sen, Jaydip",Artificial Intelligence & Image Processing,Praxis Business School,3682,3.15809173,1.711650567,59,2005,2017
"Sood, Sandeep K.",Artificial Intelligence & Image Processing,Central University of Himachal Pradesh,3699,3.15588299,1.719553353,89,2009,2020
"Singh, Richa",Artificial Intelligence & Image Processing,"Indraprastha Institute of Information Technology, Delhi",3711,3.15428684,1.725131791,233,2002,2019
"Das, Manik Lal",Artificial Intelligence & Image Processing,Dhirubhai Ambani Institute of Information and Communication Technology,3824,3.14240648,1.777662077,77,2004,2020
"Pratihar, Dilip K.",Artificial Intelligence & Image Processing,Indian Institute of Technology Kharagpur,3837,3.14027156,1.783705384,181,1998,2020
"Rao, K. Sreenivasa",Artificial Intelligence & Image Processing,Indian Institute of Technology Kharagpur,3862,3.13711298,1.795327129,152,2002,2020
"Chaira, Tamalika",Artificial Intelligence & Image Processing,Indian Institute of Technology Delhi,3880,3.13530716,1.803694785,30,2003,2017
"Pachori, Ram Bilas",Artificial Intelligence & Image Processing,Indian Institute of Technology Indore,3941,3.13001384,1.832051842,146,2005,2020
"Jana, Prasanta K.",Artificial Intelligence & Image Processing,"Indian Institute of Technology (Indian School of Mines), Dhanbad",3965,3.12774955,1.843208717,146,1995,2020
"Parhi, Dayal R.",Artificial Intelligence & Image Processing,National Institute of Technology Rourkela,3968,3.12705023,1.844603327,186,1997,2020
"Mitra, Pabitra",Artificial Intelligence & Image Processing,Indian Institute of Technology Kharagpur,4015,3.12167868,1.866452207,55,1999,2010
"Devaraj, D.",Artificial Intelligence & Image Processing,Kalasalingam Academy of Research and Education,4121,3.11021345,1.915728404,207,2002,2020
"Srinivasan, Ashwin",Artificial Intelligence & Image Processing,"Birla Institute of Technology and Science, Pilani",4173,3.1051321,1.939901634,97,1990,2019
"Murthy, C. A.",Artificial Intelligence & Image Processing,"Indian Statistical Institute, Kolkata",4178,3.10479802,1.942225983,121,1983,2019
"Bhatnagar, Gaurav",Artificial Intelligence & Image Processing,Indian Institute of Technology Jodhpur,4206,3.10179518,1.955242337,76,2008,2020
"Dey, Nilanjan",Artificial Intelligence & Image Processing,Techno India College of Technology,4226,3.10056791,1.964539732,325,2012,2020
"Kar, Arpan Kumar",Artificial Intelligence & Image Processing,Indian Institute of Technology Delhi,4263,3.09744128,1.981739915,83,2011,2020
"Ansari, Mohd Nazam",Artificial Intelligence & Image Processing,Jamia Hamdard Faculty of Pharmacy,4401,3.08341805,2.045891946,135,1967,2009
"Panda, Gayadhar",Artificial Intelligence & Image Processing,National Institute of Technology Meghalaya,4522,3.07173415,2.10214119,240,1981,2020
"Chanda, Bhabatosh",Artificial Intelligence & Image Processing,"Indian Statistical Institute, Kolkata",4535,3.07085175,2.108184498,184,1982,2020
"Malladi, Ravikanth",Artificial Intelligence & Image Processing,GE Global Research India,4640,3.06183668,2.156995825,42,1991,2008
"Vijayaragavan, S. P.",Artificial Intelligence & Image Processing,Bharath Institute of Higher Education and Research,4653,3.06091369,2.163039133,22,2013,2020
"Mitra, Mandar",Artificial Intelligence & Image Processing,"Indian Statistical Institute, Kolkata",4803,3.04685291,2.232769601,66,1996,2019
"Jain, Prateek",Artificial Intelligence & Image Processing,Microsoft Research,4821,3.04478682,2.241137257,82,2007,2019
"Varma, Manik",Artificial Intelligence & Image Processing,Microsoft Research,4881,3.04079545,2.269029445,37,2002,2020
,,,Rank world-,,,,,
,,,wide (by,,,Number of,First year of,Latest year of
authfull,Field,inst_name,subject area),C-score,Top %,papers,publication,publication
"Chakrabarti, Sandip K.",Astronomy & Astrophysics,Indian Centre for Space Physics,605,3.79530286,1.419388138,309,1984,2020
"Subramanian, Kandaswamy",Astronomy & Astrophysics,Inter-University Centre for Astronomy and Astrophysics India,828,3.7124678,1.942567568,103,1986,2019
"Antia, H. M.",Astronomy & Astrophysics,"Tata Institute of Fundamental Research, Mumbai",1161,3.61040429,2.723817568,192,1978,2020
"Srianand, R.",Astronomy & Astrophysics,Inter-University Centre for Astronomy and Astrophysics India,1464,3.52791224,3.434684685,205,1993,2019
,,,Rank world-,,,,,
,,,wide (by,,,Number of,First year of,Latest year of
authfull,Field,inst_name,subject area),C-score,Top %,papers,publication,publication
"Chakrabarti, Pinak",Biochemistry & Molecular Biology,Bose Institute,1516,3.81407261,1.116051709,143,1989,2020
"Srivastava, Deepak Kumar",Biochemistry & Molecular Biology,University of Lucknow,1706,3.77375129,1.255926264,208,1979,2010
"Snyderman, Ralph",Biochemistry & Molecular Biology,Duke University School of Medicine,2094,3.70282657,1.541564828,301,1968,2019
"Udgaonkar, Jayant B.",Biochemistry & Molecular Biology,National Centre for Biological Sciences,2523,3.63831113,1.857386849,170,1983,2019
"Mukherjee, Ashis Kumar",Biochemistry & Molecular Biology,Tezpur University,2564,3.63160676,1.887570305,107,1996,2020
"Manna, Sunil Kumar",Biochemistry & Molecular Biology,Centre for DNA Fingerprinting & Diagonostics (CDFD),2843,3.58834385,2.092965046,111,1995,2020
"Vijayan, Mamannamana",Biochemistry & Molecular Biology,"Indian Institute of Science, Bengaluru",3007,3.5645988,2.213698872,248,1969,2019
