Entity,Code,Year,Global Hunger Index (2021)
Mexico,MEX,2000,10.2
Mexico,MEX,2006,8.6
Mexico,MEX,2012,7.8
Mexico,MEX,2021,8.5
Moldova,MDA,2021,5
Mongolia,MNG,2000,30.2
Mongolia,MNG,2006,23.4
Mongolia,MNG,2012,12.8
Mongolia,MNG,2021,6.1
Montenegro,MNE,2006,6.5
Montenegro,MNE,2012,2.5
Montenegro,MNE,2021,2.5
Morocco,MAR,2000,15.5
Morocco,MAR,2006,17.5
Morocco,MAR,2012,9.6
Morocco,MAR,2021,8.8
Mozambique,MOZ,2000,48
Mozambique,MOZ,2006,38.2
Mozambique,MOZ,2012,31.5
Mozambique,MOZ,2021,31.3
Myanmar,MMR,2000,39.8
Myanmar,MMR,2006,31.6
Myanmar,MMR,2012,22.9
Myanmar,MMR,2021,17.5
Namibia,NAM,2000,25.3
Namibia,NAM,2006,25.8
Namibia,NAM,2012,26.6
Namibia,NAM,2021,20.2
Nepal,NPL,2000,37.4
Nepal,NPL,2006,30.9
Nepal,NPL,2012,23.1
Nepal,NPL,2021,19.1
Nicaragua,NIC,2000,22.3
Nicaragua,NIC,2006,17.4
Nicaragua,NIC,2012,14.9
Nicaragua,NIC,2021,14
Niger,NER,2021,27.5
Nigeria,NGA,2000,39.5
Nigeria,NGA,2006,32.5
Nigeria,NGA,2012,30.4
Nigeria,NGA,2021,28.3
North Korea,PRK,2000,39.5
North Korea,PRK,2006,33.1
North Korea,PRK,2012,29.1
North Korea,PRK,2021,25.2
North Macedonia,MKD,2000,7.5
North Macedonia,MKD,2006,7.7
North Macedonia,MKD,2012,2.5
North Macedonia,MKD,2021,2.5
Oman,OMN,2000,14.7
Oman,OMN,2006,13.8
Oman,OMN,2012,11.6
Oman,OMN,2021,12.3
Pakistan,PAK,2000,36.7
Pakistan,PAK,2006,33.1
Pakistan,PAK,2012,32.1
Pakistan,PAK,2021,24.7
Panama,PAN,2000,18.7
Panama,PAN,2006,15
Panama,PAN,2012,10.1
Panama,PAN,2021,8.9
Papua New Guinea,PNG,2000,33.6
Papua New Guinea,PNG,2006,30.3
Papua New Guinea,PNG,2012,33.7
Papua New Guinea,PNG,2021,27.8
Paraguay,PRY,2000,11.7
Paraguay,PRY,2006,11.6
Paraguay,PRY,2012,9.5
Paraguay,PRY,2021,7.5
Peru,PER,2000,20.6
Peru,PER,2006,16.4
Peru,PER,2012,9.2
Peru,PER,2021,8
Philippines,PHL,2000,25
Philippines,PHL,2006,20.4
Philippines,PHL,2012,20.5
Philippines,PHL,2021,16.8
Romania,ROU,2000,7.9
Romania,ROU,2006,5.9
Romania,ROU,2012,5
Romania,ROU,2021,2.5
Russia,RUS,2000,10.1
Russia,RUS,2006,7.1
Russia,RUS,2012,6.4
Russia,RUS,2021,6.2
Rwanda,RWA,2000,49.3
Rwanda,RWA,2006,38.3
Rwanda,RWA,2012,31
Rwanda,RWA,2021,26.4
Saudi Arabia,SAU,2000,11
Saudi Arabia,SAU,2006,12.1
Saudi Arabia,SAU,2012,8.2
Saudi Arabia,SAU,2021,6.8
Senegal,SEN,2000,34
Senegal,SEN,2006,24.1
Senegal,SEN,2012,19.2
Senegal,SEN,2021,16.3
Serbia,SRB,2006,6.1
Serbia,SRB,2012,5.3
Serbia,SRB,2021,2.5
Sierra Leone,SLE,2000,57.7
Sierra Leone,SLE,2006,52.7
Sierra Leone,SLE,2012,34.7
Sierra Leone,SLE,2021,31.3
Slovakia,SVK,2000,6
Slovakia,SVK,2006,5.3
Slovakia,SVK,2012,2.5
Slovakia,SVK,2021,2.5
Solomon Islands,SLB,2000,20
Solomon Islands,SLB,2006,18.2
Solomon Islands,SLB,2012,20.2
Solomon Islands,SLB,2021,18.8
Somalia,SOM,2000,58.1
Somalia,SOM,2006,57.9
Somalia,SOM,2012,65.1
Somalia,SOM,2021,50.8
South Africa,ZAF,2000,18.1
South Africa,ZAF,2006,17.6
South Africa,ZAF,2012,12.7
South Africa,ZAF,2021,12.9
South Sudan,SSD,2021,42.5
Sri Lanka,LKA,2000,21.9
Sri Lanka,LKA,2006,20
Sri Lanka,LKA,2012,20.6
Sri Lanka,LKA,2021,16
Sudan,SDN,2012,29.8
Sudan,SDN,2021,25.1
Suriname,SUR,2000,15.1
Suriname,SUR,2006,11.4
Suriname,SUR,2012,10.4
Suriname,SUR,2021,10.4
Syria,SYR,2021,42.5
Tajikistan,TJK,2021,15
Tanzania,TZA,2000,40.6
Tanzania,TZA,2006,33.6
Tanzania,TZA,2012,29.1
Tanzania,TZA,2021,24.7
Thailand,THA,2000,18.5
Thailand,THA,2006,12.3
Thailand,THA,2012,12.4
Thailand,THA,2021,11.7
Timor,TLS,2006,46.1
Timor,TLS,2012,36.2
Timor,TLS,2021,32.4
Togo,TGO,2000,39.1
Togo,TGO,2006,36.5
Togo,TGO,2012,25.3
Togo,TGO,2021,23.7
Trinidad and Tobago,TTO,2000,11
Trinidad and Tobago,TTO,2006,11.3
Trinidad and Tobago,TTO,2012,10.8
Trinidad and Tobago,TTO,2021,8.9
Tunisia,TUN,2000,10.3
Tunisia,TUN,2006,7.8
Tunisia,TUN,2012,7
Tunisia,TUN,2021,6
Turkey,TUR,2000,10.2
Turkey,TUR,2006,6.5
Turkey,TUR,2012,5
Turkey,TUR,2021,2.5
Turkmenistan,TKM,2000,20.1
Turkmenistan,TKM,2006,14.8
Turkmenistan,TKM,2012,11.9
Turkmenistan,TKM,2021,9.7
Uganda,UGA,2021,27.5
Ukraine,UKR,2000,13
Ukraine,UKR,2006,7.1
Ukraine,UKR,2012,6.9
Ukraine,UKR,2021,6.8
Uruguay,URY,2000,7.4
Uruguay,URY,2006,6.7
Uruguay,URY,2012,5
Uruguay,URY,2021,2.5
Uzbekistan,UZB,2000,24.3
Uzbekistan,UZB,2006,16.6
Uzbekistan,UZB,2012,9.5
Uzbekistan,UZB,2021,5.9
Venezuela,VEN,2000,14.6
Venezuela,VEN,2006,11.2
Venezuela,VEN,2012,7.4
Venezuela,VEN,2021,22.2
Vietnam,VNM,2000,26.3
Vietnam,VNM,2006,21.8
Vietnam,VNM,2012,16
Vietnam,VNM,2021,13.6
Yemen,YEM,2000,41
Yemen,YEM,2006,38.8
Yemen,YEM,2012,38.4
Yemen,YEM,2021,45.1
Zambia,ZMB,2021,27.5
Zimbabwe,ZWE,2021,27.5
