Year,Sex,Age,Value,Upper,Lower
2003,Both,Age 10-14,"21,000","14,000","32,000"
2003,Both,Age 10-19,"36,000","26,000","52,000"
2003,Both,Age 15-19,"16,000","11,000","23,000"
2003,Both,Age 5-9,"35,000","23,000","53,000"
2003,Female,Age 0-14,"170,000","110,000","260,000"
2003,Female,Age 0-19,"180,000","120,000","280,000"
2003,Female,Age 0-4,"150,000","96,000","220,000"
2003,Female,Age 0-9,"160,000","110,000","250,000"
2003,Female,Age 10-14,"10,000","6,700","16,000"
2003,Female,Age 10-19,"20,000","14,000","30,000"
2003,Female,Age 15-19,"10,000","6,900","16,000"
2003,Female,Age 5-9,"17,000","11,000","26,000"
2003,Male,Age 0-14,"180,000","120,000","270,000"
2003,Male,Age 0-19,"180,000","120,000","280,000"
2003,Male,Age 0-4,"150,000","99,000","230,000"
2003,Male,Age 0-9,"170,000","110,000","260,000"
2003,Male,Age 10-14,"10,000","6,900","16,000"
2003,Male,Age 10-19,"16,000","12,000","23,000"
2003,Male,Age 15-19,"5,500","3,700","8,100"
2003,Male,Age 5-9,"18,000","12,000","27,000"
2004,Both,Age 0-14,"350,000","230,000","540,000"
2004,Both,Age 0-19,"370,000","250,000","560,000"
2004,Both,Age 0-4,"290,000","190,000","450,000"
2004,Both,Age 0-9,"330,000","220,000","500,000"
2004,Both,Age 10-14,"24,000","16,000","36,000"
2004,Both,Age 10-19,"41,000","29,000","59,000"
2004,Both,Age 15-19,"17,000","12,000","26,000"
2004,Both,Age 5-9,"36,000","24,000","55,000"
2004,Female,Age 0-14,"170,000","110,000","260,000"
2004,Female,Age 0-19,"180,000","120,000","280,000"
2004,Female,Age 0-4,"140,000","95,000","220,000"
2004,Female,Age 0-9,"160,000","110,000","250,000"
2004,Female,Age 10-14,"12,000","7,700","18,000"
2004,Female,Age 10-19,"23,000","15,000","33,000"
2004,Female,Age 15-19,"11,000","7,500","17,000"
2004,Female,Age 5-9,"18,000","12,000","27,000"
2004,Male,Age 0-14,"180,000","120,000","270,000"
2004,Male,Age 0-19,"190,000","120,000","280,000"
2004,Male,Age 0-4,"150,000","98,000","230,000"
2004,Male,Age 0-9,"170,000","110,000","250,000"
2004,Male,Age 10-14,"12,000","7,800","18,000"
2004,Male,Age 10-19,"18,000","14,000","26,000"
2004,Male,Age 15-19,"6,500","4,400","9,700"
2004,Male,Age 5-9,"18,000","12,000","28,000"
2005,Both,Age 0-14,"350,000","230,000","530,000"
2005,Both,Age 0-19,"370,000","240,000","550,000"
2005,Both,Age 0-4,"290,000","190,000","430,000"
2005,Both,Age 0-9,"320,000","210,000","490,000"
2005,Both,Age 10-14,"26,000","17,000","40,000"
2005,Both,Age 10-19,"45,000","32,000","64,000"
2005,Both,Age 15-19,"19,000","13,000","28,000"
2005,Both,Age 5-9,"37,000","24,000","56,000"
2005,Female,Age 0-14,"170,000","110,000","260,000"
2005,Female,Age 0-19,"180,000","120,000","280,000"
2005,Female,Age 0-4,"140,000","92,000","210,000"
2005,Female,Age 0-9,"160,000","100,000","240,000"
2005,Female,Age 10-14,"13,000","8,500","20,000"
2005,Female,Age 10-19,"24,000","16,000","35,000"
2005,Female,Age 15-19,"12,000","7,900","18,000"
2005,Female,Age 5-9,"18,000","12,000","28,000"
2005,Male,Age 0-14,"180,000","120,000","270,000"
2005,Male,Age 0-19,"180,000","120,000","280,000"
2005,Male,Age 0-4,"140,000","95,000","220,000"
2005,Male,Age 0-9,"160,000","110,000","250,000"
2005,Male,Age 10-14,"13,000","8,700","20,000"
2005,Male,Age 10-19,"21,000","15,000","29,000"
2005,Male,Age 15-19,"7,400","4,900","11,000"
2005,Male,Age 5-9,"19,000","12,000","29,000"
2006,Both,Age 0-14,"340,000","220,000","520,000"
2006,Both,Age 0-19,"360,000","240,000","540,000"
2006,Both,Age 0-4,"270,000","180,000","420,000"
2006,Both,Age 0-9,"310,000","210,000","480,000"
2006,Both,Age 10-14,"29,000","19,000","44,000"
2006,Both,Age 10-19,"49,000","35,000","70,000"
2006,Both,Age 15-19,"20,000","14,000","30,000"
2006,Both,Age 5-9,"37,000","25,000","57,000"
2006,Female,Age 0-14,"170,000","110,000","260,000"
2006,Female,Age 0-19,"180,000","120,000","270,000"
2006,Female,Age 0-4,"140,000","89,000","210,000"
2006,Female,Age 0-9,"150,000","100,000","230,000"
2006,Female,Age 10-14,"14,000","9,300","22,000"
2006,Female,Age 10-19,"26,000","18,000","38,000"
2006,Female,Age 15-19,"12,000","8,200","18,000"
2006,Female,Age 5-9,"18,000","12,000","28,000"
2006,Male,Age 0-14,"170,000","110,000","260,000"
2006,Male,Age 0-19,"180,000","120,000","270,000"
2006,Male,Age 0-4,"140,000","92,000","210,000"
2006,Male,Age 0-9,"160,000","100,000","240,000"
2006,Male,Age 10-14,"15,000","9,600","22,000"
2006,Male,Age 10-19,"23,000","17,000","32,000"
2006,Male,Age 15-19,"8,200","5,500","12,000"
2006,Male,Age 5-9,"19,000","12,000","29,000"
2007,Both,Age 0-14,"320,000","210,000","500,000"
2007,Both,Age 0-19,"340,000","230,000","520,000"
2007,Both,Age 0-4,"260,000","170,000","390,000"
2007,Both,Age 0-9,"290,000","190,000","450,000"
2007,Both,Age 10-14,"31,000","20,000","47,000"
2007,Both,Age 10-19,"51,000","37,000","73,000"
2007,Both,Age 15-19,"21,000","14,000","31,000"
2007,Both,Age 5-9,"37,000","24,000","57,000"
2007,Female,Age 0-14,"160,000","110,000","240,000"
2007,Female,Age 0-19,"170,000","110,000","260,000"
2007,Female,Age 0-4,"130,000","84,000","190,000"
2007,Female,Age 0-9,"140,000","96,000","220,000"
2007,Female,Age 10-14,"15,000","10,000","23,000"
2007,Female,Age 10-19,"27,000","18,000","39,000"
2007,Female,Age 15-19,"12,000","8,300","19,000"
2007,Female,Age 5-9,"18,000","12,000","28,000"
2007,Male,Age 0-14,"160,000","110,000","250,000"
2007,Male,Age 0-19,"170,000","120,000","260,000"
2007,Male,Age 0-4,"130,000","86,000","200,000"
2007,Male,Age 0-9,"150,000","99,000","230,000"
2007,Male,Age 10-14,"15,000","10,000","24,000"
2007,Male,Age 10-19,"24,000","18,000","34,000"
2007,Male,Age 15-19,"8,600","5,800","13,000"
2007,Male,Age 5-9,"19,000","12,000","29,000"
2008,Both,Age 0-14,"300,000","200,000","460,000"
2008,Both,Age 0-19,"320,000","220,000","490,000"
2008,Both,Age 0-4,"230,000","160,000","360,000"
2008,Both,Age 0-9,"270,000","180,000","410,000"
2008,Both,Age 10-14,"31,000","21,000","49,000"
2008,Both,Age 10-19,"52,000","37,000","75,000"
2008,Both,Age 15-19,"21,000","14,000","31,000"
2008,Both,Age 5-9,"35,000","24,000","55,000"
2008,Female,Age 0-14,"150,000","99,000","230,000"
2008,Female,Age 0-19,"160,000","110,000","240,000"
2008,Female,Age 0-4,"110,000","76,000","180,000"
2008,Female,Age 0-9,"130,000","88,000","200,000"
2008,Female,Age 10-14,"16,000","10,000","24,000"
2008,Female,Age 10-19,"27,000","19,000","40,000"
2008,Female,Age 15-19,"12,000","8,100","18,000"
2008,Female,Age 5-9,"17,000","12,000","27,000"
2008,Male,Age 0-14,"150,000","100,000","240,000"
2008,Male,Age 0-19,"160,000","110,000","250,000"
2008,Male,Age 0-4,"120,000","79,000","180,000"
2008,Male,Age 0-9,"140,000","91,000","210,000"
2008,Male,Age 10-14,"16,000","11,000","25,000"
2008,Male,Age 10-19,"25,000","18,000","35,000"
2008,Male,Age 15-19,"8,900","5,900","13,000"
2008,Male,Age 5-9,"18,000","12,000","28,000"
2009,Both,Age 0-14,"270,000","180,000","420,000"
2009,Both,Age 0-19,"290,000","200,000","450,000"
2009,Both,Age 0-4,"200,000","140,000","320,000"
2009,Both,Age 0-9,"240,000","160,000","370,000"
2009,Both,Age 10-14,"31,000","21,000","50,000"
2009,Both,Age 10-19,"52,000","37,000","75,000"
2009,Both,Age 15-19,"21,000","14,000","31,000"
2009,Both,Age 5-9,"33,000","23,000","53,000"
2009,Female,Age 0-14,"130,000","90,000","210,000"
2009,Female,Age 0-19,"140,000","98,000","220,000"
2009,Female,Age 0-4,"100,000","68,000","160,000"
2009,Female,Age 0-9,"120,000","80,000","180,000"
2009,Female,Age 10-14,"15,000","11,000","25,000"
2009,Female,Age 10-19,"27,000","18,000","40,000"
2009,Female,Age 15-19,"12,000","7,900","18,000"
2009,Female,Age 5-9,"16,000","11,000","26,000"
2009,Male,Age 0-14,"140,000","93,000","220,000"
2009,Male,Age 0-19,"140,000","100,000","230,000"
2009,Male,Age 0-4,"100,000","70,000","160,000"
2009,Male,Age 0-9,"120,000","82,000","190,000"
2009,Male,Age 10-14,"16,000","11,000","25,000"
2009,Male,Age 10-19,"25,000","18,000","36,000"
2009,Male,Age 15-19,"8,900","5,900","13,000"
2009,Male,Age 5-9,"17,000","12,000","27,000"
2010,Both,Age 0-14,"240,000","170,000","390,000"
2010,Both,Age 0-19,"260,000","180,000","410,000"
2010,Both,Age 0-4,"180,000","120,000","290,000"
2010,Both,Age 0-9,"210,000","150,000","340,000"
2010,Both,Age 10-14,"31,000","22,000","50,000"
2010,Both,Age 10-19,"51,000","37,000","75,000"
2010,Both,Age 15-19,"21,000","14,000","31,000"
2010,Both,Age 5-9,"31,000","22,000","50,000"
2010,Female,Age 0-14,"120,000","82,000","190,000"
2010,Female,Age 0-19,"130,000","90,000","210,000"
2010,Female,Age 0-4,"87,000","61,000","140,000"
2010,Female,Age 0-9,"100,000","72,000","170,000"
2010,Female,Age 10-14,"15,000","11,000","25,000"
2010,Female,Age 10-19,"27,000","18,000","39,000"
2010,Female,Age 15-19,"11,000","7,800","18,000"
2010,Female,Age 5-9,"15,000","11,000","25,000"
2010,Male,Age 0-14,"120,000","85,000","200,000"
2010,Male,Age 0-19,"130,000","92,000","210,000"
2010,Male,Age 0-4,"90,000","63,000","150,000"
2010,Male,Age 0-9,"110,000","74,000","170,000"
2010,Male,Age 10-14,"16,000","11,000","25,000"
2010,Male,Age 10-19,"25,000","19,000","36,000"
2010,Male,Age 15-19,"9,100","6,100","13,000"
2010,Male,Age 5-9,"16,000","11,000","26,000"
2011,Both,Age 0-14,"210,000","150,000","350,000"
2011,Both,Age 0-19,"230,000","170,000","370,000"
2011,Both,Age 0-4,"160,000","110,000","250,000"
2011,Both,Age 0-9,"180,000","130,000","300,000"
2011,Both,Age 10-14,"30,000","21,000","49,000"
2011,Both,Age 10-19,"51,000","37,000","74,000"
2011,Both,Age 15-19,"21,000","14,000","31,000"
2011,Both,Age 5-9,"29,000","20,000","47,000"
2011,Female,Age 0-14,"110,000","74,000","170,000"
2011,Female,Age 0-19,"120,000","82,000","190,000"
2011,Female,Age 0-4,"76,000","54,000","120,000"
2011,Female,Age 0-9,"91,000","64,000","150,000"
2011,Female,Age 10-14,"15,000","10,000","24,000"
2011,Female,Age 10-19,"26,000","18,000","39,000"
2011,Female,Age 15-19,"11,000","7,700","17,000"
2011,Female,Age 5-9,"14,000","10,000","23,000"
2011,Male,Age 0-14,"110,000","76,000","180,000"
2011,Male,Age 0-19,"120,000","84,000","190,000"
2011,Male,Age 0-4,"79,000","55,000","130,000"
2011,Male,Age 0-9,"94,000","66,000","150,000"
2011,Male,Age 10-14,"15,000","11,000","25,000"
2011,Male,Age 10-19,"25,000","19,000","36,000"
2011,Male,Age 15-19,"9,500","6,300","14,000"
2011,Male,Age 5-9,"15,000","10,000","24,000"
2012,Both,Age 0-14,"190,000","130,000","310,000"
2012,Both,Age 0-19,"210,000","150,000","330,000"
2012,Both,Age 0-4,"140,000","95,000","220,000"
2012,Both,Age 0-9,"160,000","110,000","260,000"
2012,Both,Age 10-14,"28,000","20,000","46,000"
2012,Both,Age 10-19,"49,000","36,000","73,000"
2012,Both,Age 15-19,"21,000","14,000","31,000"
2012,Both,Age 5-9,"26,000","18,000","43,000"
2012,Female,Age 0-14,"93,000","65,000","150,000"
2012,Female,Age 0-19,"100,000","73,000","170,000"
2012,Female,Age 0-4,"66,000","47,000","110,000"
2012,Female,Age 0-9,"79,000","56,000","130,000"
2012,Female,Age 10-14,"14,000","9,800","23,000"
2012,Female,Age 10-19,"25,000","17,000","37,000"
2012,Female,Age 15-19,"11,000","7,600","17,000"
2012,Female,Age 5-9,"13,000","9,100","21,000"
2012,Male,Age 0-14,"96,000","67,000","160,000"
2012,Male,Age 0-19,"110,000","76,000","170,000"
2012,Male,Age 0-4,"69,000","48,000","110,000"
2012,Male,Age 0-9,"82,000","57,000","130,000"
2012,Male,Age 10-14,"14,000","10,000","23,000"
2012,Male,Age 10-19,"24,000","18,000","35,000"
2012,Male,Age 15-19,"9,900","6,600","15,000"
2012,Male,Age 5-9,"13,000","9,400","22,000"
2013,Both,Age 0-14,"170,000","120,000","270,000"
2013,Both,Age 0-19,"190,000","130,000","300,000"
2013,Both,Age 0-4,"120,000","81,000","190,000"
2013,Both,Age 0-9,"140,000","98,000","230,000"
2013,Both,Age 10-14,"27,000","19,000","43,000"
2013,Both,Age 10-19,"47,000","35,000","70,000"
2013,Both,Age 15-19,"21,000","14,000","31,000"
2013,Both,Age 5-9,"24,000","17,000","39,000"
2013,Female,Age 0-14,"82,000","58,000","130,000"
2013,Female,Age 0-19,"93,000","65,000","150,000"
2013,Female,Age 0-4,"57,000","40,000","93,000"
2013,Female,Age 0-9,"69,000","48,000","110,000"
2013,Female,Age 10-14,"13,000","9,200","21,000"
2013,Female,Age 10-19,"24,000","17,000","36,000"
2013,Female,Age 15-19,"11,000","7,200","16,000"
2013,Female,Age 5-9,"12,000","8,300","19,000"
2013,Male,Age 0-14,"85,000","59,000","140,000"
2013,Male,Age 0-19,"95,000","68,000","150,000"
2013,Male,Age 0-4,"59,000","41,000","96,000"
2013,Male,Age 0-9,"71,000","50,000","120,000"
2013,Male,Age 10-14,"13,000","9,500","22,000"
2013,Male,Age 10-19,"24,000","18,000","35,000"
2013,Male,Age 15-19,"10,000","6,800","15,000"
2013,Male,Age 5-9,"12,000","8,500","20,000"
2014,Both,Age 0-14,"150,000","100,000","240,000"
2014,Both,Age 0-19,"170,000","120,000","270,000"
2014,Both,Age 0-4,"100,000","72,000","170,000"
2014,Both,Age 0-9,"120,000","87,000","200,000"
2014,Both,Age 10-14,"25,000","17,000","40,000"
2014,Both,Age 10-19,"45,000","33,000","67,000"
2014,Both,Age 15-19,"20,000","14,000","30,000"
2014,Both,Age 5-9,"22,000","15,000","35,000"
2014,Female,Age 0-14,"73,000","51,000","120,000"
2014,Female,Age 0-19,"84,000","59,000","130,000"
2014,Female,Age 0-4,"51,000","35,000","82,000"
2014,Female,Age 0-9,"61,000","43,000","99,000"
2014,Female,Age 10-14,"12,000","8,600","20,000"
2014,Female,Age 10-19,"22,000","16,000","34,000"
2014,Female,Age 15-19,"10,000","7,000","16,000"
2014,Female,Age 5-9,"11,000","7,400","17,000"
2014,Male,Age 0-14,"76,000","53,000","120,000"
2014,Male,Age 0-19,"86,000","61,000","140,000"
2014,Male,Age 0-4,"52,000","37,000","85,000"
2014,Male,Age 0-9,"63,000","44,000","100,000"
2014,Male,Age 10-14,"13,000","8,800","20,000"
2014,Male,Age 10-19,"23,000","17,000","33,000"
2014,Male,Age 15-19,"10,000","6,800","15,000"
2014,Male,Age 5-9,"11,000","7,600","18,000"
2015,Both,Age 0-14,"140,000","95,000","220,000"
2015,Both,Age 0-19,"160,000","110,000","250,000"
2015,Both,Age 0-4,"94,000","66,000","150,000"
2015,Both,Age 0-9,"110,000","79,000","180,000"
2015,Both,Age 10-14,"24,000","16,000","38,000"
2015,Both,Age 10-19,"44,000","32,000","64,000"
2015,Both,Age 15-19,"20,000","14,000","30,000"
2015,Both,Age 5-9,"19,000","13,000","31,000"
2015,Female,Age 0-14,"67,000","47,000","110,000"
2015,Female,Age 0-19,"77,000","54,000","120,000"
2015,Female,Age 0-4,"46,000","32,000","75,000"
2015,Female,Age 0-9,"56,000","39,000","90,000"
2015,Female,Age 10-14,"12,000","8,100","19,000"
2015,Female,Age 10-19,"22,000","15,000","33,000"
2015,Female,Age 15-19,"10,000","6,800","15,000"
2015,Female,Age 5-9,"9,400","6,600","15,000"
2015,Male,Age 0-14,"70,000","48,000","110,000"
2015,Male,Age 0-19,"80,000","57,000","130,000"
2015,Male,Age 0-4,"48,000","33,000","77,000"
2015,Male,Age 0-9,"58,000","40,000","93,000"
2015,Male,Age 10-14,"12,000","8,300","19,000"
2015,Male,Age 10-19,"22,000","17,000","32,000"
2015,Male,Age 15-19,"9,900","6,600","15,000"
2015,Male,Age 5-9,"9,700","6,700","16,000"
2016,Both,Age 0-14,"120,000","84,000","200,000"
2016,Both,Age 0-19,"140,000","100,000","220,000"
2016,Both,Age 0-4,"83,000","58,000","130,000"
2016,Both,Age 0-9,"100,000","69,000","160,000"
2016,Both,Age 10-14,"22,000","15,000","35,000"
2016,Both,Age 10-19,"41,000","31,000","61,000"
2016,Both,Age 15-19,"20,000","13,000","29,000"
2016,Both,Age 5-9,"17,000","11,000","27,000"
2016,Female,Age 0-14,"60,000","42,000","96,000"
2016,Female,Age 0-19,"70,000","48,000","110,000"
2016,Female,Age 0-4,"41,000","28,000","66,000"
2016,Female,Age 0-9,"49,000","34,000","79,000"
2016,Female,Age 10-14,"11,000","7,500","17,000"
2016,Female,Age 10-19,"21,000","14,000","31,000"
2016,Female,Age 15-19,"9,800","6,700","15,000"
2016,Female,Age 5-9,"8,100","5,600","13,000"
2016,Male,Age 0-14,"62,000","43,000","99,000"
2016,Male,Age 0-19,"72,000","51,000","110,000"
2016,Male,Age 0-4,"42,000","29,000","68,000"
2016,Male,Age 0-9,"51,000","35,000","82,000"
2016,Male,Age 10-14,"11,000","7,700","18,000"
2016,Male,Age 10-19,"21,000","16,000","31,000"
2016,Male,Age 15-19,"9,700","6,500","14,000"
2016,Male,Age 5-9,"8,400","5,800","13,000"
2017,Both,Age 0-14,"110,000","80,000","180,000"
2017,Both,Age 0-19,"130,000","95,000","210,000"
2017,Both,Age 0-4,"81,000","56,000","130,000"
2017,Both,Age 0-9,"95,000","66,000","150,000"
2017,Both,Age 10-14,"20,000","14,000","32,000"
2017,Both,Age 10-19,"39,000","29,000","58,000"
2017,Both,Age 15-19,"19,000","13,000","29,000"
2017,Both,Age 5-9,"14,000","9,800","23,000"
2017,Female,Age 0-14,"56,000","39,000","91,000"
2017,Female,Age 0-19,"66,000","46,000","100,000"
2017,Female,Age 0-4,"40,000","28,000","64,000"
2017,Female,Age 0-9,"47,000","32,000","75,000"
2017,Female,Age 10-14,"9,900","6,900","16,000"
2017,Female,Age 10-19,"19,000","14,000","29,000"
2017,Female,Age 15-19,"9,600","6,600","15,000"
2017,Female,Age 5-9,"7,000","4,800","11,000"
2017,Male,Age 0-14,"58,000","40,000","94,000"
2017,Male,Age 0-19,"68,000","48,000","110,000"
2017,Male,Age 0-4,"41,000","28,000","66,000"
2017,Male,Age 0-9,"48,000","33,000","77,000"
2017,Male,Age 10-14,"10,000","7,000","16,000"
2017,Male,Age 10-19,"20,000","15,000","29,000"
2017,Male,Age 15-19,"9,500","6,300","14,000"
2017,Male,Age 5-9,"7,200","5,000","12,000"
2018,Both,Age 0-14,"110,000","75,000","170,000"
2018,Both,Age 0-19,"130,000","89,000","200,000"
2018,Both,Age 0-4,"78,000","54,000","120,000"
2018,Both,Age 0-9,"90,000","62,000","140,000"
2018,Both,Age 10-14,"18,000","13,000","29,000"
2018,Both,Age 10-19,"37,000","27,000","54,000"
2018,Both,Age 15-19,"19,000","13,000","28,000"
2018,Both,Age 5-9,"12,000","8,200","19,000"
2018,Female,Age 0-14,"53,000","37,000","85,000"
2018,Female,Age 0-19,"62,000","43,000","98,000"
2018,Female,Age 0-4,"38,000","26,000","61,000"
2018,Female,Age 0-9,"44,000","31,000","71,000"
2018,Female,Age 10-14,"9,100","6,300","15,000"
2018,Female,Age 10-19,"18,000","13,000","27,000"
2018,Female,Age 15-19,"9,300","6,400","14,000"
2018,Female,Age 5-9,"5,900","4,100","9,400"
2018,Male,Age 0-14,"55,000","38,000","88,000"
2018,Male,Age 0-19,"64,000","45,000","100,000"
2018,Male,Age 0-4,"40,000","27,000","63,000"
2018,Male,Age 0-9,"46,000","32,000","73,000"
2018,Male,Age 10-14,"9,300","6,400","15,000"
2018,Male,Age 10-19,"19,000","14,000","27,000"
2018,Male,Age 15-19,"9,200","6,200","14,000"
2018,Male,Age 5-9,"6,000","4,200","9,700"
2019,Both,Age 0-14,"100,000","70,000","160,000"
2019,Both,Age 0-19,"120,000","84,000","190,000"
2019,Both,Age 0-4,"75,000","52,000","120,000"
2019,Both,Age 0-9,"86,000","59,000","140,000"
2019,Both,Age 10-14,"17,000","11,000","26,000"
2019,Both,Age 10-19,"34,000","25,000","50,000"
2019,Both,Age 15-19,"18,000","12,000","27,000"
2019,Both,Age 5-9,"10,000","7,200","17,000"
2019,Female,Age 0-14,"50,000","35,000","80,000"
2019,Female,Age 0-19,"59,000","41,000","92,000"
2019,Female,Age 0-4,"37,000","26,000","59,000"
2019,Female,Age 0-9,"42,000","29,000","67,000"
2019,Female,Age 10-14,"8,200","5,600","13,000"
2019,Female,Age 10-19,"17,000","12,000","25,000"
2019,Female,Age 15-19,"8,900","6,100","14,000"
2019,Female,Age 5-9,"5,100","3,500","8,100"
2019,Male,Age 0-14,"52,000","36,000","83,000"
2019,Male,Age 0-19,"61,000","43,000","95,000"
2019,Male,Age 0-4,"38,000","26,000","61,000"
2019,Male,Age 0-9,"44,000","30,000","70,000"
2019,Male,Age 10-14,"8,400","5,800","13,000"
2019,Male,Age 10-19,"17,000","13,000","25,000"
2019,Male,Age 15-19,"8,900","5,900","13,000"
2019,Male,Age 5-9,"5,300","3,600","8,400"
2020,Both,Age 0-14,"99,000","68,000","160,000"
2020,Both,Age 0-19,"120,000","81,000","180,000"
2020,Both,Age 0-4,"75,000","51,000","120,000"
2020,Both,Age 0-9,"84,000","58,000","130,000"
2020,Both,Age 10-14,"15,000","10,000","24,000"
2020,Both,Age 10-19,"32,000","23,000","46,000"
2020,Both,Age 15-19,"17,000","12,000","26,000"
2020,Both,Age 5-9,"9,400","6,400","15,000"
2020,Female,Age 0-14,"49,000","33,000","77,000"
2020,Female,Age 0-19,"57,000","39,000","89,000"
2020,Female,Age 0-4,"37,000","25,000","58,000"
2020,Female,Age 0-9,"41,000","28,000","66,000"
2020,Female,Age 10-14,"7,400","5,100","12,000"
2020,Female,Age 10-19,"16,000","11,000","24,000"
2020,Female,Age 15-19,"8,800","6,000","13,000"
2020,Female,Age 5-9,"4,600","3,200","7,300"
2020,Male,Age 0-14,"50,000","35,000","80,000"
2020,Male,Age 0-19,"59,000","41,000","91,000"
2020,Male,Age 0-4,"38,000","26,000","60,000"
2020,Male,Age 0-9,"43,000","29,000","68,000"
2020,Male,Age 10-14,"7,500","5,200","12,000"
2020,Male,Age 10-19,"16,000","12,000","23,000"
2020,Male,Age 15-19,"8,700","5,800","13,000"
2020,Male,Age 5-9,"4,800","3,300","7,600"
