"Application_ID","Gender","Married","Dependents","Education","Self_Employed","Credit_History","Property_Area","Income","Application_Status"
"LP001289","Male","No","0","Graduate","No","1","Urban","medium","Y"
"LP001310","Male","Yes","0","Graduate","No","1","Semiurban","medium","Y"
"LP001316","Male","Yes","0","Graduate","No","1","Semiurban","low","Y"
"LP001318","Male","Yes","2","Graduate","No","1","Semiurban","medium","Y"
"LP001319","Male","Yes","2","Not Graduate","No","1","Urban","low","Y"
"LP001322","Male","No","0","Graduate","No","1","Semiurban","medium","Y"
"LP001325","Male","No","0","Not Graduate","No","1","Semiurban","low","Y"
"LP001327","Female","Yes","0","Graduate","No","1","Semiurban","low","Y"
"LP001333","Male","Yes","0","Graduate","No","1","Semiurban","low","Y"
"LP001334","Male","Yes","0","Not Graduate","No","1","Semiurban","medium","Y"
"LP001343","Male","Yes","0","Graduate","No","1","Semiurban","low","Y"
"LP001345","Male","Yes","2","Not Graduate","No","1","Urban","medium","Y"
"LP001349","Male","No","0","Graduate","No","1","Semiurban","medium","Y"
"LP001356","Male","Yes","0","Graduate","No","1","Semiurban","medium","Y"
"LP001367","Male","Yes","1","Graduate","No","1","Urban","low","Y"
"LP001369","Male","Yes","2","Graduate","No","1","Urban","high","Y"
"LP001379","Male","Yes","2","Graduate","No","0","Urban","low","N"
"LP001384","Male","Yes","3+","Not Graduate","No","1","Semiurban","low","Y"
"LP001385","Male","No","0","Graduate","No","1","Urban","medium","Y"
"LP001391","Male","Yes","0","Not Graduate","No","0","Rural","low","N"
"LP001392","Female","No","1","Graduate","Yes","1","Semiurban","medium","Y"
"LP001401","Male","Yes","1","Graduate","No","1","Rural","high","Y"
"LP001404","Female","Yes","0","Graduate","No","1","Semiurban","low","Y"
"LP001421","Male","Yes","0","Graduate","No","1","Rural","medium","N"
"LP001422","Female","No","0","Graduate","No","1","Urban","high","Y"
"LP001430","Female","No","0","Graduate","No","1","Semiurban","medium","Y"
"LP001431","Female","No","0","Graduate","No","0","Semiurban","low","Y"
"LP001432","Male","Yes","2","Graduate","No","1","Semiurban","low","Y"
"LP001439","Male","Yes","0","Not Graduate","No","1","Rural","medium","Y"
"LP001449","Male","No","0","Graduate","No","1","Rural","low","Y"
"LP001451","Male","Yes","1","Graduate","Yes","0","Urban","high","N"
"LP001473","Male","No","0","Graduate","No","1","Urban","low","Y"
"LP001478","Male","No","0","Graduate","No","1","Semiurban","low","Y"
"LP001482","Male","Yes","0","Graduate","Yes","1","Semiurban","low","Y"
"LP001487","Male","No","0","Graduate","No","1","Semiurban","medium","Y"
"LP001488","Male","Yes","3+","Graduate","No","1","Semiurban","medium","N"
"LP001489","Female","Yes","0","Graduate","No","1","Rural","medium","N"
"LP001491","Male","Yes","2","Graduate","Yes","1","Urban","low","Y"
"LP001492","Male","No","0","Graduate","No","0","Semiurban","high","N"
"LP001493","Male","Yes","2","Not Graduate","No","1","Rural","medium","N"
"LP001497","Male","Yes","2","Graduate","No","1","Rural","medium","N"
"LP001498","Male","No","0","Graduate","No","1","Urban","medium","Y"
"LP001504","Male","No","0","Graduate","Yes","1","Semiurban","medium","Y"
"LP001507","Male","Yes","0","Graduate","No","1","Semiurban","low","Y"
"LP001508","Male","Yes","2","Graduate","No","1","Urban","high","Y"
"LP001514","Female","Yes","0","Graduate","No","1","Semiurban","low","Y"
"LP001516","Female","Yes","2","Graduate","No","1","Urban","high","Y"
"LP001518","Male","Yes","1","Graduate","No","1","Urban","low","Y"
"LP001519","Female","No","0","Graduate","No","1","Rural","high","N"
"LP001520","Male","Yes","0","Graduate","No","1","Semiurban","medium","Y"
"LP001528","Male","No","0","Graduate","No","0","Rural","medium","N"
"LP001529","Male","Yes","0","Graduate","Yes","1","Rural","low","Y"
"LP001531","Male","No","0","Graduate","No","1","Urban","medium","N"
"LP001532","Male","Yes","2","Not Graduate","No","1","Rural","low","N"
"LP001535","Male","No","0","Graduate","No","1","Urban","low","Y"
"LP001536","Male","Yes","3+","Graduate","No","0","Semiurban","high","Y"
"LP001543","Male","Yes","1","Graduate","No","1","Urban","medium","Y"
"LP001552","Male","Yes","0","Graduate","No","1","Semiurban","medium","Y"
"LP001560","Male","Yes","0","Not Graduate","No","1","Semiurban","low","Y"
"LP001562","Male","Yes","0","Graduate","No","1","Urban","medium","N"
"LP001565","Male","Yes","1","Graduate","No","0","Semiurban","low","N"
"LP001570","Male","Yes","2","Graduate","No","1","Rural","medium","Y"
"LP001572","Male","Yes","0","Graduate","No","1","Urban","medium","Y"
"LP001574","Male","Yes","0","Graduate","No","1","Rural","low","Y"
"LP001577","Female","Yes","0","Graduate","No","1","Rural","medium","N"
"LP001578","Male","Yes","0","Graduate","No","1","Rural","low","Y"
"LP001579","Male","No","0","Graduate","No","0","Semiurban","low","N"
"LP001580","Male","Yes","2","Graduate","No","1","Semiurban","medium","Y"
"LP001586","Male","Yes","3+","Not Graduate","No","1","Rural","low","N"
"LP001594","Male","Yes","0","Graduate","No","1","Semiurban","medium","Y"
"LP001603","Male","Yes","0","Not Graduate","Yes","1","Semiurban","medium","N"
"LP001606","Male","Yes","0","Graduate","No","1","Rural","low","Y"
"LP001608","Male","Yes","2","Graduate","No","1","Rural","low","Y"
"LP001610","Male","Yes","3+","Graduate","No","0","Semiurban","medium","N"
"LP001616","Male","Yes","1","Graduate","No","1","Semiurban","low","Y"
"LP001630","Male","No","0","Not Graduate","No","0","Urban","low","N"
"LP001633","Male","Yes","1","Graduate","No","0","Urban","medium","N"
"LP001636","Male","Yes","0","Graduate","No","1","Semiurban","medium","Y"
"LP001637","Male","Yes","1","Graduate","No","1","Semiurban","high","N"
"LP001639","Female","Yes","0","Graduate","No","1","Semiurban","low","Y"
"LP001640","Male","Yes","0","Graduate","Yes","1","Semiurban","high","Y"
"LP001641","Male","Yes","1","Graduate","Yes","0","Rural","low","N"
"LP001647","Male","Yes","0","Graduate","No","1","Rural","medium","Y"
"LP001653","Male","No","0","Not Graduate","No","1","Rural","medium","Y"
"LP001656","Male","No","0","Graduate","No","1","Semiurban","high","N"
"LP001657","Male","Yes","0","Not Graduate","No","1","Urban","medium","N"
"LP001658","Male","No","0","Graduate","No","1","Semiurban","low","Y"
"LP001664","Male","No","0","Graduate","No","1","Rural","medium","Y"
"LP001665","Male","Yes","1","Graduate","No","1","Semiurban","low","N"
"LP001666","Male","No","0","Graduate","No","1","Rural","medium","Y"
"LP001669","Female","No","0","Not Graduate","No","1","Urban","low","Y"
"LP001673","Male","No","0","Graduate","Yes","1","Urban","high","N"
"LP001674","Male","Yes","1","Not Graduate","No","1","Semiurban","low","Y"
"LP001677","Male","No","2","Graduate","No","0","Semiurban","medium","Y"
"LP001682","Male","Yes","3+","Not Graduate","No","1","Urban","low","N"
"LP001688","Male","Yes","1","Not Graduate","No","1","Urban","low","Y"
"LP001691","Male","Yes","2","Not Graduate","No","1","Semiurban","low","Y"
"LP001692","Female","No","0","Not Graduate","No","1","Semiurban","medium","Y"
"LP001693","Female","No","0","Graduate","No","1","Urban","low","Y"
"LP001698","Male","No","0","Not Graduate","No","1","Rural","low","Y"
"LP001699","Male","No","0","Graduate","No","1","Urban","low","Y"
"LP001702","Male","No","0","Graduate","No","1","Semiurban","low","N"
"LP001708","Female","No","0","Graduate","No","1","Semiurban","high","N"
"LP001711","Male","Yes","3+","Graduate","No","0","Semiurban","low","N"
"LP001713","Male","Yes","1","Graduate","Yes","1","Urban","medium","Y"
"LP001715","Male","Yes","3+","Not Graduate","Yes","1","Rural","medium","Y"
"LP001716","Male","Yes","0","Graduate","No","1","Urban","low","Y"
"LP001720","Male","Yes","3+","Not Graduate","No","1","Semiurban","low","Y"
"LP001722","Male","Yes","0","Graduate","No","1","Rural","low","N"
"LP001726","Male","Yes","0","Graduate","No","1","Semiurban","low","Y"
"LP001736","Male","Yes","0","Graduate","No","0","Urban","low","N"
"LP001743","Male","Yes","2","Graduate","No","1","Semiurban","medium","Y"
"LP001744","Male","No","0","Graduate","No","1","Semiurban","low","Y"
"LP001749","Male","Yes","0","Graduate","No","1","Semiurban","medium","Y"
"LP001750","Male","Yes","0","Graduate","No","1","Semiurban","medium","Y"
"LP001751","Male","Yes","0","Graduate","No","1","Rural","low","N"
"LP001758","Male","Yes","2","Graduate","No","1","Semiurban","medium","Y"
"LP001761","Male","No","0","Graduate","Yes","1","Rural","medium","Y"
"LP001765","Male","Yes","1","Graduate","No","1","Semiurban","low","Y"
"LP001770","Male","No","0","Not Graduate","No","1","Rural","low","Y"
"LP001776","Female","No","0","Graduate","No","1","Semiurban","medium","Y"
"LP001778","Male","Yes","1","Graduate","No","1","Semiurban","low","Y"
"LP001784","Male","Yes","1","Graduate","No","1","Rural","medium","Y"
"LP001790","Female","No","1","Graduate","No","1","Rural","low","Y"
"LP001792","Male","Yes","1","Graduate","No","1","Semiurban","low","Y"
"LP001798","Male","Yes","2","Graduate","No","1","Rural","medium","Y"
"LP001800","Male","Yes","1","Not Graduate","No","1","Urban","low","N"
"LP001806","Male","No","0","Graduate","No","1","Urban","low","Y"
"LP001807","Male","Yes","2","Graduate","Yes","1","Rural","medium","Y"
"LP001811","Male","Yes","0","Not Graduate","No","1","Semiurban","low","Y"
"LP001813","Male","No","0","Graduate","Yes","1","Urban","medium","N"
"LP001814","Male","Yes","2","Graduate","No","1","Urban","medium","Y"
"LP001819","Male","Yes","1","Not Graduate","No","1","Urban","medium","Y"
"LP001824","Male","Yes","1","Graduate","No","1","Semiurban","low","Y"
"LP001825","Male","Yes","0","Graduate","No","1","Urban","low","Y"
"LP001835","Male","Yes","0","Not Graduate","No","0","Semiurban","low","N"
"LP001836","Female","No","2","Graduate","No","1","Urban","low","N"
"LP001841","Male","No","0","Not Graduate","Yes","1","Rural","low","Y"
"LP001843","Male","Yes","1","Not Graduate","No","1","Semiurban","low","Y"
"LP001844","Male","No","0","Graduate","Yes","0","Urban","high","N"
"LP001846","Female","No","3+","Graduate","No","1","Rural","low","Y"
"LP001849","Male","No","0","Not Graduate","No","0","Rural","medium","N"
"LP001854","Male","Yes","3+","Graduate","No","1","Urban","medium","N"
"LP001859","Male","Yes","0","Graduate","No","1","Rural","high","N"
"LP001868","Male","No","0","Graduate","No","1","Semiurban","low","Y"
"LP001870","Female","No","1","Graduate","No","1","Semiurban","low","N"
"LP001871","Female","No","0","Graduate","No","1","Rural","medium","Y"
"LP001872","Male","No","0","Graduate","Yes","1","Semiurban","medium","Y"
"LP001875","Male","No","0","Graduate","No","1","Rural","medium","Y"
"LP001877","Male","Yes","2","Graduate","No","1","Semiurban","medium","Y"
"LP001882","Male","Yes","3+","Graduate","No","0","Urban","medium","Y"
"LP001884","Female","No","1","Graduate","No","1","Urban","low","Y"
"LP001888","Female","No","0","Graduate","No","1","Urban","low","Y"
"LP001891","Male","Yes","0","Graduate","No","1","Urban","high","Y"
"LP001892","Male","No","0","Graduate","No","1","Rural","low","Y"
"LP001894","Male","Yes","0","Graduate","No","1","Semiurban","low","Y"
"LP001896","Male","Yes","2","Graduate","No","1","Semiurban","low","Y"
"LP001900","Male","Yes","1","Graduate","No","1","Semiurban","low","Y"
"LP001903","Male","Yes","0","Graduate","No","1","Semiurban","low","Y"
"LP001904","Male","Yes","0","Graduate","No","1","Urban","low","Y"
"LP001907","Male","Yes","0","Graduate","No","1","Semiurban","high","Y"
"LP001910","Male","No","1","Not Graduate","Yes","0","Urban","medium","N"
"LP001914","Male","Yes","0","Graduate","No","1","Semiurban","low","Y"
"LP001915","Male","Yes","2","Graduate","No","1","Urban","low","Y"
"LP001917","Female","No","0","Graduate","No","1","Urban","low","Y"
"LP001922","Male","Yes","0","Graduate","No","1","Rural","high","N"
"LP001924","Male","No","0","Graduate","No","1","Rural","low","Y"
"LP001925","Female","No","0","Graduate","Yes","1","Semiurban","low","N"
"LP001926","Male","Yes","0","Graduate","No","1","Rural","low","Y"
"LP001931","Female","No","0","Graduate","No","1","Semiurban","medium","Y"
"LP001935","Male","No","0","Graduate","No","1","Rural","medium","Y"
"LP001936","Male","Yes","0","Graduate","No","1","Rural","low","Y"
"LP001938","Male","Yes","2","Graduate","No","0","Semiurban","medium","N"
"LP001940","Male","Yes","2","Graduate","No","1","Urban","low","Y"
"LP001947","Male","Yes","0","Graduate","No","1","Semiurban","low","Y"
"LP001953","Male","Yes","1","Graduate","No","1","Semiurban","medium","Y"
"LP001954","Female","Yes","1","Graduate","No","1","Urban","medium","Y"
"LP001955","Female","No","0","Graduate","No","1","Rural","medium","N"
"LP001963","Male","Yes","1","Graduate","No","1","Urban","low","N"
"LP001964","Male","Yes","0","Not Graduate","No","0","Urban","low","N"
"LP001974","Female","No","0","Graduate","No","1","Rural","medium","Y"
"LP001977","Male","Yes","1","Graduate","No","1","Urban","low","Y"
"LP001978","Male","No","0","Graduate","No","1","Rural","medium","Y"
"LP001990","Male","No","0","Not Graduate","No","1","Urban","low","N"
"LP001993","Female","No","0","Graduate","No","1","Rural","low","Y"
"LP001994","Female","No","0","Graduate","No","0","Urban","low","N"
"LP001996","Male","No","0","Graduate","No","1","Rural","high","N"
"LP002002","Female","No","0","Graduate","No","1","Semiurban","low","Y"
"LP002004","Male","No","0","Not Graduate","No","1","Semiurban","low","Y"
"LP002006","Female","No","0","Graduate","No","1","Rural","low","Y"
"LP002031","Male","Yes","1","Not Graduate","No","1","Urban","low","Y"
"LP002035","Male","Yes","2","Graduate","No","1","Semiurban","low","Y"
"LP002050","Male","Yes","1","Graduate","Yes","1","Rural","high","N"
"LP002051","Male","Yes","0","Graduate","No","1","Semiurban","low","Y"
"LP002053","Male","Yes","3+","Graduate","No","1","Semiurban","medium","Y"
"LP002054","Male","Yes","2","Not Graduate","No","1","Rural","low","Y"
"LP002065","Male","Yes","3+","Graduate","No","1","Rural","high","Y"
"LP002067","Male","Yes","1","Graduate","Yes","0","Rural","medium","N"
"LP002068","Male","No","0","Graduate","No","0","Rural","medium","Y"
"LP002082","Male","Yes","0","Graduate","Yes","1","Semiurban","medium","Y"
"LP002086","Female","Yes","0","Graduate","No","1","Urban","medium","N"
"LP002087","Female","No","0","Graduate","No","1","Urban","low","Y"
"LP002097","Male","No","1","Graduate","No","1","Urban","medium","Y"
"LP002098","Male","No","0","Graduate","No","1","Semiurban","low","Y"
"LP002112","Male","Yes","2","Graduate","Yes","1","Rural","low","Y"
"LP002113","Female","No","3+","Not Graduate","No","0","Urban","low","N"
"LP002114","Female","No","0","Graduate","No","1","Semiurban","medium","Y"
"LP002115","Male","Yes","3+","Not Graduate","No","1","Rural","low","N"
"LP002116","Female","No","0","Graduate","No","1","Rural","low","N"
"LP002119","Male","Yes","1","Not Graduate","No","1","Urban","medium","Y"
"LP002126","Male","Yes","3+","Not Graduate","No","1","Semiurban","low","Y"
"LP002129","Male","Yes","0","Graduate","No","1","Semiurban","low","Y"
"LP002131","Male","Yes","2","Not Graduate","No","1","Urban","low","Y"
"LP002138","Male","Yes","0","Graduate","No","1","Rural","low","Y"
"LP002139","Male","Yes","0","Graduate","No","1","Semiurban","medium","Y"
"LP002140","Male","No","0","Graduate","No","1","Rural","medium","N"
"LP002141","Male","Yes","3+","Graduate","No","1","Rural","low","Y"
"LP002142","Female","Yes","0","Graduate","Yes","0","Rural","medium","N"
"LP002143","Female","Yes","0","Graduate","No","1","Semiurban","low","Y"
"LP002149","Male","Yes","2","Graduate","No","1","Rural","medium","Y"
"LP002151","Male","Yes","1","Graduate","No","1","Urban","low","N"
"LP002158","Male","Yes","0","Not Graduate","No","0","Urban","low","N"
"LP002160","Male","Yes","3+","Graduate","No","1","Semiurban","medium","Y"
"LP002161","Female","No","1","Graduate","No","1","Semiurban","medium","N"
"LP002170","Male","Yes","2","Graduate","No","1","Semiurban","medium","Y"
"LP002175","Male","Yes","0","Graduate","No","1","Urban","medium","Y"
"LP002180","Male","No","0","Graduate","Yes","1","Rural","medium","Y"
"LP002181","Male","No","0","Not Graduate","No","1","Rural","medium","N"
"LP002187","Male","No","0","Graduate","No","1","Semiurban","low","N"
"LP002188","Male","No","0","Graduate","No","0","Rural","medium","N"
"LP002190","Male","Yes","1","Graduate","No","1","Semiurban","medium","Y"
"LP002191","Male","Yes","0","Graduate","No","1","Rural","high","N"
"LP002194","Female","No","0","Graduate","Yes","1","Semiurban","high","Y"
"LP002197","Male","Yes","2","Graduate","No","1","Semiurban","medium","Y"
"LP002201","Male","Yes","2","Graduate","Yes","1","Rural","medium","Y"
"LP002205","Male","No","1","Graduate","No","0","Urban","low","N"
"LP002211","Male","Yes","0","Graduate","No","1","Urban","medium","Y"
"LP002219","Male","Yes","3+","Graduate","No","1","Rural","medium","Y"
"LP002224","Male","No","0","Graduate","No","1","Urban","low","N"
"LP002225","Male","Yes","2","Graduate","No","1","Urban","medium","Y"
"LP002229","Male","No","0","Graduate","No","1","Semiurban","medium","Y"
"LP002231","Female","No","0","Graduate","No","1","Urban","medium","Y"
"LP002234","Male","No","0","Graduate","Yes","1","Urban","medium","Y"
"LP002236","Male","Yes","2","Graduate","No","1","Urban","medium","N"
"LP002239","Male","No","0","Not Graduate","No","1","Semiurban","low","Y"
"LP002243","Male","Yes","0","Not Graduate","No","0","Urban","low","N"
"LP002244","Male","Yes","0","Graduate","No","1","Urban","low","Y"
"LP002250","Male","Yes","0","Graduate","No","1","Rural","medium","Y"
"LP002255","Male","No","3+","Graduate","No","1","Rural","medium","Y"
"LP002262","Male","Yes","3+","Graduate","No","1","Rural","medium","Y"
"LP002265","Male","Yes","2","Not Graduate","No","1","Semiurban","low","Y"
"LP002266","Male","Yes","2","Graduate","No","1","Urban","low","Y"
"LP002277","Female","No","0","Graduate","No","0","Urban","low","N"
"LP002281","Male","Yes","0","Graduate","No","1","Urban","low","Y"
"LP002284","Male","No","0","Not Graduate","No","1","Rural","low","Y"
"LP002287","Female","No","0","Graduate","No","0","Semiurban","low","N"
"LP002288","Male","Yes","2","Not Graduate","No","0","Urban","low","N"
"LP002296","Male","No","0","Not Graduate","No","1","Rural","low","N"
"LP002297","Male","No","0","Graduate","No","1","Semiurban","low","Y"
"LP002300","Female","No","0","Not Graduate","No","1","Semiurban","low","Y"
"LP002301","Female","No","0","Graduate","Yes","1","Rural","medium","N"
"LP002305","Female","No","0","Graduate","No","1","Semiurban","medium","Y"
"LP002308","Male","Yes","0","Not Graduate","No","1","Urban","low","Y"
"LP002314","Female","No","0","Not Graduate","No","1","Rural","low","Y"
"LP002315","Male","Yes","1","Graduate","No","0","Semiurban","medium","N"
"LP002317","Male","Yes","3+","Graduate","No","0","Rural","high","N"
"LP002318","Female","No","1","Not Graduate","Yes","1","Semiurban","low","N"
"LP002328","Male","Yes","0","Not Graduate","No","0","Rural","medium","N"
"LP002332","Male","Yes","0","Not Graduate","No","1","Rural","low","Y"
"LP002335","Female","Yes","0","Not Graduate","No","0","Semiurban","low","N"
"LP002337","Female","No","0","Graduate","No","1","Urban","low","Y"
"LP002341","Female","No","1","Graduate","No","1","Urban","low","N"
"LP002342","Male","Yes","2","Graduate","Yes","1","Urban","low","N"
"LP002345","Male","Yes","0","Graduate","No","1","Rural","low","Y"
"LP002347","Male","Yes","0","Graduate","No","1","Semiurban","low","Y"
"LP002348","Male","Yes","0","Graduate","No","1","Rural","medium","Y"
"LP002357","Female","No","0","Not Graduate","No","0","Urban","low","N"
"LP002361","Male","Yes","0","Graduate","No","1","Urban","low","Y"
"LP002362","Male","Yes","1","Graduate","No","0","Urban","medium","N"
"LP002364","Male","Yes","0","Graduate","No","1","Semiurban","high","Y"
"LP002366","Male","Yes","0","Graduate","No","1","Rural","low","Y"
"LP002367","Female","No","1","Not Graduate","No","1","Rural","medium","N"
"LP002368","Male","Yes","2","Graduate","No","1","Semiurban","medium","Y"
"LP002369","Male","Yes","0","Graduate","No","1","Rural","low","Y"
"LP002370","Male","No","0","Not Graduate","No","1","Urban","low","Y"
"LP002377","Female","No","1","Graduate","Yes","1","Semiurban","medium","Y"
"LP002379","Male","No","0","Graduate","No","0","Rural","medium","N"
"LP002387","Male","Yes","0","Graduate","No","1","Semiurban","low","Y"
"LP002390","Male","No","0","Graduate","No","1","Urban","low","Y"
"LP002398","Male","No","0","Graduate","No","1","Semiurban","low","Y"
"LP002401","Male","Yes","0","Graduate","No","1","Urban","low","Y"
"LP002403","Male","No","0","Graduate","Yes","0","Urban","high","N"
"LP002407","Female","Yes","0","Not Graduate","Yes","1","Rural","medium","Y"
"LP002408","Male","No","0","Graduate","No","1","Semiurban","low","Y"
"LP002409","Male","Yes","0","Graduate","No","1","Rural","medium","Y"
"LP002418","Male","No","3+","Not Graduate","No","1","Semiurban","medium","Y"
"LP002422","Male","No","1","Graduate","No","1","Semiurban","high","Y"
"LP002429","Male","Yes","1","Graduate","Yes","1","Rural","low","Y"
"LP002434","Male","Yes","2","Not Graduate","No","1","Rural","medium","Y"
"LP002443","Male","Yes","2","Graduate","No","0","Rural","low","N"
"LP002446","Male","Yes","2","Not Graduate","No","0","Rural","low","N"
"LP002448","Male","Yes","0","Graduate","No","0","Rural","low","N"
"LP002449","Male","Yes","0","Graduate","No","0","Rural","low","Y"
"LP002453","Male","No","0","Graduate","Yes","1","Semiurban","medium","Y"
"LP002455","Male","Yes","2","Graduate","No","1","Semiurban","low","Y"
"LP002459","Male","Yes","0","Graduate","No","1","Urban","medium","Y"
"LP002467","Male","Yes","0","Graduate","No","1","Urban","low","N"
"LP002472","Male","No","2","Graduate","No","1","Rural","medium","Y"
"LP002473","Male","Yes","0","Graduate","No","1","Semiurban","medium","N"
"LP002484","Male","Yes","3+","Graduate","No","1","Urban","medium","Y"
"LP002487","Male","Yes","0","Graduate","No","1","Rural","low","Y"
"LP002493","Male","No","0","Graduate","No","0","Semiurban","medium","N"
"LP002494","Male","No","0","Graduate","No","1","Rural","medium","Y"
"LP002500","Male","Yes","3+","Not Graduate","No","0","Urban","low","N"
"LP002505","Male","Yes","0","Graduate","No","1","Urban","medium","N"
"LP002515","Male","Yes","1","Graduate","Yes","1","Semiurban","low","Y"
"LP002517","Male","Yes","1","Not Graduate","No","0","Rural","low","N"
"LP002519","Male","Yes","3+","Graduate","No","1","Semiurban","medium","Y"
"LP002524","Male","No","2","Graduate","No","1","Rural","medium","Y"
"LP002527","Male","Yes","2","Graduate","Yes","1","Rural","high","Y"
"LP002529","Male","Yes","2","Graduate","No","1","Semiurban","medium","Y"
