,Artist Name,Lead Streams,Feats,Tracks,One Billion,100 Million,Last Updated
131,Justin Timberlake,"7,225,331,308","2,167,168,755",172,1,13,18.09.22
132,Bob Marley & The Wailers,"7,206,364,367","56,737,031",618,0,13,29.08.22
133,BLACKPINK,"7,206,360,244","526,346,942",103,0,22,19.09.22
134,Machine Gun Kelly,"7,175,506,952","1,017,993,010",141,0,14,15.09.22
135,blackbear,"7,107,987,469","1,743,247,445",162,1,14,22.08.22
136,Black Eyed Peas,"7,055,175,439","88,656,205",213,0,13,18.09.22
137,Anne-Marie,"6,995,284,822","797,700,433",136,3,12,19.09.22
138,Lewis Capaldi,"6,958,006,277","1,385",48,2,10,31.08.22
139,Clean Bandit,"6,956,364,284","24,677,721",176,3,10,31.07.22
140,JAY-Z,"6,923,840,435","5,959,218,358",306,0,13,17.09.22
141,Marília Mendonça,"6,909,001,088","1,549,217,519",122,0,23,20.09.22
142,Zara Larsson,"6,878,581,725","510,565,925",85,2,13,13.09.22
143,Bebe Rexha,"6,836,453,644","3,954,204,862",113,2,14,13.09.22
144,Anitta,"6,801,733,116","1,407,362,033",175,0,20,02.09.22
145,Enrique Iglesias,"6,764,228,183","340,675,073",282,0,13,18.09.22
146,Fleetwood Mac,"6,753,161,276","563,244",768,1,11,13.09.22
147,The Rolling Stones,"6,727,427,341","6,784,031","1,073",0,14,17.09.22
148,The Neighbourhood,"6,718,687,991","1,183,878",90,1,12,12.08.22
149,Pink Floyd,"6,714,780,376",0,436,0,13,16.09.22
150,Britney Spears,"6,671,486,096","689,481,019",292,0,19,19.09.22
151,Michael Bublé,"6,667,559,320","313,876,033",239,0,18,12.09.22
152,The Kid LAROI,"6,647,734,218","847,871,845",49,1,16,16.09.22
153,Guns N' Roses,"6,615,411,211","55,151",139,1,10,19.09.22
154,Flo Rida,"6,555,092,666","1,786,418,102",229,0,11,31.07.22
155,Camilo,"6,519,784,854","887,878,975",49,0,20,13.09.22
156,Ty Dolla $ign,"6,503,653,017","10,647,843,904",191,0,14,03.09.22
157,Kid Cudi,"6,488,863,340","1,505,742,485",160,0,12,08.09.22
158,Disney,"6,480,840,953","819,435,187",529,0,14,31.07.22
159,Becky G,"6,434,404,802","1,302,187,576",110,0,16,19.09.22
160,Jonas Blue,"6,422,049,491","111,388,929",165,0,9,31.07.22
161,Russ,"6,409,448,257","120,435,639",368,0,14,31.08.22
162,Luis Fonsi,"6,388,525,172","444,209,070",187,2,10,11.08.22
163,2Pac,"6,328,173,362","345,066,838",316,0,16,06.09.22
164,Reik,"6,327,803,667","330,177,113",172,0,16,31.07.22
165,50 Cent,"6,248,846,278","2,758,573,236",185,0,14,16.09.22
166,Childish Gambino,"6,247,735,359","604,415,192",86,1,13,18.08.22
167,Gorillaz,"6,243,417,623","1,329,013",283,0,11,17.09.22
168,Ava Max,"6,182,963,810","222,536,835",105,1,15,19.09.22
169,Jhay Cortez,"6,170,553,828","1,249,018,420",82,1,11,20.08.22
170,Bastille,"6,158,728,878","156,539,720",205,2,10,09.09.22
171,Joji,"6,150,774,573","723,433,712",52,0,17,19.09.22
172,Polo G,"6,136,158,071","2,095,079,434",75,0,14,31.07.22
173,Lorde,"6,006,934,967","286,523,906",57,0,19,19.09.22
174,Usher,"5,981,518,153","3,241,074,771",257,0,15,15.09.22
175,Hozier,"5,967,126,876",0,69,1,14,18.09.22
176,David Bowie,"5,960,976,370","35,086,750","1,315",1,12,13.09.22
177,Banda MS de Sergio Lizárraga,"5,924,856,095","5,520,822",216,0,19,31.07.22
178,Luke Combs,"5,890,199,848","150,384,172",68,0,15,21.08.22
179,Mariah Carey,"5,888,465,193","401,002,898",660,1,12,20.09.22
180,Skrillex,"5,881,756,686","1,640,865,351",149,0,14,31.07.22
181,Christian Nodal,"5,835,820,936","409,256,344",69,0,18,20.08.22
182,Big Sean,"5,791,066,758","6,189,567,932",153,0,13,04.09.22
183,The Killers,"5,774,550,053","359,729",213,1,11,18.09.22
184,Alessia Cara,"5,768,256,100","2,748,095,478",138,2,8,04.09.22
185,Foo Fighters,"5,761,240,710",0,237,0,12,15.09.22
186,Playboi Carti,"5,756,121,719","1,679,604,284",82,0,14,17.09.22
187,French Montana,"5,687,956,941","3,407,044,954",672,1,11,05.08.22
188,Tory Lanez,"5,657,531,451","2,622,981,646",256,0,12,08.09.22
189,U2,"5,622,227,589","303,372,985",522,0,8,18.09.22
190,Manuel Turizo,"5,610,907,877","2,311,637,889",66,0,17,26.08.22
191,Meek Mill,"5,609,538,227","1,900,550,120",440,0,9,12.09.22
192,Jack Harlow,"5,606,152,807","315,806,334",96,1,10,12.09.22
193,blink-182,"5,568,505,079","66,190,562",185,0,10,14.09.22
194,Led Zeppelin,"5,554,421,214","118,988",241,0,13,18.09.22
195,Daft Punk,"5,551,691,330","3,320,364,189",190,0,12,24.08.22
196,Radiohead,"5,531,324,257","2,206,126",233,0,8,18.09.22
197,Jorge & Mateus,"5,486,263,204","1,108,375,019",280,0,11,12.09.22
198,Henrique & Juliano,"5,466,963,460","812,748,773",177,0,14,12.09.22
199,Roddy Ricch,"5,446,354,074","3,489,978,704",61,1,15,20.09.22
200,Elvis Presley,"5,442,877,510","5,634,626","1,855",0,11,03.09.22
201,Meghan Trainor,"5,418,874,209","1,025,879,971",141,0,11,18.09.22
202,Artist,Lead Streams,Feats,Tracks,1b,100m,Update
203,Paulo Londra,"5,408,739,140","119,832,137",37,0,16,16.09.22
204,Labrinth,"5,408,385,063","396,587,742",149,0,14,31.07.22
205,John Legend,"5,384,405,995","2,403,169,234",249,1,8,31.07.22
206,Frank Sinatra,"5,382,091,415","77,042,747","2,171",0,13,14.08.22
207,Don Omar,"5,374,011,725","1,957,856,299",237,0,13,08.09.22
208,Morgan Wallen,"5,345,429,164","521,301,528",60,0,17,13.09.22
209,System Of A Down,"5,306,747,245","997,641",83,0,10,18.08.22
210,Megan Thee Stallion,"5,274,621,614","1,656,164,329",131,1,12,19.09.22
211,Rita Ora,"5,257,167,753","709,421,106",133,0,14,19.09.22
212,The 1975,"5,232,430,866","156,055,221",136,0,13,13.09.22
213,Rae Sremmurd,"5,226,974,030","544,047,899",62,0,13,08.09.22
214,Tame Impala,"5,214,042,684","174,098,397",101,1,11,20.09.22
215,Melanie Martinez,"5,194,199,440","5,232,238",58,0,17,19.09.22
216,TWICE,"5,181,586,735","39,496,270",220,0,13,17.09.22
217,Muse,"5,181,150,140","6,402,079",253,0,11,10.09.22
218,Gucci Mane,"5,179,422,858","4,905,865,217","2,117",0,5,17.08.22
219,Jack Johnson,"5,176,854,131","39,660,958",190,0,9,07.09.22
220,The Notorious B.I.G.,"5,171,977,853","699,574,957",185,0,12,31.07.22
221,Troye Sivan,"5,103,726,645","873,635,526",105,0,12,19.09.22
222,Bon Jovi,"5,101,338,141","1,335,247",329,1,9,17.09.22
223,Paramore,"5,095,348,178",0,114,0,11,14.09.22
224,Mumford & Sons,"5,088,124,853","18,747,880",121,0,12,15.09.22
225,ABBA,"5,004,152,913","146,654",160,0,14,01.09.22
226,6ix9ine,"4,988,907,666","1,117,326,282",57,0,16,14.09.22
227,Slipknot,"4,980,473,881",0,208,0,10,11.08.22
228,Bazzi,"4,941,186,159","62,540,256",39,0,12,31.07.22
229,Gusttavo Lima,"4,938,141,476","876,355,276",287,0,9,26.08.22
230,Oasis,"4,924,851,582","1,134",237,1,7,19.09.22
231,Morat,"4,919,640,815","436,178,161",74,0,15,31.08.22
232,Sean Paul,"4,910,936,441","3,853,999,824",400,0,10,31.07.22
233,Felix Jaehn,"4,901,374,743","194,535,961",172,1,12,31.07.22
234,The Lumineers,"4,894,719,810",0,86,0,8,29.08.22
235,Justin Quiles,"4,878,976,278","4,310,489,285",163,0,14,31.07.22
236,Dalex,"4,871,872,181","1,036,388,958",129,0,15,03.09.22
237,Duki,"4,869,537,547","937,757,024",147,0,13,12.09.22
238,Swae Lee,"4,836,929,180","5,692,666,319",59,1,10,31.07.22
239,Hailee Steinfeld,"4,815,845,560","606,712,238",31,1,10,19.09.22
240,Julia Michaels,"4,811,539,257","1,690,872,391",65,1,7,16.09.22
241,Rammstein,"4,781,710,534","3,762,124",245,0,10,27.08.22
242,Alicia Keys,"4,777,678,003","1,427,914,798",253,0,8,17.09.22
243,Alok,"4,738,018,362","231,488,539",212,0,12,29.08.22
244,Madonna,"4,718,747,892","138,810,390",762,0,7,20.09.22
245,Jess Glynne,"4,712,325,038","543,326,342",82,1,10,18.09.22
246,Zion & Lennox,"4,710,887,632","2,887,125,495",159,0,11,31.07.22
247,Disclosure,"4,690,114,197","24,281,620",186,0,7,31.07.22
248,Christina Aguilera,"4,686,000,540","1,808,585,763",281,0,9,19.08.22
249,Kings of Leon,"4,669,462,543",0,121,0,8,18.09.22
250,6LACK,"4,650,333,571","952,817,602",79,0,10,03.09.22
251,Cheat Codes,"4,629,305,378","313,902,252",151,0,7,31.07.22
252,Tove Lo,"4,629,278,952","1,360,259,448",144,0,7,09.09.22
253,Creedence Clearwater Revival,"4,623,595,600",0,145,0,11,23.08.22
254,Florence + The Machine,"4,614,759,836","378,905",160,0,9,18.09.22
255,Florida Georgia Line,"4,609,041,041","2,478,742,591",124,0,15,21.08.22
256,My Chemical Romance,"4,607,083,284",0,139,0,11,14.09.22
257,Alesso,"4,597,495,128","137,641,031",129,0,10,13.08.22
258,Arijit Singh,"4,573,567,798","939,497,796",572,0,4,01.09.22
259,Glass Animals,"4,554,159,224","4,423,329",109,1,6,15.09.22
260,The Script,"4,553,052,747","1,343,266",99,1,8,12.09.22
261,Zé Neto & Cristiano,"4,540,609,590","463,313,203",169,0,13,12.09.22
262,Whitney Houston,"4,519,561,495","14,222,939",282,0,9,19.09.22
263,Chance the Rapper,"4,517,223,691","3,118,921,754",105,0,12,05.09.22
264,Piso 21,"4,511,325,667","62,804,762",86,0,12,31.07.22
265,Five Finger Death Punch,"4,506,617,068",0,138,0,9,31.07.22
266,Bruce Springsteen,"4,480,464,759","47,313,864",821,0,10,11.09.22
267,Arcangel,"4,475,257,907","5,081,836,495",244,0,11,11.08.22
268,Nickelback,"4,469,299,972",0,150,0,12,06.09.22
269,Fifth Harmony,"4,468,944,634","184,240,949",75,1,7,19.09.22
270,Lenny Tavárez,"4,449,161,492","3,924,285,642",94,0,10,31.07.22
271,Jason Mraz,"4,439,148,339","98,804,484",238,1,6,31.07.22
272,Galantis,"4,427,621,050","102,139,066",243,0,8,31.07.22
273,Avril Lavigne,"4,418,987,832","25,567,335",154,0,10,10.09.22
274,Glee Cast,"4,375,931,294",0,723,0,0,23.08.22
275,Bring Me The Horizon,"4,372,894,185","85,729,842",141,0,11,19.09.22
276,Ne-Yo,"4,368,629,006","2,245,144,528",204,0,10,31.07.22
277,Lil Durk,"4,367,616,218","3,009,354,038",359,0,6,17.09.22
278,Kane Brown,"4,364,488,364","29,797,048",98,0,10,31.07.22
279,Kehlani,"4,361,626,721","2,028,969,469",124,0,10,09.08.22
280,Kevin Gates,"4,359,021,971","739,286,985",314,0,6,07.08.22
281,Niall Horan,"4,338,726,666","517,135,427",69,0,11,19.09.22
282,Bryson Tiller,"4,330,601,767","1,295,854,047",70,0,8,05.09.22
283,Jonas Brothers,"4,329,888,033","498,204,068",95,1,9,07.08.22
284,Bizarrap,"4,326,642,648","503,968,381",87,0,12,14.09.22
285,Capital Bra,"4,317,253,980","673,800,705",276,0,9,07.08.22
286,Lil Tjay,"4,313,086,274","1,884,183,028",65,0,11,31.07.22
287,Snoop Dogg,"4,300,203,668","6,192,858,304",726,1,7,25.08.22
288,Macklemore & Ryan Lewis,"4,290,529,937","4,265,483",48,1,6,04.09.22
289,Lil Tecca,"4,273,063,329","302,858,918",79,1,11,12.09.22
290,Luke Bryan,"4,267,128,439","540,870,550",149,0,14,01.08.22
291,Natti Natasha,"4,253,199,571","2,141,323,366",93,0,9,17.09.22
292,Wisin,"4,226,257,427","5,360,562,962",131,0,10,18.08.22
293,Aerosmith,"4,219,398,737",0,318,0,9,17.09.22
294,Vance Joy,"4,216,274,820",0,87,1,9,01.08.22
295,Kelly Clarkson,"4,206,190,955","231,077,825",329,0,8,20.09.22
296,Alejandro Fernández,"4,201,269,620","352,247,735",313,0,11,31.07.22
297,Stevie Wonder,"4,196,723,912","301,358,086",657,0,11,11.09.22
298,Jennifer Lopez,"4,186,796,728","1,097,279,258",240,0,13,18.09.22
299,Johnny Cash,"4,174,390,143","163,740,766","1,679",0,7,19.08.22
300,Maná,"4,119,964,379","63,757,921",220,0,12,18.08.22
301,Thomas Rhett,"4,112,832,625","247,574,441",120,0,15,09.08.22
302,Ryan Lewis,"4,110,355,782","43,371,022",33,1,6,31.07.22
303,Artist,Lead Streams,Feats,Tracks,1b,100m,Update
304,Hans Zimmer,"4,092,359,874","119,832,137","1,545",0,3,31.07.22
305,NAV,"4,088,499,280","396,587,742",117,0,10,08.09.22
306,Lil Pump,"4,054,627,650","2,403,169,234",74,0,10,31.07.22
307,Pearl Jam,"4,052,231,789","77,042,747","2,127",0,9,31.07.22
308,James Bay,"4,051,355,922","1,957,856,299",90,0,9,12.08.22
309,Disturbed,"4,034,857,022","521,301,528",173,0,6,31.07.22
310,YG,"4,034,206,176","997,641",198,0,8,31.07.22
311,Amy Winehouse,"4,024,161,318","1,656,164,329",157,0,7,17.09.22
312,Wisin & Yandel,"4,004,531,845","709,421,106",293,0,12,31.07.22
313,YNW Melly,"3,991,996,348","156,055,221",83,0,9,31.07.22
314,Lil Skies,"3,968,361,888","544,047,899",75,0,9,22.08.22
315,Nio Garcia,"3,960,430,779","174,098,397",124,0,7,31.07.22
316,Tones And I,"3,957,800,698","5,232,238",33,1,5,17.09.22
317,Kesha,"3,955,337,905","39,496,270",139,0,10,15.09.22
318,Backstreet Boys,"3,949,466,238","6,402,079",145,1,8,18.09.22
319,Aventura,"3,943,857,084","4,905,865,217",123,0,12,01.09.22
320,Flume,"3,942,056,858","39,660,958",145,0,9,31.07.22
321,Dr. Dre,"3,941,098,327","699,574,957",75,0,8,19.09.22
322,Miguel,"3,933,509,386","873,635,526",145,0,8,31.07.22
323,Jul,"3,931,452,487","1,335,247",572,0,0,18.09.22
324,Lizzo,"3,911,061,177",0,79,0,8,12.09.22
325,Billy Joel,"3,885,486,622","18,747,880",383,0,10,16.08.22
326,ROSALÍA,"3,871,106,303","146,654",61,0,8,20.09.22
327,Calibre 50,"3,859,723,768","1,117,326,282",226,0,10,25.08.22
328,Phil Collins,"3,836,785,174",0,339,0,9,14.08.22
329,Matheus & Kauan,"3,831,562,276","62,540,256",179,0,12,12.09.22
330,Akon,"3,813,017,846","876,355,276",207,0,9,31.07.22
331,Jason Aldean,"3,797,816,243","1,134",166,0,8,31.07.22
332,Eagles,"3,784,792,723","436,178,161",189,1,8,23.08.22
333,George Ezra,"3,745,977,355","3,853,999,824",76,0,7,07.09.22
334,Yandel,"3,731,724,067","194,535,961",175,0,9,31.07.22
335,Prince Royce,"3,724,376,964",0,127,0,10,31.07.22
336,The Offspring,"3,713,219,015","4,310,489,285",159,0,7,13.08.22
337,24kGoldn,"3,705,648,954","1,036,388,958",62,1,7,31.07.22
338,Three Days Grace,"3,698,665,397","937,757,024",96,0,8,31.07.22
339,Wesley Safadão,"3,698,314,476","5,692,666,319",283,0,6,31.07.22
340,Anderson .Paak,"3,694,145,511","606,712,238",152,0,5,31.07.22
341,The Strokes,"3,688,560,624","1,690,872,391",82,0,6,07.08.22
342,Don Toliver,"3,686,151,351","3,762,124",66,1,5,05.09.22
343,Conan Gray,"3,684,167,999","1,427,914,798",35,0,10,15.09.22
344,Dan + Shay,"3,680,653,230","231,488,539",73,0,9,03.08.22
345,Rex Orange County,"3,678,846,424","138,810,390",58,0,8,11.09.22
346,Jeremih,"3,674,742,679","543,326,342",140,0,8,24.08.22
347,benny blanco,"3,661,450,439","2,887,125,495",23,1,7,04.09.22
348,Cartel De Santa,"3,655,552,123","24,281,620",136,0,10,10.09.22
349,Avenged Sevenfold,"3,634,693,374","1,808,585,763",163,0,9,31.07.22
350,Ricardo Arjona,"3,629,270,035",0,341,0,3,31.07.22
351,Céline Dion,"3,626,954,646","952,817,602",492,0,9,20.09.22
352,Ninho,"3,614,658,124","313,902,252",146,0,4,31.07.22
353,Måneskin,"3,603,994,073","1,360,259,448",33,1,7,19.09.22
354,Alejandro Sanz,"3,592,290,895",0,380,0,6,31.07.22
355,Lin-Manuel Miranda,"3,592,135,787","378,905",95,0,14,31.07.22
356,Ricky Martin,"3,568,196,300","2,478,742,591",278,0,8,15.09.22
357,Jessie J,"3,563,453,628",0,117,1,7,13.09.22
358,Lost Frequencies,"3,556,401,142","137,641,031",421,0,10,31.07.22
359,Danny Ocean,"3,541,587,214","939,497,796",61,1,8,10.09.22
360,Maiara & Maraisa,"3,531,976,169","4,423,329",156,0,12,10.08.22
361,Steve Aoki,"3,527,393,369","1,343,266",437,0,6,31.07.22
362,Lil Mosey,"3,517,585,999","463,313,203",50,1,5,31.07.22
363,Marc Anthony,"3,504,819,748","14,222,939",197,0,8,08.09.22
364,H.E.R.,"3,476,314,834","3,118,921,754",102,0,8,31.07.22
365,Nelly,"3,464,996,085","62,804,762",211,0,9,15.09.22
366,Charli XCX,"3,464,311,470",0,219,0,8,17.09.22
367,Pablo Alborán,"3,437,809,914","47,313,864",173,0,8,16.09.22
368,2 Chainz,"3,429,709,034","5,081,836,495",409,0,7,31.07.22
369,Train,"3,423,789,545",0,185,1,8,31.07.22
370,Passenger,"3,415,074,486","184,240,949",233,1,2,31.07.22
371,Lukas Graham,"3,410,790,500","3,924,285,642",66,1,4,31.07.22
372,Mark Ronson,"3,400,585,305","98,804,484",151,1,4,31.07.22
373,CNCO,"3,399,584,158","102,139,066",89,0,7,19.09.22
374,Foster The People,"3,393,389,914","25,567,335",96,1,7,31.07.22
375,Calum Scott,"3,392,200,109",0,84,0,6,31.07.22
376,Dire Straits,"3,390,427,781","85,729,842",107,0,5,19.09.22
377,Alec Benjamin,"3,389,530,976","2,245,144,528",46,1,8,26.08.22
378,Daniel Caesar,"3,387,218,135","3,009,354,038",37,0,8,31.07.22
379,Bee Gees,"3,383,127,730","29,797,048",470,0,6,27.08.22
