repositories,stars_count,forks_count,issues_count,pull_requests,contributors,language
Tyriar/abbr-fill.js,2,0,9,0,0,JavaScript
iamshaunjp/firegram,286,237,9,2,0,NULL
yessine-agrebi/Dev-Blog,2,0,9,1,3,JavaScript
RioChndr/jaksel-language,507,55,9,0,12,JavaScript
rogeriopvl/downstagram,32,7,9,4,2,JavaScript
ethereum/clrfund,22,76,9,7,0,TypeScript
antonmedv/countdown,847,79,9,2,8,Go
antonmedv/finder,775,74,9,3,9,HTML
carloscuesta/gitmoji,0,691,9,0,88,JavaScript
jgthms/bulma-start,269,72,9,9,2,CSS
LiveOverflow/minecraft-hacked,160,16,9,2,2,Python
kdeldycke/chessboard,7,4,9,0,0,Python
xoreaxeaxeax/rosenbridge,0,216,9,4,0,C
iamshaunjp/firegram,286,237,9,2,0,NULL
cheeaun/ama,11,634,9,0,0,NULL
jishanshaikh4/assignments,21,1,8,0,2,C++
torvalds/uemacs,898,188,8,11,7,C
anuraghazra/anuraghazra.github.io,405,166,8,12,7,JavaScript
avikalpg/IndianVotingAssistant,6,1,8,0,0,Jupyter Notebook
google/acai,73,34,8,1,3,Java
marcoscaceres/bib_entry_maker,0,0,8,0,0,JavaScript
google/abstracttext,70,11,8,9,2,JavaScript
feross/bitmidi.com,488,63,8,18,7,JavaScript
ducc/BorkedJavaMusicBot,0,0,8,0,0,Java
google/account-provisioning-for-google-apps,50,26,8,5,3,Java
smaranjitghose/auto_vaidya,18,19,8,0,9,Python
kaushik-rishi/rocketcp,31,27,8,1,13,JavaScript
education/graduation,756,0,8,22,0,JavaScript
AYIDouble/Binary-Calculator-JavaScript,48,9,8,0,6,JavaScript
nerdynikhil/bloggy,2,4,8,0,3,Dart
Clueless-Community/clueless-official-website,5,4,8,0,7,TypeScript
idvoretskyi/buildbot,0,0,8,0,5,HTML
QAInsights/apache-jmeter,1,0,8,0,0,NULL
ralexstokes/beacon-api-client,17,10,8,3,7,Rust
xbelanch/llegir-en-xarxa,0,0,8,0,0,JavaScript
brettkromkamp/topic-db,216,13,7,0,2,Python
google/Accessibility-Test-Framework-for-Android,355,118,7,3,7,Java
artkirienko/dotfiles,1,0,7,0,0,Ruby
benawad/apollo-mocked-provider,89,24,7,20,9,TypeScript
vikhyatsingh123/SlugTerra,15,88,7,15,64,JavaScript
openfoodfacts/DriveOFF,1,6,7,1,0,JavaScript
agamjotsingh18/codesetgo-website,8,25,7,0,14,CSS
thepranaygupta/Data-Structures-and-Algorithms,616,256,7,17,111,Java
EddieHubCommunity/api,52,54,7,2,20,TypeScript
avikalpg/free-time,2,5,7,0,2,JavaScript
adrianhajdin/portfolio_website,0,421,7,10,2,JavaScript
artkirienko/dotfiles,1,0,7,0,0,Ruby
openfoodfacts/folksonomy_engine,2,1,7,0,2,NULL
cheeaun/busrouter-sg,281,97,7,8,2,JavaScript
ricksaha2000/JAVA,2,7,7,2,7,Java
taranjeet/django-starter-skeleton,2,0,7,0,0,Python
defuse/crackstation,103,35,7,0,5,Hack
offensive-security/nethunter-LRT,289,94,7,2,7,NULL
simonw/airtable-export,69,8,7,2,3,Python
adrianhajdin/project_fitness_app,455,138,7,2,0,JavaScript
agamjotsingh18/codesetgo-website,8,25,7,0,14,CSS
btholt/complete-intro-to-containers,765,166,6,21,11,JavaScript
mitsuhiko/classy,268,43,6,7,4,Python
taranjeet/code-snippets,4,1,6,0,0,NULL
kdeldycke/click-extra,9,2,6,4,5,Python
WhiteHouse/datacenters,21,39,6,11,11,JavaScript
offensive-security/kali-cloud-build,90,135,6,1,0,NULL
kdeldycke/kdeldycke,2,3,6,0,2,NULL
kdeldycke/mail-deduplicate,127,34,6,10,18,Python
WhiteHouse/logger,5,7,6,0,3,PHP
dwij2812/FlightBooking-system,6,2,6,21,2,CSS
andrewjmead/node-course-v3-code,569,391,6,1,0,JavaScript
byt3bl33d3r/duckhunter,96,39,6,0,2,Python
jishanshaikh4/cryptography-roadmap,24,5,6,0,0,NULL
mager/floor.report.old,0,0,6,0,0,TypeScript
curiousily/Deep-Learning-For-Hackers,824,391,6,0,0,Jupyter Notebook
varunKT001/testing-github-templates,1,0,6,0,0,NULL
defuse/crackstation-hashdb,296,106,6,1,2,PHP
EddieHubCommunity/gh-actions-html-table-generator,23,13,6,0,6,JavaScript
EddieHubCommunity/template,6,10,6,1,10,NULL
Ishita-0112/Pysa-Hack,0,0,6,1,2,Python
trailofbits/AppJailLauncher,133,19,6,0,5,C++
aloisdeniel/built_vector,33,6,6,1,0,Dart
aloisdeniel/built_vector,33,6,6,1,0,Dart
donnemartin/viz,759,123,6,0,0,Python
localstack/awscli-local,702,58,6,0,14,Python
nikhilkumarsingh/facebook-messenger-bot,16,16,6,0,0,Python
iamshaunjp/django-playlist,162,186,6,5,0,NULL
btholt/complete-intro-to-react-v7,528,125,6,13,13,JavaScript
iamshaunjp/django-playlist,162,186,6,5,0,NULL
localstack/helm-charts,28,44,6,1,20,Smarty
Abhishek-kumar09/AutoBot,2,0,6,0,4,JavaScript
aloisdeniel/dio_retry,46,34,5,1,2,Dart
LiveOverflow/liveoverflow_youtube,455,202,5,4,0,C
taranjeet/blog,0,1,5,1,0,HTML
garimasingh128/Draw,1,4,5,0,4,HTML
ethereum/asyncio-run-in-process,11,7,5,1,6,Python
emersonsoares/asdf-dotnet-core,65,17,5,3,7,Shell
WhiteHouse/drushsubtree,11,10,5,1,4,NULL
zemse/bitcoin3js,3,0,5,5,2,JavaScript
Chirag321ratvekar/docker-project,0,0,5,0,0,NULL
byt3bl33d3r/ItWasAllADream,692,109,5,2,0,Python
offensive-security/masscan-web-ui,437,176,5,0,4,PHP
garimasingh128/CP-DSA-Cpp-C,25,89,5,0,72,C++
fromgopi/cookbook-api,2,1,5,0,2,Python
iamshaunjp/firebase-auth,329,355,5,9,0,NULL
devongovett/browserify-optional,9,1,5,0,0,JavaScript
marcel-dempers/docker-development-youtube-series,0,0,5,7,21,Go
defuse/elfplayer,10,3,5,0,0,JavaScript
vasu-1/CalcHub,49,128,5,7,49,JavaScript
gabrielfalcao/dead-parrot,16,4,5,0,2,Python
aloisdeniel/dio_retry,46,34,5,1,2,Dart
devongovett/atom-stylus,6,5,5,2,2,CoffeeScript
kameshsampath/ansible-collection-kubernetes-spices,0,0,5,0,1,Jinja
trailofbits/censys-ruby,9,3,5,0,3,Ruby
thrau/pymq,21,3,5,0,0,Python
aloisdeniel/built_bloc,51,5,5,1,0,Dart
iamshaunjp/firebase-auth,329,355,5,9,0,NULL
devongovett/browserify-istanbul,50,31,5,2,11,JavaScript
EddieHubCommunity/EddieBotUI,11,19,5,0,9,JavaScript
rajat2502/GitHub-Battle,13,8,5,1,3,JavaScript
bradtraversy/angularfs,54,44,5,0,0,TypeScript
benawad/apollo-server-react-file-upload,79,34,5,23,2,JavaScript
whummer/jaxb-facets,27,17,5,2,3,Java
Ishita-0112/CODES,4,6,5,0,8,Java
openfoodfacts/facets-knowledge-panels,1,2,5,4,5,Python
aviaryan/BrainGames,45,11,5,1,0,Python
aloisdeniel/built_bloc,51,5,5,1,0,Dart
vasu-1/CalcHub,49,128,5,7,49,JavaScript
kameshsampath/ansible-collection-kubernetes-spices,0,0,5,0,1,Jinja
ak7550/garments-store,0,4,5,0,0,JavaScript
donnemartin/awesome-aws,0,0,5,60,70,Python
manjurulhoque/android-near-by-places,24,14,5,0,0,Java
EddieHubCommunity/hacktoberfest-practice,292,0,4,36,0,NULL
localstack/aws-cdk-local,176,10,4,1,7,JavaScript
lmgonzalves/brushstroke,81,14,4,1,2,JavaScript
iamshaunjp/css-grid-layouts,51,23,4,0,0,NULL
rrousselGit/functional_widget,508,42,4,1,13,Dart
Vectorized/solady,315,21,4,0,10,Solidity
mitsuhiko/clicolors-control,19,9,4,2,5,Rust
education/hackconviii,15,9,4,0,0,NULL
iamshaunjp/css-grid-layouts,51,23,4,0,0,NULL
mitsuhiko/better-panic,332,6,4,0,2,Rust
nikhilkumarsingh/flask-chat-app,41,23,4,0,0,Python
florinpop17/10-projects-10-hours,0,589,4,10,0,JavaScript
Anuj-Kumar-Sharma/NewsApp,40,44,4,6,0,Kotlin
dhananjaym2/android-imagedownloader,0,0,4,0,0,Java
RonLek/ALPR-and-Identification-for-Indian-Vehicles,25,8,4,0,4,Jupyter Notebook
defuse/backup-verify,9,8,4,0,0,Ruby
keshav-space/safe_notes,2,2,4,0,0,Dart
bradtraversy/bookstore,231,211,4,2,2,HTML
carloscuesta/gitmoji-cli,0,190,4,0,43,JavaScript
YashKumarVerma/all-covid-info-frontend,9,1,4,1,0,JavaScript
carloscuesta/gitmoji-cli,0,190,4,0,43,JavaScript
defuse/airgap,26,2,4,0,0,NULL
btholt/algorithms-exercises,135,374,4,11,3,JavaScript
lmorchard/about-me,3,0,4,0,0,JavaScript
LiveOverflow/pwn_docker_example,178,42,4,3,3,Dockerfile
AYIDouble/Cat-Face-Detector-with-OpenCV-and-JavaFX,24,7,4,0,2,Java
curiousily/Deploy-BERT-for-Sentiment-Analysis-with-FastAPI,128,41,4,1,0,Python
RonLek/FastV2C-HandNet,8,2,4,0,0,Python
curiousily/Credit-Card-Fraud-Detection-using-Autoencoders-in-Keras,408,254,4,1,0,Jupyter Notebook
casatwy/CTMediator,0,749,4,1,3,Objective-C
Rajdip019/booklee,7,1,4,0,4,JavaScript
ducc/DiscrimFarmer,13,3,4,0,0,Go
asweigart/bext,13,2,4,0,2,Python
ralexstokes/deposit-verifier,15,7,4,0,3,Python
AnkushMalaker/speech-emotion-recognition,5,0,4,0,2,PureBasic
mikenikles/ghost-v3-google-cloud-storage,13,7,4,3,2,JavaScript
yourcelf/afgexplorer,48,6,4,0,2,Python
trailofbits/circuitous-benchmarks,0,0,4,0,0,C++
Clueless-Community/Datasets,4,3,4,0,5,JavaScript
ethereum/beacon_chain,196,61,4,1,13,Python
openfoodfacts/eu-food-data,8,6,4,0,4,HTML
jonfroehlich/jonfroehlich.github.io,3,0,4,0,0,HTML
WhiteHouse/CIOmanagement,14,28,4,6,15,SCSS
0xCaso/defillama-telegram-bot,0,1,4,0,2,JavaScript
ethereum/blake2b-py,5,14,4,3,4,Rust
openfoodfacts/folksonomy_mobile_experiment,0,0,4,3,3,JavaScript
WhiteHouse/buildmanager,13,15,4,2,4,PHP
torvalds/test-tlb,501,177,4,4,2,C
jonfroehlich/HCID521Wi2020,0,0,4,0,0,JavaScript
amacgregor/dot-files,438,318,4,0,0,Vim Script
adrianhajdin/project_google_clone,324,78,4,1,2,JavaScript
jamesbachini/Encryption-VScode,3,2,4,0,2,JavaScript
antonmedv/jsize,179,12,4,0,4,JavaScript
WhiteHouse/omb_place,49,22,4,1,4,CSS
nikhilkumarsingh/awesome-wikidata-scripts,6,3,4,0,2,Jupyter Notebook
adrianhajdin/project_hoobank,469,135,4,1,0,JavaScript
Raz0r/aemscan,158,52,4,0,5,Python
xbelanch/OBS4Pi,30,5,4,0,0,Shell
casatwy/HandyAutoLayout,0,253,4,1,4,Objective-C
sagesharp/python-code-of-conduct,2,103,4,0,0,NULL
aloisdeniel/bluff,84,8,3,0,0,Dart
97shivank/Hotel-Site-with-Django,5,7,3,0,5,Python
kameshsampath/ansible-role-kind,1,2,3,14,2,Jinja
mrdbourke/m1-machine-learning-test,303,84,3,0,2,Jupyter Notebook
saurabhdaware/blog.saurabhdaware.in,4,0,3,3,0,TypeScript
amacgregor/amgr_phx,0,1,3,0,3,CSS
mrdbourke/cs329s-ml-deployment-tutorial,513,140,3,0,0,Jupyter Notebook
stong/CVE-2021-3156,431,119,3,0,0,C
ritwickdey/organic-shop,56,36,3,0,2,TypeScript
itaditya/background-check,27,12,3,0,2,JavaScript
ck37/featurerank,1,0,3,0,3,R
torvalds/pesconvert,241,56,3,2,4,C
iamshaunjp/firebase-firestore-playlist,274,303,3,4,0,NULL
PawanKolhe/calc-2000,1,1,3,0,0,JavaScript
tapaswenipathak/Blacklist-By-Words,20,10,3,1,3,JavaScript
localstack/aws-sam-cli-local,17,4,3,1,2,Python
jakearchibald/big-web-quiz,109,32,3,3,2,JavaScript
aloisdeniel/bluff,84,8,3,0,0,Dart
gasteigerjo/dimenet,199,38,3,0,0,Python
gasteigerjo/turbulent,0,0,3,0,3,C++
feross/clipboard-copy,561,40,3,3,5,JavaScript
stong/CVE-2021-3156,431,119,3,0,0,C
clindsey/cookbook,3,0,3,0,0,Ruby
ritwickdey/organic-shop,56,36,3,0,2,TypeScript
ForrestPi/anomalyLocalization,13,1,3,0,0,Python
ethereum/beacon-metrics,19,14,3,0,6,NULL
emersonsoares/cep-api,98,44,3,0,4,C#
mscoutermarsh/dotfiles,766,184,3,1,23,Vim Script
AshAman999/Edify,4,0,3,2,2,Dart
ethereum/alexandria,6,8,3,0,5,Python
lengstrom/codezoo,1,0,3,0,0,JavaScript
sreehari2003/cvshare.io,5,1,3,0,2,TypeScript
bradtraversy/bookmarker,157,118,3,1,3,JavaScript
crnacura/AmbientCanvasBackgrounds,514,112,3,0,0,JavaScript
bradtraversy/apex-legends-tracker,127,21,3,7,2,Vue
MariaEduardaDeAzevedo/centavos-search,7,4,3,0,5,JavaScript
MariaEduardaDeAzevedo/detector-de-mascaras,167,23,3,0,3,Python
MariaEduardaDeAzevedo/jogo-da-velha,7,3,3,0,2,Python
IonicaBizau/anser,50,17,3,0,22,JavaScript
defuse/dfcrypt,0,0,3,0,0,C
defuse/gadgetrie,4,0,3,0,0,C
bradtraversy/angular60,129,102,3,0,2,JavaScript
Tyriar/abbr-touch,51,4,3,0,2,HTML
tinchoabbate/slither-scripts,18,15,3,2,0,Python
smaranjitghose/AppleFoliarAI,7,9,3,0,3,Dockerfile
kameshsampath/ansible-role-kind,1,2,3,14,2,Jinja
rogeriopvl/Downpy,9,1,3,0,2,Python
casatwy/ConfigPrivatePod,69,70,3,0,0,Shell
PragneshRamani/Coursera---Using-Python-to-Access-Web-Data,37,79,3,6,0,Python
trailofbits/constexpr-everything,231,11,3,0,6,C++
kdeldycke/cqlengine-relation-columns,1,1,3,0,0,Python
nikhilkumarsingh/desktop_reminder,7,4,3,0,0,Python
taniarascia/laconia,350,63,3,2,2,PHP
aviaryan/CFBuddy,2,1,3,0,0,Java
xoreaxeaxeax/..cantor.dust..,33,0,3,0,0,NULL
YosephKS/moralis-opensea-plugins,26,14,3,0,0,JavaScript
aviaryan/alfred-google-search,32,1,3,0,0,Python
aviaryan/Ahk-Best-Practices,30,5,3,0,2,NULL
google/actions-on-google-trivia-template-sdk,14,8,3,0,2,JavaScript
Anuj-Kumar-Sharma/DS-Algo,457,382,3,31,8,Java
trailofbits/bisc,71,15,3,0,5,Ruby
taniarascia/new-moon-vscode,85,10,3,1,3,NULL
localstack/localstack-python-client,144,30,3,0,16,Python
trailofbits/algo-ng,65,16,3,1,3,HCL
ljharb/aud,24,1,3,0,0,JavaScript
felangel/bloc.js,171,19,3,3,5,TypeScript
google/.github,70,153,3,3,4,NULL
mattgallagher/CwlSignal,305,33,3,1,9,Swift
iamshaunjp/firebase-firestore-playlist,274,303,3,4,0,NULL
anuraghazra/circleci-test,0,0,3,1,2,JavaScript
ihcsim/cockroachdb-formula,2,2,3,0,0,Ruby
WhiteHouse/choropleth,4,9,3,1,5,JavaScript
shazow/briefmetrics,20,1,3,3,3,Python
byt3bl33d3r/arpspoof,175,66,3,0,4,Python
nerdynikhil/bookclub,0,0,3,0,0,Dart
vicky002/1000_Projects,0,298,3,1,4,NULL
Shreeshrii/tess5train-fonts,72,19,3,0,0,HTML
Shreeshrii/hindi-hunspell,29,16,3,3,2,Shell
education/github-starter-course,41,25,3,0,5,NULL
nerdynikhil/codestreak,4,3,3,0,3,JavaScript
EddieHubCommunity/gh-action-community,24,16,3,0,13,JavaScript
nikhilkumarsingh/cmail,3,1,3,0,2,Python
EddieHubCommunity/EddieBotBreakout,14,2,3,0,6,TypeScript
RivaanRanawat/flutter-whatsapp-clone,75,45,3,0,0,Dart
nikhilkumarsingh/content-downloader,104,68,3,0,6,Python
kdeldycke/kevin-deldycke-blog,34,15,3,11,5,Python
offensive-security/kali-linux-preseed,42,26,3,0,0,NULL
lengstrom/codezoo,1,0,3,0,0,JavaScript
offensive-security/cryptsetup-nuke-keys,188,63,3,7,0,NULL
Anuj-Kumar-Sharma/Shuffler,275,291,3,6,0,Java
offensive-security/exploitdb-bin-sploits,0,545,3,0,0,Python
btholt/complete-intro-to-computer-science,214,151,3,19,8,JavaScript
kdeldycke/kdenlive-tools,6,1,3,0,0,Python
PragneshRamani/Coursera---Using-Python-to-Access-Web-Data,37,79,3,6,0,Python
vikhyatsingh123/Naruto-Shippuden,85,466,3,6,259,HTML
Priyansh19077/OnlyPolling,0,0,3,0,0,Java
zemse/awesome-decentralized-finance,8,268,2,0,0,NULL
carloscuesta/carloscuesta.me,39,7,2,0,7,JavaScript
AYIDouble/IoT-Arduino-Game-Controller-Java,16,2,2,0,2,Java
sambitraze/cpp,0,3,2,0,3,C++
Shreeshrii/tessdata_ssd,24,4,2,0,0,Shell
wsvincent/awesome-django,0,940,2,5,65,HTML
ritwickdey/ritwickdey.github.io,83,21,2,25,0,TypeScript
zemse/contract-ownership-governance,1,3,2,0,0,TypeScript
artkirienko/n-th_longest,0,1,2,0,0,C++
