,the weight of the stock-picking concept,,,,,,the original investment performance indicator,,,,,,the normalized  investment performance indicator,,,,,
34,0.000,0.333,0.333,0.000,0.000,0.333,18.50%,2.40%,0.98,10.50%,67.50%,58.80%,0.753,0.755,0.369,0.377,0.560,0.588
35,0.333,0.000,0.000,0.333,0.000,0.333,12.70%,1.10%,0.94,10.10%,66.30%,55.00%,0.471,0.512,0.325,0.339,0.520,0.482
36,0.000,0.333,0.000,0.333,0.000,0.333,15.60%,1.70%,0.99,10.30%,65.00%,57.50%,0.613,0.621,0.377,0.356,0.480,0.553
37,0.000,0.000,0.333,0.333,0.000,0.333,15.70%,1.60%,1.07,11.40%,65.00%,52.50%,0.619,0.609,0.465,0.464,0.480,0.412
38,0.333,0.000,0.000,0.000,0.333,0.333,13.80%,1.40%,0.96,10.10%,70.00%,55.00%,0.526,0.552,0.348,0.339,0.640,0.482
39,0.000,0.333,0.000,0.000,0.333,0.333,13.80%,1.20%,0.97,8.80%,63.80%,62.50%,0.525,0.524,0.358,0.215,0.440,0.694
40,0.000,0.000,0.333,0.000,0.333,0.333,14.10%,1.40%,0.95,10.00%,66.30%,52.50%,0.542,0.570,0.338,0.334,0.520,0.412
41,0.000,0.000,0.000,0.333,0.333,0.333,9.00%,0.00%,1.13,11.30%,58.80%,45.00%,0.295,0.281,0.525,0.458,0.280,0.200
42,0.250,0.250,0.250,0.250,0.000,0.000,19.10%,2.40%,1.06,11.30%,70.00%,57.50%,0.780,0.753,0.457,0.457,0.640,0.553
43,0.250,0.250,0.250,0.000,0.250,0.000,17.00%,1.90%,1.02,10.30%,71.30%,65.00%,0.679,0.665,0.415,0.363,0.680,0.765
44,0.250,0.250,0.000,0.250,0.250,0.000,15.00%,1.50%,0.98,9.30%,70.00%,61.30%,0.582,0.582,0.365,0.263,0.640,0.659
45,0.250,0.000,0.250,0.250,0.250,0.000,15.30%,1.50%,1.08,11.10%,66.30%,53.80%,0.599,0.580,0.469,0.435,0.520,0.447
46,0.000,0.250,0.250,0.250,0.250,0.000,15.20%,1.40%,1.05,9.80%,67.50%,62.50%,0.595,0.568,0.440,0.315,0.560,0.694
47,0.250,0.250,0.250,0.000,0.000,0.250,17.70%,2.30%,0.97,10.80%,68.80%,58.80%,0.714,0.732,0.358,0.412,0.600,0.588
48,0.250,0.250,0.000,0.250,0.000,0.250,17.00%,2.30%,0.86,9.40%,67.50%,63.80%,0.681,0.729,0.239,0.270,0.560,0.729
49,0.250,0.000,0.250,0.250,0.000,0.250,15.40%,1.70%,1.04,11.70%,65.00%,51.30%,0.601,0.613,0.432,0.492,0.480,0.376
50,0.000,0.250,0.250,0.250,0.000,0.250,17.90%,2.20%,1,10.60%,71.30%,61.30%,0.721,0.718,0.392,0.385,0.680,0.659
51,0.250,0.250,0.000,0.000,0.250,0.250,16.30%,2.10%,0.83,8.60%,75.00%,63.80%,0.646,0.700,0.207,0.200,0.800,0.729
52,0.250,0.000,0.250,0.000,0.250,0.250,15.30%,1.60%,1.03,10.90%,70.00%,60.00%,0.599,0.603,0.415,0.415,0.640,0.624
53,0.000,0.250,0.250,0.000,0.250,0.250,16.40%,1.90%,0.93,9.20%,70.00%,62.50%,0.649,0.665,0.312,0.258,0.640,0.694
54,0.250,0.000,0.000,0.250,0.250,0.250,12.90%,1.20%,0.89,9.10%,67.50%,52.50%,0.482,0.528,0.275,0.246,0.560,0.412
55,0.000,0.250,0.000,0.250,0.250,0.250,14.00%,1.20%,1.01,9.70%,65.00%,56.30%,0.534,0.530,0.396,0.301,0.480,0.518
56,0.000,0.000,0.250,0.250,0.250,0.250,13.80%,1.30%,0.97,9.90%,67.50%,53.80%,0.525,0.544,0.359,0.321,0.560,0.447
57,0.200,0.200,0.200,0.200,0.200,0.000,17.20%,2.00%,1.01,10.20%,71.30%,60.00%,0.687,0.673,0.402,0.346,0.680,0.624
58,0.200,0.200,0.200,0.200,0.000,0.200,18.10%,2.30%,0.96,10.50%,67.50%,57.50%,0.730,0.744,0.350,0.379,0.560,0.553
59,0.200,0.200,0.200,0.000,0.200,0.200,17.10%,2.20%,0.94,10.00%,70.00%,63.80%,0.685,0.707,0.323,0.329,0.640,0.729
60,0.200,0.200,0.000,0.200,0.200,0.200,15.30%,1.80%,0.88,8.70%,72.50%,63.80%,0.596,0.632,0.260,0.204,0.720,0.729
61,0.200,0.000,0.200,0.200,0.200,0.200,15.60%,1.80%,0.97,10.40%,66.30%,52.50%,0.613,0.631,0.360,0.369,0.520,0.412
62,0.000,0.200,0.200,0.200,0.200,0.200,16.10%,1.80%,0.98,9.40%,68.80%,66.30%,0.636,0.634,0.362,0.277,0.600,0.800
63,0.167,0.167,0.167,0.167,0.167,0.167,17.30%,2.20%,0.91,9.50%,71.30%,66.30%,0.693,0.716,0.296,0.285,0.680,0.800
