distance,congestion,speed,waitfor
1594,72,80,41.73717372
1583,46,80,46.24212421
1476,68,80,36.42664266
1525,72,80,38.63186319
1540,80,80,39.30693069
1529,65,80,38.81188119
1486,49,80,41.87668767
1443,53,75,39.27508401
1562,44,75,49.98799808
1557,50,75,49.74795967
1501,91,75,42.05952952
1497,27,75,51.8674988
1419,68,75,38.12289966
1517,24,75,52.82765242
1420,76,75,38.17090735
1468,97,75,40.47527604
1581,13,75,55.90014402
1402,89,75,37.30676908
1482,99,75,41.14738358
1583,100,75,45.99615939
1564,69,75,45.08401344
1428,79,75,38.5549688
1430,46,75,43.65098416
1560,39,75,49.89198272
1428,66,75,38.5549688
1427,26,75,48.50696111
1520,9,75,57.97167547
1548,45,75,49.31589054
1492,74,75,41.62746039
1515,90,75,42.73163706
1451,63,75,39.65914546
1484,7,75,56.24339894
1400,52,75,37.21075372
1593,63,75,46.4762362
1478,24,75,50.95535286
1448,43,75,44.51512242
1419,27,75,48.12289966
1418,8,75,53.07489198
1404,22,75,47.40278445
1478,11,75,50.95535286
1536,13,75,53.73979837
1499,81,75,41.96351416
1409,98,75,37.64282285
1475,68,75,40.81132981
1579,10,75,60.80412866
1455,50,75,44.85117619
1421,82,75,38.21891503
1524,94,75,43.16370619
1419,95,75,38.12289966
1574,78,75,45.56409025
1453,40,75,44.75516083
1565,15,75,55.13202112
1455,27,75,49.85117619
1441,75,75,39.17906865
1433,62,75,38.7950072
1512,10,75,57.58761402
1467,82,75,40.42726836
1456,25,75,49.89918387
1487,77,75,41.38742199
1460,73,75,40.09121459
1497,18,75,51.8674988
1421,94,75,38.21891503
1597,26,75,56.66826692
1459,54,75,40.04320691
1592,17,75,56.42822852
1474,80,75,40.76332213
1442,47,75,44.22707633
1407,96,75,37.54680749
1530,15,75,53.45175228
1464,44,75,45.28324532
1552,29,75,54.50792127
1472,30,75,50.66730677
1588,80,75,46.23619779
1587,24,75,56.18819011
1490,79,75,41.53144503
1539,14,75,53.88382141
1599,87,75,46.76428229
1585,81,75,46.09217475
1583,49,75,50.99615939
1446,17,75,49.41910706
1599,83,75,46.76428229
1593,50,75,51.4762362
1519,84,75,42.92366779
1476,69,75,40.85933749
1518,62,75,42.87566011
1559,99,75,44.84397504
1600,14,75,56.81228997
1509,42,75,47.44359097
1573,26,75,55.51608257
1439,14,75,49.08305329
1561,48,75,49.9399904
1506,11,75,52.29956793
1581,43,75,50.90014402
1568,73,75,45.27604417
1559,34,75,49.84397504
1568,38,75,50.27604417
1542,23,75,54.02784446
1460,89,75,40.09121459
1569,35,75,50.32405185
1429,69,75,38.60297648
1470,41,75,45.57129141
1580,32,75,50.85213634
1420,78,75,38.17090735
1485,99,75,41.29140663
1472,16,75,50.66730677
1496,15,75,51.81949112
1502,18,75,52.10753721
1561,74,85,36.11605252
1562,97,85,36.15840745
1579,93,85,36.87844134
1447,9,85,46.28759
1453,58,85,31.54171961
1403,92,85,29.42397289
1565,87,85,36.28547226
1530,9,85,49.80304956
1558,44,85,40.98898772
1488,9,85,48.02414231
1414,30,85,39.88987717
1554,36,85,40.81956798
1467,59,85,32.13468869
1533,67,85,34.93011436
1491,16,85,43.15120712
1451,95,85,31.45700974
1521,22,85,44.42185515
1546,8,85,50.4807285
1546,45,85,40.4807285
1478,11,85,42.60059297
1547,31,85,40.52308344
1504,31,85,38.70182126
1521,11,85,44.42185515
1521,58,85,34.42185515
1450,39,85,36.41465481
1422,34,85,35.22871665
1500,47,85,38.53240152
1401,32,85,34.33926302
1564,43,85,41.24311732
1414,44,85,34.88987717
1473,90,85,32.3888183
1568,53,85,36.41253706
1402,44,85,34.38161796
1475,31,85,37.47352817
1565,28,85,46.28547226
1569,85,85,36.45489199
1469,45,85,37.21939856
1555,47,85,40.86192291
1511,58,85,33.9983058
1479,6,85,47.6429479
1495,43,85,38.32062685
1520,96,85,34.37950021
1489,18,85,43.06649725
1436,94,85,30.82168573
1550,40,85,40.65014824
1591,60,85,37.38670055
1557,27,85,45.94663278
1483,10,85,47.81236764
1406,86,85,29.5510377
1549,40,85,40.60779331
1457,26,85,41.71113935
1420,11,85,40.14400678
1445,60,85,31.20288014
1424,25,85,40.31342651
1592,66,85,37.42905548
1441,28,85,41.0334604
1559,62,85,36.03134265
1427,100,85,30.44049132
1518,87,85,34.29479034
1499,55,85,33.49004659
1482,17,85,42.77001271
1527,82,85,34.67598475
1445,89,85,31.20288014
1414,52,85,29.88987717
1578,96,85,36.8360864
1410,28,85,39.72045743
1420,87,85,30.14400678
1495,98,85,33.32062685
1558,87,85,35.98898772
1559,66,85,36.03134265
1595,60,85,37.55612029
1409,30,85,39.6781025
1516,84,85,34.21008047
1488,66,85,33.02414231
1490,28,85,43.10885218
1504,47,85,38.70182126
1546,6,85,50.4807285
1454,41,85,36.58407454
1550,54,85,35.65014824
1539,51,85,35.18424396
1454,31,85,36.58407454
1416,13,85,39.97458704
1421,71,85,30.18636171
1588,21,85,47.25963575
1566,19,85,46.32782719
1560,15,85,46.07369759
1548,90,85,35.56543837
1565,51,85,36.28547226
1438,23,85,40.9063956
1475,20,85,42.47352817
1456,17,85,41.66878441
1538,47,85,40.14188903
1420,77,85,30.14400678
1469,54,85,32.21939856
1502,37,85,38.61711139
1468,78,85,32.17704363
1565,73,85,36.28547226
1401,79,85,29.33926302
1535,40,85,40.01482423
1588,79,85,37.25963575
