mmsi,imo,call_sign,width,avg_length,stddev_length,unique_values_length,avg_gross_tonnage,stddev_gross_tonnage,unique_values_tonnage,dead_weight,source,flag_state,last_active_date,vessel_name,former_name,change_date
416602000,7323396,BZEJ,12,74.53,3.92598183,2,1095,0,1,1861,CLAV,Taiwan,12/8/16,SHUN TIAN FA 168,SHUN TIAN FA 168,9/10/13
357788000,8808252,3FTI9,13,81.54,3.256255518,2,1890,0,1,1752,CLAV,Panama,12/12/16,VICTORIA 168,MIYABI,10/8/13
357788000,8808252,3FTI10,13,81.54,3.256255518,2,1890,0,1,1752,CLAV,Panama,10/8/13,MIYABI,,
416308000,7930175,BZLY,13,80.45,3.606244584,2,1872,0,1,2028,CLAV,Taiwan,12/8/16,CHEN YU 7,,
416702000,7920869,BZLL,13,80.49,3.634528855,2,1866,0,1,1956,CLAV,Taiwan,12/21/16,SHENG HONG 806,,
355855000,7625500,3FRF5,14,96.7,0.353553391,2,2695,0,1,3459,CLAV,Panama,12/18/16,MONTELAURA,,
576397000,8909680,YJQE4,14,94.5,1.609968944,2,2600,0,1,2812,CLAV,Vanuatu,10/14/15,KAIHO MARU,,
576395000,9172909,YJQE3,15,90.27,2.383950503,3,2713,0,1,3046,CLAV,Vanuatu,1/28/15,YU HSAING MARU,,
529578000,9161613,T3FZ2,15,88.17,2.848157299,2,2713,0,1,3051,CLAV,Kiribati,2/24/16,YUN RUN 3,,
244542000,8810786,PESF,16,103.75,5.579072504,2,3999,0,1,5450,CLAV,Netherlands,12/21/16,SIERRA KING,HOLLAND KLIPPER,10/10/13
244542000,8810786,PESF,16,103.75,5.579072504,2,3999,0,1,5450,encounters,Netherlands,10/10/13,HOLLAND KLIPPER,,
529354000,8421298,T3XR,16,104.47,4.935605333,2,4238,0,1,4277,CLAV,Kiribati,12/6/16,HUA JIAN 107,,
577102000,9241932,3EHZ8,17,120.76,0.02236068,2,4521,0,1,5035,CLAV,Vanuatu,1/12/16,HARU,,
355295000,9174701,H3LU,17,117.06,5.218448045,2,4490,0,1,5061,CLAV,Panama,12/19/16,FARO,,
577106000,9133317,YJTB3,17,117.8,4.042192474,2,4490,0,1,5080,CLAV,Vanuatu,12/11/16,HARIMA 2,,
306497000,8514784,PJHA,17,110.7,6.109402589,2,4440,0,1,5508,CLAV,Curacao,12/13/16,NOVA ZEELANDIA,,
577169000,8710728,7JTK,18,122.74,3.376462646,2,4969,0,1,6374,CLAV,Vanuatu,9/15/13,TAISEI MARU 15,,
353242000,8517815,3FHP2,18,120.5,5.656854249,2,5757,0,1,6373,CLAV,Panama,12/8/16,OSTROV BERINGA,,
312887000,8800236,3EIN8,18,122.85,3.695,2,4970,0,1,6522,CLAV,Belize,10/10/13,HAI FENG 668,,
354062000,8800236,3EIN8,18,124.7,0,1,4970,0,1,6522,CSIRO,Panama,12/20/16,HAI FENG 668,HAI FENG 668,10/10/13
431678000,9086758,JILE,18,121.23,4.135305309,2,4992,0,1,6365,CLAV,Japan,12/21/16,TAISEI MARU 24,,
224124000,9238703,EBTL,19,128.76,7.164916841,2,7207,0,1,7748,CLAV,Spain,12/21/16,SALICA FRIGO,,
311042300,9015785,D5IJ6,19,119.37,0.317542648,2,5617,0,1,7075,CLAV,Bahamas,3/13/15,GREEN TOLEDO,,
356517000,9172698,3FLM8,20,125.5,6.392245302,2,6971,0,1,8035,CLAV,Panama,12/20/16,ASIAN COSMOS,,
577132000,9666493,D5JI4,20,134.16,0.020412415,2,6558,0,1,7303,CLAV,Vanuatu,9/20/15,CHIKUMA,,
277397000,9047269,LYTA,21,134.01,0.014142136,2,7326,0,1,8043,CLAV,Lithuania,12/15/16,CASSIOPEA,,
312273000,9016961,V3PI,22,150.09,4.930571299,2,12413,0,1,11691,CLAV,Belize,8/1/15,HAI FENG 678,REF LIRA,10/11/13
370599000,9666481,3ELC8,20.2,131.61,3.472561015,2,6558,0,1,7314,CLAV,Panama,12/21/16,IBUKI,IBUKI,10/8/13
636012747,9017276,A8HP4,22.6,144.4,8.343860018,2,10629,0,1,10582,CLAV,Liberia,1/31/15,CHILE STAR,,
277348000,9047257,LYSG,20.8,134.01,0.014142136,2,7313,0,1,8043,CLAV,Lithuania,12/21/16,CAPELLA,,
306796000,8917211,PJQV,16.2,102.86,,1,4263,,1,5900,CLAV,Curacao,12/21/16,BREIZ KLIPPER,,
306862000,8807636,PJYM,16.43,108.81,,1,4666,,1,4433,CLAV,Curacao,12/6/16,COPPENAME,,
312534000,7816472,V3RZ6,14.2,76.67,,1,2617,,1,1960,CLAV,Belize,8/25/14,OKAPI MARTA,HERMANOS PINZON,6/1/13
312862000,8215936,D6A2149,16.34,108.76,,1,3960,,1,5220,CLAV,Belize,5/23/16,NORMANDIC,,
352533000,8122385,3EGN7,16.03,91.03,,1,3574,,1,4183,CLAV,Panama,12/20/16,VIVA 106,,
354469000,8710209,3EHB6,17.84,124.7,,1,4939,,1,6550,CLAV,Panama,12/19/16,HAI FENG 658,,
354683000,9109287,HPLA,14.5,88.94,,1,2581,,1,2401,CLAV,Panama,12/18/16,EITA MARU,,
371322000,8814237,3ECC7,16.31,99.98,,1,3503,,1,4243,CLAV,Panama,12/21/16,HAI FENG 895,,
416861000,7323396,BEAP,12.02,76.8,,1,1376,,1,1861,CLAV,Taiwan,9/10/13,SHUN TIAN FA 168,,
224434000,8817801,EHCB,16.3,105,,1,4263,,1,4200,CLAV,Spain,12/15/16,IZAR ARGIA,,
351370000,8612304,T3HT2,16.5,120.6,,1,4961,,1,5691,CLAV,Panama,7/30/12,DONA LIBRA,,
514211000,8649151,XUDU6,10,67.24,,1,1159,,1,1200,CLAV,Cambodia,10/8/13,HAI CHI 3,,
515557000,8834421,9LY2623,11,59.25,,1,991,,1,1168,CLAV,Cambodia,6/24/13,HENG XING 1,,
528565426,8891302,T3HM2,11,65.23,,1,991,,1,1300,CLAV,Kiribati,10/27/15,FOR SHINE 1,FOR SHINE 1,10/11/13
312387000,8223816,V3FK,12,64.75,,1,1238,,1,1256,CLAV,Belize,9/12/12,KAI TAI 1,,
548352100,8217142,4DEG_6,12,65.85,,1,1239,,1,1205,CLAV,Philippines,4/29/16,DANIELLA T,,
312932000,7927037,5VDJ9,12,65.85,,1,1980,,1,1195,CLAV,Belize,5/18/15,JIN MAO,,
372886000,8976841,3EKZ8,12,81.1,,1,1467,,1,1630,CLAV,Panama,12/20/16,CHANG SHUN 1,,
514565000,8848965,XUNQ7,13,71.82,,1,1486,,1,2149,CLAV,Cambodia,3/20/16,FOR SHINE 168,,
567183000,7727097,HSB2719,13,81.73,,1,2285,,1,2448,CLAV,Thailand,11/16/16,SILVER SEA 2,,
529608000,9441960,T3HF2,13,82.65,,1,1995,,1,2586,CLAV,Kiribati,11/22/13,PING DA 7,HAN YI,10/8/13
431472000,8520496,D7NA,14,94,,1,2604,,1,2690,CLAV,Japan,10/11/13,ORION,,
515717000,8426975,XUFX9,14,98.75,,1,2970,,1,3200,CLAV,Cambodia,10/29/16,RUI HANG,,
354617000,8011029,H8TO,14,83.85,,1,2453,,1,3077,CLAV,Panama,7/29/13,DA PING 1,,
422733000,7917458,9BQJ,14,81.13,,1,2277,,1,2534,CLAV,Iran,10/28/16,KOOSHA 3,,
416567000,7305722,BEGE,15,105.3,,1,2944.1,,1,4343,CLAV,Taiwan,12/8/16,LIAN CHUAN SHENG 66,,
354874000,8615784,3FXQ4,15,85.83,,1,2856,,1,3143,CLAV,Panama,12/8/16,KENTA MARU,,
627047000,8323604,9GII,16,93.8,,1,2829,,1,3988,CLAV,Ghana,12/21/16,VOLTA GLORY,,
312174000,8210259,V4ET3,16,92.23,,1,3246,,1,3945,CLAV,Belize,10/10/13,RANGIROA,,
416778000,7332713,BECS,16,100,,1,3062,,1,3742,CLAV,Taiwan,12/21/16,WIN SHUEN SHING,,
440222000,9004657,D7NB,16,108.02,,1,3696,,1,5246,CLAV,Korea,12/18/16,LAKE CASTLE,ASAHI,4/10/13
353692000,9004657,3FJF4,16,108.02,,1,3696,,1,5246,encounters,Panama,4/10/13,ASAHI,,
441034000,8513871,DSPI5,16,92.23,,1,3244,,1,3962,CLAV,Korea,12/21/16,SUNFLOWER 7,,
441923000,8319029,DSRN5,16,99,,1,2004,,1,4173,CLAV,Korea,12/8/16,SEIN STAR,SEIN STAR,5/8/13
249889000,8319029,3EMM7,16,99,,1,2004,,1,4173,encounters,Malta,5/8/13,SEIN STAR,,
306511000,8812801,PJJI,16,105.35,,1,4190,,1,4487,CLAV,Curacao,4/24/16,ANTILLA,,
440241000,9003146,D7NH,16,119.15,,1,4273,,1,5178,CLAV,Korea,12/8/16,SEIN VENUS,SIRIUS 1,10/11/13
273354920,9003146,UBHH7,16,119.15,,1,4273,,1,5178,encounters,Russia,10/11/13,SIRIUS 1,,
529105000,7927453,T3MH,16,99.58,,1,3505,,1,4166,CLAV,Kiribati,9/16/15,TAI FU 3,,
351822000,7927453,H3AI,16,99.58,,1,3505,,1,4166,encounters,Panama,12/21/16,TAI FU 3,TAI FU 3,9/16/15
351350000,9698343,3FVR4,17,113.16,,1,4546,0,1,5960,CLAV,Panama,12/21/16,NO.2 JOCHOH,,
356636000,8911619,3FMM7,17,120.7,,1,4457,,1,5281,CLAV,Panama,12/21/16,NO.1 BARON,NO.1 BARON,8/25/13
352708000,8911619,HOBE,17,120.7,,1,4457,,1,5281,encounters,Panama,8/25/13,NO.1 BARON,,
357600000,8844074,3FDQ4,17,115.15,,1,5077,,1,5099,CLAV,Panama,12/21/16,FAVORITE,STEFAN GORSHKOV,5/4/15
272296000,8844074,USZO,17,115.15,,1,5077,,1,5099,encounters,Ukraine,5/4/15,STEFAN GORSHKOV,,
440113000,9087910,D7PK,17,120.75,,1,4490,,1,5127,CLAV,Korea,12/8/16,PHAROSTAR,PHAROSTAR,10/9/13
354493000,9105358,3FSC4,17,120.75,,1,4457,,1,5249,CLAV,Panama,12/21/16,MABAH,,
356386000,9000376,HOZZ,17,120.7,,1,4444,,1,5591,CLAV,Panama,10/15/16,SUAH,,
371542000,8714944,3FSS6,17,115.9,,1,4261,,1,4641,CLAV,Panama,12/21/16,NO.1 POHAH,NO.1 POHAH,8/14/13
440102000,8815023,DSRO9,17,115.8,,1,4189,,1,5092,CLAV,Korea,12/14/16,TORAH,TORAH,9/3/13
538002998,8815023,3EPB4,17,115.8,,1,4189,,1,5092,encounters,Marshall Islands,9/3/13,TORAH,,
529051000,7815351,T3KA,17,116.5,,1,3829,,1,5039,CLAV,Kiribati,5/6/13,TAI LU,,
277327000,9009683,LYRT,17,113.3,,1,4587,,1,5065,CLAV,Lithuania,12/15/16,LIBRA,,
441690000,9209245,DSQS6,17,120.75,,1,4519,,1,5456,CLAV,Korea,12/10/16,SOHOH,,
357642000,8303903,HOYR,18,125.67,,1,5323,,1,6381,CLAV,Panama,1/10/13,FRIO SPAIN,,
440057000,8904068,D7MH,18,115,,1,5286,,1,5286,CLAV,Korea,12/20/16,OCEAN JIN,KHOROL,2/11/15
440057000,8904068,D7MH,18,115,,1,5286,,1,5286,encounters,Korea,12/11/14,KHOROL,KHOROL,10/1/13
273148000,8904068,UDGG,18,115,,1,5286,,1,5286,encounters,Panama,10/1/13,KHOROL,KHOROL,
372910000,8613920,3EVC7,18,110.2,,1,4986,,1,6916,CLAV,Panama,12/21/16,HAI FENG 638,,
352085000,8518819,3FDZ4,18,124.7,,1,4964,,1,6541,CLAV,Panama,12/20/16,HUA FU NO.107,,
440097000,8813623,DSRO7,18,124,,1,5469,,1,6756,CLAV,Korea,12/7/16,SEIN SKY,DAMACO FRANCIA,8/10/13
306752000,8813635,PJUP,18,124.7,,1,5476,,1,6729,CLAV,Curacao,12/22/16,NOVA FLORIDA,,
357497000,8804244,3FYZ6,18,117.31,,1,4970,,1,6526,CLAV,Panama,12/19/12,TAI JI,,
371335000,8317356,3FE06,18,138.38,,1,6268,,1,6368,CLAV,Panama,12/8/16,HAI FENG 628,,
529092000,7352804,T3LU,19,132.77,,1,7595,,1,6685,CLAV,Kiribati,4/23/13,BIG SUN NO.3,,
312844000,8813582,V3KG3_,19,138.9,,1,6545,0,1,7168,CLAV,Belize,9/29/13,GLOBAL MARINER,,
204708000,9164548,CSBK,19,100.6,,1,4450,,1,5555,CLAV,Azores,12/22/16,FURNAS,,
354569000,8422709,3FKW4,22,153,,1,12383,,1,11871,CLAV,Panama,5/24/12,REF VEGA,,
636012750,9017264,3FNJ,23,138.5,,1,10629,,1,10587,CLAV,Liberia,2/5/15,URUGUAY STAR,,
440237000,9194919,D7NG,16.6,100.98,,1,3747,,1,3819,CLAV,Korea,12/22/16,OCEANUS,OCEANUS,10/10/13
355643000,8317423,3FUJ9,17.8,125.67,,1,5321,,1,6376,CLAV,Panama,12/22/16,SEA MARK,,
273356760,9054858,UBOI9,14.62,94,0,1,2712,0,1,3953,CLAV,Russia,12/20/16,HATSUKARI,HATSUKARI,7/19/12
312413000,9168362,V3YX4,12.7,68,0,1,1316,0,1,1635,CLAV,Belize,12/22/16,PU ZE,,
353981000,9081679,3FVQ8,21.6,143.3,0,1,9997,0,1,11070,CLAV,Panama,12/22/16,FRIO HELLENIC,,
357735000,9184548,3FSC9,20.6,127.38,0,1,7367,0,1,8077,CLAV,Panama,12/22/16,FRIO MOGAMI,,
529623000,9109500,9LU2435,16.2,96,0,1,3687,,1,3679,CLAV,Kiribati,10/14/16,RETRIEVER,FINO,5/15/13
273397490,9109500,UBXG,16.2,96,0,1,3687,,1,3679,encounters,Russia,12/22/16,RETRIEVER,RETRIEVER,10/14/16
354604000,9109500,3FTS4,16.2,96,0,1,3687,,1,3679,encounters,Panama,5/15/13,FINO,,
548363100,8223983,DUL6023,13.61,80.7,0,1,1542.56,0,1,2123,FFA,Philippines,,EASTERN COAST,,
273312860,8516639,UERQ,17.03,103,0,1,4295,0,1,3642,encounters,Russia,12/17/16,GARMONIYA,,
273440860,8727343,UERV,8,48.88,0,1,488,0,1,431,encounters,Russia,12/21/16,KATRAN,,
273429140,8701038,UIQL,22.22,152.94,0,1,12410,0,1,10085,encounters,Russia,12/22/16,VASILIY POLESHCHUK,,
273895510,8730089,UHSV,9.5,54.92,0,1,683,0,1,523,encounters,Russia,12/18/16,DRUZHBA,,
309361000,8922242,C6VZ4,16.33,109.85,0,1,3999,0,1,5129,ITU,Bahamas,12/22/16,GREEN EXPLORER,,
636091099,9045950,A8JI6,22.8,141.8,0,1,9829,0,1,10457,ITU,Liberia,12/22/16,TASMAN MERMAID,,
273812710,8610277,UDVB,28,179.2,0,1,32096,0,1,10200,ITU,Russia,10/10/16,VSEVOLOD SIRBIRTSEV,,
636015608,8610277,,28,179.2,0,1,32096,0,1,10200,encounters,Liberia,6/13/13,HAINAN BAOSHA 001,,
273459100,8933837,UAGE,7.08,31.85,0,1,190,0,1,70,ITU,Russia,5/8/16,TURGOYAK,,
273511500,7642663,UFNO,23.04,172.09,0,1,13485,0,1,13303,ITU,Russia,11/24/16,GiBRALTAR,,
416696000,6811932,BZKU,,111.1,0,1,3582.03,0,1,4512,CLAV,Taiwan,10/21/13,FU JYI,,
353901000,9097056,H90Q,,88.6,0,1,2383,0,1,2562,encounters,Panama,12/20/16,HONG YING,,
412202730,9211523,BAGO,7,50,0,1,289,0,1,400,ITU,China,,TENG YUAN,,
412203020,9232008,BANF,7,50,0,1,287,0,1,212,ITU,China,,XIAN YU NO.1,,
529086000,9262182,3FEQ5,9,95.2,0,1,2900,0,1,2500,FFA,Kiribati,7/22/15,SHIN HO CHUN NO.102,,
273820900,8724389,UEVR,9,55.01,0,1,677,0,1,483,encounters,Russia,12/23/16,NADIR,,
273824020,8857796,UEFY,9,54.99,0,1,796,0,1,486,encounters,Russia,12/23/16,NIKOLAY KASATKIN,,
273827710,8727147,UFBO,9,55,0,1,683,0,1,474,encounters,Russia,12/21/16,TITANIYA,,
273875400,8724420,UGCQ,9,55,0,1,677,0,1,483,encounters,Russia,12/23/16,IRTYSH,,
273459400,8880523,UAJV,9,54.99,0,1,683,0,1,520,encounters,Russia,12/23/16,TAMARA,,
341844000,8880511,V4VZ2,9,54.99,0,1,683,0,1,510,encounters,Saint Kitts Nevis,12/15/16,AMATHUS,TARAVA,10/10/13
273813060,8880511,UBMB,9,54.99,0,1,683,0,1,510,encounters,Russia,10/10/13,TARAVA,,
273434600,8729200,UEZM,9,54.9,0,1,683,0,1,523,encounters,Russia,12/8/16,KOOPERATOR,,
374140000,9262182,3FEQ5,9,95.2,0,1,2900,0,1,2500,ITU,Panama,12/14/16,SHIN HO CHUN NO.102,SHIN HO CHUN NO.102,7/22/15
548246100,8513352,DUTR6,10,58.57,0,1,914,0,1,929,FFA,Philippines,3/21/15,PACIFIC PLOVER,,
273349420,8304402,UHBM,10,58.2,0,1,795,0,1,535,encounters,Russia,12/3/16,PARNAS,,
273355540,8403961,UBYH6,10,63,0,1,1045,0,1,960,encounters,Russia,12/7/16,VOSTOK REEFER,BELLATRIX,8/27/13
352901000,8403961,HO4683,10,63,0,1,1045,0,1,960,encounters,Panama,8/27/13,BELLATRIX,,
273442580,9012214,UFCR,10,71.1,0,1,959,0,1,701,encounters,Russia,12/12/16,ZARYA,,
334816000,8035491,HQXQ6,10,60.33,0,1,459,0,1,1120,ITU,Honduras,5/1/16,DAN DIN NO.9,,
529614000,8891302,T3HM2,11,65.23,0,1,991,0,1,1300,CLAV,Kiribati,10/11/13,FOR SHINE 1,,
548595000,7824936,DUL6372,11,69.4,0,1,695.87,0,1,1222,FFA,Philippines,12/20/16,DOLLY 767,,
273349630,8712300,UBFG9,11,63,0,1,933,0,1,887,encounters,Russia,12/7/16,ZODIAK,,
273441270,7821910,UFTA,11,68.61,0,1,1150,0,1,1114,encounters,Russia,12/17/16,KOMMUNAROV,,
353211424,7920728,3EDM9,11,69,0,1,1153,0,1,1105,encounters,Panama,8/31/15,VONG QUN,FONG QUN,4/9/15
354260000,7920728,3EDM10,11,69,0,1,1153,0,1,1105,encounters,Panama,4/9/15,FONG QUN,,
273356010,7723027,5VDP4,11,68,0,1,1077,0,1,1070,encounters,Russia,9/7/15,SIVUCH,,
671641000,7723027,5VDP5,11,68,0,1,1077,0,1,1070,encounters,Togo,12/23/06,MARS,SIVUCH,9/7/15
273358660,7929786,UBNI6,11,69.75,0,1,1218,0,1,1167,encounters,Russia,12/15/16,BUKHTA NATALII,,
341095000,7359278,V4JW2,11,74.12,0,1,1327,0,1,1666,encounters,Saint Kitts Nevis,12/23/16,SUNNY LISA,,
273331810,8403363,UBIF5,11,69.7,0,1,1266,0,1,1156,encounters,Russia,12/23/16,AFINA,,
273351650,8811572,UACD8,11,82,0,1,1296,0,1,1021,ITU,Russia,10/29/16,VISMAR,,
273313840,7908562,UHOJ,11,69.65,0,1,1173,0,1,1211,ITU,Russia,12/23/16,AKASHIYA,,
515500000,7931674,XUCQ9,12,84,0,1,1792,0,1,2257,CLAV,Cambodia,1/19/13,TANGERINE 88,,
548600000,8408301,DUL7420,12,73.55,0,1,1427,0,1,1350,FFA,Philippines,4/13/15,DOLLY 888,,
548092100,8408301,DUL7420,12,73.55,0,1,1427,0,1,1350,encounters,Philippines,8/30/16,DOLLY 889,DOLLY 888,4/13/15
374014000,8908739,HONN,12,79.69,0,1,1610,0,1,1494,encounters,Panama,12/8/16,PONTOS,HENG YU,7/8/15
273352700,9004358,UIAE,12,71,0,1,1448,0,1,1521,encounters,Russia,12/23/16,CORONA REEFER,,
341537000,8408258,V4BH3,12,71,0,1,1416,0,1,1363,encounters,Saint Kitts Nevis,12/23/16,BEAM,BEAM,2/23/14
514666000,8408258,XUGH2,12,71,0,1,1416,0,1,1363,encounters,Cambodia,2/23/14,BEAM,SOMBRA VOLANTE,7/10/13
514666000,8408258,,12,71,0,1,1416,0,1,1363,encounters,Cambodia,7/10/13,SOMBRA VOLANTE,,
616735000,7813925,D6EU2,12,90.79,0,1,2004,0,1,1815,encounters,Comoros,12/22/16,SALY REEFER,,
273351900,8502793,UBLG2,12,71,0,1,1412,0,1,1516,encounters,Russia,12/12/16,AMEGA,,
351493000,8210338,HP7289,12,65.85,0,1,1246,0,1,1229,ITU,Panama,8/13/15,DROVER,,
351493000,8210338,HP7290,12,65.85,0,1,1246,0,1,1229,encounters,Panama,8/14/13,VAGRAND,,
412202420,8426901,BZTH,12,66,0,1,1289,0,1,500,ITU,China,,SHUN JI,,
273316040,8225668,UIVV,12,82.02,0,1,1597,0,1,1400,ITU,Russia,12/23/16,REFRIZHERATOR 605,,
515201000,8819691,V6LF,13,78.72,0,1,1891,0,1,1753,CLAV,Cambodia,2/2/16,QIAN YUAN,QIAN YUAN,1/8/13
510182000,8819691,,13,78.72,0,1,1891,0,1,1753,encounters,Micronesia,9/24/16,QIAN YUAN,QIAN YUAN,2/2/16
0,8819691,V3KX2,13,78.72,0,1,1891,0,1,1753,encounters,Belize,1/8/13,QIAN YUAN,,
529069000,9441960,T3KV,13,83,0,1,1995,0,1,2586,CLAV,Kiribati,10/8/13,HAN YI,PING DA,5/1/13
548050500,8920024,DUG9197,13,85,0,1,1888,0,1,1750,CLAV,Philippines,3/10/16,ANIKA MICHELLE,NEW SATSUKI,4/10/13
576274000,8920024,YJVZ8,13,85,0,1,1888,0,1,1750,encounters,Vanuatu,4/10/13,NEW SATSUKI,,
355317000,8301723,3FHF5,13,79.83,0,1,2113,0,1,2052,CLAV,Panama,12/10/16,ORIENTAL CHILAN,,
412203740,9005625,BAPI,13,84.02,0,1,1950,0,1,1950,CLAV,China,12/8/16,TAI XIANG,,
416001900,7900663,BZIR,13,83,0,1,1798,0,1,1983,CLAV,Taiwan,12/18/16,YUAN TAI NO.806,,
412202350,8810657,BAIL,13,84.33,0,1,1912,0,1,1930,CLAV,China,12/19/16,TAI YU,,
412401230,9160097,BKUI,13,83.75,0,1,2028,0,1,1883,CLAV,China,12/23/16,MING FA,,
440196000,8702630,D7MQ,13,85.07,0,1,1894,0,1,1749,FFA,Korea,12/23/16,LAKE SUCCESS,LAKE SUCCESS,2/20/14
538002989,8702630,V7NO8,13,85.07,0,1,1894,0,1,1749,encounters,Marshall Islands,2/20/14,LAKE SUCCESS,,
441240000,8712398,DSOR5,13,84.36,0,1,1488,0,1,1751,FFA,Korea,12/23/16,SL ARCHI,,
529615000,9011911,HP6825,13,80.26,0,1,1596,0,1,2000,FFA,Kiribati,9/17/15,HAI SHUN 158,HAI SHUN 158,5/10/13
273435310,8723311,UBAZ,13,85.1,0,1,2399,0,1,1211,encounters,Russia,12/23/16,BASKUNCHAKSKIY,,
273354620,8617770,UBFH2,13,84,0,1,1915,0,1,1958,encounters,Russia,12/7/16,MARINE STAR,,
273420160,7826154,UBOR,13,90.89,0,1,2545,0,1,1895,encounters,Russia,12/5/16,LYRA,,
273310240,8303927,UIWS,13,76,0,1,1735,0,1,1714,encounters,Russia,12/23/16,APOLLO FLYER,,
273348520,8613542,UBZE3,13,79,0,1,1846,0,1,1752,encounters,Russia,12/17/16,PAVLOVSK,,
273449760,7808322,UERU,13,95.61,0,1,2210,0,1,3098,encounters,Russia,12/23/16,PLUTONAS,,
273410910,8423612,UGFF,13,85.1,0,1,2418,0,1,1184,encounters,Russia,12/11/16,LIMANSKIY,,
273433460,8723309,UDWZ,13,85.1,0,1,2399,0,1,1168,encounters,Russia,12/23/16,BUZANSKIY,,
